,date,funny,business_id,text,user_id,useful,cool,stars,review_id
14089,2015-09-02,0,hImWJjaB0hvWQ7tlxGYMMw,"Are you kidding me. How hard is it to answer a phone call within a reasonable amount of time and not letting a customer sit on hold for over ten minutes then answer the phone, not say a word and hang up. I just called another store in a more busy location and they answered the phone in less than a minute!",jrAVo4qv6uI57h1SNGyN9A,0,0,1,QZDMXceMNm8DSsTwV1_HnQ
37525,2016-01-02,0,hImWJjaB0hvWQ7tlxGYMMw,"I placed an order online and I was told 10-15 minutes more once I arrived because they were backed up, that's fine. 25 minutes later I see one person storm out mad because his order was never placed. I asked for the status of my order and it also wasn't placed. 5 minutes later my order comes out looking completely disgusting. I spoke with Eric (assistant manager) then I spoke with Cherry (The Store Manager) they stated that if I needed to complain to someone else about this then they have no one for me. At first Cherry did not even want to come out, as the store manager she should feel more responsible for her staff and for the quality of the food, instead she seemed less sympathetic for my wait or quality of food than the other employees. -- Maybe it's fault for thinking this place would provide quality.... I have pictures for all to see.",HU7F10yKUt3zLDlWeSTGcg,0,0,1,x1BG6qBHPquzJ9T_lcB1PQ
124160,2014-10-03,0,hImWJjaB0hvWQ7tlxGYMMw,"the pizza here is great but whats up with the service, always waiting more than what they tell you and you wait 10 mins on the phone for someone to answer  ,  what the heck is up with this place, maybe hire some more people or something.",CLPCOot83maCf6OrgCJXag,0,0,3,3qvvnz6DMTVF7ikBSwpXuA
139665,2014-09-03,0,hImWJjaB0hvWQ7tlxGYMMw,"My Food always comes warm/cold something always wrong with my order every time , Pizza Hut is about 10mins away , I don't understand why my food comes cold , cause of this place I never want to eat pizza hit again !!!! And they get mad when u call and complain",Dgxi4QrG22rj0g6UwePOQg,0,0,1,nkpmd1lPDdpHrmZhp8hTHg
149279,2011-06-30,0,hImWJjaB0hvWQ7tlxGYMMw,"Fast delivery and great specials are 2 reasons to order this when you don't feel like cooking and are not in the mood to ,eave the house.",DWfos3PxcrkqAJoAZHEg3A,0,1,3,Ajh0UNJETN4te3cdoOrShg
191541,2017-03-13,0,hImWJjaB0hvWQ7tlxGYMMw,I guess I will never visit this store.  Ordered food for carry out.   Had a gift card with receipt that friends sent to help with my accident recovery.   They said the card was invalid and wanted my wife to pay.  Customer service.   What a joke.  There is much better pizza in the area anyway.,_mqQT890rQ_dENA926ctmA,0,0,1,d36EEUAjTZhRTjMYrL_CRQ
267425,2017-02-18,0,hImWJjaB0hvWQ7tlxGYMMw,"On 2/12/2017 I ordered a large pan pizza with five toppings and a personal pizza with four toppings.  I requested delivery service and applied a $10 coupon.  The total was $17.xx after taxes.  Good deal!

Five minutes after submitting my order online, a Pizza Hut employee called to tell me that they were out of personal pan crusts and recommended a medium size pizza with the same toppings for $11.00 more.  

I was not provided a revised receipt, but the grand total was quoted at $28.xx and I agreed to it.

The delivery employee showed up shortly afterwards and the total on the receipt was $28.xx.  I clearly entered ""$0.00"" on the tip line and signed the receipt.  The driver took both copies of the receipt (with a $5.00 CASH tip) and then gave me my pizzas.

I check my bank account a few days later and noticed that the total was final at $32.xx.  THE DRIVER GAVE HIMSELF AN ADDITIONAL TIP ON TOP OF THE $5.00 CASH TIP I GAVE HIM!  

This has never happened before in the two years that I've ordered from here, but it isn't going to happen again.  I'm never ordering from THIS Pizza Hut ever again.  

Remember in the beginning when I mentioned that my original total was with a $10.00 coupon applied?  Let's say I didn't use the coupon...  $38.00 PLUS TIP for one large pizza with five toppings and a medium with four toppings?!  Really?!  Unbelievable.

Crooked staff.  Crooked drivers.",ASmxIYWcMCwtFiQzBqdSVw,0,0,1,ZNnxgfLt7puA-Gd0Qn-p7g
698267,2016-10-23,0,hImWJjaB0hvWQ7tlxGYMMw,As it says on the web friendly !???? But it's the opposite . This location when it comes to customer service sucks . Treat your customers well because it's your bread and butter . If you don't know how to take care of your customers and treat them well you're in the wrong place to work . It was an unpleasant experience that I had at this location today . Whoever is your restaurant manager go to basics and retrain your employees especially in taking care of your customers . I never encounter such very rude employees .. I worked for Pizza Hut in Hawaii for so long and we never tolerated this behavior !,NoQRRqXM3ktDcqUJAVFrSQ,2,0,1,059lRT-_awXU837ti-55IA
702359,2016-07-05,0,hImWJjaB0hvWQ7tlxGYMMw,"Terrible service. Placed my order online for two large pizzas for delivery. When the pizza arrived, I opened the box and instead of receiving large & I got 2 medium pizzas. Are you kidding me. Paid $32 for 2 medium pizzas when I ordered large! Smh!!!",48oy9WOkFJ2G5m_lLYkSVA,0,0,1,j2DNnbieJk8HppopZ4QnEA
759557,2016-11-24,0,hImWJjaB0hvWQ7tlxGYMMw,What is up with this place ? The owner needs to get it together. Employees super slow and can't figure anything out. Online order took 30+ min over from stated pickup time. Why?,D7eFj3LrJN3dsQQWSpJepg,0,0,1,jkKsCrpCOQSjMOll7QxG-Q
