,date,funny,business_id,text,user_id,useful,cool,stars,review_id
645144,2012-11-17,2,hLu4q64lPvF--9gd58lcPg,"After drinking probably 12 seagrams on the rocks, my hunger got to me.  I already had a footlong hotdog with chili, but my body was screaming for more food.  I went to the pizza shop and ordered some kind of spicy pizza.  Wasn't feeling it and no I'm not a pizza snob, far from it, I love Totino's frozen pizza for god's sake, but this pizza was probably top 5 of crappy pizza.  The only good thing about it was that it lured me away from the tables long enough to stop giving the casino all of my money.  My advice, stick to the $1.99 footlong hotdogs",S92U40VJHrJKMztfsCvtww,2,0,1,EzN906fg2A3wXrZGWJfydw
1310928,2017-03-31,0,hLu4q64lPvF--9gd58lcPg,"Went to this place with a goal of pizza that would satisfy my tourist stomach. Arrived to the gates of
Hell known as noble romans ordered a pizza and wings thinking life would be good. Not only was the food like $25 for a small pizza and wings they had no place to sit down except a small table big enough for a plate. The lady working there through the food in a microwave and tossed it out in like a minute. The food tasted like rats. I'd rather eat rocks than eat this trash you've been warned",zUbvPzNvZzl-hECYhIqBCQ,0,0,1,FwkscpzMUcxKdKL-06dYIQ
1459849,2013-06-14,2,hLu4q64lPvF--9gd58lcPg,"We were starving and looking for an affordable dinner.  We figured a pizza could not hurt us financially.  Our specialty pizza was made fresh....waited about 10-15min.  The pizza was not bad but sort of cold, considering they made it fresh.   The BBQ wings also came out fresh.  The wings were more like baked style rather than deep fried.  So they were not so crispy but rather soft.  We paid about $26 for a large specialty pizza, 10pc wings and 3 bottles of water.  If you are looking for an affordable junk food on The Strip, besides McDonald's, this would be an option.  Overall, it was not bad.",mVA4IeYyVKPUWRrN5oplMA,1,1,3,xorIRf18bm_Q09Lcids2dA
1495943,2009-09-17,1,hLu4q64lPvF--9gd58lcPg,"Quickly trying to get ready to go out and desperately in need of fast food led me to go to Noble Roman's Pizza inside Casino Royale. I only ate here because I stayed there. I got a individual pepperoni pizza combo which came with a drink and breadsticks and dip for like $8. Damn, pretty expensive but I was hungry and it did the trick. Unfortunately, I think I ate too much bread because I kept drinking and I think the bread just kept absorbing the alcohol! Haha.",ElxoM6w2NxZp6amnFUok8Q,2,1,3,Rq0yFfOmSY3cj5S3VBwcyw
1958773,2010-01-03,1,hLu4q64lPvF--9gd58lcPg,"Maybe it is just because we don't have any Noble Roman's Pizzas in southern California and therefore eating at one is a special experience for me that I associate with fun times, but I really enjoy eating at Noble Roman's when I am in Las Vegas. Their pizza is good fast food pizza. The crust isn't exactly thin crust, but it is thinner than Pizza Hut's regular hand tossed. It is better than Pizza Hut or any of the other big chains. Their pizza boxes have so much printing on them, including a big paragraph about why you shouldn't turn the box upside down on the bottom of the box. This Noble Roman's is next to a Subway and a Chipotle, Panda Express, and McDonalds are next door. Even with all those choices I chose to eat at Noble Roman's. Like I said, part of it may just be because of the novelty for me and someone from somewhere else might find Chipotle more unique.

This location is very tiny. Honestly you could probably only fit two people in there. Casino Royale is expanding and I think they will soon be moving to a larger location at the back of the casino with more seating area. This is a fast food location similar to Pizza Hut Express so it has a limited menu. On the plus side, they do usually have some personal size pizzas ready to go. Cash only.",DgrkaxfNoMP1nGGrDcpkOw,1,1,4,2JKbUjqhheiZyMOpm7gMiA
2470266,2015-05-08,1,hLu4q64lPvF--9gd58lcPg,The works-bad. So salty and oily. I guess it's not the restaurant's fault since pepperoni and Italian sausage are just like that.,Ej9B9z9E_V9mb_BTMXdfWg,1,1,1,9M0nguRx0qKJbdcQbZb3hg
3382849,2015-11-23,0,hLu4q64lPvF--9gd58lcPg,"Located in the back of Casino Royale is not a bad place of semi, do not expect anything extraordinary, decent priced (compared to everything else close by on the strip) pizza, breadsticks and wings.

The value meals are the best deals to purchase. 

The breadsticks (finger looking, semi cooked, over baked) are just nourishment, a filler.

The cheese on the pizza, was super buttery, gooey and yummy. The crust was semi brunt but edible. 

Remember, this is drunk food. The taste is dependent upon the levels of alcohol that has been consumed. The sausage pizza (buttery cheese makes this awesome) is actually delicious. The dough and marinara not so much as awesome.

Bruce Lee was not only friendly but so especially handsome. Thanks for serving me. Hope to see you again. This would have been 2 stars but Bruce Lee turned this into 3 star review.",LEiYTKqzpTRFZy1Hf4pxwg,0,0,3,Mci_uoFpWROWUCcOInYQ8w
3609551,2016-05-04,0,hLu4q64lPvF--9gd58lcPg,"It's pizza, like just boring ole pizza....but cmon now, charging $3.19 for a bottle of water!!!! For .80 more you can get a beer at the bar!!!!!!!",hOUXgXGHEBbleF01CTULIg,0,0,2,ReCDf-P5hfS3fvAAVBimzA
3634613,2012-07-16,1,hLu4q64lPvF--9gd58lcPg,Based on Rand's recommendation I stopped here for a foot long hot dog at the exorbitant (lol) price of $1.99.  The hot dog compared in value to the $1.50 one at Chase field and it was ok.  Did not help that the attendants got sort of grumpy when I asked them to put some onions at the condiment station.,Z128ihQea7BLPh2T9q9sKA,1,1,3,yreMFVm4jUcb23xrFbx1BQ
3721591,2011-11-18,0,hLu4q64lPvF--9gd58lcPg,"Wanted to get a quick bite and stopped by this place. I was not too happy- I paid $8 for a slice of pizza and a drink and the pizza was not very good. It seemed to lack good tomato sauce and I think that's what made it so bland. It is located right on the strip, so I'm sure thats why it was more pricey.",3z8sLnKA4-DutlcTmLholw,0,0,2,d4f9BNBzGh5adNIUo6RTYA
