,date,funny,business_id,text,user_id,useful,cool,stars,review_id
8120,2016-12-31,0,h_g5HV6Fw2rinZ3xqFwygw,I paid a lot of money for my whole entire family and the service was horrible. The waitress was rude and had us put on plates on her tray. When she thought that we weren't going to tip her she flipped out was very rude. They tell you to leave shortly after your visit!!!!!!!!!,UkmqSW27QHOL2E-wFxfrGw,0,0,1,KrKm0g5IpvZhPI7r9aKVBw
42977,2011-06-16,0,h_g5HV6Fw2rinZ3xqFwygw,We recently stayed at Silverton Lodge and Casino and ate at Seasons buffet.  The buffet had a wonderful variety of entrees.  My husband especially liked the Chinese items he selected and I really enjoyed the delicious Prime Rib and the very large deep fried shrimp.  We would highly recommend this buffet and the lodge.,nDDJm2rXWqTQmYubkvIy7Q,0,0,4,IoAdstMYaz13Nf4WueCBuA
48402,2014-10-21,0,h_g5HV6Fw2rinZ3xqFwygw,The staff was friendly and personable. The food was quality over quantity and I would bring my family and friends here without hesitation as a true local born and raised here in the valley. They are professional and kind from the host/hostess to management. We loved our entire dinning experience.,pU83YmKkOfvtZ8SaPVv5uQ,0,0,5,WL8p9wk2vl-xAzEyxXhwgQ
70103,2017-10-16,0,h_g5HV6Fw2rinZ3xqFwygw,Top 3 buffets in town for sure. From the service to the salad dressings to the desserts. The sugar free cheesecake is out of this world. We have bought entire cheesecake to take home it's so good !,4x5AZ_ehShV13IqnMNAbyA,0,0,5,6KIYZL4CLTzPpctrQInK8w
143793,2017-07-24,0,h_g5HV6Fw2rinZ3xqFwygw,Like my many Yelp reviews before which indicated. Most good or great buffets in Vegas these days r off the strip. And Seasons Buffet is no exception. It is worth the time n effort cause Silverton Casino Resort is fill with activities for both young n old. There is a huge aquarium with live mermaid show. And a huge sports shop the size of a football stadium. U will definitely burn away the calories after a delicious meal at the Seasons Buffet!,o9D90Dr6z27JL6AlivsoFw,0,0,4,7jf2sHJWNy5cCtn0ufTZOw
172634,2014-09-20,0,h_g5HV6Fw2rinZ3xqFwygw,The food was very mediocre. Most of the food was very greasy and bland. Many of the Asian dishes such as the lemon chicken were undercooked. The only decent part of the buffet was the desserts. I don't think the food here is worth it for the price. I suggest another buffet instead of this one when going to Vegas.,RvqruokCnT_hvwvoQn_F3Q,1,0,2,a7bQfBA5YYXVXMIiZCN8tg
226205,2015-01-26,0,h_g5HV6Fw2rinZ3xqFwygw,"We have been to Silverton's buffet several times now.  We were very impressed the first time, which was a Saturday night.  But our review has gone downhill since then; I believe our visits since have been on Sunday nights.  The Stations are hands-down much much better.  Because the Stations get so many more people, they have much more of a selection and the food is much fresher and of better quality.

Everything was just okay with some things better and some worse.  The chicken noodle soup was good, and nice and hot, not always the case with buffets.  Salad toppings very minimal.  The grilled veggies were very good; my husband was very disappointed with the pizza which looked good, but the crust which looked pretty thin, was not crunchy.

The supposed 'rice pilaf' had no pilaf, just dried rice and some awful spice.  Went back up and took a stuffed cabbage figuring I couldn't go wrong; tasted like it was covered in ketchup.

Desserts very so-so.  Rice crispy treat had no flavor--how do you mess that up.  Soda completely flat; couldn't tell if it was pepsi or coke; maybe it was neither.

They don't use the paper placemats which I actually like because I know it is pretty clean.  Only give you one fork.  Service is good.

Overall disappointed.",yKcrC-MfRjqSi9GrVXEr3w,1,0,3,X9wi2CbWybJRSU5h9irdqg
230565,2014-09-03,0,h_g5HV6Fw2rinZ3xqFwygw,"I really enjoyed this buffet. I think the price is worth the food. My husband and I have been to dinner and brunch here and enjoyed every time we went. It has a good selection of Italian food, seafood, Asian food, BBQ section as well as salad bar and desserts. On sunday morning they have a brunch with a champagne mimosa bar, which is awesome. It not just job and champagne but they have a mango mimosa as well as pomegranate ones as well. Some of the highlights there would be the grilled vegetables. Really delicious and  their creamy polenta. I also liked their mussels and clams as well,really delicious.",DiJ_COv3paIhXQwVjNv7eQ,2,3,5,1t7FA01C1Ajj3TqrT-obow
237661,2011-05-04,0,h_g5HV6Fw2rinZ3xqFwygw,"This is the very first buffet in Vegas we ate at.  Honestly, considering the line of people, I was expecting the food to be out of this world.  It was okay, but Luby's Cafeteria honestly has better food in my opinion.  The reason why we will go back is the $5 unlimited wine and beer special.  You pay once and drink as much as you want!  That's excellent.",UsUNFqizxM1ZIp7zh1xHag,1,0,3,9BQ2mWcDqvZ_1EeQ1AnhxA
240844,2013-07-10,0,h_g5HV6Fw2rinZ3xqFwygw,"A nice, little buffet in the Silverton, it's great place to come with a prom or comp. Simple but effective menu~ somethings are really great and others are just typical or ok. Had not been here for awhile, but we saw an ad for bogo and decided to try again. Glad we did as they have a new executive chef who has revamped the menu and added some more interesting and fresh items. For example, the deep fried tofu salad with chilli and the keifer lime stir fry chicken. Can't go wrong with a selection of roasted vegetables (jalapenos and garlic included) or the fresh shrimp and cocktail sauce. All in all (bogo - $7.50 a person), if you make wise choices, you can get a great meal.",to-2EIRXGkhV3dWcwnllig,1,0,3,GyzsU1K7vpey3lzT7QIeIg
