,date,funny,business_id,text,user_id,useful,cool,stars,review_id
43435,2015-06-28,0,hm5Tgbj-IWQqe-ImqnBaNg,"The BEST, I mean The BEST catfish, shrimp, hush puppies & sweet butter you can get unlimited or individual. Not to mention the allllllllll you can eat salad bar, their Cole Slaw is Slammin'. 
I'm from NYC & have had catfish in many places around the country & I have to say Hush Puppy has the BEST catfish going light, crispy & not oily. 
The staff & especially the owner are fantastic they really treat you like family. 
If you've not had a chance to eat here make sure to go you'll be more than pleased & will go back often. 
Hush Puppy the King of Catfish!",ecilHzqPBklml9iq_luUEw,2,0,5,CcU4Zoiq85PQUG6uWWqB7Q
65642,2012-10-13,0,hm5Tgbj-IWQqe-ImqnBaNg,"The food was mediocre.  Husband ordered a combination platter specifically to get some gator.  He received his plate with no gator.  When he questioned where his gator was, he was told that they were out of gator.  Um, hello? Why wouldn't they inform him of that when he ordered it?  The manager said that they wouldn't be getting any gator until the end of the month (this was mid-month) so it's not like they suddenly ran out.  Our waitress was nice but so new that every time we asked a question, she had to leave us to go find out the answer.  Made for very slow service.",r79QdFrVcIwO4mxNNCjfEg,2,0,2,HSEW4BeMDJpFV7w4IKWCMg
143638,2017-09-01,0,hm5Tgbj-IWQqe-ImqnBaNg,"I have been going to the Hush Puppy since I first moved to town in April of '75, believe it or not.  The food reminded me of home, since I'm from the Biloxi MS gulf coast.  The hush puppies & fried green tomatoes are excellent. I can remember when there was only one in town. If you like southern seafood,  you won't go wrong here.  You will definitely go back.  You also get a discount for pick up orders. Yum yum go get some ! !",BV0iG8-hVUEULCCPoRwCYQ,1,0,5,9v-wJFSSv3dtNyReqrfvNA
183722,2015-03-31,0,hm5Tgbj-IWQqe-ImqnBaNg,"Great place for Catfish.  Sitting down for all you can eat is cool but we like the take out.  My son even likes it (that says a lot).  Their menu isnt too complicated, but it definitely turned into a go to for my family for fish.  You can pay a lot more for a lot less.",TeyksePTlA2SXr8XYf_2IA,3,0,5,eZGsVy6wutK14JVUGdQIqQ
211087,2012-10-30,5,hm5Tgbj-IWQqe-ImqnBaNg,"This place was pretty disgusting. The only thing I could recommend is the gumbo, Other than that the food was bad. The shrimp was probably Tyson brand, at least it taste like it. My sis asked for fried chicken, waitress said they don't have the ability to do any frying. The waitress then offered chicken tenders, she brought out but we later thought, if they don't do any frying,how are the tenders, fries, shrimp and fish fried? Could've been all microwaved. Everything was cold. I would not recommend this place to the homeless....",6zHP3oRpfSIIxW9m9YGicQ,2,3,1,fPQDLPR1vRj8ZEpVBj1d8w
289107,2008-07-15,6,hm5Tgbj-IWQqe-ImqnBaNg,"This place been around for ... darn many years.
I only went there for Monday night All-you-can-eat-king-crab-legs-special :)

Monday plan is:
1. Light breakfast
2. Veeeerry light lunch
3. 5PM - get to Hush Puppy
4. Munch on their excellent Cole Slaw and Hush Puppies
5. Plate of crab legs - Plate of crab legs- Plate of crab legs ..... Plate of crab legs ... no I can't eat anymore ... plate of crab legs.
6. Loosen up belt buckle
7. Wash your crab stinky hands
8. Stop by Big Dogs brewery right down the street and have a microbrew ... repeat if you can.
9. Skip breakfast and lunch next day :)

You can order from the menu of course ... but we never really bothered. 

Bottom line: for how much crab we ate this place was probably taking loss on us :). Forget casino seafood buffet - concentrate on the good stuff.",ifN4zDOzYHt3RxEKW6Rc0Q,3,2,5,s72F7a7RW-0wtGsHDVSmPQ
365844,2014-10-03,0,hm5Tgbj-IWQqe-ImqnBaNg,We loved everything we got there the frog legs was good the fish is delicious alligator was great.,4rCCnDW7O0kmE1knzHrmsQ,1,0,5,4hsh9_r2nZsgSyDgxhEOgA
380038,2016-04-19,0,hm5Tgbj-IWQqe-ImqnBaNg,"I have been here many times. Food is great. Catfish is amazing. never had a problem with the food, However the service is always slow. Not mean but slow. Like they stay in the back and you dont even see then for 5 minutes or so. But food is great. A must go",LJrkY-raWDuwWUw6hqFp8g,2,0,4,LGPwoJfDdcsW1vOLXkZ1tQ
839859,2012-10-08,0,hm5Tgbj-IWQqe-ImqnBaNg,The service was exceptional!  The food was delicious and the prices were right!  My husband and I usually go to Red Lobster to enjoy seafood but every since we have tried Hush Puppy....Red Lobster is a thing of the past!  The gumbo was the best we ever had!,RgrFNL96p2W1KrVXhzyydQ,0,0,4,2FGH2QL43vWIHLSDwT_bNw
889722,2012-05-23,0,hm5Tgbj-IWQqe-ImqnBaNg,"I grew up in Texas and spent some time in Louisiana and this place really brings back childhood memories. It features southern cooking which means just about everything is either fried or cooked in bacon fat. The food is really tasty, but this place is NOT for the health conscious. I had the fried alligator and collard greens which were just as goods those I use to get in Louisiana. The salad bar has an ok selection, but they need pickled okra to make the southern feeling complete. 

We came in with a fairly large party, about 7 of us in all and our server was fun and efficient. Our glasses were never empty and she made sure we were never wanting for hush puppies with sweetened butter.",nhGWXZALOpIhc7QsAy-ONA,1,0,4,TnRO7OsSXJBkkD5cj4j5Kw
1016330,2016-06-18,0,hm5Tgbj-IWQqe-ImqnBaNg,"The best Catfish & Crab-Legs on the planet....we've been there many, many times....'cause they just are so damn good....hot & fresh to order - the secret batter must be under lock and key....I would love to know it - - but yes....the Hush Puppy is great.",RON_7Cjz0iFiLEHtnlFE6w,3,0,5,Cq8JLLCICXDHLrtt2Rbuag
