,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1712388,2018-06-16,0,hs6q3UzhivmNg_ZVxJMNoQ,"FREE DRINK WITH CHECK IN-- The servers were great.  He told me about this unadvertised offer.  The food was fresh and the ambience was clean and clear. I had a really great meal here.  
If you're reading this whole review, I want to recommend some recipe tips. 
Just like any wok style food, size and type matter for cooking time.  Picking larger vegetables will yield crunchier results, why smaller cut vegetables yields softer, more sauce absorbed food.  Cooking time is dependent on the meat.  Large pieces of meat can act as a wall and tofu as a base. Pile the vegetables in the middle to make a higher tower of food.  
My sauce recommendation is 1 scoop pineapple, 1 scoop hot, 3 scoops garlic (get the bottom to have garlic pieces) and 1 scoop house.   
Add some pineapple and sesame seeds.  
There aren't many restaurants like this in the area so I am thrilled about it.",UGzG7JupCO6GRsxNNJBjIQ,0,0,5,sPKay3CiZHJ2C3GCSrW5Kg
2036245,2018-06-30,0,hs6q3UzhivmNg_ZVxJMNoQ,Good food good service. The staff and manager were friendly and the place was very clean. Good selection and safe food practice  Thank you,UL_50uhTMefJTVhwzPugkw,0,0,5,TokVROcVOqx_R91OYDjNTg
2044886,2018-06-29,0,hs6q3UzhivmNg_ZVxJMNoQ,We really enjoyed the selection of fresh vegetables and meats.  Very good tasting and value.  Plan on going here when we are on the East side of town.,P3yHZ5ZVVRgYeThFmydSng,0,0,5,152_3_mwjB4NxWXnbjQZLg
2052517,2018-06-11,0,hs6q3UzhivmNg_ZVxJMNoQ,"When we went the place smelled like propane, so we took ours to go. The bowls were kind of small and the set up to load your bowl up is not ideal. There is a large overhang to keep the food sanitary that makes it hard to pick up the food. As a result, there is a lot of food toppling into where it doesn't belong. Everyone working there was super nice and eager to help us out, though. And everything tasted great. It's also the only mongolian BBQ place (that I know of, at least) within walking distance to UNLV so kudos for giving the UNLV students a unique option.",QLPFK1F0pZaFTrbg1Km-TQ,0,0,3,RJ8wU-7d67zhQQGgFsVHHA
2128063,2018-06-19,0,hs6q3UzhivmNg_ZVxJMNoQ,"Cool new spot by UNLV with awesome lunch specials. 
You choose your ingredients n meats and the cook it for you. 
Friendly staff and lots of parking",ovxVliJJPn1X8P9cQVmxlw,0,0,5,ySBUkShFLh9aBLslfETvRA
2180851,2018-06-26,0,hs6q3UzhivmNg_ZVxJMNoQ,"Love everything about this place: friendly and helpful staff, location is near my house and school, reasonable prices, amazing food!",7LhOut_sHrbuNsFkhu_nEw,1,1,5,WTmGk-IMuLl0cMhFe4CKRQ
2233112,2018-06-16,0,hs6q3UzhivmNg_ZVxJMNoQ,"Have been missing Mongolian Grill for a while. This place fulfilled that craving perfectly. Great service and clean. Price is good too, no pressure to get the ayce but still def worth it. Will certainly be back here.",ACOWS6ytxT-ZDNVsMYijiA,0,0,5,xkHq-LGPIdKK3S9kXxje1g
2267597,2018-06-18,0,hs6q3UzhivmNg_ZVxJMNoQ,Walked in to the Mongolian grill to try it out and was immediately greeted by the awesome staff! Shout out to Alex to walking me through the way the meal works with everything and suggestions too!! Loved the friendly staff and the food is amazing!! It's cooked for you in front of you on a unique and amazing grill! Love this place! Will be back and definitely recommending to friends & fam! It's so close to UNLV too!,uJOm2JibfvAS0iOircC4gQ,0,0,5,CplE2_PzL5ei8hJ03sTQYA
2335792,2018-06-20,0,hs6q3UzhivmNg_ZVxJMNoQ,"I love that this location is much closer to home, same amazing food just a lot closer. I've been here at least once a week since they recently opened. The owners are amazing guys & know how to keep things fresh and take care of their customers.. so excited to keep eating here I love how every time I make my bowl it's something different !",a8RqGk2cOhnmHMsNmZDtQg,0,0,5,DeBe00xla2xSYLp_6Klk7Q
2636889,2018-05-31,0,hs6q3UzhivmNg_ZVxJMNoQ,Love this Mongolian bbq spot. Food was delicious and they have more ingredients to add to your bowl than most Mongolian bbq joints. Friendly service. This is a new location close to UNLV.,FqaRyM4MCmnnWOc-2FHErg,0,0,5,aHdi1ulJZUjnH_9w6WH5bg
