,date,funny,business_id,text,user_id,useful,cool,stars,review_id
779,2013-01-20,0,huOCKRwDvNqGX3KSzYawbw,"Great spot for a quick treat if you're staying at the Bellagio. We had some of the pastries which tasted fresh and like something straight from a bakery.

The only downside was that the cafe was positioned on our walk back from the pool to the lifts.. ;)",wcKvC0jov-kAHg-GIvWJqg,0,1,4,6yHuhqxM9akiyq3ZVcdrwg
35444,2011-04-03,0,huOCKRwDvNqGX3KSzYawbw,"Note: I haven't had their gelato yet =( so this is a review for their food.

I came here before going to see O and I was damn hungry. We were actually looking for another place but ended up here by mistake. We saw that they sold real food in addition to their tasty looking gelato. 

Between the boyfriend and I we got the chicken pita (tasted good), chicken caesar salad (stupid), egg bacon muffin thing (I didn't taste it but the boy said it was fine), and a yogurt parfait (it was definitely European style, which I like but some people my find it too tart. I'll rate it as ""meh."") 

Those 4 things cost $40. Are you f-ing me?! I know it's Vegas, blah blah blah, but geez. For a ""quick eats"" place where the stuff was pre-made... Pul-lease. Pre-made! Even McDonald's makes my food to order. Is it because I'm at the Bellagio? Yawn. 

Side note: they have water cups and the cutest glass jam jars ever. I plan to take 10 of them the next time I go.

I definitely want to try their gelato, but I won't be going back for their food.",n2xGqfJOdUXuzGqY1tCUGQ,0,0,2,LOkiINi07_Sxp7yyS0uC-g
46397,2011-01-04,0,huOCKRwDvNqGX3KSzYawbw,"Best.Gelato.In.Vegas.  It's a must stop whenever i'm in Vegas.  Creamy, smooth consistency, delicious - AMAZING!  I've never been disappointed when I've gone, except when it's closed.

I always get the same:  stracciatella and hazelnut and it's consistently good.  And reasonably priced with plenty of seating on a normal day.",FPmxLtMPlYDyeIa2f3N4qg,0,0,5,zAbsE47MyqtzjI2VCcZ8ow
87997,2016-05-20,0,huOCKRwDvNqGX3KSzYawbw,"A good healthy portion (single scoop) for about 5 bucks!  Plenty of flavors to choose and you can mix & match.  Dont be afraid to ask to sample their many flavors.
Loved their watermelon and their blackberry cheesecake.",uPbrUIOJEk_QmlqG-kwTCw,0,0,5,r6y_Y_79L7Sl-9WICMzzXQ
99423,2014-01-13,0,huOCKRwDvNqGX3KSzYawbw,"Coffee was good, but not worth $3.95+tax for a large. Can't expect anything cheaper though since it is located on the strip, and in one of the fancier hotels.",iMhwsPY3aGZAa8i0R2c9mA,0,0,3,Rs48oCN9z3iOOkobu1Dcyg
176938,2014-10-25,0,huOCKRwDvNqGX3KSzYawbw,"My husband's dulce de leche was very good, but my tiramisu was hard, icy and the ladyfingers w/ espresso were flavorless. I'd asked for a scoop of tiramisu and one of chocolate but I got all tiramisu, the staff are nice but not really paying attention. The dulce de leche was creamy and delicious. I regret not having gotten it instead.",MAX_ePS2p6NxbQCImiy61w,0,0,3,jF6ZMtGhwXa2sgM6yOgMNg
236008,2011-10-03,0,huOCKRwDvNqGX3KSzYawbw,"Spectacular deserts. Gelato with hot fudge is amazing. My wife asked for a cherry - she got about 8 or 10. Servings of double gelato are huge. Very decadent but wonderful.

Excellent product, fair price and delicious.",Jq2tuJDLl3Iv29D93hDvZA,0,0,5,8zZzCYsUD-bHzXTfkAxERQ
272832,2009-02-12,0,huOCKRwDvNqGX3KSzYawbw,"The gelato here has a very smooth and creamy texture. I ordered Pistachio Nut. It was delicious!

Although it is a little pricey, I noticed that some of the female servers put more in a cup than male servers do.
The ambiance was light and chipper while the cafe itself was adorned with various designs and paintings.
Go there to take a break from those slot machines and smoke-filled halls and enjoy a delicious, though somewhat overpriced, but good-tasting creamy gelato.",fRzXLBMz3N1ghXAgBbmS6Q,0,0,3,_lcV0xH3ybI1i5yb7Z1U_A
492947,2011-08-14,0,huOCKRwDvNqGX3KSzYawbw,"After trying Cafe Gelato last year I made it a staple to have some during this year's visit. It was just as delicious as I imagined. Oh so creamy and melt in your mouth delicious. Even the waffle cones are amazing. Yes, it's pricey but so worth every penny.",67ujRH7PffM46hvenxnnBA,0,0,5,JY-kIxF4j5m9Xu2jRL3pww
496224,2012-01-02,0,huOCKRwDvNqGX3KSzYawbw,"The Best Gelato in the West, by fare. The Chicken Panini is very addictive, a great sandwhich that you must try. They only make so many every day so pre-ordering by phone is a good idea.",_TQ9vuWrMRtOh_c2IY8Y1w,0,0,5,SVdNEbgpvRWFW4pwMgh3UA
