,date,funny,business_id,text,user_id,useful,cool,stars,review_id
5594,2016-01-21,0,iL2-xJ4-eMsJk88PsbivbQ,"By far the BEST pizza I've ever had! Whether you're a local or just visiting, you should make the trip. I've never had a bad meal here! Our favorite is the meat lovers pizza and garlic knots. Plus the cannoli's are AMAZING!!!!",OO-qJuNMBTVKoIn-LppNOw,1,0,5,-EF4zjads5YcvUwKTfYSrw
10541,2017-04-14,0,iL2-xJ4-eMsJk88PsbivbQ,One star may still be to good of a ranking for this place . If you want a meatball sub where the meatballs have been microwaved and it's so hot and rubbery it burns your mouth and the roll is soaking wet  then this is your place. Not only was the bread soaking wet it was burned also. If you get take out from this place make sure you check your order before you leave.,E8AnZrnrkCnEkvwkA8NHyg,0,0,1,S52BV1EkKqXuTjqe9xlXrA
22890,2015-08-18,0,iL2-xJ4-eMsJk88PsbivbQ,"Great place, great pizza and service. It would be nice if they had a way to skip the line to pay if you are picking up an order, but that's my only complaint.",V-QGptF9OzHZys9bB8KPiQ,0,0,5,RRQbImL2HfC2v_-WA42-Ag
36044,2016-07-27,1,iL2-xJ4-eMsJk88PsbivbQ,Close to work so it's super convenient. Small establishment but their food is great! I'd try anything from pizza... Fried zucchini... Fries ... Wings ... And fried ravioli is AmazeBalls! Besides the size and the severe wait times I'd give them a solid 4 star. But..... Although I don't mind greasy pizza make sure u don't go eating wearing your Sunday best! Gets messy! Bring wet naps lol ... Don't forget the great ranch too!,WMhgjmJPSuTFL381tVEZRg,1,1,4,MF2vsbeBEVuV2BKPTMeJsQ
49276,2014-10-14,0,iL2-xJ4-eMsJk88PsbivbQ,"Always solid pizza here. 

They have great chicken fingers as well and I love the antipasto salad.  

Delivery guys are really quick and are always polite.

This is a well run business!",PTb8kGHrN3d4YvCNCxEhAQ,1,0,4,mu6sKxNCi7BiGATJjAL--g
57291,2015-08-22,0,iL2-xJ4-eMsJk88PsbivbQ,"My husband and I went here for lunch on a Saturday. The place is clean and the employees are nice.  They had a deal for take out large pizza, so we jumped on it.  We ended up getting a large pepperoni, 12 garlic knots, 12 zeppolis, a side salad and a pineapple calzone. We paid almost 40, but felt it was a good deal for what we ordered. 

The calzone, for a small, was very large. Inside it had a mix of ricotta and mozzarella cheeses, so it was pretty creamy and sweet (especially with the pineapple). It came with hot marinara sauce. It was really good, but I didn't even get to half of it. Honestly, I was worried about my arteries with all that cheese haha! 

The pizza was good, but average. Pretty greasy, too. The oil leaked through the box on the car ride home. 

The garlic knots were average. Half were burnt on the bottom, the other were burnt on the top. We either got burnt bread or burnt garlic. 

The side salad was small, but the Italian dressing was good. It had olives, a half tomato, carrots, and a pepperchini. 

The zeppolis were the best part. The ended up giving us 24 instead of 12. They came hot and covered in powdered sugar. Just wish there was a chocolate sauce to dip it in.

We probably would go back if we were craving NY style pizza, but for now I'll stick with dominos.",gmIzfgQaZj0UqJxq1HUrWg,0,0,3,bCL8yzsPta9CNfDTT-_jYw
69937,2011-08-30,0,iL2-xJ4-eMsJk88PsbivbQ,"Broadway Pizza is the best! We are from NY and have lived in Las Vegas since 1998 and have been going to Broadway ever since. I order from here weekly. I have turned co workers and friends onto Broadway as well. They have also catered our family events, it is just great food! Get the stuffed knots, chicken parm sub, meat parm sub and especially the pizza!! Enjoy!!",_NjmJcj2B9DX8hybhaAxGw,0,0,5,Za0L_WRIFCJqrREc3WGpIg
89534,2016-07-24,0,iL2-xJ4-eMsJk88PsbivbQ,"We had a party at our house and ordered 6 pizzas and a bucket of wings 
I have to say this was the best veggie pizza I have EVER HAD 
IT has broccoli on it !!  The white pizza was awesome . the wings superb. I could go on and on. Do yourself a favor and get yourself some Broadway pizza soon.",sT5liCUJoYoJUpsMpWNgJA,0,0,5,0Ub9p8DLoTeuNFzqAZgW6A
109667,2014-05-13,0,iL2-xJ4-eMsJk88PsbivbQ,These guys are from New York and you could tell it when you taste of food as New York New York gets. I tried the pizza couple of days ago it was outstanding I tried the Ziti with meatballs unbelievably good as good as any five star restaurant the meatballs were outstanding great taste. They give you six garlic knots with dinner and it was very tasty garlic knots with very good. The owner is a very friendly and they treat you like family,T1F_QZDwRoth02ufRu2R3w,0,0,5,ITRUeTDquqOwjxYr8M1lMw
122121,2014-01-26,0,iL2-xJ4-eMsJk88PsbivbQ,"Quick, easy and affordable.  Awesome lunch quickie if you are in the area.  Not sure if I would travel out of my way to come here.

Atmosphere is exactly what you think it would be in a ny pizzeria.",G-4c_G7iXLbSVuMxa5t0IA,0,0,3,lMrVYn-oCbd8dkk8LNJUwA
