,date,funny,business_id,text,user_id,useful,cool,stars,review_id
761180,2017-04-24,0,iUQ5hZGhwrg-WPICcbo4IA,I ordered tapsilog - it was so raw and rubbery. If you're afraid to cook tapsilog the way it's supposed to be cooked - take it off the menu. You  have no business with it. The meat was tough even after I asked the fry chef to recook it and the eggs were old. I asked who the manager was and the cashier did not know who it was. Imagine that. Disappointed because I go to all the other kitchens and have great food .. grand opening ?? Better close it down .,MtJbCxnvFZVxzzTU7vrHyw,0,0,1,c5k7ZHqssOB-02YuJIQrCA
916971,2016-09-16,0,iUQ5hZGhwrg-WPICcbo4IA,"Just ordered Laulau the worst ever, I opened it to find 1 piece of meat the size of a table spoon that's it the rest was luau leaf.  My grand daughter ordered saimin and a group of 10 came in 10 min after us. They got their food before she did. I asked the girl why did they get their food first?  She said because we bring it out when it's done.  She's still waiting for her saimin.  They need to go to Ross J's or 808 Plate to learn how to make luau luau.",sKLY8dcgM2nTGqsLKAMSBg,1,0,1,ablEmBM0T3aQP2PXLNHLsQ
1001912,2018-02-25,0,iUQ5hZGhwrg-WPICcbo4IA,"great service and great tasting food. try the garlic chicken with gravy, tapsilog, chicken bbq and stir fry vegetables with chicken. also the banana pancake with the vanilla cream is highly recommended.",8_KrMEZ3PZT-2khv8_HjQQ,0,0,5,SVgUJ6DtpE6Z-IbFdm-Nmw
1003787,2017-08-09,1,iUQ5hZGhwrg-WPICcbo4IA,"We had a party of 14 people and they were able to accommodate. Food came out quickly and everything was so tasty! I tried the mixed combo, loco moco, sesame chicken salad. Our group ordered a ton of food - chicken adobo, Pork adobo, curry dishes, kalbi plate, adobo fried rice omelette, just to name a few. The adobo fried rice omelette was the group favorite. Will definitely come back the next time we are in Vegas!",htIVeR_de0gjWXIGd-QkWQ,1,1,5,AHla7wofsv2mNmNiuxsXiw
1030469,2016-09-23,3,iUQ5hZGhwrg-WPICcbo4IA,"This is probably my least favorite location thus far. I grew up eating at a Aloha Kitchen and I was super excited to see one open near me, however, I was disappointed that it's not as good as the other locations. They just opened recently so I do expect change for the better. Currently this place is just the restaurant, but soon there will be a bar and gaming.

My favorite thing about this place is that the food is fresh. Everything is made to order. I love coming here for all things Spam. Their spam musubi, their spam saimin soup, and especially their spam and eggs for breakfast. Their adobo fried rice is good choice if you'd like a big order. It is fried rice wrapped in eggs. Their salad isn't great, they use cheap lettuce so it's tasteless. Their macaroni is really good, I love to add it to my orde if they don't already come with it. Their lumpia is decent if you're craving it, but it can be over fried sometimes.

Their staff is friendly and they really pay attention to their customer's needs. I have to critique this place because they are new and I hope they can improve. Their food portions are very inconsistent. One day their is too much food for me to finish by myself and other days, there is literally nothing on my plate.  I love their recipes, but I think they need to uphold the standard that the other locations have left. Quality of cooking needs to be improved. I will be gladly returning to hope they take note of their customers demand.",LTCxnnAQGaGZPHZx4KbvGA,8,6,4,R-hSv69nXNmf-dIrVQVPHw
1065464,2018-02-05,0,iUQ5hZGhwrg-WPICcbo4IA,"This is definitely the worst location for food. I've eaten here numerous times it's always old food, yet I keep giving them a chance. The workers act like they don't want to be bothered and you are an inconvenience. Wouldn't recommend their food to anyone.......",UqjRaL92q8ESFm-AWpBTdw,0,0,1,GUpRNI8dKPo0RUZCaTkrzA
1083669,2018-01-23,0,iUQ5hZGhwrg-WPICcbo4IA,Great food. Close to campus. Affordable prices. This place is the bomb dot com. I love the chicken katsu and fried saimin!!,c1BuJ9qf0Ziv2YwC6Hrqlw,0,0,4,2gwJIt-y_0j-_ceJ0PeGYw
1177889,2017-12-20,0,iUQ5hZGhwrg-WPICcbo4IA,"I always get the local plate. The staff is super friendly, and the food is always great!",xA4BUlgP8nb4hsP_FY0Y6g,0,0,5,eDh0Lj7WFwpEwGG0TZZl1w
1241387,2017-02-02,1,iUQ5hZGhwrg-WPICcbo4IA,"The food here is good for the price! My go to's are the Kalbi plate ($9.99), Kalua pig with cabbage ($7.99), or the Kalbi combo ($11.99). All have flavorful meats and give a good portion; and the combo I can usually separate into two meals. It's a quick restaurant when you aren't in the mood to cook dinner and they have multiple locations.",FQbVI3UyKlL-HfQGcRF8aA,1,4,3,wAEa4Lc5gU4h0CzXAsIqOQ
1298375,2017-11-03,0,iUQ5hZGhwrg-WPICcbo4IA,No as good as the first one i bee  to on decatur but they have a good gravy on the loco mocos!,mMUKdVnlLwQ8HxGtPnbs1Q,0,0,3,2P9lFa51K01IqlGEIRETSQ
1318764,2017-04-12,0,iUQ5hZGhwrg-WPICcbo4IA,So I got off work really later after 2 am and I needed some food.  The doors were closed but this place is open 24 hours.  But there was this retard mopping the floor and he knew I was trying to come in but he did nothing about it but continuously mopping the floor.   He clearly wanted no business so I took my business somewhere else.  Bad customer service and I will not come back.  And that fucking scrub  can mop the floor all day without getting any business,int2r_0j2HoSkESXz20QSA,0,0,1,0VGcyNVHEFBlWLzprGvV3A
1320529,2016-12-07,1,iUQ5hZGhwrg-WPICcbo4IA,Didn't care for the teriyaki chicken plate. Having lived in Hawai'i for 12 years I know what it should taste like for the most part.  The chicken tasted like a combination between pork rinds and some kind of other meat. The chicken was overcooked and had way too much teriyaki sauce on it. The mixed vegetables was all mostly cabbage. If you want some good teriyaki chicken I suggest Ross J's Hawaiian or hell even Teriyaki Madness.,xvJ9PaGDXsaCginJ0NX-WA,0,0,2,4Nu2zSV2HDTsriGHJioy6Q
1363988,2018-04-22,0,iUQ5hZGhwrg-WPICcbo4IA,"Great Place to eat while in Vegas! Wholesome food and awesome vibes! ""Adobe Fried Rice Omelette"" delicious!",QmRJ0x1QR4WYWyEgTZ-_tA,0,0,5,aBB-gRuxDl_HfbvWPxz8vA
