,date,funny,business_id,text,user_id,useful,cool,stars,review_id
147918,2017-11-05,0,iw1WJt3wl6-NquZGKVamLw,"Wish we have one in Seattle. Awesome burritos. Tamarind chutney was the best I have ever had. Samosas were great. Try this place for a quick, cheap meal.",sPFFFryWu12cVJWUFBtNFA,0,0,5,fcQRNL1DRYrSWQLUHJgYyw
169363,2017-11-12,0,iw1WJt3wl6-NquZGKVamLw,This little food truck on Flamingo is a great find. Tasty traditional Indian flavors wrapped in a wheat tortilla is a little bit of heaven in your hand. I ordered the chicken and went for the second highest spicy level... Super tasty and super HOT! This is really good Indian street food.,G3PjMOdTmz862OMZyW3U0Q,0,0,4,yz5-F7yKxiUF-n0-OSEZqg
288376,2017-12-31,0,iw1WJt3wl6-NquZGKVamLw,The food is so delicious and their service was beyond amazing.  They were very attentive and friendly.  They even remade my daughters order as it was too spicy for her.  We will definitely be back again,70psKu3pJptbww6ohQVZAA,0,0,5,C-V4ly7hh0jR7QgcvppmQw
364885,2017-12-28,0,iw1WJt3wl6-NquZGKVamLw,"We had to wait 15 minutes for a few burritos to be made. The actual burritos were pretty pathetic, a huge chunk of rice, some sauce, then only a tiny bit meat and nothing else.",Tf3DMuq8cgtlv3_TbPWvMw,0,0,2,d0uCsaCYFO4YmANimo_2Yg
386893,2016-09-05,0,iw1WJt3wl6-NquZGKVamLw,Great quick bites with an indian twist and quick service by Thomas! Had the tofu chilli bowl and it was delicious.,tXP-lXYN7_SdP_WJ1M5gYg,0,0,5,DV6BR4wv9Jm_PTP2eR_QtA
393454,2016-07-30,0,iw1WJt3wl6-NquZGKVamLw,"Writing this late review for this place I visited about 2 months ago. Great concept, both a drive through as well as seating outside if you like the weather. We had the paneer chilli burrito bowl, maska bun and chai! Fantastic taste of food as well as tea. The only thing I would wish was if they had bigger bun for the maska bun (like they do in India). Would definitely go again!",HH02yfObGOlI4oTg5BkhGw,0,0,4,2NkapXQmK-9aV8-lZSO9zg
424468,2017-11-04,0,iw1WJt3wl6-NquZGKVamLw,Delicious Indian food with a twist! The chutney and samosa was some of the best I have ever had. The Burritos we're flavorful and they let you choose half and half if you can't decide which filling you want! The couple that own the stand are very welcoming to top it off.,vIHfkMX2MBGKDegAdU3pzg,0,0,5,H2VwOjKCHcI5i-OKBjag_A
440950,2016-03-20,2,iw1WJt3wl6-NquZGKVamLw,I just was going to leave a pretty good review.. Everything was going fine and taste was good. Until my boyfriend picks up the rest of his burrito to see that there is a bug. We threw everything away. Now we're hungry and almost $40 goes to waste...,lPHd-pYXhLLS-M0-5NdYeg,1,0,1,xrnzXkWEFESJabQ85SmIsQ
453986,2016-07-31,0,iw1WJt3wl6-NquZGKVamLw,"Great food!!! :)love this place so tasty most check it out need to check out this location great truck
Amazing masala fries great service!!!!",p7sK9TagYR-JvWbDGE5C7g,0,0,5,semL-A56Nl9Hz_jHwYEMSQ
455132,2017-09-17,0,iw1WJt3wl6-NquZGKVamLw,This is a really cool hybrid. I had the lamb tacos and Masala fries. ummmmmmmm. I usually eat more classic Indian food and this was my first foray into fusion/street food. Urban Turban is the next place I try.,HhOWrsJN2wa1WZJe6pPv4A,0,0,5,Fy_iNO60-cEAv7pWwAyBmQ
469585,2016-04-01,0,iw1WJt3wl6-NquZGKVamLw,Excellent! The manager guy was very friendly and gave me a sample to try. It's a little different presentation (Indian food in a Mexican burrito) but the flavor is very good,Y5l8y-7yQRt_nlyDP7ccLA,0,3,5,11H44idR4I5ovKNOxht8sw
