,date,funny,business_id,text,user_id,useful,cool,stars,review_id
23960,2013-09-10,5,jGZRh1xFsy14fec3IG6-Hg,"This bar is the Sunday home to Las Vegas fans of the Cleveland Browns.  That's appropriate because like the team and the city it represents, the Kopper Keg is absolutely dismal. (I say this as a native of Cleveland who escaped many years ago The stench of stale smoke permeates everything, including the ""non-smoking"" dining area.  The service is virtually non-existent, which almost doesn't matter becasue what they serve you may wish never made it to your table.
Sorry, but I can't think of a single redeeming thing about this run-dwon, filthy ""restaurant & lounge"".  Maybe they should add a river that catches on fire once in a while, just to complete the genuine Cleveland ambiance.",ZdUFyF5eNyZxete-T4bmZA,2,0,1,eYzF3ifT_I7FZiMsBxSGaQ
68053,2012-11-16,0,jGZRh1xFsy14fec3IG6-Hg,"I love this place--I would be there all day and night if I didn't have a job.  While it looks like every other neighborhood bar from the outside, I have more fun at the Keg than any place else in Vegas.  The bartenders are sexy, funny and way beyond uncensored--everyone has a good time!!!  Daily food specials are always tasty and affordable--Saturday's (and Sunday when football is over) $1.99 breakfast special is truly the best deal in town.",Y-Gg6sSI8HA1kOipxqYSAw,0,0,5,af055GFXi2pxkTCay_FA5A
721566,2008-03-10,0,jGZRh1xFsy14fec3IG6-Hg,"We found this bar and grill across from our hotel on St. Rose Parkway. 

For a little neighborhood place the food is amazing. Homemade soups, wonderful steaks, chicken marsalla good enough to slap your mama for---forgive me mama, but you would agree. 

Service is usually really great, open to large parties and friendly. 

The dessert list could use a little work--and temping out the Snicker pie might not be a bad thing.",vCKqd8TDHXrZD4PHT878Yg,1,0,4,-UdILkktENIrszit_teaiA
755304,2015-10-18,0,jGZRh1xFsy14fec3IG6-Hg,"The woman bartending tonight was incredibly welcoming, even shared her nachos while I waiting for my food and tended to the other customers in a fashionable manner :) the cook there tonight did an awesome job on our order. Thanks for the great first impression guys, I will be coming back every so often to grab some dinner!",e7FsE7t4wrj4ZJOaHLRthw,2,2,5,VMSr9YVdyCrgzO86paA7yQ
1277486,2016-05-08,0,jGZRh1xFsy14fec3IG6-Hg,"I am visiting the Kopper Keg right now and had to come on and review it.  The bartender Shelly is absolutely amazing! She is funny and sweet and really knows how to take care of her customers.  You can just tell when someone really loves and cares about their job.  I truly believe her welcoming demeanor,  attentiveness,  and sweet/sassy personality is why most of the people come here.  It feels like family when you walk in! Loved this place... And will be a repeat customer!!",auL9fyHhoJUJFMIb7qrxWg,0,0,5,9CeMEQedbIRXY27BhOp-og
1321330,2016-01-17,1,jGZRh1xFsy14fec3IG6-Hg,"Great burgers but the service and waitress were both horrible. It took over 50 minutes to get our food and the waitress kept saying it's because they're half pound burgers. Never had a more unfriendly waitress with the most negative, sour attitude. Unless you have a couple hours to kill, I would avoid this place.",Alz4Gz10o0POGnPjwEInyA,2,1,1,6SnK8Ji4WM1EWXPbZppK9g
1421201,2014-09-06,0,jGZRh1xFsy14fec3IG6-Hg,"I love this neighborhood bar! The staff is friendly, the food is delicious (ahi tuna bites and wings are a favorite), and their is a non-smoking side for those who aren't used to Vegas gaming bars (you're in Vegas, get over it). I've been coming here since I moved here, and I have never seen it dirty (per the person below's review). The bar is clean AND they actually have the cleanest women's bathroom I've ever seen in a bar). Yes, it's smoky, like every other bar in Vegas that offers gaming, but the company, bartenders, and food make up for it. If you're looking for your ""Cheers,"" a stiff drink or a yummy hangover meal, the Keg is where you need to be!",kKTRlYymloJ0IyVw8yIOJQ,0,0,5,6KtA2bSfdiQO4vDmMAA47Q
1501827,2014-10-26,0,jGZRh1xFsy14fec3IG6-Hg,"Love the Cleveland vibe. Great football environment.  45 minute turn around time on food is a joke. Especially because it was wings, salads and sandwiches. We had to return the wings because of the old oil smell was overpowering.",JhWKw3FTZoRZ9riDd020LQ,0,0,2,GHF0abmT8gN3qr2ZqB69-Q
1936256,2016-02-22,0,jGZRh1xFsy14fec3IG6-Hg,"Spent the day watching sports on one of their numerous big screen TVs. I decided on pizza for lunch, which was very good. I noticed other food which was being served and it looked wonderful as well. Food and drink specials are available too.",tTMfnEukKx6s3PoxEgKDwA,0,0,5,nfmPM1UMR8xbaIP2Rn2vIA
1965684,2013-01-27,0,jGZRh1xFsy14fec3IG6-Hg,"nice people , good food , one of my favorites to watch a game and play video poker",WBF_mBI6nffIml5jDWg-qQ,1,0,5,p0n-l1aVYxujBgN3WHNMPg
1973268,2012-05-06,1,jGZRh1xFsy14fec3IG6-Hg,"Tried the basic cheeseburger tonight with a side of Onion Rings. Two things about the rings - waitress admitted that all side dishes were frozen and also there was a secret $1 upcharge for those frozen rings. That said, the waitress did give back that buck later after i mentioned it so that was nice. Burger was claiming to be fresh ground and tasted good, but BJ's has a better version in the local pub battle. Pricing point was good at $7.50, but beers are about a buck overpriced for being out in semi-boonies. Good TV's for all sports.",ELcQDlf69kb-ihJfxZyL0A,1,1,3,f20Taasxw9wH32f7H-mq5w
2030515,2017-07-16,0,jGZRh1xFsy14fec3IG6-Hg,"We been here twice, we always passed by and we decided to give it a try. Very nice staff. We get to order some food wich it was way much better than we imagine. We get to gamble and got a few drinks. Very chill spot to hang out if tou want to relax and space out from crowdy and noisy places. Lisa was our bartender and she make sure we enjoy our visit. We felt very welcome.",ipqEcqA1MMWPE9QR4izj-w,0,0,5,8_lO8PiHj0ZlCU6AE7r2Ag
2445827,2011-04-01,0,jGZRh1xFsy14fec3IG6-Hg,"I go here late at night and have the $4 chicken wings special...... the cook makes it extra spicy for me, it gives me a real kick haha The late night bartender Wes is cool so come on in sometime and try out the wings or a pizza",SmS3lS6Xlttc1hi3Qbwf-Q,2,0,4,D83YUAe7BbkzAzhL-AD35g
2446490,2017-04-03,0,jGZRh1xFsy14fec3IG6-Hg,"I can't say enough praise for this place. The food is great and the staff is OUTSTANDING!!! As I mentioned in my earlier review, this place truly is the ""Cheers"" of the area. I love the staff...both the bartenders and the chefs. I have a 4-legged son who doubles as my service dog; all the staff love him and treat him as they do all customers...like family. The people here truly go above and beyond all expectations. HIGHEST PRAISE AND KUDOS TO THE KEG!!!

The place has a pool table and juke box; just an all around good time to relax, enjoy some good food and drink, and have the best service in town.",muszNMSpCfYTJWrNuV9h9A,0,0,5,eC5d8PE1LcKlUQjAQsdRAA
2696180,2017-09-10,0,jGZRh1xFsy14fec3IG6-Hg,"This is a Browns bar but if your hungry don't go on a game day. It took over 2hrs to get a order of hot dogs. The waitress Sassy is not a good waitress at all, this crowd is over her head. They need more waitress or just have her do something else. Everyone is nice but the business part of it can be ran better",WVTlu749S0t5CVvh8LeeXg,0,0,2,I8XhjAmQsZoJ5RANsvNJrA
3747308,2013-04-20,0,jGZRh1xFsy14fec3IG6-Hg,Great staff and good prices for food and drinks. Food specials daily. I usually eat one if the specials but when I've eaten off the menu it always is a good deal. Lots of TVs showing whatever game is on and they are willing to change a channel if you need them too. Buckeyes/Browns bar to boot.,JDQqomLgZTWN_95eA5Sn1g,0,0,4,1QbF6jjQiW8dbXeGk2rKAQ
3966845,2013-04-02,0,jGZRh1xFsy14fec3IG6-Hg,"Running around with my buddy getting stuff for his Harley we dropped into this joint. Interesting it has the two door entry system bar side smoking and the non smoking side. 

The non smoking side is off to a bad start as the bar had an attractive friendly lady the non smoking side has the big quiet chef dude.

Now I have to say the place had boxing on the TV at 10am so I have to say nothing makes breakfast more entertaining like a good boxing match a golden boy production.

The food was just ok for the price which was extremely high for the quality and service (or lack there of). I highly doubt this is a place I will check back into unless I go into the bar where the bartender greet us coming and going. 

My advice this is a small local place and I would prefer to support these type of places but they need to step up there service to keep us. There were two tables us and the people who were done eating. No excuse for bad service!",gDy6k3AqlkcN4cEIkWnx_A,1,0,2,MgHhKe1H_wr2PbT0gu50HQ
4306816,2012-11-16,0,jGZRh1xFsy14fec3IG6-Hg,"This place is great - and makes me feel like home. It is sort of like Cheers - everyone knows your name. But everyone is friendly to newcomers as well. I started coming here because it is a Cleveland Browns bar, but it has become my normal hangout as well. 

Video Poker Players, if you hit a 4 of a kind with max bet, they write it down on a card and take a picture. Once you hit 15 four of a kinds, you get an extra $100! Even if you don't come often, they will keep your card.  

The food is great, the beer is cold, and the staff is friendly and fun. What else can you want in a local bar!",wkHDQZMITEePnBKlzFcnRg,2,0,5,fPPyAbpZm01UcpQn8pCDSA
4600942,2015-05-15,0,jGZRh1xFsy14fec3IG6-Hg,My home for Cleveland Browns football. I travel 17 miles every Sunday to come see my team. Incredibly friendly staff. Great food specials. Well worth the drive!,N5ICqTttK-2jLJp3vW2VKQ,0,0,4,npnJfrJYBNs_7uMLVbteRA
