,date,funny,business_id,text,user_id,useful,cool,stars,review_id
413669,2016-09-16,0,jrWegacxD7lD1Cp-Kc5m2w,"The pie is so so. Too much crust for me, but sauce is good. I got all the meats and they are tasty. Garlic knots are on point. Customer service is excellent.  Mario served me and he's awesome! For a ""mall"" pizza ok.",ixdeweo4omr7oJHfy4JLkQ,0,0,3,jwEhJx40Wj4Umsi8KelMWw
452590,2015-08-13,0,jrWegacxD7lD1Cp-Kc5m2w,No where near the best pizza in Vegas but it is superior than all the major pizza chains.,A-ljWnySkWgQdGbHNVeH8g,0,0,3,fCSryJGXdHkTDFeFmrDrjQ
647489,2017-01-08,0,jrWegacxD7lD1Cp-Kc5m2w,"Chicken calzone was tasty. But I think it was Aaliyah, who made our experience a great one. She is a natural in serving the customer. She was genuinely sweet and you could tell she enjoyed what she was doing, which is a gem these days. I was left with a very good impression an am already thinking about going back... Thanks AALIYAH! :))",Kh6AplQ7R8wDxn3W2uFZUQ,0,0,5,e0xafuqB2HEsMGpTrKCF1A
1832841,2010-07-10,0,jrWegacxD7lD1Cp-Kc5m2w,"I remember my first visit to the Palms food court and Famous Famiglia Pizzeria was the only thing that looked appetizing.  I decided to try a slice of Mushroom & Spinach and a Spinach & Cheese stromboli.  I couldn't resist getting only one item, everything looked delicious.

The pizza slice was tasty, the crust was crispy, and all the ingredients tasted fresh.  The cheese was nicely melted and went great with their marinara sauce.  The pizza was great and the stromboli looked even better.  The stromboli was stuffed with spinach and cheese and was paired with a side of marinara.  The stromboli was piping hot and the cheese was gooey and tasted delicious with the spinach.  The dough was crispy, thick, and the texture was just right.  The combination of all the ingredients paired with the marinara dipping sauce made for one of the best stromboli's I've ever tried.

I highly suggest trying out this pizzeria if your visiting the Palms.  Every time I'm in Vegas, I make sure to stop by and get one of their stromboli's.  The food is a little greasy, but indulge, nevertheless.",BdV-cf3LScmb8kZ7iiBcMA,0,0,4,vKxIQn5VxM0rWAVaJhlyhA
1852518,2018-04-03,0,jrWegacxD7lD1Cp-Kc5m2w,I. Had lunch at this establishment in the food court at The Palms. I ordered a slice of pepperoni and sausage pizza. This had to be the best slice of pizza I have eaten in a very long time. The establishment is clean. The employees are friendly and the prices are very reasonable.,n0mvVYcr4FR5l4Jh7B-dFg,0,0,5,IfnDgNb9slVb8gjRYEF-rQ
1928623,2014-06-23,0,jrWegacxD7lD1Cp-Kc5m2w,Not the same as Famiglia in NYC AND double price. Tasted like some typical hotel-cantina dog-food-flavored Sbarro.,ezxZV_SknCxs_0tmUGRNTA,0,0,2,6xbBcV65m8vqOlp46-M_CQ
2228988,2011-11-14,0,jrWegacxD7lD1Cp-Kc5m2w,"Generous toppings, garlicky garlic rolls, good crust...but I've had better.",tJwfN0zLXc5e8tDqeIzXuQ,0,0,3,-4QyUToA8Tm28G_X1hELKg
2791225,2018-05-31,0,jrWegacxD7lD1Cp-Kc5m2w,Great food and great service! Came here for an early dinner before hitting the strip. Will come here when I stay in Las Vegas again!,ntktG5IqWSC8Lfh3sZG7DQ,0,0,5,uljJjvkpYZi_McOWGvm58g
3205571,2016-01-12,3,jrWegacxD7lD1Cp-Kc5m2w,"I came out of Star Wars at the Palms jonesing for pizza. I had wanted pizza on Saturday but a famous pizza place near me recorded my credit card wrong on the phone (of course then it would not go through argh) so I was already in distress.
We ran over to the food court which is about 23 feet from the theatres. I got the pepper and cheese which was the bomb of all pizza spices- after all I love a good thin crust- my husband got a pepperoni and he agreed it was great- and the garlic knots-5 scrumptious garlic soaked little devils. Could not finish them all so they made a great lunch today!!
Oh I am so thrilled we have them 1.4 miles away.
Pizza is great!!!!",hd-S4mtrPY9Q6iuBJegnOQ,4,5,5,_ICue88Z4YUEwQLdrzL-3g
3340041,2015-08-05,0,jrWegacxD7lD1Cp-Kc5m2w,"Excellent value for your money !
Garlic knots are a must but messy so ask for extra napkins. Pizza and calzone are good!
Although English may not be the staffs first language you do get what you need with minimal issues and a happy attitude.",5ArMzPUBncPqDrB7PmZBCg,0,2,4,do5ZZN6BSqn1QWNFtvBpDA
3842247,2014-03-13,0,jrWegacxD7lD1Cp-Kc5m2w,"We wanted a quick meal in our room before heading out on the town, so we grabbed a pie and some garlic knots from Famiglia.  The staff was very friendly, and the food was awesome!

It was nice to see that (being in a casino) the food was very reasonably priced.  The Large Pizza and double order of garlic knots was right around $20.  

The pizza had a crunchy crust, which I like and tasted great!  The garlic knots were delicious and loaded with garlic, which as an added bonus will deter vampires for the remainder of your vacation.",5yg-ro5TuVEaolPQdGXp1Q,1,1,4,pPHcncPiYcrYznvfKz2diw
4106878,2011-04-15,0,jrWegacxD7lD1Cp-Kc5m2w,"While staying at a nearby motel, my family and I decided to grab some pizza here since we were in the Palms food court already. The pepperoni and sausage pizza was pretty good, but it was definitely overpriced. In terms of quick service food, I'd rather get Panda Express here or head over to Tropicana Ave for In-N-Out.",_VMGbmIeK71rQGwOBWt_Kg,0,0,3,5CZE0NCm4u8SBF2QWF7-Rg
