,date,funny,business_id,text,user_id,useful,cool,stars,review_id
67235,2015-08-23,0,k1PkpDm5d5pYJI1K_3UYpw,"So, I've never had authentic Nathan's and, based on reviews, wish I'd had the opportunity to try it before this Vegas excursion. But if you just want a chili cheese fry and a hot dog with relish, ketchup, mustard and onions, Nathan's at MGM is sufficient. The food was fast food good. But they did mess up the order which should have added chili and cheese to the dogs.  Mind you, I'm a burger and fry freak who does triathlons at the Iron distance so I don't take my cheat meals lightly. And I was more than happy to gobble down this hot mess before moving on to the next adventure.",a9-HrWEepagqmJOPvxFTdg,0,0,4,igVYOHIL54DTYOjKu_AvsQ
124423,2016-11-17,0,k1PkpDm5d5pYJI1K_3UYpw,"Best inexpensive breakfast so far at the MGM
Ordered Scrambled eggs & bacon with a side of sausage, coffee and no toast. Eggs were moist & fluffy and I loved that they added country gravy on top of my eggs without charging extra. Nice! Gravy great flavor, the bacon I prefer crispy and it wasn't but was still warm and good. Sausage was hot and had good flavor. Preparation area seamed clean, servers were friendly and attentive to what you wanted. Note, they have hot sauce if you need it. Fourth day at MGM best breakfast so far, two more days and two more places to try.",SjlOVEa7uj5an6kroRYuJg,0,0,5,kxBZPplMVtObBU-aY4e0MA
157628,2016-04-07,1,k1PkpDm5d5pYJI1K_3UYpw,"Two people
Order 1: Philly Cheesesteak: $14 - Yuck! No flavor and very expensive. 
Order 2: Chili Cheese Hotdog: $8 - Good but very small. It's like a kid's hotdog. 
Order 3: Regular drink: $4 

Two stars because it did fill me up. I had to force myself from finishing my $14 cheesesteak. Soda has free refills.",-cDkbjwFxZQOvd95O2SREw,0,0,2,d_CORW3mRsB4crdBpG2QnQ
182879,2015-07-16,0,k1PkpDm5d5pYJI1K_3UYpw,"Just tried a footlong hotdog and it was so good. It had sauerkraut ketchup and relish. It was really good and the French fries were really good too. The price is very reasonable too. Good bang for the buck.   





Had pancakes here this morning. They were good and my husband had a breakfast sandwich and he enjoyed it too. Not bad for a fast food",SMdpowQh1FdDvRvXmM_coQ,0,0,4,8y4r672M67SF33QoeuuLew
326465,2015-10-01,0,k1PkpDm5d5pYJI1K_3UYpw,"Philly cheesesteak: overcooked and flavourless, overall it was dry and a little disappointing. I love a good philly, and this was not that",4fkAp87rGJdfQXY5IBMtXQ,0,0,1,ND08b_Glz3Fxwjc0q9H6oA
449729,2014-06-28,0,k1PkpDm5d5pYJI1K_3UYpw,Tried it while wandering around late at night after hearing all the hype. Plain and simple it's a hot dog all be it an expensive damn hotdog. Chili tasted like it came from a can and the hotdogs were a little over cooked. 40 bucks later I can now say I've had a Nathan's famous hotdog.,RWhsNzyE1EvB8DYsqWIX9g,0,0,3,PsmuC1guygy44RuQGZeYUw
674673,2014-07-02,0,k1PkpDm5d5pYJI1K_3UYpw,"Located inside the MGM food court, had this as a convenience stop more then anything. Basically had a meal from every restaurant just to have a variety...and yes, I do eat a lot. 

I had the Chili Cheese Dog and the Bacon Dog. I'm not sure if it was just this location, but the dogs themselves were a bit on the salty side. Good enough to eat though, I guess the saving grace were the toppings and the bun. I've had a lot better hot dogs, but if you were craving a hot dog and are in the MGM, then this is what you would want.",MMXwhTMpy9W7rvpltcZglg,0,0,3,29M8q1iOIeF_TTeURJ71xg
907490,2015-07-16,0,k1PkpDm5d5pYJI1K_3UYpw,"My wife and I had lunch here today. She ordered the Foot Long Hotdog with onions, sauerkraut, and relish; she topped it off with ketchup and mustard. It was delicious. She would definitely order this again. I ordered the Chicken Philly Cheese sandwich. Delicious! And get ready for Nathan fries....they are huge and delicious! Not to mention they give free drink refills! We will definitely be back. Check out the picture of our meal!",VpsAZVHauSn5qdDVznLTGA,0,0,4,3M2iuw6ho68SMJecXML5gg
940664,2012-07-29,5,k1PkpDm5d5pYJI1K_3UYpw,"I was desperately hungry. I regret ordering the breakfast platter from this place. For $15 I got:

A plate filled with eggs
2 pieces of bacon
1 biscuit
Gravy
1 Hashbrown

They were all greasy and flavorless.",i7NVUz1pke7c45uvzzyRfA,4,3,2,hTC8tVTu8rLaAuJTf_FqUQ
1023428,2007-11-09,0,k1PkpDm5d5pYJI1K_3UYpw,"Nathan's hot dogs outside of Coney Island is a different story than the original.  I stopped by for a dog yesterday and the most annoying thing happened. You know when the bottom of the bun rips?  Yeah, both dogs had that problem which means that the buns we not so fresh.  I find the Nathan's across the street at NYNY to be much better on a previous trip.  But none comes close to the original location.",kHupEzJ5QdaNvg2Myj4KpQ,2,1,3,WWiJx7WnDejmuWk2F5sMRw
1210708,2013-12-11,0,k1PkpDm5d5pYJI1K_3UYpw,"One of the girls in our group needed a quick bite and none of the restaurants were open so we grabbed a couple chili dogs and an order of chili fries to soak up the alcohol. 
Our order was $30 and the most disgusting fast food I've ever had. How does chili have NO flavor? The dog was dry and flavorless. The fries were soggy and again FLAVORLESS!! I know they can get premium $'s in a hotel but at least sell a better product. Nathan's is famous? Really?
Must be a boardwalk thing - gross",dMRvVUdoiBx0Jf3bgZvm3Q,0,0,1,KMtS-ql5xOmlP2HYHb2Cgg
1327637,2010-10-06,0,k1PkpDm5d5pYJI1K_3UYpw,"Looking at other reviews, it looks like this Nathan's is unique in its grossness.

We went there for breakfast on our last day in Vegas as we didn't want to spend time going to another hotel.  The line at McDonald's was long and there was nobody at Nathan's.  Now I know why.

The express breakfast (which is the only breakfast option) is $8 or $9.  The food was horrible and greasy.  My wife was literally gagging trying to choke down her food and ended up just eating the soft, moist toast.  I'm a bigger eater than her, and even I was having trouble.  Just disgusting.

The food on my plane ride here was much better.  If  you're trying to decide between the two, go for McDonald's.",F6zrhW-q0gxqJayoD-MPiw,0,0,1,4m3-KvNx14oF7hUMPS_AWQ
1350039,2018-01-10,3,k1PkpDm5d5pYJI1K_3UYpw,This is a national chain hot doggery. They never disappoint & when you're looking for hangover cure I'd say this is a pretty good one. The hotdogs have the snap & all beef that they're known for. I also got the chili cheese fries to share & they were also yummy in the tummy. If in Vegas & need a quick bite or on a budget this place will do the trick.,TVkU2gHhe05v_lgsE_NccA,7,3,3,-KhIBP-jl8Ur9LnTBsA3cQ
1544954,2018-01-31,33,k1PkpDm5d5pYJI1K_3UYpw,"Hey there Southern California, Nathan's Famous is available to us less than an hour's flight away - as long as you don't fly American Airlines. 

Nathan's Famous has happily sat as the anchor position in the MGM Grand Casino's food hall for as long as I can recall and has always been the one place I end up at some point on every Vegas run. At first, ?this was mere coincidence but over time it has developed into a hardcore tradition built around my fondness for New York City and Chili Cheese anything. 

The menu is larger than it has any need to be but the focal point is obvious: Hot Dogs, Fries, and Hot Dogs. They also serve Salads, Chicken Sandwiches, and other sacrilege? but you will have to read about those options from the kind of Yelper that would get a Salad at Nathan's and then review it. You know - a ""Tool"". 

I always do things one way regardless of ?Nathan's location: One footlong? World Famous Chili Cheese Dog, Chili Cheese Fries, and the Old Fashioned Lemonade. If you just thought? to yourself ""That is too much Chili"" you are fundamentally incorrect. The Chili is what ties this all together?. That and you will be visiting? Nathan's far beyond inebriated?...

The Lemonade and Fries are just as good as the Coney Island original you love. The Chili Cheese Dog is a madman in its? own right but I will be real with it - I have come across some stale Buns over the years regularly which diminishes? a true classic ?if only a little. It is still the only Hot Dog I care about in Vegas.

As far as? cheap big box franchise fast food goes, Nathan's is well above the pack in the flavor to cost ratio and a late night ""must-do"" for any reveler that comes across the MGM on a Vegas trip.",sGJvx1MTsetDzsnrHfJHLg,34,33,4,EWev6zYtYFH9oujzCtApbA
1690708,2014-01-16,0,k1PkpDm5d5pYJI1K_3UYpw,$12 chicken sandwich and fries. I felt like I'll wasted $12 on a snack that wasn't that great.  Why can't In N Out be inside the casinos??,c5x707w3UKiVIt3OgpU8fw,2,1,2,V3tOTcWGMdrlLO00njOztA
1756812,2009-01-02,2,k1PkpDm5d5pYJI1K_3UYpw,"I had the ""famous"" hot dog at the MGM and NYNY, they booth sucked ass. We had coupons for free hot dogs and we supposedly got the normal ""$6"" hot dog, what the hell? It tasted like shit free I can only imagine how mad I would have gotten if I had actually payed for that, slip it... it is NOT a cheap it for the strip, if you really want cheap and decently good hot dogs visit Bill's and go to the cart that is located at the Sports book.",1dwa6Wkp0chKBcrRuO05lA,1,1,1,DHh0W_yLtCJfFb10Tm2mVg
1860718,2014-01-10,0,k1PkpDm5d5pYJI1K_3UYpw,I should have looked at the review stars before I ordered. Horrible! Cold mushy fries. Waste of money and I ended up throwing them away.,NwcGBiMFusgKzjq9By1ndw,0,0,1,RibWPWOqcoN3o7GYilOgow
1931992,2017-09-19,0,k1PkpDm5d5pYJI1K_3UYpw,"This is definitely the worst Nathan's place ever.  The hot dog was so disgusting and the fries were soggy, greasy and ridiculously huge. The workers were in a bad mood.  And they didn't even say thank you at all.  Not even a fake smile.   Nothing!!!!! 
I do not recommend this place at all. I knew the price would be high. But the quality was the worst.  Costco hotdogs are way better.",MpVoHga5M5msFXe9nkg7zA,0,0,1,9t9cmRDZeMcZVF_HJ1-kVA
1955770,2013-06-15,0,k1PkpDm5d5pYJI1K_3UYpw,"Large waffle, soft and not crispy, and an optional bacon side. Simple fair and a slight step above Mc D's. No real complaints here. Only grab food from here if you're on a budget and if you are, why are you staying at MGM and gambling?

3 stars for decent food given that it is fast food. Breakfast ends at 11 or so. Seating is food court style.",WrOGwNFouiqAb7f9C1j8jQ,3,1,3,oxyJ6Dg8ucX_9o_Ho3zWHA
2027698,2012-12-06,0,k1PkpDm5d5pYJI1K_3UYpw,Not the typical Nathan's quality and ridiculously overpriced. $28 for two people. No thanks.,uHZxYHgjxhXY7PS6g2rFsA,0,0,2,KFNTva60aOYmvOj9bimR9A
2100911,2015-11-15,0,k1PkpDm5d5pYJI1K_3UYpw,"Stopped in for a quick bite for lunch and this was the only place serving something other than breakfast.  Now I'm wishing I gone for breakfast instead.  The chili was from a can, the cheese was  flavorless canned cheese and the hotdog casing was weirdly tough. It was almost like a thin layer of plastic.  Weird & gross.",k8_7nhvb-7nziGiHWvg35w,0,0,1,WLT4ELLhWOmDx-u8-a4Tkw
2106675,2017-07-17,0,k1PkpDm5d5pYJI1K_3UYpw,Ordered the philly and the worst I've tasted. At Vegas the price is over inflated. With tax it's 15.13.,sgoOp-mPQIkVRc5o7xrSpQ,0,0,2,cz7n7bSn5BCOnuPGchuvxw
2132761,2011-03-07,1,k1PkpDm5d5pYJI1K_3UYpw,Decent hot dogs,0q4dBp-rDyJBIbqzBIlNGw,0,0,3,TzQLe41pB06kN4JXkcyHdQ
2288214,2008-07-15,0,k1PkpDm5d5pYJI1K_3UYpw,Overrated. Dogs were small and overpriced. Also they used cheese whiz on the dogs.,He_WqjEl5iUYyiE6EJrd7w,1,0,1,bp1kXERtmkdRcaiIg0HXEA
2289456,2016-05-05,0,k1PkpDm5d5pYJI1K_3UYpw,"Guys, if you're ordering anything other than hot dogs and fries, you're making a big mistake. This is Nathan's, homies - that original gangsta dog all the way from Coney Island, New York. Order what they specialize in, ignore the haters, and five-star these pimps. 'Nuff said.",EXC3dft1PBkZDhigWm9eMg,0,0,5,L379ZIGh3RRG79t9VMaLCQ
2348245,2009-10-25,0,k1PkpDm5d5pYJI1K_3UYpw,"Nathan's hot dogs have a nice pop when you bite into them.  It was the best tasting thing i had all day partially because I hadn't eaten anything since i got off work and made the 7 drive from LA to Vegas during a Friday evening commute.  the fries were pretty terrible though, if i'm ever craving a NY Nathan's hot dog AND fries at the same time, i'd probably go to McD's next door for fries and Nathan's for the hot dog.  also, it was pretty pricey for a meal combo, about 12 bucks and that didnt even include a drink",Sh0DLlZ2a1A49A21S5cF_Q,0,0,3,2mHPoYTLATTTCet7QU8xIA
2371910,2016-04-10,0,k1PkpDm5d5pYJI1K_3UYpw,"I think the 2.5 star rating for this place is a bit unfair. I thought it was decently good. I ordered the classic hot dog with sauerkraut and grilled onions. I thought it was a very good hot dog. The service isn't always the fastest, but that can be expected for a busy place like the MGM food court. Also, $6 is a bit pricey for a hot dog, but again it's the MGM food court. All things considered, it's not a bad option.",t22nHNFyjAsOd4ZEHA5EiA,1,0,3,VsHxRx7YyjvnmOOgFPRa8w
2393827,2017-07-05,0,k1PkpDm5d5pYJI1K_3UYpw,Best Philly cheesesteak I ever had. Soo juicy and cook to perfection. The sandwich is pretty big and filling. I will definitely eat at Nathan's for Philly cheesesteaks.,XWsvSWFfLtqxlh6_J60OOw,0,0,5,QuOW5_ONpMob2YwPcEtvtw
2404128,2010-07-29,0,k1PkpDm5d5pYJI1K_3UYpw,No ice in the soda fountain. Pizza took 20min to get; it cost $20 and was the same size and tasted like a $5 Little Caesar pizza.,BH_TTlQie1ucGJP-g3XUWQ,0,0,2,TUt3Dysvy0do6dwCJdSkAA
2454053,2018-03-17,0,k1PkpDm5d5pYJI1K_3UYpw,"Really disappointed with this place. I love Nathan's and have had plenty of great experiences with them, however this location was not good. 
Probably a little naive of me to expect a quality hot dog in the MGM Grand.

The dog was rubbery and the bun was stale. I'd stick to the Nathan's in the Airport!",E8JXKSvpPFGoveQ3Y-oMVQ,0,0,2,WZdKudggllr3Hmowo0qRzw
