,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2462,2015-09-20,0,k9b96JXlNewj36ddrce9Jw,The Thrillist is the greatest vegan thing EVER! So many great and tasty vegan options! Drove all the way from LA for their food! Really cool people!,GSwB8h-tmytkkp-Lufvqdg,0,0,5,-OoPaBKLo69DrvlUtUEb4w
13097,2015-03-28,1,k9b96JXlNewj36ddrce9Jw,"I love catching these guys whenever they're out and about, whether in a parking lot somewhere or the local farmer's market. Great vegan food that is fresh and creative and extremely delicious! Their beer-battered avocado and BBQ pulled jack fruit tacos are so good! But the fave is definitely the philly cheeze steak sandwhich made out of seitan. Meat gobblers wouldn't be able to tell the difference! Overall, what matters most about these wonderful people, is that they not only serve up gorgeously good food,but they are all plant-based, Non-GMO, use locally whenever possible and omit all refined ingredients. Who said that you cannot eat really well and be healthy?",8nAchwrSfEKafmFnAehCGg,2,1,5,sKqBGOmLMTb7ZF-orvcFXA
74932,2013-12-18,0,k9b96JXlNewj36ddrce9Jw,"Love this taco stand! Especially the jackfruit tacos. Great flavor! The beer battered avocado tacos are also a special treat. You get two smallish tacos in an order. The price point is for quality, specialty foods - it is at a farmers market after all. Depending on the day, they also have pozole soup (yummy), raw desserts, Philly cheese steaks, and a few other items. All vegan and all simple fresh ingredients grilled right in front of you. You should definitely try them out.",WWf67Sjrx6C1TaZSENhbPg,3,2,5,HDKIzKtri8vem29n8wnJ7g
234702,2016-02-15,0,k9b96JXlNewj36ddrce9Jw,"This place is one of my favorite places to go in the valley. The Buffalo Chicken Sandwich is what i dream about. Their tacos are amazing and they seem to regularly change up their menu, which is nice. I cannot leave their tent without grabbing some of their fresh made Jaimica. 

It is one of those rare vegan places where you are staring at the menu for 15 minutes because you just can't choose. Family run and very friendly. I haven't tried their vegan cheesecakes, but they seem like a crowd favorite. I would 10/10 recommend the Garden Grill to any vegan, or meat eater, that enjoys food!

Four stars due to a website that is not kept updated. There have been multiple times where i have traveled across the valley to find this ""food truck"" in their regular spots, but they are not there. After i find this out and check their website, there is nothing there saying that they cancelled that day. Apparently they keep their Instagram updated very well; however, for those of us who don't use Instagram, it would be nice to see that the website is updated. 

Great place!",sE0yOyBl58o7vzhWwUrOyA,1,0,4,UVY-DZcJe0mixCmZSmHDKw
296229,2013-12-15,0,k9b96JXlNewj36ddrce9Jw,"philly cheezesteaks!  

omg! sooooooooooooo delicious.  $10 (a bit pricy in my opinion but still...)  yum yum yum yum",VrAo40MP-MaHzJb9aSypnA,0,0,5,dE1DlaYeyuN5ZhQeUVaNuQ
322084,2015-10-19,0,k9b96JXlNewj36ddrce9Jw,"I am not even vegan, but I think this guys do a PHENOMENAL job, the tacos I have tried there are simply DELICIOUS, especially the battered avocado one, YUM!!! And on top of it, the staff (which seams to be one family?!) are super nice!! Well done guys, and we will come back!!",BjhoDx6bb0qqkxvEV3euRA,0,0,5,_OBiZhHwQSGGobRbBkJnNA
347980,2015-01-25,0,k9b96JXlNewj36ddrce9Jw,This place has the best vegan food in Las Vegas.  They have tasty tacos and sandwiches.   The people are very friendly - I highly recommend it.,kRBood4eFjl9sVDTLDqz1w,0,0,5,WlM2lO994ouNZoXgZw8R4Q
496931,2015-08-10,0,k9b96JXlNewj36ddrce9Jw,"Best of Las Vegas 2014,2015 Best of The City 2015 
Once you try any of Chef Leslie's delicious creations
you will be back for more and you won't mind standing 
in line. Assada Jack Tacos, Crispy Chicken Sandwich,
California Burrito and Chocolate Cheesecake (the best
on the planet) Truly the BEST!",hPhmnmxpBiPo8L5-gUoNMQ,0,0,5,XMLtISgVH9G6QMQj2lcB8Q
594059,2016-02-07,0,k9b96JXlNewj36ddrce9Jw,This place is Soooooooooooo good.  The Buffalo Chick'n sandwich is mind boggling.  Taco are fantastic. Only complaint is they are only open one Wednesday and Saturday. I am going to buy them a restaurant so I can eat there everyday....,ryh2oofKPCNdZr4rQF7pHQ,1,0,5,VHSsF5r3mR1VGyTXlhM_3Q
677185,2015-06-05,0,k9b96JXlNewj36ddrce9Jw,"Amazing people make amazing plant based comforting food. Please check their website to find days/locations. Help them get the ""seed"" money for a permanent home. Las Vegas needs them. We all need them to be open everyday.",3a51Ax-7DhCUW9MRcCQWeA,0,0,5,gBmGVyHBPlSHWCIcbhIgig
705325,2014-11-03,1,k9b96JXlNewj36ddrce9Jw,"I absolutely love garden grill! Fresh vegan ingredients. ""Chicken"" sandwich will rock you and the avo tacos.....ADDICTED! small family owned, honest, great people, delicious & healthy food!!",ia20lo6sMPlXlUBnd-dk6A,0,0,5,yfIzz5H46kdK5Sc8hm031w
781504,2015-10-18,0,k9b96JXlNewj36ddrce9Jw,"I have eaten here two days in a row now. I've shared a Jack Fruit ""Pulled Pork"" Taco, a Beer-Battered Avocado Taco, a Chick'n Sandwich,  a Breakfast Burrito, and a Breakfast Sandwich. Each dish was nothing short of amazing. I'd be remiss to attempt to pick a favorite. Everything had amazing flavor and texture. I typically do not like fake meat products, but this food tastes delicious! They are worth trying whether you have a vegan diet, or not.",9dNLpnRZgIw3nFjGZ9H9ug,0,0,5,g4Vwa2qtMLWAb7PeLxHUSQ
825464,2014-06-28,0,k9b96JXlNewj36ddrce9Jw,"One of my favorite spots to go eat with some delicious vegan selections. I go at least once or twice a week usually get a ""chicken"" sandwich lettuced wrapped which is my favorite, some tacos, or the specials they have going for the day. Actually not going to lie I've pretty much have tried everything they've had or have to offer on the menu and have never been let down. They have such great vegan and organic plant based options with great spices and flavors. Also to mention the great staff. They always have awesome service every time I go, such nice people to chat with when I come, and also very professional.",1cqXo-HFCFlUURkbHR-fpQ,3,2,5,h9SY3iHc4um4hg2FHLpWQA
843934,2013-11-13,0,k9b96JXlNewj36ddrce9Jw,"This is good as it gets! I have tried everything Garden Grill has on their menu.i couldn't even tell you a favorite because everything is amazing. I am talking about food so good it hits your emotions.  The breakfast tacos, the beer battered avocado tacos, and the jackfruit tacos warm my heart and I find some days incomplete without having my Garden Grill fix. The cheesecake with strawberry sauce is by far the best cheesecake I have ever eaten. Thank you for all of the awesome food that's delicious and actually good for me. I can't wait for my Wednesday fix :)",e-poEW5Z82-RxWDpSXmLMw,0,0,5,oPP7YJIvGKQR_wHsFqs7fQ
888378,2015-09-25,0,k9b96JXlNewj36ddrce9Jw,"Let me start by saying, if I could give this place 20 stars, I would.  I bartended a special event downtown, and they were a vendor there.  I'm a vegetarian so this was really the only place that had anything I could eat.  It was a 3 day event, and thankfully I ate there the first day, so I could go back the other 2.  The food is out of this world, with so many different flavors and ingredients that vegetarians/vegans aren't used to experiencing at a ""normal"" food establishment.  Food is VERY fresh and unique.  I tried most of the menu, don't ask me to give my favorite because that's an IMPOSSIBLE question that doesn't have an answer.  I have no clue why they don't have a restaurant so we can have access to their food all the time!!  I really wish they would!!",u2kUEnt88S7iumV-3Vdmbg,0,0,5,k84kzj22WVkOVD_W_Ciq_g
961716,2015-11-20,0,k9b96JXlNewj36ddrce9Jw,"Literally the best food you can eat in Las Vegas, vegan or not. I have tried several items on their menu(and they change it up) and it is all so delicious!! I just wish they had a restaurant that was open everyday!",dCipnCeaDSuIvKW20_jpxA,1,1,5,bYBXgkKk-05s6B1N-ufBoA
1248626,2016-01-18,0,k9b96JXlNewj36ddrce9Jw,"The best Vegan tacos I have ever tried, and I think they will be the only ones I eat!",JM4miWk2oXKDQa8qGpYDNQ,0,0,5,JVYc1ZY44Kqa_VRyPvhDWw
1312127,2015-03-31,1,k9b96JXlNewj36ddrce9Jw,"The service here is always great. The food is always perfect and I suggest this place to everyone. My only complaint is that I can't go here 7 days a week, lol. My favorite spot ever.",JBx45SVZbj9f0jc9fXZiAg,3,1,5,xVqkeRTLsgWM7YpKg-fdgA
1316579,2015-05-25,6,k9b96JXlNewj36ddrce9Jw,"I've eaten at the Garden Grill two times.  Both times I've been shithoused drunk.  There's a man sleeping next to me on a picnic table. That's how drunk I am.  Next to these other drunks, I could run for President.  Anyway.  I have had the Crispy Chick'n Sandwich and the Buffalo Chick'n Sandwich.  Both were delicious and perfectly sauced.  I am in love with them both.  Thank you for listening to me.",kj88nbbMo1bOfYrGBrgQmw,0,0,5,iQTDznQYRI4tjoS0DiLDzg
1375701,2013-12-16,0,k9b96JXlNewj36ddrce9Jw,"Definitely 5 Star all the way. The teriyaki taco is wicked good, and my favorite the beer battered avocado tacos. The beer battered mushrooms are also super good. I really like that they have young coconuts too. Garden Grill is definitely a must have while in Las Vegas",QFF1f0rttfk2BqDYVhFsAQ,0,1,5,tV3HjTCX2BcmA7nIwzp_jA
1380966,2014-03-11,6,k9b96JXlNewj36ddrce9Jw,"What can I say about Garden Grill?

It's amazing.

I have tried all of her food and I must say her tacos are amazing and they are my fav. Pull up a chair and let me explain...

I think out of the four styles I am in love with the fried avocado one the most! When you bite into the crisp tempura-like thick batter then you reach the creamy avocado center...I just don't think anything else compares. There is really something magical about it.

The breakfast style taco is super good and it reminds me of how hubby makes his morning scramble. Kala Namak salt, turmeric....all the yummys make up that scramble and I love that flavor! 

The famous cheez steak is not my fav...burn me at the stake if you must...I'm just not a fan. I do love the bread but I'm not a fan of faux beef and fajita type grilled onions and peppers. I also like my cheese a more golden silk like cheez lol. Makes zero sense other than the fact I was never a fan preveg so my opinion is invalid.
Just try it for yourself...actually it's huge so ask a friend to help you eat it.

I'm a serious fan of jackfruit pulled BBQ. I try to make it at least once a month because I love me some slaw and baked beans...well pride aside...there is something seriously amazing about her BBQ sauce. It's amazing and she should bottle it. The crunch of the slaw and the tang of the BBQ sauce...YUM!

The tacos are a food item that I crave, no joke I crave them. Heaven help me if she ever goes brick and mortar! 

Be on the lookout for that new Crispy Chick'n Sandwich! Oh and during the colder days the black bean soup in the bread bowl and the amazing albondigas soup...amazing.

Believe it or not, I have never tried her desserts!!!!!! If you try them report back to me because I'm not big sweets fan. Besides...I'm always too full from tacos :) 

Thanks Leslie for all you do for the community!",zgV0ZroIF956gw4cul8MHA,8,4,5,j0bLgaraDL2G1eVD6RZzLg
1406426,2014-12-08,2,k9b96JXlNewj36ddrce9Jw,"Don't let the Vegan word scare you. You don't have to be Vegan to eat here. Delicious food, excellent customer service. Someone buy them a location so everyone can eat their food every day!",cFGAElozHTdQDfHimOiSBQ,3,2,5,3fK60k7vKvg7E62BoDoiHg
1444352,2015-06-04,0,k9b96JXlNewj36ddrce9Jw,"Amazing street taco place in Tivoli on Saturdays (but make sure you get there early)! When we first went a few months ago, we tried a few different tacos like the jackfruit and the beer battered avocado. They're so scrumptios- perfect for a snack to try their varieties.

After trying the tacos, now we always get a California burrito with the beer battered avocado instead of any ""meats"" and it's the best thing ever! The avocado cream says and the spicy red sauce that come with it are perfect for dipping and adding a little more flavour. We also always get the hibiscus tea and that is the bomb. Sweet and sour and perfect for hot weather. We go here almost every Saturday just to get this meal and it's always on point and never fails to satisfy.

Plus, the people who work here are so kind and the food comes out quick even with their ever present long lines! Hoping they will have some sort of food truck soon, so we can continue to have more vegan options right here in Summerlin, and have them be more frequent.

Amazing place and it's definitely worth a try!!",dAkm7-iv8HiePcrfLa3MBw,2,0,5,VTgZVQErThs07sKQ-Pdh_g
1478629,2013-10-12,0,k9b96JXlNewj36ddrce9Jw,"Yum! We also just got to taste these selfish tacos at Tivoli today. We had jackfruit tacos with a tasty crema in chewy corn tortillas. Only prob was I wanted bigger ones!! Nice portion of filling, but I would've liked a little more tortilla! My son tried the teriyaki chic ones and loved the protein. He says it is very similar to his favorite plant based protein at Native Foods in LA. Very excited to see you at the farmers market though.",DcEt50i1wi9UPfEw7A5g3w,1,0,5,GrAaSV3kesJZZdgPhjhMiQ
1484996,2016-01-18,0,k9b96JXlNewj36ddrce9Jw,"I have not had better vegan tacos than the garden grill! So flavorful and savory without making you feel guilty! The chicken sandwich, quesadillas, and soups are always fresh and delectable. I will follow all the farmers markets in Vegas for Garden Grill's food!",x_Ql3AbL71Jd-Psx5f9yaQ,1,1,5,odJLfJONZG6ajWTTmAbFwg
1551808,2017-03-01,0,k9b96JXlNewj36ddrce9Jw,My friend brought me a chicken burger (vegan) and it was the most delicious burger i have ever had!!! Amazing! Cant wait until saturday to go gran another one :),vuP33DbcEAtfhRXTUoK_-g,0,0,5,ALXWVm1sWhxkJWhmBDQ7gg
1594424,2017-03-12,0,k9b96JXlNewj36ddrce9Jw,"This place is amazing. I wish they would open a restaurant. I'm not vegan but I look forward to their tent at the farmers market every weekend. 

Must haves: everything but specifically the buffalo chicken sandwich and the jack fruit tacos. So good!

They are on eastern and richmar in Henderson every Sunday. I follow them on instagram to double check bc some weekends they are closed.",H4VkazjpNGlBRlyvuu_WoQ,2,1,5,WdjyOFr7vH6IkWoC7Z0hTA
1645745,2015-12-13,13,k9b96JXlNewj36ddrce9Jw,"The next Saturday morning that you find yourself bored or otherwise without plans, head to Tivoli Village for the Fresh52 farmer's market from 9AM-2PM. I don't care what else you do while there, but make sure you seek out Garden Grill!

Menu is exclusively vegetarian and vegan items, largely composed of Mexican-influenced dishes. Go for the tacos. Specifically the beer-battered avocado (crispy, creamy perfection!) and/or barbecue jackfruit (surprisingly savory!). Try one of each for only $7. If you're really starvin', add a bowl of their pozole!",bLbSNkLggFnqwNNzzq-Ijw,26,21,4,Vazi1wtK5FXVQy-ggWOVew
1808563,2015-10-11,0,k9b96JXlNewj36ddrce9Jw,seriously the best vegan food in las vegas !! I'm a huge fan of the buffalo chicken sandwich. Add some bacon and cheese and your mind will be blown.,lCO4_-vTf4DvWWSxFxanWw,0,0,5,ZsziGVoxp9bSnU0lEiNq9w
1928104,2014-11-13,2,k9b96JXlNewj36ddrce9Jw,"Two tacos for $7.00, which can be finished in four bites total, are definitely not worth it.  They were tasty--nothing to write home about, though--but extremely overpriced.  The bottled water was served lukewarm.  I'm not sure I care about how fresh and healthful the ingredients are when I would have to spend $25.00+ just to satisfy my appetite for an on-the-go lunch. How do people get so descriptive about portions that would leave even a three-year old still hungry?",Dlf9rqYPvgS0F-RPS7YiyA,1,0,2,h6NcCNHOnTHZcOveP8cNPA
1933206,2015-09-12,0,k9b96JXlNewj36ddrce9Jw,"Came here to try their famed avocado tacos. They were definitely tasty but very messy. The corn tortilla got stuck to the plate and fell apart as I was trying to pick it up, it was frustrating to eat after that.",fH3EC8mf_fi6eB8OraRj3Q,1,0,4,AvuoZWfwPMAya5kGAB7jUQ
