,date,funny,business_id,text,user_id,useful,cool,stars,review_id
72273,2013-05-06,0,kE8hSuvO6eKtbRA1k541Jg,"We visited the Warm Spring location today, and our first time visit to Firehouse sub was very dissatisfying and unpleasant. We order a carry out order and found a long strand of hair embedded inside between the meat and the bread, which was awfully disgusting. We have to spend extra time in driving back to the location for an explanation from the store manager name Stephen. We spoke to Stephen regarding our order and he did not try to solve this issue and simply tell an associate to make us another sub (the SAME ASSOCIATE who probably DROPPED  LONG CURLY HAIR in our sub in the first place!!). We felt unwelcome for showing him our issue on the order, His reaction showed that it has happened before and he was not surprise at all. We did not receive a formal apology from him or his associates. He was giving us bad attitudes and facial expressions, it was very disrespectful. We expect a store manager to be properly train to handle and resolve issues, but his actions showed that he does not care for his customers or opinions in improving food hygiene for this store location.  I believe his overall customer service was extremely dissatisfying. Our only reason for going back to the store was to receive an apology and explanation, not simply remaking our original order. He did not take the time to look at the sub and try to hide his mistake. At the end, we refuse his offer and got a refund. Before this first time visit, we heard great reviews and recommendations about Firehouse Sub; therefore, we did look forward to eat a high quality sub at Firehouse. However, we did not see any of the ""great reviews"" from our first visit. It was a great disappoint!",0yLsl0aRWOc-pkii3-Lzeg,1,0,1,4SVyOXe6sObWLNSQIUzJkA
203585,2016-04-22,0,kE8hSuvO6eKtbRA1k541Jg,Best sandwiches we ate ever.. Specially the meatballs are really tasty. The entire family love them.,veIGrO9D1a7csrrGs_1PJg,0,0,5,7UQVUY1rFAbERA0oCsBjwA
435618,2017-09-22,0,kE8hSuvO6eKtbRA1k541Jg,"Owner Steven Teffs is one of the most unfriendly people I have ever met in my life. I came in for my free birthday sub which upset him and he told me I had to be a reward member and download the app to discourage me from eating here. I downloaded the app, got my free sub, plus purchased another. My sub came with no vegetables. Nor did they ask if I wanted any. When my sub came out with just meat and sauce I asked the girl who took my order about vegetables. I explained I didn't know how this place worked and asked if I could get some vegetables on the side. Again the owner got annoyed that I even asked. I told him he was not friendly to me nor his employees who were clearly afraid of him and walking on eggshells. I also told him I got a free sub, but I also bought one putting money into his franchise. Of course, he didn't care. I will be calling ths corporate office when they open and will not be returning here ever again. The owner does not know how to gain repeat customers.",GkvO9kcaYGKwNrRVICZQfw,0,0,1,r9P_QuWqE3_TNJdFKKgzuQ
488176,2014-05-28,0,kE8hSuvO6eKtbRA1k541Jg,"Its one of those days that im working(hardly) driving around waiting for people and I get hungry...x(
As I was asking my stomach what it wants and also being careful not to consume anything salty due to hereditary blood pressure problems, I come across this joint....again.
Then my taste buds took over and forgot everything else besides salivating over and devouring the Smoked House Beef and Cheddar Brisket. I then Grabbed!! the 100% Pain sauce and started attacking this sandwich. As I was murdering it, I remember telling my self ""man! this is a good way to fill the void"" and at the same time the 100%pain sauce was making all my mucus membrane come out places where I never knew it could. 
I'm sure theres lots of other sandwiches thats good but everyone should atleast try the 100%pain sauce. After trying the sauce, ill guarantee youll be able to handle any other spicy food out there. 
Till we meet again brisket!",IxJahxdx5wYpkQrTjc8dLQ,0,0,5,lzEcDOf9BbQXdg632-NqVg
561185,2015-06-16,0,kE8hSuvO6eKtbRA1k541Jg,"I'm a sub sandwich lover - however, in all my 58 years of eating sub sandwiches, this was the worst I EVER had!  I ordered the ""Italian"" thinking it would taste like the Italian subs on the East Coast, New Jersey.  Anyway, the person taking my order asked me ""would you like everything on it"" my answer yes, thinking lettuce, tomato, onions, oregano, oil, and vinegar - that's it.  She said everything - Mayo, Mustard, oil, ....  I responded - Hell no? No mustard no mayo - not on an Italian.  I should have stopped there and left.  Anyway, they gave me their version of Italian - -- I can't even begin to say how disappointed I was.  The first bite was just God awful - like someone poured sweet sauce all over the sandwich - WTF - they used sweet vinegarette dressing, no oil  & white vinegar, no oregano, no cappicolla instead Virginia Ham, and artificial pepperoni instead of Genoa Salami.  The bread was soft and poofy - had no substance.  This was one sorry sub and even sorrier customer.  Never again.
This was my first and last time at any Firehouse Subs ....",YBtmGjia3CbkIMnj8NeOVw,1,0,1,xHZz53FS2VHXYiKKyGQ_Qg
650902,2014-12-01,0,kE8hSuvO6eKtbRA1k541Jg,"Great value for your money!
Can't compare to Subway sandwhiches. 
Larger variety of sandwhiches, fresh ingredients, and the cola machine that allows for a combination of flavors always gets a kick from the kids!",RUCFO757OaLo8WtcmxN4OQ,0,0,4,F3JdoRb-WaexkEFJk5aHzQ
971824,2013-12-27,0,kE8hSuvO6eKtbRA1k541Jg,My favorite subs! Its all fresh and whats stands out is that they steam the subs which make them delicious!,kKQRUE8Dtvm6xoFQepAhpg,0,0,4,3YxDLUbIYmVbjW-XlxWjOg
977659,2015-08-18,0,kE8hSuvO6eKtbRA1k541Jg,I called my order in because I was in a hurry. When I got there the employees were standing around and told me they would start it now which completely misses the point of me calling it in.,RWMLBz3nwyyxCaV8j-GSlA,0,0,2,lltErO4E4alS8xR9p7Qkuw
1022655,2013-10-06,0,kE8hSuvO6eKtbRA1k541Jg,"A sandwich chain ""founded by firemen"" has many locations around the valley, with this one located in the southwest residential area. It is a quick drive from neighboring housing developments for a quick hot or cold sandwich, but it does not taste like a typical sandwich.

I ordered the BBQ brisket & cheddar sandwich on a white bun; wheat buns are also available. For an extra $2, you can get a drink and chips. The sandwich was well toasted, with the brisket soft and flavorful. It is more of a fast food sandwich shop, but not like Subway. When you place your order, the cashier will take down your name and call it out when it is ready, bringing it to your table if you are eating in. It is decorated with all sorts of firefighter related memorabilia, giving the place is comfy feel.

I'd recommend this place for any time of day because they have breakfast sandwiches as well. If you order a large sandwich, you'll have leftovers for your next meal!",xOCTfCwrxTECbGOX6uD_KA,0,0,5,VpNfHFvbufTETdG2vwWZTw
1031382,2014-07-04,1,kE8hSuvO6eKtbRA1k541Jg,"With only 2 other people in the store I would expect my order to be correct. They ask 20 questions about what you want on your sub, it's no wonder they got the order wrong.  Not coming back",QCXBBkDaAKhU_nayO3DABw,1,1,1,daeydA-Si0cTt-__Of7dDA
