,date,funny,business_id,text,user_id,useful,cool,stars,review_id
27492,2012-04-17,1,kJl3l4fSa2spv_Mkhgogmg,"I'm Filipino and one of my personal rules is, ""I don't PAY for Filipino food!"" My Mother and Aunties are amazing cooks! If I'm craving kare-kare or lumpia sariwa or adobo or pancit or pinakbet or anything else Filipino, I pick up the phone and call Mom or I make it myself. But..... Ito'y Sariling Atin has made me have to rethink this rule of mine. I had lunch there with family yesterday and it was so yummy! Lots of dishes from which to choose. I was craving kare-kare that day so that was my main dish. My eyes wanted to order so many things but one's stomach can only hold so much. They re-offer rice if you still have ulam. One gentleman had ordered the halo-halo special. Topped with mango ice cream it was huge and looked amazing! That will be the first thing I order on my next visit there! For 5 adults, the total price was $42; very reasonable. (Thanks for treating, Auntie.) Highly recommended.",aTl9sD-HRP8mwTn5vd4PXQ,4,4,5,sQBARW-nYrZdu-XYIAYCmg
54941,2014-10-08,0,kJl3l4fSa2spv_Mkhgogmg,Im from Jersey and we have some great Filipino food there...BUT daaang this place is AWESOME. Hands down. A must go place. Great AUTHENTIC Filipino food. Fresh and perfectly seasoned. Clean and very friendly people. Open early! Will definitely come back!,FWlVGwc7eQVl8EpNj_demQ,0,0,4,ao5XRJbCjySSI94qx791hQ
192816,2014-07-15,1,kJl3l4fSa2spv_Mkhgogmg,"We didn't enjoy our meal because of loud - mouthed staff. When we asked them to tone it down,  one of them replied that  the restaurant is a public place. How lame is that! !!!.don't come here if you want to have a pleasant meal.",qUvR3M2nwtn1FCELudWy9Q,6,0,1,pZmJYnrPPkyTLt5EgvPT8g
379119,2015-06-03,1,kJl3l4fSa2spv_Mkhgogmg,"I ate here April 2015. There was some filipino guy monitoring everyone as they ate checking out their plates and ish. When I got up to take a piss, he politely asked me if I needed more rice.  Surprised the sh_t out of me  and I told him I didn't need any. He didn't know I was on a low-carb diet, but good that he was there to address my needs.

I got to the bathroom and noticed there wasn't any toilet paper, so I told the filipino dude there was none. Next thing you know he hustled and restocked the TP with the quickness. Im thinking this guy is on Adderol or something, which is good. I gave him a tip when I left, because I never get that kind of attention in Filipino restaurant. 

The decor of the place is above average for any Filipino restaurant.  Its all about presentation, so don't be afraid to bring your non-filipino friends here.",63SbuWbBzeZdGr4f5VS10A,0,1,5,5dt8PbeRQOJRSdE031-TsQ
412449,2017-12-23,0,kJl3l4fSa2spv_Mkhgogmg,The food is cold. The beef is chewy. The service is inattentive. One of the worst Filipino restaurants I've ever been to. Go to Goldilocks or Pinoy Pinay instead.,355wWjbH6X7n-E1qV04GuQ,0,0,1,rZGs0mazajQLdezgKMUkOA
501637,2008-06-25,0,kJl3l4fSa2spv_Mkhgogmg,LOVE this place! This is my favorite place to get Filipino food in Las Vegas so far!  Affordable and yummy! I always get a bag pan de sal and of chicharrones on my way out !,E7sk9jsImePqLT4roNgotg,2,0,4,ZNmgfs-L_RJL79L7xSTiGw
518215,2016-01-27,0,kJl3l4fSa2spv_Mkhgogmg,"Food is okay some are greasy but still taste good.. What's disappointing is the staff and the service. I don't think they depict the name of their restaurant.. The staff will make you feel unwelcome. My family had a bad experience this week. We came from out of state and wanted to try a good filipino resto. Some of the food are not worth the price like for instance the chicharon which is mainly full of flour and doesn't taste as good as the price..Staff behind the counter is very sarcastic and was very rude! Also the staff at the counter who's giving the food. We asked if they can give some soup and someone from the staff asked ""how many?"" My mom said for 6 people And the guy who's supposed to be giving the soup said to the other staff: ""anim? Eh ano naman kung anim? Ano gusto mong gawin ko?"" I would understand if its just some private jokes between staff members but for them to make us here that comment.. That was kind of rude.. I don't know if we were just sensitive but I don't think that's something that you would let your customers know.. Aside from that, they keep on rushing us to eat faster.. Its just the lunchtime and there we're a lot of extra tables for other customers.. Just poor service I must say..",5_APM5xx7Olozj3ooqKqhQ,0,0,1,mP6jZ_o7eUclb1pkslHT3Q
544850,2014-06-21,0,kJl3l4fSa2spv_Mkhgogmg,"$3.99 for garlic rice, 2 eggs, tapsilog, cup of water and coffee. That can't be beat! Great value and quality of food. If this wasn't across the country we would be regulars for sure! Did not have a chance to try and of the other dishes.",HxldyQKUtkNtPc0BrD6a-Q,0,0,4,5Dwi_Fa3hZo3fPonTYhc8A
597929,2015-10-01,0,kJl3l4fSa2spv_Mkhgogmg,"Old oil used for fried items, no Bueno !!! Lookout on yesterday's menu coz they will put then out on the buffet.",0jZTAFt3XtOO0UXQisq6Lg,0,0,2,-FRoLh1HZypZxqI8lWb3zA
624850,2014-06-03,0,kJl3l4fSa2spv_Mkhgogmg,"I was impressed by this place. I had Filipino food for lunch the day before but that was not good and I was looking for something to fill the void. I checked Yelp and found this place rated high by other people. Higher rated than the other place I went to.
If you ever heard someone say to find a good place, find the taxi drivers... this is true! there was about 10 taxi cabs in the parking lot in front of this place.
This is not buffet and went here for breakfast. Found breakfast is $3.99 for any ""silog"" and the amount of food was more than enough. If you are craving anything else, you can order a small size for 3.29 or get there other combo which is not expensive at all.
The server was very polite and social, even though she spoke to me in tagalog and I spoke English back.
The place is nice... its not fine dining, but its not a ""hole in the wall"". it was decently clean and can't complain. the had some good dessert items near the register..even an assorted sipin sipin that I plan to go back for before I leave.",8NQ1rmZbxwG12HnSG0MeTg,0,0,4,56KNoxBdfZwZFU0RyYJyyQ
656905,2013-07-20,2,kJl3l4fSa2spv_Mkhgogmg,"To me customer service is EVERYthing, and with this spot I had the rudest server EVER. As soon as I walked in, the lady behind the counter just stared at me, and didn't even say a word, so I initiated the greetings of a friendly hello. The whole time she was serving me, she had a really annoyed attitude like I was being some annoyance to her. I am local born and cannot speak Tagalog, but I can understand, so I don't know if she thought I was being ma-arts by not speaking Tagalog. Anyways, I started eating my lechon and realized how dry it was, so I had brought it back to the counter and asked for it to be exchanged for something fresher. The whole time this lady was putting the new lechon on my plate, she was saying ""What, u want this?! Here!, and this? Here!!"" I was appalled at what she was doing, but still kept my cool, because I'm not like that. I have class, and apparently she didn't, and thats why she was treating me this way. I sat back down and lost my appetite so I just took my food to go. I don't know about you guys but customer service should be top priority, and in this case, it was not. I will not be returning.",R1M-1IiFU1t3RLcqugftag,5,0,1,Z2gsWzlz-ofWnTmYC8tT7Q
