,date,funny,business_id,text,user_id,useful,cool,stars,review_id
50684,2016-05-07,0,klsBtNP-vlO3QlfPbAtTzQ,I been coming in here for about 2 years now and every time I come to this location I am treated like family. All the waitress and waiters are sweet and attentive. This location really knows how to make you feel comfortable and obviously has great management. Food is always delicious as well.,cudQtR49dhSKyUEEVdNkPg,0,0,4,cu31ncBKEq3iormRoC2W-w
257045,2016-07-03,0,klsBtNP-vlO3QlfPbAtTzQ,"Had lunch at Denny's W. Craig with my Mom and our server Shannon was outstanding!!
It was very busy but he was very attentive and made it enjoyable through the wait. 
Great job Shannon!!!!",EeyOUgBEy70T7ZBEbn4gpg,0,0,5,8gpBjAfleFnNIuXGgV4X5Q
277837,2016-02-29,0,klsBtNP-vlO3QlfPbAtTzQ,Far none the worst my family and I have experienced in years of going to Denys restaurants service was nearly average the food well below what one  will feed an animal if you wanna make the animal puke and Very very sick  to say that I was extremely disappointed is just an understatement  for the only thing I can write that they were ok are the coffee and fries and that's very kindly to say.,7LT5WdU1sawlzmfRu2UKHA,0,0,1,u8sI6Mk1l1bPvAuUq74sQw
317799,2015-08-23,0,klsBtNP-vlO3QlfPbAtTzQ,"Eduardo Rangal 
DB manager was TERRIBLE.  Who hired this guy to be a manager??????

The food was delicious and the waitress was amazing.  It's funny how one thing that goes wrong with a meal can say a lot about the establishment.  We ordered a sandwich to go and had placed it on the table with part of our party still chatting.  It was throw out when they cleaned the table and when we went to leave and take it we noticed it was gone.  We spoke to this manager about it and instead of seeing it was a legit grievance, he decided to tell us he would not replace or remove from the bill. When he finally decided to change his mind he had the kitchen make the worst half sandwich I've ever seen.  Terrible, very bad but he definitely showed us who's boss.  Thank you for eliminating this establishment from our morning after church outing Mr. Edwardo Rangel.",P3OMJLQg4c_gYLshya2bqg,1,0,1,0sFocXklA587BJGmCbseIQ
337363,2017-07-08,0,klsBtNP-vlO3QlfPbAtTzQ,"Worst Denny's I've ever been to. The cashier was so slow and the staff got our order wrong and we waited for 40 minutes and ended up getting it to go because I was late for work and going to eat it, it was undercooked and gross",7OpAKALO_2Zzn2NV-lglbA,0,0,1,BZ6GscQ4Mi5pZS5d8mjSRg
382010,2017-09-22,0,klsBtNP-vlO3QlfPbAtTzQ,"Mr. Shannon is by far the greatest definition of customer service! Not one thing was off! His attentiveness, sense of humor, involvement of all persons in my family! Even our 5 year old was laughing with him! Hands down the best experience at a Denny's ever! Shannon is a huge asset to you and you're movement! God bless you Shannon and thank you so much for your sense of humor and attentiveness! 

Sincerely, 
 
Jayson",mdcJkxKmsy4GhGq-rds34A,0,0,5,I_zPYPbnTnBen0iNDKkV-w
394659,2017-05-15,1,klsBtNP-vlO3QlfPbAtTzQ,"Where do I start with this place I came in on Mother's Day 5-14-17 an encountered one of the most disgusting human beings in my life ""SHANNON"" I watched this guy talk about people of ethnic backgrounds like they were not of his standards to have at his tables maybe you should be more focused on being a positive person. And the second thing I witnessed this guy doing he pick up the phone after it was ringing for what seemed like forever and said ""hi this is dennys on Craig we are on a 45 minute wait we are not doing to-go order and we do not do reservations"" and then hung right up on who ever was on the other end. It blows my mind with so many people out there looking for work that this is the standard that DENNYS is willing to accept. This guy should look for work out of the restaurant industry.",lZCXBuIV1RT_QGsKh7tc6w,1,0,1,kBPkX2SwIuH8jNxT3fTfVQ
647308,2016-02-09,0,klsBtNP-vlO3QlfPbAtTzQ,"The only reason that this Denny's earned 4 stars is because of our waitress, Kira. She was very sweet and hustled her hardest to please and serve all 7 of her tables in a timely and efficient manner. Although you could sense the anxiousness, she did a great job of keeping everybody happy, despite the fact that her manager did the bare minimum to help her staff. In fact, we were seated by one of the kitchen staff, who came out to help Kira. (I don't recall her name, but she was as helpful a hostess/waitress as she could be without the title. The food came out quicker than we got seated, so that is a plus in my book. Thank you Kira! I'll be sure to ask for her when I return.",ZTCmye3tIZTDsEY2F63NMA,0,0,4,ib3r0_jQpUW9Do50TUSKUA
755215,2017-09-03,0,klsBtNP-vlO3QlfPbAtTzQ,I called this number and this damn lady was talking so fast I couldn't understand her so just for that one star I never want to talk to her again and their food isn't even good.,HBz6Zh8sX-LwTP9Mt-crIg,0,0,1,U6X1L177bwhh0RQIawMfLg
874805,2017-07-22,0,klsBtNP-vlO3QlfPbAtTzQ,"Really bad service! nobody was in the place a lot of chairs empty. three waitresses and all the waiters looked at me but nobody said  I'll be right with you, not even a hello. really bad service do not go to this Denny's!",yV_BFfMXNt1VqYGgqv1aZA,0,0,1,7LoR9J_zzxKoaYKOgM7I-g
1071218,2018-03-08,0,klsBtNP-vlO3QlfPbAtTzQ,"Ray is an exceptional server. We have never had bad service when Ray is our server. Manager Marvin always makes sure we are happy and works with us when we are not. Of the many Denny we have eaten at over the years and across this country, we have never been better taken care of than here.",bTPHBz8guU3ST0Hsc10NZQ,0,0,5,dHmc6CB_PzJlqbXF72Z5uQ
