,date,funny,business_id,text,user_id,useful,cool,stars,review_id
19331,2012-07-26,0,l5NUIeAo6Fk-Vx4nm3Xqfg,"I have been here a few times. 

Each time I went the food was actually really good, so I decided to order catering, being that the food was really good and the service was good the last few times I went.

Apparently the service changed, and this is where they lose me as a customer.

A few days ago I tried to order catering from this company for a small party.

My husband had gone into the restaurant 2 days prior to me ordering, just to check out the catering prices. They had a new menu posted on their wall inside the restaurant, the man at the counter even pointed it out to my husband and said ""these are our new catering prices"". The prices on the menu had the tax included on them, so we knew exactly what to expect for our budget.
My husband even took a picture on his phone, and showed it to me when he got home.

So a few days later, I called them and kept the order simple, ordered five trays: 
two types of rice, two types of meat and noodles.

When the lady on the phone told me the total, I was in awe!

I did the math by the prices on their new menu, added the delivery charge, and tax, and the order was way off....by almost $70!!

When I requested that she repeat everything back to me, she broke the charges down by what I ordered and the prices were NOT what they had posted on their menu, they were higher.

I confronted her and told her that the charges she quoted me were not the prices that  they had on their menu and that my husband was in there a few days ago.

She laughed and said that is not what they have on their wall.

When I told my husband the total he was enraged.

My husband got on the phone and asked to speak to a manager.

A guy came on the phone, let my husband tell him the problem, and then said ""We give you special price"" and quoted him a different price, that was still higher than what they had posted on their wall. 

My husband said ""That is not what you have posted on your wall in your restaurant, I was over there 2 days ago, all we want is the price you have advertised"".

The man said that they cannot give us that price, he didn't even explain why.

The man on the phone sounded like he didn't even care, he didn't even try to help us.

So we told them no way, and cancelled the order.

They have lost me as a customer. 

I am not going back there. 

If they screw up like that, it makes me wonder how future orders would have been for me.

I'm not asking for much. I just wanted some good chinese food for my party and now I have to start from scratch.

There are hundreds of other restaurants in this town, and I am definitley going somewhere else!!",ruVwLL_rWv_s4d0ANPttPw,0,0,1,f3hTsYknnaEpkjEQyxcChA
149197,2014-12-29,1,l5NUIeAo6Fk-Vx4nm3Xqfg,"Terrible Chinese food. Everything except the fried wontons and dipping sauce were blah. Shelf bought microwaveable  food would probably be nicer. I know this is an awful harsh review, but I'm being most honest. True Chinese cuisine tastes amazing is and this place definitely does not tickle the taste buds :-(

Rice and mains portion was very small...especially the rice (maybe 1/2 a cup?).

Service was very attentive and polite.

Price point for lunch specials are great - can't beat $7.95 for soup, wontons and a main!",bGUs2VtGoIj2ri_5hNSh-g,1,1,2,CFlwuU3YWmTWKtIeFLccfw
149318,2011-07-01,0,l5NUIeAo6Fk-Vx4nm3Xqfg,Great Chinese spot to try.  Pricing is fair and food is great.  There are not many other like options in the area and there really is no need.  If your on the fence I would check this place out.,DWfos3PxcrkqAJoAZHEg3A,0,0,4,fZfhtI922397CtJ4HxiGlQ
365395,2013-08-10,1,l5NUIeAo6Fk-Vx4nm3Xqfg,"Wow, what a disappointment. I really wanted to like this place because it is less than 5 mins from where I live. But I am sorry to say that the food was some of the worst I've had. The fried chicken wontons had too much soy sauce in it and was soggy and very salty, the fried rice was very greasy tasting and again too much soy sauce, it was the darkest brown fried rice I've ever seen, the mongolian beef was extremely salty and the pad thai was salty and greasy. Overall the meal was pretty much inedible. China Ginger decrease the soy sauce and maybe the entrees won't be so salty, also decrease the amount of cooking oil used. Sorry but I won't be back.",vtBQomaRGUNMn8t8az1IhA,1,0,1,DeJXjo07GE2dfhCTkwjNiA
367889,2015-09-21,0,l5NUIeAo6Fk-Vx4nm3Xqfg,Best Chinese food in Las Vegas. I've been going here for over 7 years. The staff is so nice & and I love that every time I call for delivery they said 45 min and they are at my house within 15 min. I've been going here for so long and never once has the food or the service been nothing but great.,P0O0eiExqkmJn9pBjb609A,0,0,5,eahlDpKolMeS-9JySE0CyQ
388887,2015-08-19,0,l5NUIeAo6Fk-Vx4nm3Xqfg,"We found this little gem of a restaurant by accident a few years ago when we were shopping at Lowe's across the street.  Since then, every time we visit Las Vegas, we always stop here for lunch. We order the lunch special which is a very good deal.  The food is delicious and hot.  The chicken corn soup is soooo good!  The last time we were there, I had the sweet sour shrimp (delish) and my husband had chicken.  The service is great, and the waitress is so gracious.  We're from Hawaii, and there are tons of Chinese restaurants here, but China Ginger is better than a lot of them.  Can't wait to visit Las Vegas again and have our lunch special!",cxRMkt5fmuFLnP4vquncEw,0,0,5,7hAKVwRrjsv6JR7FjFU3Cw
444819,2012-03-17,0,l5NUIeAo6Fk-Vx4nm3Xqfg,"If you want QUALITY, this is the place.  I had Chow Fun, Egg Drop Soup, and Chocolate Cake.  OMG, it's to die for!  No joke!  Delivery was on time, service was exceptionally friendly, and the quality of the food,  omg!!  I'm a bit of a 'foodie', when it comes to quality and freshness.  This definitely lived up to my expectations.  Thank You China Ginger :-)",nJ059F2P0uXm7TyYFwrSew,0,0,5,IpB5DVf2saiPtR3SD3BuEg
469596,2015-08-29,0,l5NUIeAo6Fk-Vx4nm3Xqfg,Worst Chinese food I have ever eaten. Panda would have been like fine dining after this place. I felt like I was eating spoonfuls of salt. Waste of $$.,DfDTCCNtlliXowxfGTsIAg,0,0,1,tU7NliMlix4HIDoGDKUkMw
642350,2012-05-24,0,l5NUIeAo6Fk-Vx4nm3Xqfg,"Here we go:
Went for the lunch special. I got beef with mushroom, $6.25, hot n sour soup, house salad, fried rice, n fortune cookie. What a deal! Meat was tender, rice was killer as Ryan H. said in his review. Wife had Jalapeno shrimp and chicken, $6.95. Chicken was very tender, sauce sneeks up on you, very good. Same sides as above. Food arrived HOT, not room temp, major plus for me. Place was very clean including restrooms. I think they would be busier in a better location. They are kinda stuck behind other stores in a strip mall.
Service was prompt and friendly.
Decor inside was very nice, did not expect that in a strip mall place.
Did I mention the fried rice was killer?",rhH1Cqta8lb3n-t0fTRm5w,1,1,4,7BLur7cyoQ1p5LblcUs7dA
750164,2014-12-25,0,l5NUIeAo6Fk-Vx4nm3Xqfg,I've eaten at a lot of Chinese restaurants this is one of my favorites. The food was delicious! The service was spot on. The servers were very friendly. I would suggest this to anyone.,qnrU6GIpz-JxPc_ur4qgbg,1,1,5,zq__1zm1wBENajv6cZ5AcQ
