,date,funny,business_id,text,user_id,useful,cool,stars,review_id
59038,2014-04-05,0,l7BLw7-bKVD7fImtls4Lfw,This place doesn't get anymore authentic. They have Classic Mexican that taste great.,gRUbHXJrfCQs4qFy0d-j9w,0,0,4,EATaXHUjQAcbvKrdWud8lQ
131118,2011-05-17,0,l7BLw7-bKVD7fImtls4Lfw,"I love this place. This place is a real hidden gem in Las Vegas, it's my go to spot for an authentic Mexican meal. The entire menu is outstanding and very affordable. The people are great, very comfortable, homely atmosphere, very welcoming. Soups, tacos, gorditas, huarache, tortas, flan....everything here is great. Highly recommended.

Everything that I've had here has been great but so far my favorite bites have been the enchiladas Pollo De Mole and consomme loco.

The enchiladas pack a punch of flavor with the mole and the consomme loco is just a great example of less is more.",xR-QCGdqlcUqrGIxExs_lA,0,0,5,W7BIsMpuS3yGJAv-NJ2ZWA
278739,2010-10-25,0,l7BLw7-bKVD7fImtls4Lfw,"I love this place!  The employees are always really nice and the food is amazing!  The chicken soup tastes like something grandma would make.  The enchiladas are rich and delicious.  The flan--homemade and everything flan should be.  Everything on the menu is awesome!  Great prices, but it's cash only.",EbIy5VK2ineZ50GyLec8Jg,1,0,5,8arUup8pLdqGQojOz0H1kg
289120,2009-12-22,0,l7BLw7-bKVD7fImtls4Lfw,"Stopped by to cure my hangover hunger :) on a Sunday afternoon. I live in the area  but never been to this hole-in-the-wall yet so I was kind of intrigued after seeing review about this place in LV Weekly.

Ordered few tacos and sope and quesadilla. All was good but I'd like to come back and try more stuff to see what's the hype. 
It should be all good because place was packed (although it is very small  inside).",ifN4zDOzYHt3RxEKW6Rc0Q,0,0,4,_A6fiUzv1Q4yLXFBBuKGuA
450068,2015-09-19,0,l7BLw7-bKVD7fImtls4Lfw,Food was ok only came here because we seen aaron sanchez  ( food network ) and his taco trip show was here we had the pambazo . It's OK not the best in the  world.,S3wtd8sPiQo8z0n12_Dj1g,0,0,2,nSP39teO4E74YGhPYYgIoQ
507121,2012-07-19,0,l7BLw7-bKVD7fImtls4Lfw,"Best authentic Mexian place in town.  They have so many optins.  Go with the chicken mole verde.  It is delcious.

Enchiladas rock, the alambra is good too.


Shrimp cocktail isnt that great though- I've had much better.",75CRW4BDuCx1vrY4vbjPWQ,0,0,5,aAbq_XxUZloEANG-fcLQyw
685089,2012-05-13,0,l7BLw7-bKVD7fImtls4Lfw,"The food is made to order and tastes great.  It's a small place and based on the food alone, is probably busy all the time.",08wSFRGYhdMsWOS4yMTlPw,0,0,4,SBHl9xW_f3IwW8Y4HMB6eQ
704136,2016-05-07,0,l7BLw7-bKVD7fImtls4Lfw,"So good , there is no better food. My mom LOVES everything on the menu. I recommend the millanesa and alambre. BTW my mom loves their tostadas",V_iZa5uyaPUQ9N_22cVDkA,0,0,5,68AMJnjimv13w0wwzTIDyw
991066,2009-11-15,0,l7BLw7-bKVD7fImtls4Lfw,"Mmmm. It's been many years since I was last in Mexico City, so when we randomly wandered in here fresh of the plane, I got excited. The service was wonderful, the prices were reasonable, and the food! It took me right back to Cuernavaca.",YY89_bcUksy9aprmWHtsfg,1,0,4,nzYgBESq236GaCGkZ2k0Cg
992590,2013-01-03,0,l7BLw7-bKVD7fImtls4Lfw,"I don't get over to the east side often so Los Antojos has been on my to try list forever, but I finally had the opportunity to give it a try. Walking in, I was overwhelmed by the menu. I wanted one of everything. I settled on the enchiladas with mole. I don't find it too often outside of my visits to Mexico so I had to try it. The husband ordered something else that sounded delicious. I don't recall now what it was because there was a mix up in the kitchen and they served two orders of mole. It mattered none to us. No sharing needed. Although, the mole sauce was bit too bitter. 

When I find myself in the area I'd seek our Los Antojos again and try another menu item.",ZsUSGU1-L1ImomLZjXxxTg,3,0,3,MV5_2RR9wex0nAZqyiTh-A
1000421,2017-10-15,0,l7BLw7-bKVD7fImtls4Lfw,"The DEA needs to raid this place because it truly addictive. Love the chicken soup. Being a Gringo I would have never thought Chicken, avacado, and celantro would ever be teamed together. WINNER. Tried the Pambazo but it was overshadowed by the OMG LUCY WHAT HAVE YOU DONE Cubano. It is the Best Sandwich in Las Vegas.",c7aJXvmUpWEUEtblsRK-6A,0,0,5,0Mh0ohuV5y7nBrF7LGBxLw
1014316,2015-01-26,0,l7BLw7-bKVD7fImtls4Lfw,"I been frequenting this place for the last 6 years. The food is really authentic Mexican Food. The place is not the fanciest nor the biggest, however, the flavor, quality and portions of the food makes it an 5 star rating. I live 45 minutes from here, but the food makes the trip wort it.",3i8VO5_mher30m0OcdqD9g,2,0,5,Suu-LyJPMztc0TGndbkYsw
1018275,2016-06-11,0,l7BLw7-bKVD7fImtls4Lfw,"Fantastic D.F style Mexican food. Been going here for years, very consistent good quality food. The quesadillas are delish! Also, the chicken soup is so simple and perfectly filling. Love this place. Small space definitely worth the wait if there is one.",bHGNVCmDew-AOIM0nB8XzQ,0,0,5,oVe3sEtUm_ramgWzyT1uIg
1096043,2014-09-03,2,l7BLw7-bKVD7fImtls4Lfw,"This place has one of my favorite dishes in this town. And while I know everything they put out in this place is not perfect, the consistent perfection of this one dish garners them five stars in my world.

                  CONSOMMÉ LOCO

Consommé is a clarified chicken stock. And theirs is a complex concoction served with chicken pieces (white meat only), rice, cilantro, onion, and avocado. And I add a few hearty squeezes of lime for good measure.  It's soulful and simple and demands attention.  

I always get the soup and a carne asada quesadilla. The deed fried quesadilla is always perfectly seasoned and crisp. The gooey cheese and crispy pocket puts those (healthier, lighter) quesadilla to shame. 

Aside from that amazing soup and the delicious quesadillas, they are one of the few places that has a deeply interesting and flavorful sauce on their chilaquiles.  

I've tried their tacos and a few other plates and been satisfied. Not overwhelmed, but satisfied. I would not recommend their tacos when there are so many other great things to try at Antojos. 

That said, I have such respect for the consistency and quality of the food coming out of this place. I'm always surprised that they are not more crowded. Oh, there won't be many open tables when you get there for lunch, but you'll order and be served very quickly. 

I don't know if this place is still considered a hidden gem since it has been lauded and discussed in a number of publications. But it is one of the rare gems in this valley. And I can't wait to go back.",2k8OVAPxlXHsA5X6EIoQpQ,4,2,5,7JKWe7ULfn7S1fPvmcrYgQ
1100449,2018-02-24,0,l7BLw7-bKVD7fImtls4Lfw,Huaraches with carne asada are the best food to eat from here.But if you have a large party I wouldn't recommend dining here because it is very small. Very fast service and great customer service,hW2Omd5_eRDy0yKKl0liKA,0,0,5,XtAZt5s7rP5qjvxdhhpEJA
1104489,2012-01-26,0,l7BLw7-bKVD7fImtls4Lfw,"Went today for lunch.  Found this place in the book ""Eating Las Vegas"" along side Michelin star restaurants.  Small, clean place with pictures of their plates and hand written specials on the wall. I'm not a mexican food guy so I was a little intimidated but the guy who took my order was very nice, spoke English and was able to make helpful suggestions.  I tried their Mole de pollo as recommended by fellow yelpers. Wow! Though I never had mole before, good food is good food and the mole was delicious. Chicken was tender and moist. I mopped the plate clean with the steaming hot tortillas that come with the plate. They had a drink called ""Mango water"". Amazing. So good. Refreshing and not too sweet. I complimented the mole as I was leaving and as we talked about the food I could tell that he took a lot of pride in his food. I will definitely be back. Viva la Mexico!",k37qR4b5jGfE4UHIBzBWiw,0,0,5,KT4JtjmfKxuSU0q4zqFPIg
1120820,2016-03-19,0,l7BLw7-bKVD7fImtls4Lfw,"It's a tiny hole in the wall in a sleazy shopping center, but wow, that torta was so delicious. For the first time ever, I tried a torta. I always passed them up since I figured a sandwich is a sandwich, but I was wrong. The torta is mainly a hot sandwich with different type of fillings than what an American sandwich would have. I had the Cuban. It had both roasted pork and ham with melted Mexican type of cheese, tomatoes and maybe guacamole. It was so good and I've been back to have it again. Now I'm hooked on tortas. My Mexican friend, who had been there, told me to try the pierna. It was good but not as good as the Cuban. I tried their rice, beans and tacos. They were only OK. The service is friendly and good. I definitely will be back for my Cuban torta fix!",y5YNzZwQuYxgE-jSDcZLxA,0,0,4,4MZETBQfbrGeSpXbLDh10A
1227883,2015-02-23,1,l7BLw7-bKVD7fImtls4Lfw,I've only had one item on the whole menu. El consome loco... I am sure everything else must be just as good but I can't come here and not order the consome. One day I will attempt to eat something else... Or maybe not.,KG-h42RKqWYdsOT0CVJWyg,1,0,4,Yu4ygF9jFbMjndJFvbj3eg
1232014,2014-01-11,0,l7BLw7-bKVD7fImtls4Lfw,"I first encountered cochinita pibil at the Taco Bus in Tampa, Florida, and I've been searching for it ever since. Although there is a version of it at Border Grill at Mandalay Bay, I wanted something a little less upscale, and when I read about Los Antojos on Yelp, I couldn't wait to try it.

My husband loves cochinita pibil even more than I do, so he ordered the plate lunch. For less than $8, he got a platter of tasty pork (seasoned with citrus and achiote) with the traditional picked onions, along with rice, beans, and tortillas. I had two cochinita pibil tacos, which were like the small street fare I expected; and a small bowl of the consomme loco, which is a simple chicken, rice, and cilantro soup topped with avocado. Although the soup was tasty, next time I think I'll stick with the tacos, and maybe try one of the others listed on the menu -- the ham and pineapple (jamón y piña) sounds intriguing.

The restaurant itself doesn't look much different from the dozens of similar strip-mall establishments located throughout the city, but the variety of menu options -- especially the inclusion of the aforementioned cochinita pibil (did I say how much I love it?) -- make this ""hole in the wall"" one worth visiting.",55bAo20xQNIA2CfMKIDtPA,1,0,4,jC5ihkE-8sS_fxQLcNP1qQ
1400528,2007-08-23,0,l7BLw7-bKVD7fImtls4Lfw,"Flautas are a must have.....mmmmm good.
Nice people Great food... that's a winning combo!",hYan1ohCp1Vg58cNwPhV5g,0,1,5,HPT_fRb-phDLFf2kUKH88g
1444290,2014-06-26,0,l7BLw7-bKVD7fImtls4Lfw,"I was visiting LV for a conference and coming from CA I'm used to good Mexican food. When the valet at my hotel told me the place was goooood and to bring him back a surprise I wasn't worried at all.  The place is divey for sure, but it's great! I had the chilaquiles (a personal favorite) and they didn't disappoint.  It was so good I brought 5 CA colleagues back with me for dinner the same day. They were pleased with their meals as well - we all cleaned our plates.  One person said the tortilla soups was ""out of this world"" and another said the beans were nice a light - it's so easy to make them heavy.  It's in a strip mall and easy to miss, but make the U-ie and try again - it's worth it!",RckNqCsmkNgGalDFLcTscQ,0,0,5,XeP2C3QYmHf_RHlPNkMtdQ
