,date,funny,business_id,text,user_id,useful,cool,stars,review_id
36155,2016-08-26,0,lVfZ2AaYRYHCFenUMQna8g,"I have been to many Mexican food joints. This is by far the best. They provide great customer service here, and the food was amazing. Today i had a carne asada quesadilla and it was the most incredible quesadilla ive ever had. You need to check this place out!!!!",NVaUrnAf05EEyQaTdDrO7w,0,0,5,VlyCidx2LaqsUwbhufT7hA
77129,2016-04-03,0,lVfZ2AaYRYHCFenUMQna8g,"Love the burritos and service here!  My preference is the breakfast burrito with bacon (and of course the green sauce) - and I haven't been disappointed yet!

Picked up a couple of other different breakfast burritos for friends visiting and all have loved!",BUjXsT7x0PooYh5w9guC_w,0,0,5,9k5AOMDCiIM1RQsYU0NhsQ
105560,2012-08-23,0,lVfZ2AaYRYHCFenUMQna8g,"Super sucky burritos. Lauritas is just down the street and way better. Gave this place a second chance and was still horribly disappointed.

Super Burrito Super Sucks.",3vDLoG_wYNUhyD5cauxyrw,2,0,1,L0vvHjDyJpPt_TDSif-cMg
175649,2016-07-12,0,lVfZ2AaYRYHCFenUMQna8g,"Well. I love super burrito. But, to be honest. Quit being cheap asses and have more than 1 man. Handling the register, the cooking, customers inside as well as the drive thru. I went in on Sunday. With only 1 poor dude working. He was very proffesional and our food did not take to long. I just feel for the kid. I used to be a mgr at capriottis. Doing all of that work I would b very almost upset.",KlaeX6uBEA_C9XeusZizlg,0,1,2,CHxB9dHPI-xQ9tlikxcUFQ
268288,2015-06-12,0,lVfZ2AaYRYHCFenUMQna8g,The wait is finally over!!!! Super b is finally open!!! I just had some bomb a#= green chile pork tacos! They were to die for lol. Going bk very soon.,WuFZgPkttONYqnBt-zDt7w,0,0,5,Cz7f2Qq2FpGBQndi7WjuOg
286628,2015-08-28,1,lVfZ2AaYRYHCFenUMQna8g,"NORMALLY A FANTASTIC FOOD.. lately it's gone down hill. Paid $$$ for their Carne Asada Super Burrito.. The first couple times I ate there the burrito was HUGE and great value for the money. Well the people must be having gambling debt or something because the last couple times the burrito is half the size and you pay $$$$$ for these ""Super Burritos"".

 The guy had a really bad attitude today when picking up $30 worth of lunch for me and co-workers. 

 Sad this place has gone down hill. We won't be eating Stupid Burrito again. Sorry!",zPZ-1iiwmHtdgc1RiwgQiw,1,1,1,mIQ9Cyck9kDKdxHnQ4quNQ
331359,2016-04-23,0,lVfZ2AaYRYHCFenUMQna8g,Food was okay but the price is alright for it. The service was quick.,BRb5_XeA5VQsE9U_HM1kGw,0,0,3,-SH7Iax5DVpIUR-H0OEirw
351674,2015-12-21,0,lVfZ2AaYRYHCFenUMQna8g,"Eating here now with my girlfriend for the first time. The food and service was good but the choice of music is not appropriate. Foul language and the ""n"" word used excessively. This is a Mexican place and you are playing inappropriate getto music. I don't think we will be returning just because I can not bring girlfriend and esp my family back. So sad because the food was good.",_0IE3fhMb3Ackrj8RkAVuw,1,0,3,ON_sUxqgv_CzVP8E_SZHrg
399819,2017-12-09,0,lVfZ2AaYRYHCFenUMQna8g,This is my favorite Mexican restaurant in town. Not only do they have great food  (and at this point I've tried most things on the menu) but they also have the most friendly and accommodating staff. I love super b burrito and would recommend it to anyone!,wnmQNcpFizVq9QSj9nRPnA,0,0,5,MVXtYrKRF7yjme_slVVdew
430338,2015-06-26,1,lVfZ2AaYRYHCFenUMQna8g,Really friendly service with good food! The restaurant was very clean and the menu had a wide variety of good food. I had the super burrito with steak and it was tasty and filling. Would definitely return!,X8aM5RpizgGqfmSoIKZrEg,1,0,5,iIKI_eINSV-HWfw2ZLMVrw
