,date,funny,business_id,text,user_id,useful,cool,stars,review_id
74495,2015-07-03,0,lokPfoken16iTeAJ2PAwmQ,"1st time at Feast Buffet and was very surprised , walk in to the Casino no stale cigarette smoke smell. Bo obnoxious elevator music that makes one angry listening to it.
The food was fresh, hot, and tasty no dried out meats or sausages and could not believe the pricing $5.99 with players card. To quote the terminator I Well Be Back.",4gcQXtwb7VLbjhJqNw2k8A,1,0,4,79D3x45wjVlqDF7Zebf08g
102405,2015-01-08,0,lokPfoken16iTeAJ2PAwmQ,"Sunday brunch is great, lots of choices of course, also several stations where they make omelettes, pasta to order etc. Definitely have a mimosa or two they were very good. Attentive and friendly wait staff.",izvkbPRXljawjrFdvr1sUQ,0,0,5,7eBTlsnQQkC7FHcteQzNGQ
119242,2015-01-11,0,lokPfoken16iTeAJ2PAwmQ,"No it is not the best in LV.  But I was pleasantly suprised for 10 dollars! 
The food was fresh, everything was delicious. Nothing was old or cold or weird and the salad bar did not taste like the lettuce came out of a bag. Everyone here was very friendly and pleasant and for a buffet it was decorated kinda classy!",oLwh0v_cgsXu5ZbYyQkLcw,0,0,5,B0iX34YggD_cRWbAuCq2oQ
143764,2017-07-25,1,lokPfoken16iTeAJ2PAwmQ,This Feast is a bit better than the one at Boulder. But it is no Feast like Red Rock. Customer service is efficient.  My table was constantly check upon. Just wish the food could be better. Had such high expectation before coming here. Still a good n affordable buffet if ever in the area.,o9D90Dr6z27JL6AlivsoFw,2,1,3,4skMbYoKHsArSjdmau_68Q
300024,2011-12-01,0,lokPfoken16iTeAJ2PAwmQ,"We use to come here once a week three years ago but since the changed their menu things got worse here. The food quality got so bad that only go there twice a year now to see maybe something changed again. My wife convinced me to go  there last week. 
Service: We got one of those small table for two. after serving the drinks, our server disappear. She never came back to take the plates. If I remember right it use to be her job.  
The food: most of the items were over cooked to a degree that they were uneatable. The  roast has too mach liquid smoke in it that leave you with awful after taste for hours and the rest  of the food is just bland. The only thing I somewhat enjoyed was the wonton soup and an egg-roll.",N_OpnbPJAakJrVch8VBQ9Q,0,0,1,UjaVKUJ-oE3qWmKWiHsGmA
415286,2016-11-25,0,lokPfoken16iTeAJ2PAwmQ,"Not impressed at all . First and last Time here. The buffet area smells of cigarette smoke awful! The food is comparable to Golden Corral buffet in Utah , bland, no quality.",NkXLyh74E8Fo04G32yXUlQ,0,0,1,y0PQwOXnJp2rt1YLdyTcvw
451101,2016-08-15,0,lokPfoken16iTeAJ2PAwmQ,"All cheap carbs.  Selection and quality are gone.  Was once good, years ago, now hotdogs, burgers, pizza and noodles. Chinese and mexican are all carb dishes, save some cheap bowl of something i cant make out.  Very little protein, and what there is isn't worth the price.  So very sad.   

Don't bother.  Wasn't even worth the price after I used a bogo coupon.  The grand cafe is much better.  Eat there.",tZuQ7f0Bgj5rLL9TSvZe2w,0,0,1,40y6B_zgtBcAsPkfkkeZEQ
485216,2014-11-17,0,lokPfoken16iTeAJ2PAwmQ,This place SUCKS my whole family threw up 2014  Santa fe SUCKS 2009 Santa fe was awesome don't eat here just go to in and out,MZTX-srz6GRUV3beL87Tbg,0,0,1,xt0tXm7ADoatsIf33QGyhg
523138,2016-03-06,0,lokPfoken16iTeAJ2PAwmQ,It's warm trash served with a grin. Save your money!  Prime rib is over done and seafood is fishy at best.,RDBgZu_UTRW-qROG74OkeA,0,0,1,W41iW2DxemFTFLUW91YsiA
550729,2016-01-07,0,lokPfoken16iTeAJ2PAwmQ,"3 stars because the price was great, beers were cheap, and enough of a selection that I was full. However you get what you pay for when it comes the quality and taste of the food. I think most the time I would rather pay the extra money to go to Cravings at the Mirage and get amazing food and all you can drink beer and wine. But if you want to fill up for $10 or less than this will do just fine. One bonus with the Station Casino buffets is you can earn points towards free buffets just by cashing your paychecks.",QYagsl80cr0MAmFEu9SfRw,1,0,3,ElWckx0mazaz8Kr44USdwg
579623,2012-06-18,0,lokPfoken16iTeAJ2PAwmQ,"Saturday afternoon my wife and I, who love local buffets, decided not to go to our favorite buffet at Red Rock for lunch.  We heard the lines were long because of a number events in Vegas.  We decided instead to go to an old favorite, the Sante Fe buffet.  What a mistake!  We were amazed at how far it had fallen in the last few months since we last visited it.  We understand the economics of a buffet, and the somewhat tough economic times,  but they cut corners way to far.  Poor selection, low quality and unappealing presentation. The didn't even have my favorite, sausages and peppers which almost every buffet has. The service was spotty, but acceptable. Since it was Saturday, we didn't have two-fers and paid full freight.  I think in the future, I'll brave the lines and go to Red Rock.",s8WGHRc-Gs5O3n34-6Twfg,0,0,2,Mn02PJ1lAJfeqGybjjMC2A
624014,2015-02-03,0,lokPfoken16iTeAJ2PAwmQ,"We've been coming here since 2008.  Tonight the quality and selection were so bad we will no longer be coming back.  Lots of hot items were cold, wouldn't pass a health inspection on food temp.  Even the desert selection was considerably limited.  Cakes were dry and crusty.  I was lucky to find anything to eat at all.  Bleh!",9MPTnPK3wHQZKsBbSeOeew,1,0,1,s7YCJnfOumL6qzXHc8OiDw
635491,2010-10-23,0,lokPfoken16iTeAJ2PAwmQ,It's a Cheap Eat.  It's not worth a drive out of the way; however for the price of a burger and drink at the Fast Food Joint I would eat here instead.  Plus you will find a few things in the Buffet you will like in addition to the soup and salad. Use a Free Station Casino card to get your discount.,V4D4x4QtDB-tmXkwdxgwDA,0,0,3,KWuzdxzRmPIGsk_vIuJvrg
644055,2014-01-09,0,lokPfoken16iTeAJ2PAwmQ,"Okay so the only reason I would and did come here is because with a 2 for 1 coupon (dinner for two was about $12.00 including drink and tip) and it is convenient for me. I would not stand in line for this place or go under other circumstances. I should preface this by stating as a general rule I do not like buffets, of course, there are exceptions i.e. Bacchanal, thai or indian lunch buffet. However, for the price (with coupon) who couldn't pass up a okay salad bar and a drink. The majority of the food is barely edible, sometimes the mexican and the chinese food is okay (at best). I think once in awhile the prime rib is okay (of course you have to assess if it is medium rare before they cut it). Tonight they served roast beef so I took a pass on that. The salad bar is not as good as Sweet Tomatoes as to variety but they have the usual fair - iceburg lettuce, spinach, cherry tomatoes, onions, croutons, broccoli salad and the like. How can you screw up salad? 

The servers are attentive and the dining room is clean which is a plus. I have been to some buffets where this is lacking in both respects. 

I don't find the dessert area appealing - the ice cream has a decent flavor but there is something about the texture that screams powdered milk product to me - the texture is somewhat grainy and leaves a slight filmy feel in my mouth if  I recollect correctly.",xECpt0seSDbTmt1mGcfffA,0,0,2,uWiWXMstlsGlQ7vMpGFoqQ
675455,2014-11-30,0,lokPfoken16iTeAJ2PAwmQ,"This place is pretty much you get what you pay for. For a cheap price you get all you can eat mediocre food. Service is decent as they took care of our part of 14 real nicely, and constantly checked up on us. My only concern is that the air reeks of cigarette smoke, making the experience unenjoyable. If you can get over the smoky ambiance, and the sub par food for a decent price, then this place is for you. I definitely won't be coming back, as I'll probably try somewhere else tastier and with fresher air.",e7q_lIZ0K8gaoYTMmJBGkQ,0,0,2,wVPanfrIdAMXoqMZMsaDPA
738210,2013-04-05,1,lokPfoken16iTeAJ2PAwmQ,"Great for brunch, but I expected more and better tasting. Great to bring groups, The food wasn't its best though I like the prime rib. The price was fair for a buffet in Las Vegas. Not really a great tasting so called feast buffet...",x7306HR1DetrFDTNw0d6iQ,1,0,3,_OqzZIHn6Nnq757k_VW_1g
762195,2016-09-13,2,lokPfoken16iTeAJ2PAwmQ,I wish there was a review less than a star. I ate here this evening and will never go back. I had the catfish and it had its guts still inside. It was disgusting. I talked with the manager and they said its how it comes.,XlD_0UIAvtC0naq_HBdvqw,1,0,1,rvZIRcDkpK7XsfWX9wCHSQ
963489,2014-06-28,0,lokPfoken16iTeAJ2PAwmQ,Food is ok. Place is nice and spacious for families.You get what you pay for. It wasn't bad at all but lacked flavor in some foods.,foB_TANFO4A1Yp3X3mWefQ,0,0,3,N-YN1cDX2Vnd79CPHcGipg
969111,2013-05-13,1,lokPfoken16iTeAJ2PAwmQ,"Mother's Day Brunch $12.99 and an hour and a half later we were finally seated!  Longest wait EVER considering we went there for breakfast and didn't even get seated till after noon. We ordered 2 $.99 Margaritas - they couldnt get the machine to work because it was frozen so refunded our money.  Off to a good start already.  We all scurried to get our food as we were all starved.  Had we known the wait would be that long we probably would have gone somewhere else.

This place is a typical everyday boring buffet.  It seemed everything I chose was hard as a rock - rolls, pizza, potstickers....just simply not consumable...and being that the place was so busy you wouldn't think anything would be there long enough to get hard.  Dumbfounded. The sausage gravy had instead of ground sausage had 3 inch chunks of linked breakfast sausage.  It seemed so wrong and gross.  Ugh.  Not even to mention the gravy needed stirred...bad.  I went up to the meat counter where the guy was slicing the meat for people.  I asked for turkey and he slapped a piece of completely uneatable raw bloody prime rib right in the middle of my plate.  Thanks for listening Mr. Man.  I guess I should pay better attention or else he should.

The waitress was pleasant though.  The company was great.  The food not so much....I'm giving a one star to the 1/2 of a donut I indulged in at the end.  I do remember now why I don't do buffets and I definitely wont be waiting in line for one anytime soon.",4Ch_27GkNV5p7I7ewlX3DQ,3,1,2,YA4meQDR4BDSj0SDSkISpQ
1020983,2009-06-19,0,lokPfoken16iTeAJ2PAwmQ,"This buffet is good.  Excellent with the 2 for 1 coupon in the Las Vegas Review Journal which recently started up again for buffets monday to thursday.  This is just as good as red rock station without the long drive, and better than Aliante Station (except for thursday night steak night).  Prime rib is excellent with a wide array of desserts.  Seafood night has shrimp and oysters.  I don't remember what else they had in terms of seafood.  Staff is always friendly and clear your plate so you're ready for more.  Gelato is good and so are the pastries.  

It's just as good as red rock station buffet, and a little cheaper.",tQVTyovdm4doXxDSkfYUUw,0,0,4,pZsROFlj00HAmERYziAqkA
1037164,2017-04-05,0,lokPfoken16iTeAJ2PAwmQ,"It's a good value for an average breakfast or lunch. The décor is actually very upscale-looking and the atmosphere is a little more relaxing than some of its sister casinos. Lunch here is fairly standard with Mexican, Italian, American, and some Asian specialties. For less than $10 you can satisfy your breakfast or lunch appetite with a variety of okay-quality items. The place was filled with customers but fairly quiet when I was here for lunch - many seniors. Counter cleanliness could use some improvement. Table service was okay. Desserts were average but there were many choices. This buffet should consider upgrading its offerings and draw customers willing to pay a little more for greater choices and better quality. Access is easy. I'd stop here again for breakfast or lunch.",JBvCvZ4OnQVy-r9OZ0pMRQ,0,0,3,TqlH3FCxqrl7IMuAYryMQw
1105895,2015-06-15,0,lokPfoken16iTeAJ2PAwmQ,"Been here a few times.  Went for breakfast with the wife today.  We took advantage of locals deal for two.  Buffett cost us $6.48 including tax.  Clean areas, nice and cool, and simple food stations kept well stocked.  Eggs Benedict, hash browns, sausages, bacon, corn beef hash, egg/omelette station, Mexican breakfast, fresh fruits, cereals, yogurt, pastries and donuts plus much more.  Very satisfying meal and great price, even with out locals bogo.",6ZaL6fBlKx5tb8c9opl7rQ,0,0,4,Vs83-Q567bvfsT9msWm7Tg
1107550,2016-01-31,0,lokPfoken16iTeAJ2PAwmQ,"Worst buffet  , food was old looking like it has been out for hours  ,desserts were so hard I could bang them on the plate and they didn't even crack.  It is cheap so I guess you get what you pay for",vGiPx0b9sgScmxrPN_UUpw,0,0,1,uNKUjcWTp4nHusjvjJxkDA
1199845,2015-06-21,0,lokPfoken16iTeAJ2PAwmQ,"Not too bad, I haven't been to a buffet in years and decided to go to dinner there with a few friends. I guess you need a players card to get the 10.99 deal but that's ok, paid the $18 and immediately went in to meet with the rest of my party. Our server was nice and polite, she had our drinks in a timely manner and was just a sweet older lady. I ended up trying everything from each section. The prime rib was ok, the mussels were alright. Tried crawfish for the first time, I loved the flavor but think it's a waste of time for something so small...but that's just my opinion. The tex-mex side I enjoyed the rice and some chips and cheese, everything else looked like it was slowly drying out. The noodles on the asian side could've been better, had no flavor but I did enjoy their fried rice and steamed veggies. Potato wedges were ok, a little soggy and the creamed spinach was pretty good! Loved the cherry cheesecake!",Ye3o_zp2H1k7N8QRusWV4g,0,0,3,aAka4skXpRx7_FjElWneVA
