,date,funny,business_id,text,user_id,useful,cool,stars,review_id
422775,2015-11-05,0,luZoeAWYeroo2hl7vn-CrQ,Good customer service. But this place needs a good cleaning. Especially the restroom. It was filthy. Fecal matter smeared in the walls. It was not new either. Toilet paper and seat covers all over the floor. Dirty toilets and sink.,KzBcUpKchjaq2WtfafGv5A,1,0,3,hf9h3LZIpHliDJrSZ3whOw
755535,2015-12-17,0,luZoeAWYeroo2hl7vn-CrQ,Great food and great customer service been going here for years love this place lily one of the managers on duty when I go is awesome always smiling and very friendly don't change a thing but the prices lol,BKauO1TiVjE9cy6_f9cu8Q,0,0,5,tfZW__NZ_BlHTBS6eSnX5A
944609,2017-05-21,1,luZoeAWYeroo2hl7vn-CrQ,"This was the worst hamburger I have ever had.  Was a Western Burger, the onion rings, bun, bacon, and hamburger were so hard I could hardly chew it.  Ended up throwing it out.  TERRIBLE!  Never going back!  Drive through and it took about 15 minutes with only one other car in line ahead of us!",qBB900KT6Zeyt2mvwjV6yQ,0,0,1,AAlcUpSDVm5Er6sjfbPumA
1287398,2014-12-11,0,luZoeAWYeroo2hl7vn-CrQ,"I would recommend that you ignore some of the older reviews as this location has definitely improved over time. I used to constantly have errors with my orders; missing sauces, no straw, wrong side, etc. But I started going here again recently and boy have the cleaned up their act. Their employees are very nice and respectful. Over the few recent times I've been there my orders have been 100% correct.

I'd honestly recommend to stay away from the chicken since I've heard many negative remarks about their chicken. Their burgers are great, I'd recommend the Big Carl or whatever the special is.

Oh and try to find coupons, they are a bit pricey... but you do get a lot of food for what you pay.",QGxqWdgZLPzdzu30DhhDog,0,0,5,bHrVI2s5ZpZu2Jjz-uhXqg
1978445,2017-08-11,2,luZoeAWYeroo2hl7vn-CrQ,"the ""manager"" Exxie was rude and argumentative, they were understaffed slow to process orders and recognize customers coming in. One of the kitchen personnel dropped the bag with the barbeque sauce in it on the floor, she proceeded to pick it up and cut it open and emptied into the container with the bag touching the surface where food is being prepped. I expressed I no longer wanted my order which pissed off Exxie who did not care to know why nor care to get me my refund until after she helped another guess after she had made me wait after I had told another worker to inform her which was done within my ear shot.",PM-y-cZBJmt-knyE6Td_yg,1,0,1,iRQzV8GdD3dDi5Ek6Yb55w
2197867,2015-01-10,0,luZoeAWYeroo2hl7vn-CrQ,I ordered two Natural Burgers and I am happy to say that they were good and the service was quick and friendly. No complaints here.,o94O3WM5YALHda4Mxo91Bw,1,0,4,bRvpeNUZE20M2_5MtrhUhQ
2280566,2011-02-19,0,luZoeAWYeroo2hl7vn-CrQ,"Drive thru botched order by not including straws or dipping sauces. Does that warrant a one-star? I dunno, it's just stoopid.",-Vrb0dmE3AxJuJ0dyVY4NA,0,0,1,bJe4JPkT3I_67AAs7cadTQ
2407514,2018-03-12,0,luZoeAWYeroo2hl7vn-CrQ,So I come to this location often because its 24 hours and because they always have milk shakes. But tonight the girl that was working said she wasn't going to make a shake even though they are 24 hours,f3QV6nXC7X5gENEGmT3Qww,0,0,1,6oY4ROay5nuVMDvx61t-_A
2833307,2018-02-15,0,luZoeAWYeroo2hl7vn-CrQ,"Laziest and incompetent staff...they can't get even execute the most simplest order, correctly.

I've always enjoyed Carl's Jr.'s low carb offerings...this location can't be bugged to wrap a burger in lettuce...Kya, Server 000487, you suck.",QnYwLOQXYf72EJc9iFttog,1,0,1,q7JPQEtn7xFwarUt_P8TFw
2879198,2015-05-18,1,luZoeAWYeroo2hl7vn-CrQ,"Wasted ~30 mins at the drive thru at night just for the Diablo burger and some fries. Seriously?! This is unacceptable. They basically just have one dude there doing everything so that's why it took forever! 
Oh and they didn't even give me ketchup with the fries... Fail! Never again!",e-0zEgp_EK9oBbyQpyI71w,0,0,1,1kBuHzgpt4PJvKdbGFFuhA
3606734,2016-03-18,0,luZoeAWYeroo2hl7vn-CrQ,"Poor...very poor... We ordered our meal at 4:44pm and the lady taking our order forgot to give us our cups for our drinks, and proceeded to take the order of the kids standing in line behind us. There was no one else in line. We continued to stand there while she took their order and then walked away....we waited until 4:54pm trying to get someone's attention before the young man taking care of the drive thru window finally walked over to see what we needed... RUDE!! VERY! If someone is standing there obviously trying to get your attention you don't ignore them and walk away...if I hadn't already paid I would have walked out...but I can say I will not be coming back to this location.",AarqdZeQ29AtxzCfEC5UoA,0,0,1,HjPZlF7GtqZQWE8AI5cIqA
3825651,2011-02-28,12,luZoeAWYeroo2hl7vn-CrQ,"I knew better than to stop by here, but I was hungry and I no longer resist the temptation to try some of those ""fresh made"" Breaded Chicken Tenders.  I ordered a 3 Piece Chicken Tender, Bean Burrito, and Western Bacon Cheeseburger.  

It took a while for the food to come out....I guess they really do make them by hand.  The first item I had was the Western Bacon Cheeseburger.....once upon a time, this was my favorite Burger.  Now, it's just awful.  The Bacon doesn't even taste like Bacon.....it's that paper-thin, pre-cooked, microwave Bacon, blech!  And the Onion Rings inside the Burger were very poor quality....I took one bite and the entire Onion came out of the Ring because it was so tough.

Next up was the Bean Burrito....it was just ok.  I'd rather have a Bean Burrito from Taco Bell or Del Taco.  Don't know why I ordered it.

Last up was the Hand Breaded Chicken Tenders.....I saved them for last because if they were fresh, they'd be piping hot and I don't want to burn my mouth.  I bit into the first piece and yuck!!!  It was rubbery.....just awful.  I didn't finish the rest of them.....what a waste of time, money, and calories. Damn.

They get 2 Stars instead of 1 Star because the employees were very nice and friendly and the place was clean.  You can have your Happy Star!

Return Factor - 0.001%",QJI9OSEn6ujRCtrX06vs1w,14,7,2,Tz7wPGRZwewIHhg-g58zrg
