,date,funny,business_id,text,user_id,useful,cool,stars,review_id
97527,2012-12-02,1,mRgTkfoI3L-89a0oNMGAOA,"3.5 stars, rounding up to 4 because legitimate honest effort seems to indicate they'll get much better.

Located in the former Ruth's Chris location on Paradise Rd, Kelly's is in some tough company in one of the best steak cities in the country. My friends and I were excited to see how it stacked up.

Food-wise, it was mostly excellent. I'm a carnivore and I ordered a steak tartare and a prime rib. The tartare's flavour was wonderful, although the portion size was significantly smaller than what I am accustomed to. My friend ordered the French onion soup, which looked a lot more substantial. Wish I'd gotten that instead. The same friend also ordered an escargot appetizer, which was a bit of a disaster. They forgot to bring him a mini-fork, then forgot again after he'd asked. Not only that, even after procurement of said mini-fork, he was only able to extract the meat from 5 of the 7 shells. I took a crack at it myself (just being that kind of person) and gave up after another 10 minutes of poking.

To their credit, they removed the escargot from the bill. 

Oh, and they also gave us 50% off the entire bill. Apparently we'd caught the very last day of their opening week promotion. Nice!

For the most part, the food is definitely right up there with the top steakhouses in Vegas, so they've got the most important part down. There were definitely some service hiccups, these things are bound to happen when you have a new wait staff learning to work with one another. But everyone seems to be putting in a very good effort and I'm sure they'll work out the kinks. When it comes to a new place just getting its feet, attitude counts for a lot. As long as this commitment to improving service continues, Kelly's should be a solid choice for Vegas locals and regulars.",I_HmKYwFFK_0LXM5Upnf7A,7,1,4,M1p0foYEW7boP9dET2lQsQ
129089,2013-04-14,0,mRgTkfoI3L-89a0oNMGAOA,"Went in on a weekend. The bar was busy but the dining area was dead. We had gone to Ruth Chris a million times before where the service and food was awesome with late night happy hour food and drinks. 

We waited a Kelly's for 20 minutes just for the server. No manager around. 25 minutes later our app arrived. We ordered the carpaccio and for $22 we expected our money's worth. It came out bland and the small dry pieces of white bread. Definitely not worth the money. 

Between the waiting, the lousy service, the bland food we decided to leave. This placed is way over priced for the food the are serving and are on groupon for a reason. There are much better restaurants and steakhouses in Vegas. We won't be returning or recommending this place to our friends and family.",DAkJpz7xLlxg2A7qBFxUAg,4,0,1,ifZWEprj1Z9aXOrkiEGkpw
326135,2013-11-19,0,mRgTkfoI3L-89a0oNMGAOA,"Decent food but not great. So many other great restaurants in the area, I'll pass on this place in the future.",KSm53TiE8RcsuXn2RPzmdA,0,0,2,UM22qRKL3NUFqdkSjTxdyA
428136,2013-09-29,0,mRgTkfoI3L-89a0oNMGAOA,"Despite the mixed reviews, my husband and I decided to dine there this evening.  I'm glad we did!  The bar/lounge had a trio playing live music, and it reminded us of old Vegas.  The food was great as was the service.  The steaks were cooked perfectly, and we thoroughly enjoyed our dinner.  We will go back and are glad we found this place.  It's worth a try...enjoy!",ngZelOS8gBsjNZLkR5aG_g,0,0,5,3RPnhWPOffinGHExO-ujiQ
490885,2013-07-10,0,mRgTkfoI3L-89a0oNMGAOA,"For the prices they are asking, Kelly's is NOT a good deal. The lobster bisque was great , but the rest of the meal was severely lacking. For these kind of prices, Las Vegas has way better options. At $200 for a dinner for two, it should be a good dining experience. And it was not.",RzmLjDxc5_bzXwPKmu9rxQ,1,0,3,816_fHOMQdainWYlKM_ymQ
665300,2013-05-04,2,mRgTkfoI3L-89a0oNMGAOA,"The worst dining experience in Las Vegas.  I had a $100.00 gift certificate to Kelly's so I thought ""how bad could it be?"".  When we called for the reservation we were told ""we have space at any time, you don't even need a reservation""  ... I should have turned back at that point!!! Here are some low lights of our dinner...

* Escargot with rancid butter - $20
* 11 dollar bottle of wine - $45
* sizzler quality steak and canned crab meat (steak Oscar) - $60
* Ok quality prime rib (40% untrimmed fat) -$50
* The mac and cheese was actually good - $10
* Re-warmed garlic mashed -$10
* Banana's foster (ok if the ice cream was not pre- melted)  - $30

I can not believe this place is still open... I feel bad for the staff because they know they are serving crap.  The hostess looked like she was called in to work between shopping at walmart and going to the gym.... The place stinks too.  They have a saucepan of onions cooking in the corner?  What kind of smell are they trying to cover with that????


I have paid over $650.00 for a dinner for 2 and felt like I got a good deal... even after the $100 gift certificate at Kelly's I felt like I was ripped off!  I honestly must say that buffet lines down town have better food quality for $9.99 per person!",8s0WOSPxU77J4v_va5m4jQ,3,0,1,HhwFBJ8HLMweKQaSUJTizA
840215,2013-04-30,1,mRgTkfoI3L-89a0oNMGAOA,"DONT even think about it. can't even begin to express how f-in bad this place is. insanely  expensive for the service, food & atmosphere. even the waiter apologized.",GFd1-tfeqst6rJ4YMMBXWA,3,1,1,6H2U8JyG412F_N74fyIB1A
993554,2013-05-11,0,mRgTkfoI3L-89a0oNMGAOA,"Unlike the other reviews, my husband and I liked this restaurant.  The wait staff was pleasant and nice.  We started with escargot, which was delicious.  My husband got the steak and I had the farm-raised chicken.  The food was great.  For dessert, we shared the Godiva chocolate cake - it was to die for!",qqyTZTJuHAVwSM5SQyKmnQ,1,0,4,8Bd2gW6j9W9fR8USPMhVxA
1004558,2013-06-19,0,mRgTkfoI3L-89a0oNMGAOA,"IF YOU ARE LACKING MORE SALT IN YOUR DIET KELLY'S PRIME STEAK & SEAFOOD IS THE RESTAURANT FOR YOU .... Got this Groupon for Fine Dining at Kelly's Prime Steak & Seafood ... When we arrived we were greeted and ask if we had reservation. We replied, ""Do we need reservations?"" He said, ""No! 'Cause no one is here, So come on in."" [FYI he was right. At 5:30 PM on a Tuesday there was no one else in the dinning room. HOWEVER, The bar was full.] We were seated, given our drinks and had our food orders taken before the next table was seated. 1ST COURSE, was Calamari. It was cook correctly and tasted divine. However, the 2 sauce that accompany this dish leave much to be desired. Sauce #1 The ""Marinara Sauce"" tasted OK but it was so thick that when you'd dipped Calamari in the crunchy bit batter was left in the sauce and I was just eating perfectly cooked but totally naked Squid. Sauce #2 The Crazy Mustard base sauce was just an epic fail and needs to be remove from the menu. 2ND COURSE, I got the Lobster Bisque and My guest got the Cesar Salad minus the anchovies. The Lobster Bisque was so salty I could not eat more then a few spoonfuls. My guest got the Cesar Salad stacked high with those DAMN ANCHOVIES. Not wanting to cause a scene we simply mentioned the mistake to the waiter and push them off to the side of the plate. My guest later commented that the Cesar Dressing tasted like they had tried to doctor up some Thousand Island Dressing and did a piss poor job of it. MAIN COURSE, my guest had the Prime Rib and I got the Beef Stroganoff. First off If you remember I mention earlier we had our order in before the next table was seated. So why did we have ask the waiter if there was a problem with our order because everyone around us was getting there food before us. At the time there was only 5 occupied tables in the whole dinning room. After a few moments the bus boy / assistant waiter finally came back with our final course. At first glance it did not look appealing but we said well maybe its okay. But HELL NO! The Beef Stroganoff was runny and had a clump of sour cream setting on top. The food was not hot or hell even warm and it did not taste like anything, and I guess Kelly's is cutting corner because for something name Beef Stroganoff it had very little beef in it. The Prime Rib was over salted and had to ask for au jus and horseradish. FYI the horseradish was a joke it had no bite. I think the cook is clearly not a Chef and needs to return back to school and learn some new technique in how to cook at a real ""Fine Dining Restaurant."" Thank God for Groupon because if I had paid the full price there would have been a problem because I would have need to act a DAMN FOOL in Kelly's Prime Steak & Seafood. I don't think I would ever return back for the food but maybe for the drinks only. I don't recommend anyone to go and until they get a visit from that Restaurant Impossible guy to give them some help in cooking and service",_EyQUhSI_Ejp8gbIqMpywQ,2,0,1,f3VtfYO5AAYekO1jS9iF9g
1256955,2013-08-10,1,mRgTkfoI3L-89a0oNMGAOA,"The prices are high, but the food quality is not there. Do yourself a favor and go to Golden Steer or Binions Steakhouse.",vkHgiVP_LPEo_v7XpDaBFA,4,0,1,Iv7JRIOfMKK8n454UNlx-Q
