,date,funny,business_id,text,user_id,useful,cool,stars,review_id
138125,2016-11-25,0,meIoY_9NhN8ttxL7ZcpEYQ,"So the food is typical Burger King, but the service is stellar. Yes, at a fast food place, it matters. It was nice to be greeted with a smile. The coffee was strong and hot and the place was very clean.",xKdvTq2Q2xJj55EbjfuBpQ,0,0,5,BOmwP077gLZEPss4No7MHw
952668,2017-01-17,0,meIoY_9NhN8ttxL7ZcpEYQ,This place is amazing not only do they have an indoor playground their paper bags and employee uniforms all resemble a burger. It's the little things that count.,UmqC5dvKuNb3SWW_iFjseA,0,0,5,yPk-SeQyA4PauG2gZQtxhw
1459174,2016-03-23,0,meIoY_9NhN8ttxL7ZcpEYQ,Bad service.. Couldnt get a simple order asking for mayonnaise and pickles only correct on a double cheeseburger.,pLgB8QGVT_M0p5203X83Jw,0,0,1,uKepwbbP7u7-3c5gi8zqFA
1605688,2013-09-16,4,meIoY_9NhN8ttxL7ZcpEYQ,"The local mega wholesale retailer in the area went to Pepsi products....DAMN! I miss the their Coke.  It seemed the perfect combination of syrup and carbonation.  After shopping, I was craving a soda pop.  The GF and I stopped in to the BK to get one.  There was approximately three cars ahead of us, which one would think was not a big deal but at this particular location on a Monday, one might want to think again.  It was somewhere in the 8 to 10 minute range before we made it to the window.  While at the window I was told my one large Coke was $16!  The clerk at the window when I told him said nothing and turned around to get the manager.  The manager was nice enough and comped the Coke.  Serves me right....I probably should not be drinking ti anyways.",HJj82f-csBI7jjgenwqhvw,6,5,2,CmoWJtYuN2ha0E5jriH22g
1823507,2016-10-06,0,meIoY_9NhN8ttxL7ZcpEYQ,"Best BK there is!  Super fast, friendly staff, very clean, hot & fresh food every time.  Haven't done the drive through, so can't review that.",ASUjDCZzJf66FoiefL0hOA,0,0,5,Bd2yj3Pfnuzhx3DValGPaQ
1882749,2010-01-24,3,meIoY_9NhN8ttxL7ZcpEYQ,"I wish I can give a 0 star rating!  They have the worst service ever!  They got my order wrong, barely any of them speak English, and the manager was rude!  Workers like these give burger king a bad rep! Tsk tsk tsk!",wLc6l8v7O9hXjrDi3Q7tyw,2,0,1,w2zwksYu0hPdmHy2LVmZkA
2037127,2017-04-01,0,meIoY_9NhN8ttxL7ZcpEYQ,I went to this location and there was hair in me and my friends food and not just one piece of hair there was 5 pieces of hair in my tater tots. I brought it back in and she corrected it but at that point it made me not hungry because it was disgusting. None of the employees wear hair nets when they are making food.,1DBXdLnNN_WfH-jxp_6ulg,0,0,2,ylf_JFhWrp-XpwS7u_aT-g
2135869,2015-07-16,0,meIoY_9NhN8ttxL7ZcpEYQ,Great new staff.  Really turning this place around.  Friendly and consistent!  Keep up the good work.,tPpTE2F-x9ET5k2nXM7Nrw,0,0,5,5rNB0-Ybd97MpxmA5gbdfQ
2140506,2012-03-19,0,meIoY_9NhN8ttxL7ZcpEYQ,"Well, my order was wrong...but what I received was pretty darn tasty, so I can't complain too much. Fries were hot, and so was my sandwich.  That's about all I can ask for in a BK.",lQGJcwX105k17081f6pulg,1,0,3,Vf0tDy2djzLlC6imLibk6A
2265342,2013-12-18,1,meIoY_9NhN8ttxL7ZcpEYQ,"I normally don't have such high expectations when i go to burger king but this is too much. Worst drive thru ever! Employees were loud and smoking cigarettes right in front of the drive thru and their speaker wasn't working, all i could hear while the server was taking my order once they fixed the speaker all i heard was the staff talking and playing around, this place is a joke and the food was bad too.",49_0pBoLFXuAoFz0uNlO7A,0,0,1,Nb1TFwUuqOXo2yER1qB7OA
2434509,2017-10-13,0,meIoY_9NhN8ttxL7ZcpEYQ,"This place should be shut down by the health department.  low standards well it is Las Vegas what do you expect?  Microwaved bk veggie served hard as a rock.  Pathetic service careless about food quality.

Could not eat the food, it was the worst thing I have ever tasted.  They were too stupid to know how to cook it properly. Had to toss it in the trash  store #14498",X4vPTIPsOg9wSXs3sutshg,0,0,1,ALncBg5bvRrBdqwOvEuspQ
2541976,2018-05-30,0,meIoY_9NhN8ttxL7ZcpEYQ,Food is always fresh and the customer service is top notch. Very nice to have a place to stop by on the way home and have such courteous people to help me satisfy my stomachs desires.,-JLprFxicJWCFC9gPC4M1Q,0,0,5,5iER5bOL2xyD0TaZBzSETw
2635451,2014-04-22,0,meIoY_9NhN8ttxL7ZcpEYQ,"Okay i was super hungry when i walked in, so i expected like the usual, 5, 6min wait on my order, but the princesses in the front were to busy making their orders from del taco and writing them to one of the coworkers who was going to get it for them, they LITERALLY forgot to serve the food to 3 of the order which one of them was mine, then after 15 min ridiculous wait i asked if my order was ready they were like: what did u get? "" seriously???? They looked into my ticket and were like ohh okay, then i asked for a sauce,  she throws it in the platter!!! The worst costumer service ever, they messed orders and ppl started to get angry, these girls should not do costumer service.",EIUcOyy6jFrJwnIA9WuynQ,0,0,1,v34wU6tQpLIGc3_3o_aYUA
