,date,funny,business_id,text,user_id,useful,cool,stars,review_id
485938,2016-10-19,0,muD5-YKII_qOTRpbRWuOHA,"I go to this place at least 3 times a week because I live across the street.  When I first started coming here last year the service and the food were both good.  As of late the service is non existent and the food is ok when it finally shows up.  Tonight I was having a couple of drinks with a friend during happy hour.  There were only 15 people in the place.  I made the mistake of ordering nachos.  After 20 minutes I asked if they were almost ready and was told yes they're on the way.

After 35 minutes no nachos.  I asked to cancel them and I was told they're on the way.  I've made nachos once or twice in my life and know that it doesn't take this much time when only 3 other people have ordered food.  

after 40 minutes I told the bartender to cancel the order.  He then told me that if I was going to come in and order food then cancel it; to never come back again.  40 minutes for nachos?  He then started cussing at me along with the cook that tried to tell me that he had to cook the paper thin steak from scratch.

This place is always empty and I finally figured out why!  Too many options in Vegas to put up with this type of BS!  Never again!!  I'll go somewhere else to get ignored and get treated like crap!",Gtk0wiSbaYBfRvk7_VocOg,2,0,1,aZarc5Bq4YSJ-hV9HUwlIA
761282,2015-03-08,0,muD5-YKII_qOTRpbRWuOHA,The service was very good tonite ... No complaints on the food... Not my regular spot but I do enjoy coming here with the wife when we do...,k_jI8TeypNwvXQDHM7Z8eA,0,0,5,Gw6TEEhtAs31QfKDOnrrtA
767207,2016-01-25,0,muD5-YKII_qOTRpbRWuOHA,I've been to this PT's twice in a week. Both days different ladies are bartending. Came in with my cousin who is visiting from Cali to do some catching up!  Last time was a thick Asian girl second time big white chick. BOTH times terrible service! I don't know what we did wrong but the first time the lady was just flat out rude with an attitude for no reason. She was very short and looked like she was ready to leave (which she did and another bartender took over who was friendly hence the two stars). Second time was tonight. Came here with my cousin and co worker. They looked a tad busy so we sat down and played while waiting to be acknowledged since both bartenders were busy but then 20 mins go by and nothing. No one asks us if we need a drink or any help! The lady who was helping on our side wouldn't even make eye contact with us at all! So I cashed out and left! I'm so disappointed because this place is right down the street from me.,hd1Si9vS1hzoFy4ZfgQLYQ,0,0,2,YIFY_njkOn_hzs-H2iAVgg
993818,2015-03-29,0,muD5-YKII_qOTRpbRWuOHA,I have been going to this PT's for a little while. Its very close to my house which is really cool. Lisa and Angel are the best bartenders. They really take care of me every time I come in. The atmosphere is pretty good for being an older PT's. The food is very good especially there hamburgers and chicken wings. Another reason I come here its a pretty clean bar for being as old as it is. The drinks are cheap during happy hour too.,U0pUOShL5PhtCMjqSDHDWw,0,0,5,udgNrsUj1MsfbiMpk7kwKQ
1070306,2016-03-25,0,muD5-YKII_qOTRpbRWuOHA,"Many locals have their ""own"" PTs, this one's mine. Go in often for lunch, usually get the double burger special. Usually Kat is there to cook it, and usually Tracy is behind the bar. Both are always nice, and the burger always hits the spot.",bCt4_3qsz4yIXYVyKXsBiw,0,0,5,v0do9AyWB-uBvL8F7BFp1Q
1168567,2015-07-21,0,muD5-YKII_qOTRpbRWuOHA,"Great place, awesome breakfast. It is located in a plaza next to Jerusalem restaurant, foot massage place, and blueberry hill. I can waste a whole day swing between these places. 

Music is old school and that's cool. Had pt platter with breakfast and two ciders. Waitress is fun, can hold a conversation but leaves you alone if
you want. 3 in the afternoon and there is only one other couple in here. 

It's smaller than most other PTs around town but that actually makes it Kind of cool.",oA0vRJAzSOyy1c7f-xTEaA,0,0,5,a-uYYzw6z7QonT2C71PJcw
1267297,2016-04-26,0,muD5-YKII_qOTRpbRWuOHA,"Me and my husband come here regularly! Sometimes it's just us and others with friends. We live in the apartments across the street so we love coming here. The bar tender that works the graveyard shift, I think his names roger, is awesome! We're already regulars so as soon as we walk in he pours our drinks cus he knows exactly what we're gonna get! If you're there graveyard and this guys your bartender give him a good tip!",jEWNvHUoeJACjv_eJ2Xu2A,0,0,5,eQ5znGM3kHbPHHWTvs6d8A
1720402,2017-10-06,1,muD5-YKII_qOTRpbRWuOHA,Sometimes PTs can have a revolving door of bartenders. I hope they keep Serafina. She's been here two visits in a row (and is one of the friendliest bartenders they've had here - Larry is great too). And I think she digs me (but probably not).,bqjZQ8XtuFG1EAOsZiLbqw,0,0,5,kGKWNRIaqL0vfQqpcW-duA
1948185,2014-07-09,0,muD5-YKII_qOTRpbRWuOHA,"The PT's bar here is great! The staff is really fun and the vibe is very relaxed! But there are better, and need to work better on sanitation! Good thing is there great locations and ope 24/7",PFGKh12660u0AesoQwNTbA,0,0,3,h2PdNTX2keHVwgpiljU0LA
2017503,2013-12-30,0,muD5-YKII_qOTRpbRWuOHA,"I've been to a lot of PT's pubs over the years with mixed reviews. Actually there's a few that I've only been in once and will never go back. 

I used to frequent this location quite a bit years ago when Tommy and Chuck worked it, and haven't been back since they left. 

However, ""Yeah, Yeah!"", Wolfie's in the house. Love what he's done with the joint. It's a nice crowd. The place looks great.  Very comfortable. 

He's a true professional, personable bartender. A dying breed in Las Vegas. Good conversation when it's not too busy, laughs, and don't get him started on the Bruins and Red Socks (I'm a Red Wings and Tigers fan so we got that going). 

And it's not just him, the entire staff is dialed in. Everyone makes you feel welcomed and comfortable. Like they actually enjoy working there and you being there. Not like they are just waiting around for your tip. 

I may have never come into this location ever again, even though it is close to the house. But now, it's on the top of my favorites list. 

If you liked him at Rainbow, you'll love him at Flamingo!",7Pu4MGcnSbTV2DW5XbZG4g,0,0,5,-mylGwhxJyh1_x3CQ0MvEA
2187254,2013-06-10,2,muD5-YKII_qOTRpbRWuOHA,"I woke up in the middle of the night aroudn 1:30 a.m. hungry. Yeah, I said it, I woke up hungry!

Happy Hour is from midnight to 2 a.m. It used to be until 3 a.m. Since I only had 30 mintues left, this one was the closest to my house. Got there, it was kinda packed but not smoky like other PT's. 

Sat down, Chris the bartender was by himself. Poor guy. But he was pretty attentive and knows what's going on in his bar. Got a black velvet and oh man, too much cider not enough guinness. Ok, so I said I was hungry but the first thign I got a was a beer. Haha. I ordered the Gilroy pizza which is a thin crust pizza with Italian sausage, pepperoni, mushrooms and dices tomatoes. 

Delish! But I could only handle 2 slices, cause I was already full from my Black Velvet.

I'd come back here if I wake up again in the middle of the night....hungry. Haha.",oS2O8YQ31HTSTQgPQKc7Cg,2,2,3,v5mMkmYmrGCj6pKw3_KU_w
2250160,2018-03-24,0,muD5-YKII_qOTRpbRWuOHA,"PT's is my go-to neighborhood bar to watch a game, play some video poker, and have a few drinks. It's almost always empty, so you don't have to fight to get a drink and the bartenders are very attentive. No frills, just a cool dive bar with clean toilets.",2idMtK-InBZzic_Mv3TEAg,0,0,4,WjiAd2f8yi9c9JbXMxdZnQ
2298520,2015-10-17,0,muD5-YKII_qOTRpbRWuOHA,"Surprisingly good food! This place started out as a place we'd go for Happy Hour because it was near by. Now we go there just to eat, and we have even ordered their pizza TO GO!

It's not just a bar/pub, their kitchen definitely exceeds expectations, check it out!",y_EoV4zj1aHrxzrpVbYCBw,1,0,4,IPhbR_DS5zdcA9_lSHZ5FQ
2344102,2017-06-04,0,muD5-YKII_qOTRpbRWuOHA,"I went there with a friend he had an international driver license and he's 26 years old, the manger over there a girl name Tania was so rude to us and basically kick us out becuz a valid international driver license that can b use for driving in the us plus entering to all the high end clubs in town isn't enough for her and she just having a bad day or something and humiliating there guest when the place is empty. I would never go there again. Thx a lot for the attitude Tania.",59Wh2YkeAMY1MrkKwAMq-w,1,0,1,HbrI-d3mlPi02_7r5KPFbA
2360891,2013-04-28,1,muD5-YKII_qOTRpbRWuOHA,"Sometimes I forget that this PT's is here especially since the Marie Callender's that shared the same parking lot closed down a while back, I don't venture in the area anymore.  With all PT's they have their 50% off Happy Hour for drinks and pizza which run from 5pm-7pm and 12am-2am.  It's next to liquor store and massage places.

I decided to write a review because I thought the bartender was awesome.  She showed us what was under her top...just her tats.  She's cool not gonna say her name but she already knows she's cool. She even hooked us up with a pitcher.  She was very friendly and always came by to talk and check on us while tending to the other people there.  She is also a lot smarter than the guy bartender at the PT's I usually have no choice of going because she knows how to redeem my free beer with Yelp check-in and knows you don't need a printer to redeem.  I ended up not even using the check-in offer.

This PT's was clean like most other PT's I've been to.  It had a pretty chill environment with shuffleboards and billiard tables.  Plenty of TV around so you don't miss any of action.  I liked the movie posters that were scattered around the bar.  I spent some time looking at them cause I love movies.

I finally tried the pizza.  They weren't that bad just difference more like pizzas you'd get from the groceries store.",vWP8-aQX0rYJszqkWVL7Ew,1,0,3,AbvCNgLVMt6CXFa7z7b_TA
2611455,2014-10-31,0,muD5-YKII_qOTRpbRWuOHA,Very nice PT's. Some in Vegas are trashy but this one looks clean and nice on the inside and they have a great happy hour :),0oSaWZX0uSkYTDD4ZF_YYA,0,0,4,95ELcTUo4zaopjIpoBgX3A
2657001,2016-09-16,5,muD5-YKII_qOTRpbRWuOHA,"Roger is the only bartender I care for here. He always give great service no matter how busy and always keeps a drink in my hand! The nachos are my favorite things to eat here. They also have really amazing early morning country fried steak! It's only $5 too. There's a lady that works mornings and she's horrible. No service, forgets to give people their beers, and doesn't tilt the glass when she pours it. What a shame. I don't remember her name sadly. They have a bunch of pool tables and a cool little sit down area separate from the bar. It's in the same plaza as Blueberry Hills! It's perfect for those who don't want to spend $15 on a drink at the strip!",Nhk0jTP2gkU12G4LHJVR3A,8,9,5,FQxqjtGwn_AyxJmCPrv4sw
2727799,2017-02-15,0,muD5-YKII_qOTRpbRWuOHA,"So I am definitely impressed by the change in service.  Tanya has seriously improved things there as the service is the best it has ever been.  The drinks are never empty, bar is always clean, and the place is back to fun atmosphere.  It has made  a difference with having a regular and caring staff again.",q-vntOfaAW3lzPA1WdEzGg,0,0,5,D9XTZ8_C9qv-Wc1vftBt9w
3277347,2016-05-19,0,muD5-YKII_qOTRpbRWuOHA,"I love this pts because of Roger. But if he's not working at night it's not worth coming because the partner guy with the slick back hair doesn't really care for taking your order if you don't know what you want right away. I called him over to get a drink at least 5 times and didn't get anything from him. But Roger makes it worth coming. Other than that the dude sucks.

PS. His name is Peter. Be on the lookout.",1MLNbDTXh3AwEyU6dWJfBQ,1,0,2,D2SMtt1FDUyFJcm60fLG4Q
3362241,2017-07-26,0,muD5-YKII_qOTRpbRWuOHA,So this is not my favorite place to go I was just really craving a a club sandwich the good thing is is that it was close by and I got my club they put too much mayonnaise on it but I'm okay with it. I like the one that's closer to my house but this one was just kind of kind of close by I was just leaving the mall and I wanted something to eat and I was in Chinatown area and I didn't want Chinese food I wanted something different so I ended up getting that,1H_dFThL-mPlCAqgOWN6JQ,1,0,2,j0csgkVWNQbST5a-PuzjYA
3585751,2015-01-04,0,muD5-YKII_qOTRpbRWuOHA,The deals for happy hour are amazing! Half off on 16 inch pizzas AND half off on any drink!! The bartenders are all really friendly and attentive! Lisa and Angel are the best! Food is yummy too!,UbgKHx_4oAqNOIV0ymeu5g,0,1,5,63f5YxkwkMxeE0jPEV6F0A
3639632,2010-09-04,0,muD5-YKII_qOTRpbRWuOHA,"This location is NOT closed.  We ate there yesterday.  My husband has been to another location, so we stopped here for a bite before heading out of Vegas.  Although it says bar and grill on the outside, it is really BAR.  They do have a full menu of sandwiches, chili, and these new buckets of wings, fries, etc. 

We sat at the bar and ordered, the bartender/ server was friendly.  There were several people sitting at the bar either drinking/ eating/ gambling/ all 3. 

It was dark in there like a bar, but the food was rather good.  We split both the Cuban (ham, terrific pulled pork, pickles and grilled onions) and the Philly cheese steak topped with Cheez Whiz.  LOL.  We also had sweet potato tots and garlic fries.  The garlic fries went REALLY good with my Copperhook beer!

Overall, seems like a great local bar to hang out in.  Food is pretty tasty.  Service was friendly.  Didn't get any bad looks from locals in the bar.  Ha. ha.",ddZffVYvHsCIhylU5UG-dA,0,0,3,dk8PVJ0CotB_arFG12b3NQ
5013530,2014-08-27,0,muD5-YKII_qOTRpbRWuOHA,"I didn't even know there was another PT locations as this is the only one I have been too. I've been here 3 or 4 times from my trips to Vegas and it is a great pub to grab some food, drink some brews, play pool or just chill. The bartender is awesome and the drinks are super cheap during happy hour. 

When I came here on my recent trip, we had a huge party who didn't want to go clubbing and just wanted to chill and relax. This pub is spacious, still has game machines for the gamblers, and the service is awesome. We had ordered 3 pizzas, and 2 chilli tots, the server accidently gave up 2 chilli cheese fries, we told him about the mistake, his quick response was, ""sorry about that, would you like me to make you chilli tots for you?"" At no additional cost, he gave us the fries still and with a quick response like, that honestly gets an A+ in my books. So we ended up with 3 pizzas, 2 chilli cheese fries and some chilli cheese tots.

They also got shuffleboard.",DFih6Bhiw6_slNN5z39c4g,0,1,5,em9WymKdrd_Ad2PYUEBUuA
