,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1400,2016-04-12,0,n8Zqqhff-2cxzWt_nwhU2Q,Great service . Courtney was lovely and cute :) will return for the steak and Mac cheese .,X3nYQKm_zLsPB2-l8ntf2g,0,0,5,C-TpkrLXQHHq130w2TXuKQ
4979,2015-08-17,0,n8Zqqhff-2cxzWt_nwhU2Q,"My wife and I have been waiting to go here for a while, we finally made time to bring the family in. We went around 11:30, it was pretty busy, We were seated right away, which was good because we brought both kids. Our waitress approached us as soon as we were seated and let us know about the menu and how everything works. We ordered for our kids right away and orders drinks for ourselves. My wife ordered a bloody Mary and Our waitress recommended a beer for me, so I decided to go with it. When she returned she brought the Bloody Mary and the kids drinks, 20 min or so went by and still no beer for me.... My wife decides to ask the waitress and she said there must be a problem at the bar, I noticed she went to the computer and put my beer through because she must have forgot to put it in. got my beer another 10 minutes later (30 min after I ordered it). The kids got sliders, and we ordered the huntsman burger and calamari to share. we got the burger (no side plates) and kids sliders but no calamari. The burger was delicious! once we finished our burger we asked the waitress if the calamari was coming out still. She went to the kitchen and returned with no calamari and told us our order was bumped..... Not sure what that means or how that happened. We get the calamari 10 min later and ask to get it to go since we were already done with everything else.  The food was ok, the service wasn't so great.",xCmoFHyhcYeKxiUz6w1lWQ,1,0,2,jW8MNU43z6hH9sco_7BX0g
16434,2015-07-10,0,n8Zqqhff-2cxzWt_nwhU2Q,I think someone forgot to tell the people behind the bar that there are hundreds of great bartenders in Vegas looking for jobs. These people are very rude with no smile. Artisan beer really? Served with horrible food? I can get better beer and food just walking out of that place. With wonderful food drink and service all around them they are due to fail. Go ahead try and pay that large rent with you poor service and food.,cJI8N_ZRZElYr-QZ7BzQMA,1,0,1,KgvtFifEajqSFfDjC0f12w
17293,2017-07-25,1,n8Zqqhff-2cxzWt_nwhU2Q,"Went to this restaurant on a rare night out and I was not impressed. The atmosphere is really loud, and definitely not the right place for a date night. Seriously, I could barely hear what my husband was saying sitting right across from me. There were not that many food options (just one side of one page of a menu) and the prices were a little higher than I was expecting. The service was not that great either, as we rarely saw our waitress.

The theme of the restaurant is well coordinated, so that I appreciated. You are in for menus that look like composition books, and napkins that look like lined paper, along with a variety of other cool themed decorations. The hummus plate we ordered was very good, but the cocktails we ordered were terrible. I couldn't even drink mine, and felt bad that I had paid so much for something I didn't enjoy. 

We were having such a bad time that we left after appetizers, so the food may have been amazing. However, the atmosphere and limited variety of meal options turned us off. We might try this again, but I'm not sure it would be worth it.",r_DOwFXtp1IVVcUXwKxn4w,0,0,3,rSJmsZi_chLTYI88D39N2g
46472,2016-08-27,0,n8Zqqhff-2cxzWt_nwhU2Q,"Great family dinner at Public school 702 last night. Our waitress Emily was fantastic and chef Jason is amazing. Try the watermelon, heirloom tomato and mozzarella platter. Never would have put these things together but it was delicious!!",2JtwBtftsIG19lpYUVkmrg,0,0,5,grICcmij2eKVHTlG7JiZpA
51205,2016-06-29,0,n8Zqqhff-2cxzWt_nwhU2Q,Loved our service tonight! Katie was great and made it a fun night.  met all of our needs!!! I have a tendency to be a needy customer.,P7ys_0eDbMOYFh1CC4Fipg,0,0,5,8wB8Uh2oNqX0jAuBdgDYQw
52419,2015-09-12,0,n8Zqqhff-2cxzWt_nwhU2Q,"Great weekend brunch!  We enjoyed almost bottomless bloody marys, stuffed french toast and the huntsman bacon burger, YUMMY!  Wow service from the front door greeting to our fun server Ruth. The school theme decorations are fun and create an excellent atmosphere.",W1Gz09S9iazxwptSTJ0Dpg,0,0,5,js54nZONaECtQWg_rm1rnQ
57904,2015-11-08,0,n8Zqqhff-2cxzWt_nwhU2Q,"I have eaten here 4 times with 4 different friends. The conclusion that I have reached is that the back of the house (food) is well run while the front of the house (wait and bar staff) is not. 

Their menu is creative and the food is quite good. In the past I have ordered the brussels sprouts salad, the shrimp and grits and the salmon. The food was delivered in a timely manner. 

However, they have staffing issues. On the server side, I think they are just short of experienced servers. The couple of times that I did not eat at the bar the server had a trainee with them. If the restaurant succeeds, this should correct itself.

My criticism of the bar staff is more problematic. With the exception of one nice fellow, Simon,  the boss bartender and the other staff were condescending and slow to serve. I felt as if somehow I did something wrong or that I was sitting at the losers table.  Las Vegas is home to the the world's best hospitality workers. Can't they find people that like other people and want to make them feel welcomed?  Each time I have been to the restaurant I have had a similar experience. Managers wake up! You have a not nice, too cool for school attitude percolating in the front of the house.",m2qgkTYhtqWn0i1FwaI-ZA,0,0,3,7BeX-sHIoAa4QewDOMfmbg
58977,2015-11-15,2,n8Zqqhff-2cxzWt_nwhU2Q,"Great food, good service. Came in for a first visit and was definitely inpressed. The menu is a touch fancy but ask for a recommend item and you wont be disappointed. 

Our server Sheri was legit, ( had to ask to spell her name, and thats the only thing we needed. ) 

Even the frys are good. Soda comes in a glass bottle ( coke ) which i prefer as it is made with real sugar!  

The sauces and specials are house made, and tons of good rotating beers on draft. We will return",JK6Y5mzD6hFsRsyxVPOCRQ,2,2,5,2a0mRRIbmpzVud9ZbwWaMA
61388,2016-12-11,0,n8Zqqhff-2cxzWt_nwhU2Q,This company definitely struck gold with the manager Shaun!!! He visited our table after our server messed up our order ( I don't remember her name) anyway Shaun made it right. He has a glowing personality that made us forget about any issues...,JAPEHOiEfv2btaRngjICGA,1,0,5,d0YuUWd1pR0ViNl98CQYZA
