,date,funny,business_id,text,user_id,useful,cool,stars,review_id
78173,2017-09-10,0,nI-ZmgPjAtiNTTU-_gnoYQ,"Wonderful dinner place! Delicious food great outdoor seating, good service. Definitely recommend!",Dh-Le9sz5G0s25AGsSq7Nw,0,0,5,4MSMyuEGkj5uj7_0kcHyXQ
108553,2016-01-15,0,nI-ZmgPjAtiNTTU-_gnoYQ,"The garlic knots are so delicious!! Clams with linguine lacked luster, but the pizzas were pretty good. I like the atmosphere and the convenient location. There is a cute outdoor patio and paper table covers so you could color/draw during your meal; I thought that was a nice touch. Seriously though, I must repeat myself, the garlic knots are pretty insane.",AHjL9W6zA4g_8rrI-zeAEQ,0,0,4,2zOZCptzJn8xtOK37uhZDA
147915,2015-07-06,0,nI-ZmgPjAtiNTTU-_gnoYQ,"My family decided to eat out this Sunday. We yelped Italian restaurants and saw the four stars so decided to give it a try. The restaurant was clean and the staff were attentive.  The restaurant was not busy(maybe a third full). The food had little to be desired.  The food was no better than the popular Italian chain--they even use the same boxed pasta! We started with calamari which were rubbery and greasy and served with an odd colored ""red"" sauce that was actually orange. I had tortellini with Alfredo sauce which was melted butter mixed with cream and very watery. No herbs or flavor whatsoever.  The tortellini was not house made and over cooked to boot! They were happy to take my tortellini and remake something else but after eating a stick of watery butter from my first bite, I lost my appetite.  My husband ordered veal parmigiana but the waiter brought some odd fried meat with a salad on the top!  Oops. My son ordered chicken parmigiana.  He said it was ok. We were out for a family meal and my son ended up eating alone while my husband and I watched.  Right about the time my son finished eating his meal my husbands actual order came so we got to watch him eat.  Not exactly the family dinner we had in mind.  Very pricey for ""chain"" quality food.  I would not recommend this restaurant.",KIDzHhZvKZkelmVTc2pGWQ,1,0,1,ZnOEgsJ9ljywNkW50O2kcA
167087,2016-07-11,2,nI-ZmgPjAtiNTTU-_gnoYQ,"This is a nice Italian restaurant in Downtown Sumerlin. I have eaten here at least 6 times since they opened. Sometimes it's just me and my wife, and other times with our (grown) kids.
When it's just the two of us, we usually start with the calamari. I'm not a big fan of calamari, but at this restaurant, I make an exception. I've tried the calamari at Red Lobster, and thought I was chewing a pencil eraser. The calamari here was better than any other I have tried. I actually finished the large portion (I did have help from my wife).  If we go with the kids, we will oder the antipasto platter. Yes, it is pricey, but it's a generous size, and the quality of the meats is first rate. I'm pretty sure the prosciutto is imported from Italy.

  For my main course, I seem to be stuck on the salmon. I really like their spaghetti with meat sauce, and the veal parm is awesome, but the salmon does it for me.  It is always tender, juicy, and flavorful.  It even tastes good the next day for lunch, when I can't finish it at the restaurant because I ate too much calamari or antipasto.  Oh yeah, if you have room, the carrot cake is awesome. Get three or four friends to help you finish it.
 
 I see in a couple of reviews people were complaining about slow service. In all the times I've been here, I have not had that experience.  The staff was very friendly, and the service was professional.  Obviously if the joint was jumping, like on a Friday or Saturday night, it takes a little longer for food to arrive, but that's how it is at any busy restaurant. 

  Do yourself a favor, next time you have a taste for Italian food, and you're near Summerlin, check out this place.  They have indoor, and covered outdoor seating.  It's a great location to ""people watch"" while you are enjoying a drink and a great meal.",tLq1YP87NW0W_gKo28GitA,0,0,5,XzTNWPXtjXG_jQcSf58Sxg
203868,2016-08-30,0,nI-ZmgPjAtiNTTU-_gnoYQ,"My husband and I were vacationing in Vegas and our friends said don't leave Vegas without going to Trattoria Reggiano.  We trust them so off we went for lunch today.  Our waitress, Ricki was so friendly and helpful  we asked for her recommendation.  I had soup and my husband had lobster ravioli. OMG food was fantastic but Ricki made our meal extra special.  Besides being helpful with our food choices she is friendly and never got annoyed with our numerous questions.  When we were ready to leave we hugged Ricki, by then we felt like she was family.  We will recommend this restaurant to everyone who goes to Vegas and it is a must to have Ricki as their server.  We will be back.  Ricki is a definite asset to this business and deserves kudos.",tU24lSHvA7hUO0E8qBR6fg,0,0,5,skLoMa9QfUQ0cvQ4fWOXeA
232142,2015-07-18,0,nI-ZmgPjAtiNTTU-_gnoYQ,"I prefer other foods than Italian. Pizza is pretty much the most Italian I'll ever eat. I thought pizza is oh well another pizza
 But oh no !!!. The pizza I had was outstanding   It's the Quattro Stagioni. Ummm. Yummy.  Ingredients were fresh. Crust perfect.  Our waiter Wyatt  (and no his last name is not Earp) was very attentive. Overall, am visiting AGAIN !!!  
Grace & Pete",QL7rjsC69zkKbenRRL801g,0,0,5,YlMoIAOOseaTmmYcYgfZ0w
233784,2015-11-21,0,nI-ZmgPjAtiNTTU-_gnoYQ,"I went here for dinner tonight with my son, and I must say I was not pleased. I ordered gluten free pasta with chicken and no butter. The waiter said that the chicken was going to be dry. I said that I would rather have it be dry than to get sick from all the oil and dairy. When the food came, I was surprised to find out that my chicken was breaded. I don't understand why they would give me breaded chicken with gluten free pasta. The waiter never came back after that, so I tried to take off the bread unsuccessfully and ended up giving the rest of my chicken to my son. He got the linguine with shrimp pasta with a watered down sauce that he said was disgusting. $85 later, I feel like I was robbed and have a stomach ache. I wonder if that pasta was really gluten free. My recommendation is that you don't go here and go to the many other places around.",2F-5TW-z5DTzzXUycKX7DA,1,1,1,vcdj7AsPjk-swEcORr6u2g
290679,2015-06-25,0,nI-ZmgPjAtiNTTU-_gnoYQ,I have found heaven on earth.  There are not enough adjectives to describe the amazing meal my friend and I had last night.  If you are looking for a TASTY gluten free pizza look no further. I have tried endless gluten free choices for pizza and this was by far the BEST I've ever had!   We also had the filet mignon meatballs which were RIDICULOUS and the eggplant rollatini melted in your mouth.  Finally an Italian place in Summerlin that brings you back to New York Italian.  Yummmm!  Can't wait to go back and try more.  My neighbor was eating penne Alla vodka and RAVED about it so that is next!   Oh and did I mention the staff was friendly and service was thumbs up!   Located right next to movie theatre in downtown Summerlin! Thank you Trattoria!!,4i3bfDc1CK5meMnU2UYO2w,1,1,5,g-y_hl4wOnJq13chuTwcLg
298260,2017-03-26,0,nI-ZmgPjAtiNTTU-_gnoYQ,This was our first time dining here and we were impressed with the service. Everyone was very friendly and efficient and they took excellent care of us even though it was a busy evening. The calamari was excellent. The baked clams were very good. The Caesar salad was good as was the lasagne. The lobster ravioli was the only thing that didn't live up to its billing. All and all it was a nice evening and if you are in the mood for Italian it is worth trying.,yLCsv3QheMmnZJyKgDdSqg,0,0,4,yWhS54xouPSwU7ehnXbkqQ
301410,2015-05-18,0,nI-ZmgPjAtiNTTU-_gnoYQ,"No wait on a Sunday afternoon.  Expect to wait if you go on Friday or Saturday night (I tried once before and was told 1 hour wait .... no thanks).  Great selection of Italian dishes.  I had the lobster ravioli and wife had the linguini and claims.  Both were very good.   The flavors were very authentic. Lots of claims.  Also had the espresso martini that was well prepared (not too strong on the alcohol and a good espresso flavor)

Another big thing with this restaurant are the complementary garlic knots.  They are great.  They have olive oil and vinegar on the table, but some butter might also be nice.  Also, when we got our first batch, they were very cold and I mentioned this to the waitress who said ""Ohh, they just came out.  So do you want a new one?""  Yeah, right -- they just came out (15 minutes ago).  Nice try.  The correct response is -- ""I'm sorry, I'll get you a fresh batch right away.""  But they were replaced with a hot fresh batch about 3 minutes later.

In fact, if I had any complaint, I would say that our server was not the most attentive (took a while to bring drinks, took a while to bring the bread, the aforementioned breach comment).  The other complaint was the prices -- almost $70 for lunch for two with no dessert and one martini drink (including tip).  A bit pricey, but this is appears to be the new norm in the bourgeois downtown Summerlin area, so I guess its to be expected.  

The dessert tray looked good (and I would like to try the TIramisu) but I was full so will have to be next time.  Anyway, I will definitely go back and try out some other things.",4BN6fq_Glvkgx6Su8dUiAQ,1,0,4,SBj4axKgZgSJoyXJw-zhug
