,date,funny,business_id,text,user_id,useful,cool,stars,review_id
20264,2015-05-09,0,nTc-Qj_-ABZrpM9YSpJ6jA,I love my tocino & bangus. I love the taho. I love it all!,LoTj1vS41ifdRPlXcS-URg,0,0,4,gmh86BOZnr5c2xGn-YO8JQ
30968,2012-01-08,0,nTc-Qj_-ABZrpM9YSpJ6jA,"Chow King, like Jollibee, is another Filipino fast food chain that has made it's way to Maryland Pkwy all the way from the Philippines itself!

They have a mango shake, ube shake, calamansi tea & other asian inspired drinks.
They have other filipino dishes like palabok, bangus and garlic rice, longaniza and garlic rice, and more.

Sounds like a great idea, but the food just isn't that great. If you're hungry, you'll eat it, but you won't enjoy it as much than if you went somewhere else like D.J. Bibikahan or Pinoy Pinay.

The seating area is clean. There is a TV set to the TFC channel.

You will probably never specifically crave Chow King.",_5i-gReOmEts7CLmnZXZ6A,0,0,2,Vds0Aj_sc25neVSaC7qIlQ
177825,2011-08-23,0,nTc-Qj_-ABZrpM9YSpJ6jA,"their tapioca on the UBE shake is old, the tapioca is hard. Bangus tasted good tho.",uGR5GR0G2KN8TlbijUYx2Q,0,0,3,Brj-d6TlsHpdIpMxfxI_Ig
179841,2012-01-30,0,nTc-Qj_-ABZrpM9YSpJ6jA,Cant go wrong with the tocino/bangus combo and top it off with an ube shake!,5sHQCEAEiKHgPXqpsRVWvg,0,0,4,B-qsCx54Z0cq77zEg5nNZA
183683,2011-03-13,0,nTc-Qj_-ABZrpM9YSpJ6jA,"Ug! Having spent time in the Philippines I thought it would be awesome to eat here.  That was an unfortunate mistake I shant make again! Not even nostalgia could save this train wreck.

The food:
Garlic chicken and pancit (noodles) side seemed like they were made yesterday - dry and nasty.  The halo-halo (sweet ice dessert with gelatin and other various mix-ins)  was awful too.  The only thing I got that was any good were the Buchi (sesame balls) but they were way overpriced, and a mango shake that was pretty good.

The service:
I think the woman that rang me up was a manager and she was so rude right off the bat I should have left but I was hoping to bring back some good memories with tasty grub. DEFINITELY should have believed the previous two posts.

AVOID AT ALL COSTS!!!",EEea2ps3ih22yxaKMrZrlQ,2,0,1,BfAQ1-tM5qvCNJcJKEAhwg
252873,2011-06-08,0,nTc-Qj_-ABZrpM9YSpJ6jA,"I'm so dissaponted with their food. Basically, I should say their food can be serve to the homeless. The chicken are cut so small and so bony. The food itself look and taste cheap but their pricing expensive. The food are serve in styrofoam too. The sesame balls are very small, better to buy at chinese rest. Soup so salty, pancit so pathetic. Halo halo is good but jollibee is better. This place is below average compared to Salo Salo grill. If they are expecting me to pay for their price of food then I would expect a good dish.",6qy-KyWF0VFncaGEgi1QQQ,0,0,2,RmSQaLjCiW3nTJCQ17xtpw
258096,2011-03-12,0,nTc-Qj_-ABZrpM9YSpJ6jA,Ordered fried chicken that was dry and I ate some bone fragments. OMG!  Pancit was bland.  It was not good at all.  Will not be coming back to try anything else. (,f5IFcFHro5_fgXDFTs6khg,0,0,1,IJuHYYgw6DE7k1Ho80W2Ug
314829,2013-09-18,0,nTc-Qj_-ABZrpM9YSpJ6jA,"As someone who does not have Filipino fast food by us, this place is always a must stop when we are is Vegas. Dimsum/siopao is great, breakfast longanisa is awesome and the garlic rice goes great with the meal.",TUnWOw9GGYEZ9QHX-YAdOw,0,0,5,IyS8LKTyelZXh2oX1LP3cg
322423,2013-12-16,1,nTc-Qj_-ABZrpM9YSpJ6jA,"I go to this restaurant strictly for halo halo and dessert ""drinks"".  They are pricey, but they are good.  But, because they are pricey the tech should be very aware of keeping a standard when building the dessert, especially when a guest orders multiples of one dessert! They should be made with the same portions each time.  My desserts were missing the essentials of halo halo and unequal portions, too?!  Come on guys and dolls!  2 stars fell off for consistent inconsistency with my last couple visits.",EkF5gkKG_OZAGP0C7cYSMg,1,1,3,U1byrtPipbgJrNYfjhfp5Q
353867,2017-06-24,0,nTc-Qj_-ABZrpM9YSpJ6jA,"Came here during a lunch rush and i didnt mind waiting, but when my order was ready it sat on the counter for 5 mins. If i would have known it was mine i wouldve gotten up and grabbed it. I didn't know it was mine until the cashier looked at the receipt and called for my number. The food had a good taste but it was very greasy to the point that i got a stomach ache. I dont think I'll return.",f2OUieGKrQKT8JUF0k7J0Q,0,0,3,E1NttXU6-vGtbxNl0YnxVw
