,date,funny,business_id,text,user_id,useful,cool,stars,review_id
205972,2014-07-01,0,nl2nsBi9U3sW1R34nF0s0Q,"This is my favorite place to come to when I am home sick. I love their flautas they are the best. Anytime I miss El Paso, TX I just come here to bring back the memories. Another great quality about this place is their staff, I've been here numerous of times and they are always so nice and joyful, and never have an attitude. They make it feel the way it is back home.",cCO_FRwe_XHfMuQuKAfuIg,1,2,5,REPXXEzCL9XmC0Qf-x4ylA
310760,2014-08-25,2,nl2nsBi9U3sW1R34nF0s0Q,"I felt as though I was sitting in Juarez/ El Paso. The tacos are delicious - elote (corn with cheese) was fabulous. Taquitos (flautas) - WOW!!! Food was fresh, warm, tasty, perfectly seasoned! I can't say enough wonderful things about this place. 

Now - let me warn you - it has absolutely NO atmosphere. It looks like a renovated McDonalds. You go up to the counter and order and sit down at a McD's type table. ""Silverware"" is plastic. Food comes on a plastic tray on a paper plate or paper french fry type holder. 

You don't come here for the atmosphere - you come here for the food!!!! Yes, the location is quite seedy - but it's just one block north of the 95 off Eastern. Excellent prices!!! If you are from west Texas/southern NM it will take you back in a heartbeat! 

To everyone else, you MUST GO HERE to try authentic TEX -MEX FOOD!!!!!",jhcgwMjFKvEORQ3NucJnTg,2,0,3,kfN_AQoBe2qtBkCvQ5_IJg
747004,2015-11-28,0,nl2nsBi9U3sW1R34nF0s0Q,Great food and staff. Always friendly! The elotes are amazing! They are spicy just how I like um. My kids love the churros,-eVyA_VvUSeaNYlkOelt5A,0,0,4,afZCHuY0rJNEgmfeaeH_yw
874189,2016-03-21,0,nl2nsBi9U3sW1R34nF0s0Q,Love everything about this restaurant must try the torta de colita de pavo so delicious,GHwHR3H7Ousj-d06I511eQ,0,0,5,7h_5FjVRMQ3Z-20IM2iJtw
926589,2016-02-20,0,nl2nsBi9U3sW1R34nF0s0Q,"Best fast food in town!! If you're looking for a fancy place , this one won't do ; but the quality of the food is great !!, they have home made tortillas (priceless) and those ""colitas de pavos "" ( turkey tails) MMMMMM!!! Delicious!! 
Staff here are very friendly ! Recommended !!",uSueNs92RTAZfeSmEekyIQ,3,0,5,ww4pdejE95BgyKoJIVDkOg
1044776,2017-06-11,0,nl2nsBi9U3sW1R34nF0s0Q,"I'm originally from New Mexico, and I'm used to authentic mexican/ tex-mex food. But when I moved here to vegas, I was unable to find anything that sold authentic mexican food than this place! Since I found them on a little drive, I've been coming here almost every Sunday or whenever I have a day off. Their El Paso flautas, which you can choose any kind of meat that they offer on their menu, I get shredded beef, and they soak in red chili sauce with cheese on top. It's by far the best food I've had!! 
Plus for those who like and know what menudo is, this is THE place for it!! 
Always clean, always friendly and super fast.
Everything is made right there In front of you, all to order. Like I said, if you want REAL tex-mex this is the place to be at!!",asXu9IFVavphqZyyBCbyvQ,0,0,5,Jx1FSBMh0K8El0oVuEyOeg
1058565,2016-06-16,0,nl2nsBi9U3sW1R34nF0s0Q,Well for starters food wasn't terrible but wasn't all the hype that I've been told either i grew up in el paso loving the actual Chicos tacos and a few family members have and actually some still work there. Next the hrs this place has is ridiculous first the place right on the building says closes at 9pm and thats not the case and second who in there right mind closes up shop on a Wednesday please....as to the staff i have been there a few times and in the visits that i have been i have seen almost all the times are very dirty and how they handle the food prep area makes me think twice and also sometimes as well give kind of a attitude when taking your order. I met the owners before when they just opened up on Durango can't say anything bad about them seem like nice people but unfortunately we always as shop owners have to be at the mercy of good help ..I KNOW THIS FIRST HAND. Just really wish they would change there schedule and get better help food can also use a bit more flavor maybe some salt (just saying).,tZZL7WLN3Db4riiYwkfI9g,0,0,2,LEEzsrR9LHiRkc5fpr8Ysg
1333511,2016-05-28,0,nl2nsBi9U3sW1R34nF0s0Q,"Very very friendly service!  I am not from El Paso but I can appreciate the El Paso/Juarez food.  Have tried about everything on the menu and have not been disappointed.  I personally have enjoyed the tortas most.  With your choice of meat, every meal is an adventure!  Highly recommend this place.",xaCbry4lT-DSksD1QBD48g,0,0,5,AhLj-9ZcG9Qpehct0RhesQ
1433448,2014-08-28,0,nl2nsBi9U3sW1R34nF0s0Q,"I have ate here several times. The food is always delicious, hot and fresh. The service has always been very good and friendly. In my opinion they are better than Chicos Tacos in El Paso, Tx.",pe_AO6qMofKWm2t0nrcQzQ,0,0,5,xDEOfsP5disZ305WQqnkbw
1448089,2014-09-21,11,nl2nsBi9U3sW1R34nF0s0Q,"The double order of El Paso taquitos will be the highlight of your day. Crisp yet saturated in sauce, messy  by the end of the meal but on point in flavor.

The barbacoa, on either a burrito or a taco, will make you miss home. Throw on some cilantro and onions from the salsa bar before you take it to go and try not to cry as you eat: not only is it perfectly soft, it's also full of flavor, unlike other places.

Surprise menu hit: the turkey neck! Ordered it as a torta but my order was received wrong as a ""side"" in a taco, but the cut of meat is still perfectly flavorful and fatty and fried fresh.  Probably best as a torta, will have to order it again.

 For the reviewer who said it's inauthentic to use yellow cheese: we're talking about  hood border food, not the meal you got while at a resort in Cancun, don't let the door hit you on the way out!",bLbSNkLggFnqwNNzzq-Ijw,13,10,4,DdSOj9t8Dourl1D5_KRhOA
