,date,funny,business_id,text,user_id,useful,cool,stars,review_id
29099,2015-10-29,0,nlsibvBeSc8vfus2KuQatA,"Love their ice cream!  So different from store bought.  When it is hot in Vegas, this is a great place to cold down and indulge in their delicious sweet creations.  There was a line when we got there, but they did not have a good system so people do not jump the line.  They need to work on that, otherwise, they could have people who get offended.  The price is a bit high, but the quality is top notch.",K_QO2xwKTmZsPKLTymMQRQ,0,0,4,v6R1DlX47Tfhj7yajkjjmw
45286,2015-10-03,1,nlsibvBeSc8vfus2KuQatA,"Omg! The best ice cream ever! Get the four scoop sampler because it's too hard to decide on just one flavor! Now I know what you're thinking, ""the four scoop? Oh that's too much! I really shouldn't!"" Yes you should!! So many flavors, you have to try each one because even though you have probably had mint chocolate chip ice cream before, you've never had it like this! And you HAVE to have the buckeye! The ice cream is so creamy and rich it's hard to resist licking the plastic container your four scoops of deliciousness comes in, and ok, I almost did lick the container when I was done but a stranger would've seen me (my brother and sister in law would have to but they would understand and not judge me). Regular ice cream will never be the same.",HYTDtKEcSlr2N5BJ8kFcZw,0,0,5,rCjXreqF4zTUsg-lQUU6yw
122621,2015-01-26,0,nlsibvBeSc8vfus2KuQatA,"The opening of this Handel's location has been a Divine Godsent gift from the heavens above. Oh, try the banana creme pie or graham central station. Those are amongst their best flavors. But really, if you want a taste of summer, Handel's delivers it well.",TcOkF7pqlawVaaP3WMmGgg,0,0,5,jsC2_lHzBfjjbTPDc-F4Aw
182855,2015-04-25,0,nlsibvBeSc8vfus2KuQatA,"This is the creamiest ice cream I've ever tasted.. The taste is simply unique. Wish they had an actual done in area, it was pretty windy trying to eat our ice cream. But otherwise it was D'lish!!!",r0DTbMIoWIr_8N72WHG2aA,0,0,5,5aF1MHerCiCnWD-5DK2oAg
280505,2015-02-25,0,nlsibvBeSc8vfus2KuQatA,"You can taste the quality! Now they don't have one on my side of town (probably a good thing...for my a$$ size) however, if you find yourself nearby, deff dont pass up! 

I fond this place on dollar cone day, which happen to be a Saturday..score right there. And you're thinking $1 cones *tiny*, nope..3 scoops atop a sugar cone (I tipped my scooper- that's how we do things in Vegas ya' know & he might have been a bit heavy-handed on my $1 cone)  - I'm not complaining! They seem to also have deals other days of the week too.

So 4 starts: The only thing I was disappointed in was the lack of seating outside. It's a walk-up window, which is fine, but non-existent seating is a dealbreaker. Lots of families, running, yelling kids (its an ice cream joint on $1 cone day right!?!) but the lack of seats made the commotion a little nerve racking for me. It was a nice day outside, I can only image what chaos summer will bring, I hope they invest in more seats...its like a missed opportunity on their part.",tBKKKEG4U2v0oH_mtCYHyg,1,0,4,Mu5h7WVtsPDtx03Nq2LGNg
324926,2015-06-28,0,nlsibvBeSc8vfus2KuQatA,This place has tons of different flavors to choose from. If you're sick of the typical fro-yo places all around town give this place a chance and you won't be eating fro-yo again!  Spouse Like A House and Buckeye are the best two flavors.,8MuFajCdcDkSaJ18d6Z_Rw,0,0,5,KDkJwtVEEojq6KsrpaNhaQ
368353,2015-01-25,0,nlsibvBeSc8vfus2KuQatA,"Being from Youngstown, I was thrilled when I heard Handel's was opening in Las Vegas...and a mere two blocks from my house.  The new location reminds me of the ones in Y'town....walk-up windows, no seating....great ice cream.  Some are a little richer or sweeter than I'd like (choc.  peanut butter and chocolate raspberry truffle), so I stick with chocolate malt w caramel, banana creme pie, chocolate pecan, or chocolate marshmallow.

The only two downsides:  the walk-up and the wait. That said, that's how it is in Youngstown, so why expect different here?",J54YiMdysf6-2Ph_vIt2BQ,0,0,5,PJWL0GiCpV2DBq5q4oMvmg
398397,2017-01-25,0,nlsibvBeSc8vfus2KuQatA,I give Handel's 5 stars because I always search for a blueberry cheesecake and never get what I want. And Handel's Blueberry Cobbler ice cream hits the spot. So delicious.  Blueberry swirls and rich creamy sweet ice cream with cookie/pie pieces mixed in.  I'm a happy camper,H5oCw5k3gsCPmTMYLORfAg,0,0,5,-SNuNseF4ik4BwtUejanVQ
399805,2015-10-28,0,nlsibvBeSc8vfus2KuQatA,"I would rate them lower if their ice cream wasn't so good. I always get Oreo ice cream (simply because their board is overwhelming and I don't know what's in any of the funny nicknames for flavors) but I'm reluctant to come back because the customer service is always less than desirable. First, there isn't anywhere to sit because there are always people sitting on the ONE bench outside, so by the time I get home and comfortable to eat my ice cream, it's melted. Second, there is just a stupid window which makes you feel completely isolated from the person making your ice cream when they literally shut the window while you're talking. And last, the people always take forever. What are you doing back there? All you have to do is scoop the ice cream... I'm not just talking about something I don't know about... I work at coldstone, so I actually know how long it takes to ACTUALLY mix the ice cream. Theirs is pre made, so it makes no sense on why it takes so long... Their ice cream is good, but not worth waiting forever and getting the window shut on you",6-Pbxf6ukNNiatwRwNdirg,2,0,3,X37PTWSk6v0cgjYOWQFIBQ
446431,2015-06-12,0,nlsibvBeSc8vfus2KuQatA,Lots and lots of fun flavors and good prices.  We tried the 4-flavor sampler and loved all four of the ones we tried.  Looking forward to going back and trying more.  I only wish they had an air-conditioned seating area!,9JSCHAgXnzQnna1a3crJOA,0,0,4,ke2VAQDmalxHZ0DWVHAANQ
508609,2015-04-23,0,nlsibvBeSc8vfus2KuQatA,"Tried this place several times with several different flavors of ice cream.  Each time, I came away thinking the ice cream was average.  It is pretty soft...almost a hybrid of hard pack and soft serve, and melts pretty fast.  I would not say it has the high cream content of higher end ice creams.  Just does not have that special creamy goodness.",c0n7Zxwq-nX1IsHoD5ik8w,0,0,2,QtQ7rEL1m3oAsekbr6U06g
512876,2015-05-26,0,nlsibvBeSc8vfus2KuQatA,"Coconut cream is my new favorite flavor!  So creamy with plenty of coconut flavor.   I have been here several times, and the ice cream never disappoints.  The banana splits are the best...traditional!   My only reason for dinging 1 star is the wait....sometimes it takes awhile to get your ice cream, especially if there is a line.",x_Men2agHTy6ao9YGFQv-A,0,0,4,HLgzRPt38QKvPqmn4bnJrQ
537311,2016-02-29,0,nlsibvBeSc8vfus2KuQatA,"Cannot seem to figure out the best flavor. I am a Chocolate flavor person by heart. The banana split is waaàaaaaa6yyyyyyyyyytyty too big. But the ice cream itself is nice and creamy and full of flavor. I like this joint but it gets busy and when you have kids just hanging all over you while you wait it is almost too much to wait for. Anyhow, this ice cream is worth it once it's your turn.",vwW4XpHF_VYzy6BWdnlN6A,1,1,4,xcyfII_P9s61hgNf2kz0tw
558507,2016-06-06,0,nlsibvBeSc8vfus2KuQatA,"Solid ice cream creations.  Very friendly staff (and accommodating) and fast service.

Will be back",a78UtAr8-T4I9TqfeA4ySw,0,0,5,M9uA5JcoxDGp33Kv-ENoWA
607994,2015-07-25,0,nlsibvBeSc8vfus2KuQatA,"Who doesn't love ice cream on a boiling hot day? There are so many choices here, the worst thing about it is trying to decide which flavor to order! We went with banana cream pie, which was fantastic. Super creamy, really tasted homemade. 

I'd recommend doing the four scoop sampler, though, simply because you get to taste more delicious flavors!",91S2DEb-Tu2l0pSCv8C_ZA,0,0,5,ifKRjKKW2VWPL4A7wjONKw
637016,2017-01-07,0,nlsibvBeSc8vfus2KuQatA,"Wonderful ice cream and the seasonal flavors make the experience even better! 

They get slow on tuesdays ($2 Tuesdays) but still worth the wait. The Peppermint stick and blueberry cobbler are my favorite.",GIDRoVSwGANdkOPAkaHjYA,0,0,5,aC3zjxMAIhxzFisQCx75rw
