,date,funny,business_id,text,user_id,useful,cool,stars,review_id
24276,2013-09-02,0,oN_A87dyVD2FBk7coLnhCg,"This is a cool concept - Mexican express in a gas station. I'm addicted to their Chile Verde. Carnitas Burito is mucho delicioso!!! The poor guy is often alone - cooking, taking orders, cash register, packing to-go food..  but its definitely worth waiting! Towards the bathroom there's a funky seating with few tables, chairs, couch..even massage chairs and foot massagers while you wait for your food. Don't know what to say about this seating/waiting/dining area combo .......cute?  maybe convenient :)  Definitely my Mexican express!",n_TY6rd1wXZBczBaOaK6Rw,0,1,5,eV_icNtCk8qbVhzwBSBC6Q
46580,2016-07-12,8,oN_A87dyVD2FBk7coLnhCg,"BRUHHHHHHHHHHH

This place is the bomb diggity. One man show, my dude is taking orders, flipping tortillas, FaceTiming, and watching Espn deportes at the same time. 

I usually don't mind the 20-30 minute wait for my burrito but god damn it, it was well worth it. Probably the best Carne Asada I've ever had. Period. and this is coming from a guy who flew to San Francisco and UBERed to El Farrolito to get Carne Asada. That good, and this guy's shop is clean as hell.

You can never get a phone order in because this guy is running around all day 8-5pm. 

CARNE ASADA BURRITO no rice, no beans and sub them out for SOUR CREAM AND CHEESE, thank me later (no drake)

I'm hiring this dude to make tacos at my next birthday forreal..",LTD2NAIin8vBRFHv9CKrfw,5,0,5,S1kP7ilonMKMgXLXKgiEJA
60547,2013-06-18,0,oN_A87dyVD2FBk7coLnhCg,"Had my oil change done this morning at Choice gas station, and decided to have breakfast while my oil change was getting done. The place is call Chile verde, OMG!!
There chicken burrito is soooooo freaken good, way better than most taco shops. The place is very clean and the service was quick. By the time I was done with my food my oil change was done, Now that's service!! Before I took off I ordered another burrito to go since I enjoyed it so much.  I will definitely be back before my next oil change is due.",L37Sl7MNYnyugc-682LQwA,2,0,5,C9VHhkaVoWuiYzpOvGr6rg
124254,2015-03-29,0,oN_A87dyVD2FBk7coLnhCg,Great food and customer service food is delicious and always fresh red salsa spicy i usually get a carne asada burrito (huge) or adobada fries (super delicious and good amount) definitely worth every penny,Kh0oe2kzwq9wMulv-pObEQ,0,0,5,xA-nEGcyXiyp1tLUfxwm_A
124682,2015-04-28,0,oN_A87dyVD2FBk7coLnhCg,"I'm born and raised in San Diego, Cali. And all I got to say is that the food reminds me of home.",Er1QVHrAJe4Jt8AwauN_xw,1,0,5,57DZ346CPTzoa7J7m2KELg
213067,2017-04-27,0,oN_A87dyVD2FBk7coLnhCg,"You wouldn't expect a great Mexican place to be located inside a gas station but hey, it must keep the costs low because you get a lot of great food for the buck! The first time I went thee I stood in line and the guy said ""I heard this place was the best"". Apparently word gets around! If you don't believe me then here are some facts that tell you why:

1) They only accept cash. That means they get enough biz not to care about accepting credit cards

2) I see the same clientele frequently (good repeat customers)

3) There is only ONE cook and he works hard and keeps his food consistent.

So the bad? Well, lunchtime can mean long waits because of number 3 above. They are not open on Sundays nor past 5pm. Sometimes they don't always open at 8am either... which means I can't get a breakkie burrito before work :(

Those things said, it's still a great place. Just try to hit it during the less busy times.",LLlNZBoKDSCOjTzi5pCZRw,0,0,5,9k1npMd889u7LQj2V2IOEw
287277,2015-10-03,0,oN_A87dyVD2FBk7coLnhCg,"Super quick, always like to get mixed breakfast burrito.  Impressive how fast he can get these orders out.",sHrZaI6beSY_osgMdlIWww,0,0,5,eySFLlEsiWYXiUmC5bkXfA
331375,2016-04-23,0,oN_A87dyVD2FBk7coLnhCg,Wait was long but the food is really good. And the portion and size is amazing.,BRb5_XeA5VQsE9U_HM1kGw,0,0,4,ytH2XY2_ta_3jacTEc6Tlg
348236,2017-04-05,1,oN_A87dyVD2FBk7coLnhCg,"The food was great! My problem was having to wait 20 minutes to order, completely being ignored while I was trying to ask for a fork and everyone else being served even though  I ordered first. IDK what Carlos problem was,  maybe over worked bc he was alone or he just didn't like me as a customer. Too bad, I love mexican food and would've been a regular customer in the future since I live just around the corner and hate too cook.",0ESzseM_uTpm6Re8gxZ17A,0,0,2,65zGT-aZ8dv0M0nKHPbQJA
374069,2015-07-11,0,oN_A87dyVD2FBk7coLnhCg,Best Tacos In Town And It's connected with a gas station and car wash 3 in 1,fY83-8eNuqUNtw-BRTWrdw,0,0,5,Knt0N3lTZe9QGxZ7wYQpKA
393271,2015-07-17,0,oN_A87dyVD2FBk7coLnhCg,"Carne Asada Super Nachos for $7.99 -- so good! Ingredients were fresh and lots of flavor. Huge portions of everything, especially meat. 

Cash only (no cards or checks). 

One person working (taking orders and making food). Went at 3:30pm and there was no wait. 

Seating -- some bar stools (6 maybe). I didn't see any tables though. 

Located inside the gas station.",XQic4MgyGwotV3qYG5GNMw,0,1,5,ziE9qK_r_glHyxYyP15B-w
437822,2015-11-07,0,oN_A87dyVD2FBk7coLnhCg,"Oh so good! Food was nice and hot, very flavorful, customer service with a smile. Their hot salsa is very spicy but addicting. Been here twice and the food takes a little longer but hey, it's not a fast food place, the food is really good and worth the wait over and over.  Visiting from California and decided future Las Vegas trips will never be complete without a stop at Chile Verde Mexican grill!",w529RLkExZRuKC5Z9aL5AQ,0,0,5,U5aFSYFu2r9iTlL7GDI_3Q
