,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4738,2017-12-05,1,p5PRvPUhJrA-QHhm5xOU7Q,"This is my happy place!  Discovered it about 3 weeks ago and I've been here 6 times.  My husband and I have tried the philly, gyro and burger. For me... I can't stay away from that Philly... the perfect ratio of mushroom, onion cheese and juicy meat.  It all blends together to a perfect, almost creamy bite every time.  Everything is made to order so it's really hot and fresh.  I love the steak fries that are always well seasoned.  The restaurant itself is very clean and the staff are very nice and polite.

I keep telling myself I'm going to try the gyro salad but I'll save that for after the new year when I get on the scale after the holidays.  For now I'm blissfully happy just thinking about this hidden gem.",wEY8mnSM6P1v0PAwNcN_GQ,0,0,5,s6wEt5Sf58xKS9VfRnDDJQ
29616,2014-03-09,0,p5PRvPUhJrA-QHhm5xOU7Q,Better than the cheesesteak I had in Philly. Flavorful.  The right ratio of meet and cheese.  I love the chicken Philly and the fries are fresh.  The owner is awesome.  He goes out of his way to make you feel welcome.,9IiiKwwXl_S4_qunuzbgYA,1,0,5,Wg_OJZ9ktfC8mE0IfmtA2A
83846,2016-08-21,0,p5PRvPUhJrA-QHhm5xOU7Q,"Worst Greek salad ever. The guy didn't know how to make one.  He put in weird ingredients that doesnt go into a Greek salad. He put in white onions not red, corn nibblets, pickles, green olives, black canned olives, some green beans. It was supposed to come with a side, and I wasn't offered one.  It was my first and last time. It did have feta,lettuce, tom, cucumber and oil and vinegar.",iVYoPrzv7MHmrYdY1sFZMQ,0,0,1,_k3lpKtIjFm0_6DRA-5ruA
90460,2013-06-12,2,p5PRvPUhJrA-QHhm5xOU7Q,"They were closing up but invited us in anyway. Everything was put away and they still said they will take our order. We're getting it to go so. I'll have to comment on how good or not so good later ;-)

After I read the reviews about how salty the fries were, I asked the guy behind the counter if he already prepared them.  He had, so I mentioned to him I was going to ask him to go light on the fries.  He said he would pick out the the light ones LOL

We brought our food home and it was pipping hot!  I have to say this was the best Philly Steak Sandwich I've tasted since I was in Philadelphia many many many years ago 1980's!!! 

I bought 2 combo's, #2 on the menu.  Sandwich, fries and a soda.  My son upgraded his sandwich to a foot long. The price came to $24.00 and some change.  The sandwich was awesome!!! Fries are over seasoned so if you can ask for NO season, or lightly seasoned!",1tRZCWlt2BEm9FlTaaiGLw,3,2,3,0b6361HxyOJpIShab8VbIw
91538,2014-02-27,0,p5PRvPUhJrA-QHhm5xOU7Q,"This place is delicious! I consider myself a picky person and this place is amazing! Expect to wait a little while, because they make the food while you wait! No heat lamps keeping cheese steak warm! Delicious food made to order! I was incredibly impressed! I got the philly cheese steak with chicken instead of beef, fries and a drink for $8! I have no idea what they do to this chicken to make it so delicious and moist, sing it lullabies? Bribe it with candy? No clue, but whatever it is, it works! My husband got the chicken salad for $7. The chicken salad was HUGE! And came with a TON of chicken on top!!! He kept raving about the pickled veggies on his salad. I did. It get any because they were ""too good to share!"" This was our first visit, we will be coming back!

I forgot to even mention the bread! Oh, the bread! It is super super soft, and tastes like it  was baked in the oven of God himself, by cherubs. Incredibly good.",Gt8psDZqgY6eYfc5ywGxEg,0,0,5,OwxxzY0DgLVnzji81oR8-g
129746,2013-05-21,2,p5PRvPUhJrA-QHhm5xOU7Q,"My boyfriend and I have been waiting for this place to open for-ev-er and when we finally saw that it was open, we were ecstatic........The next night he went in there to get us a couple of Philly's and fries and see what else they have. First off, their menu is two thirds greek/mediterranean food. They should change their name to Gyro Express. Second of all, the philly he got wasn't that good and they offer only one size (unlike, say, Capriotti's). Thirdly, I got the philly wrap which was a disaster. Now the menu says philly wrap with salad, but the salad is ON the wrap. Imagine ooooey gooooey warm greasy philly meat and cheese lumped on top of some shredded lettuce, cucumber, and carrots. Disgusting to say the absolute least. We will never eat here again",fFa6jTQxtondIeZ3FzOwwQ,1,1,1,ZvEEcP4SAzSFN0O5GuXqIQ
130750,2014-03-06,0,p5PRvPUhJrA-QHhm5xOU7Q,"Our first time eating there and what we got were AWESOME fries and great service. Those are the only two things that I can say positively about Philly Steak Express (oh and maybe that the hockey game was on the tv, in Vegas, hockey is rare). Got the good home and I started in on my gyro and ""ok"" is the best way to describe it. The pita was good, the meat was dry and the sauce was just glopped on top. I have had better gyros from the mall food court. My husband had the cheesesteak and he said it was ""eh"". We also got the chocolate bark (which I thought were thin brownies) to share. He ate his and said it tasted a bit tangy. I took one bite and got a giant strand of hair. When I looked at the packaging, there was a little sticker that had written on it ""Best by 2/27/2014"". It's March 5th. I'm not even going to bother with taking the bark back because of the $3 it cost, but seriously! Check the package guys! I totally learned my lesson. We won't be getting food from there any time soon.
Also, and it's not the places fault, the parking there is AWFUL. 7:30 on a Wednesday night and there was only one spot open.",6pKbF79HXMHeT0qGe--lgA,1,1,2,Xn1rzNXf2cnn-WWRKvc8vA
226805,2014-05-09,0,p5PRvPUhJrA-QHhm5xOU7Q,"the best philly  steak and gyro in las vegas they challenge all philly steak in town .since i try the gyro ,now i go there some times   twice  a day .love it they are the best of the best .",qsjLPofRez1Ic_fZuPK7CA,0,0,5,mR-DhwxRHzQtFoXz2DtvOQ
281668,2014-04-12,0,p5PRvPUhJrA-QHhm5xOU7Q,This place is really good!! Had the gyro and it was good!!! Next time will definitely try the Philly cheese steak.,nWjoYSDuV8RutD8tQ3xcKw,0,0,4,Yu2sGIYDBB-he5VcZWHYcg
378118,2015-09-14,0,p5PRvPUhJrA-QHhm5xOU7Q,"Service was poor as the workers were rude to my boyfriend & I. Not only that, but they also tried to get away with charging us $3 more than what we were supposed to because they tried to say we ordered a combo but they didn't even give us the drink?? Shady.
Not only were we disappointed by the service, but the food as well. I ordered the Greek salad, which I thought was a safe bet, but I guess not. There was more cheese than lettuce, and the 'balsamic vinaigrette'? More vinegar than anything. I ate about 2-3 bites and I stopped because I simply couldn't eat it. My stomach now hurts, I'm still hungry, and I'm $15 poorer. 
My boyfriend ordered the gyro, and was disappointed as well, described his food as too salty and tasted more like Mexican food than anything. 

It is safe to say we will never be coming back here again. If you decide to try it, hope you have a better experience than we did!",ZRF95OOgUAFLKTs8vhmdEg,0,0,1,llNjy8rXsfNoK5Qxbe7bqQ
