,date,funny,business_id,text,user_id,useful,cool,stars,review_id
729405,2013-05-04,0,p91DHXkz5o_k825LwQPK9g,"Cheap cheap food!!

It can get slow, but cheap and authentic!

Ordered a big family size Shrimp Fried Rice, Beef Chow Fun, Hong Kong Style Noodle, and extra rice and side of broccoli for just $25! Ate them with my family of 5, got bloated with leftovers! Real good deal.",OVKWEfQLseKcdn9iV2aiwQ,0,0,4,k-ojXMOQTLUype_MW3zTQA
1132069,2017-12-21,0,p91DHXkz5o_k825LwQPK9g,Had the pork shumai and pork buns. The shumai was so good we decided to go back and order the shumai for catering. I ordered shumai party platter for 30.50+ plus tax around 6ish. The guy told me to be there at 7pm. I arrived at 6:58 pm and they told me it's going to be 15 minutes more as they started throwing it in their pot. Then the guy told me we're busy. Some advice from someone whos been in the service industry for awhile. Work on your service and and appearance. Don't have your family hang out in the front and clean the place up. Looks like a hurricane went through there.,4eP_nOIFp2gbVOZ6O9dVUg,0,0,1,lR_2uGOdaoz0ikBFF3dEAg
1208911,2015-05-03,6,p91DHXkz5o_k825LwQPK9g,"I've ordered from here 5 times now, but this is the absolute last. Really good Chinese food, like this place is a hidden gem... but wow, incredibly HORRIBLE customer service. Whether I call the day before, 6 hours before or an hour before -- you will ALWAYS have to wait 30-45 minutes sitting here to get your food. In my last case, 2+ hours.

What set me off is I made sure to call at 12 noon to make an order for a party tray and asked for it to be ready for pick up at 5:30. I had to sit here for TWO HOURS for a pick up? What pissed me off is there was a guy waiting for the same order (who walked in after me by the way!) and he told me he called to make his order an hour ago... YET THEY GAVE HIM HIS TRAY FIRST. Mind you, we ordered the same thing. Just ridiculous. I even complained, they seriously didn't care. I called over five hours in advance! I was here before him!

The food might be savory, but what is a business with shitty customer service? NEVER AGAIN.

PS, the inside of this place is disgusting. Makes you second guess eating the food too. Gag!",cQrnxjgVBhjAcOJttw48aw,7,3,1,JsC4n_h0lo_l9HHVgWaiNQ
1302264,2015-07-10,0,p91DHXkz5o_k825LwQPK9g,I love this place I alway go here but food and I love their salt & pepper pork and shrimp fried rice!!!!!,0TTgKFHG9ZC5qRVer8T62g,0,0,5,M8ewDjvDwy3x1RgVb7Qf6Q
1607585,2017-08-01,1,p91DHXkz5o_k825LwQPK9g,This place is disgusting. Walked in and right out as soon as I saw hair in their food.,dg5p-YLRAHHHsfJtwASQNQ,0,0,1,IqWyMnwlI5dD3sw7Hwb0xQ
1645703,2015-04-06,6,p91DHXkz5o_k825LwQPK9g,"I drive past this place constantly but never really hear about it- good or bad. Finally stopped in for takeout and was impressed with the quality and selection of dishes. Cafeteria-style ready-made dishes available as well as a large menu for fresh-made food, takeout is their specialty but they do have a few tables to dine-in as well.

SALT AND PEPPER PORK CHOP: Gigantic portion, flavorful and good quality cuts of pork. Wish there were a bit more peppers and onions for added flavor.
SINGAPORE NOODLE: This is more or less a combination pan fried noodle dish with veggies, chicken, bbq pork, and shrimp, along with tons of veggies and noodles. Portion size can easily feed two.
BOKCHOY AND BLACK MUSHROOM: Simple but good, generous portion.
BEEF & PORK SHUMAI: Better than expected, and much larger than other versions elsewhere at dim sum specialty places. Bit less flavorful than expected but still better quality than most would associate with the location appearance.

Most dishes are a flat $9, their ready-made combination meals are also really affordable. Service is polite and prompt, if the order takes a bit longer than expected they may tuck in a few Hong Kong donuts in your order gratis.",bLbSNkLggFnqwNNzzq-Ijw,9,6,4,yc4dEbLUtgUMwfn7VdS99A
1820300,2014-12-30,5,p91DHXkz5o_k825LwQPK9g,"I have never eaten inside this place and I probably never will... but call ahead and order your food and make sure they make it fresh... you will not be disappointed. 

Best deal in town or anywhere I've actual ever ordered from for shumai (large pork/shrimp balls wrapped and steamed commonly seen served at dim sum dining. The owner makes them himself fresh, and order from them... they sell 62 pieces for $30. thats a deal! We tend to order from here whenever we have to go to potlucks or we need to cater an event. 

Their cooking is fresh when you order from them, otherwise if you base it off the food they have displayed... it looks dried and old... but surprisingly when you get catering from them... they are hella generous, always give a little more, like free donuts. and when I order tray of lo mein from them... they don't just fill it to the rim... they fill past the rim and pile and pile the noodles in the tray and it's the foil that keeps from spilling out!!! they ain't stingy with servings here. 

They have awesome fried cream cheese wontons... and they're cheap!!! 12pieces for $6.95 you can't beat that price, coz you order from Rice N Noodle (not to bash on them) but you get 4 pieces for $5 something I think... just saying. 

Honestly I would give this place a 1 or 2 star just based on the place and display of the place... but they really are a ""Rice To-Go"" establishment... order your shit TO-GO or by the trays so your food is bomb bomb and fresh!! and you'll save money than ordering anywhere else. So rightfully I have to give 3 stars for awesome affordable cheap pricing, good food when you order, and for the best LARGE shumai in town!",nRdfX_I0CaOq7lJunJMPpA,8,6,3,fvFVncneUEIvsBjOtJ5o_g
1961675,2018-06-20,0,p91DHXkz5o_k825LwQPK9g,Pork hash is winnahz here if you don't know now u know suckahz hahaha jk phone ahead cuz I does take long and they also have rice cake for sale,prm2Llw_LRtLNnGrXdsWgg,0,0,5,ZUbcIdYrCP1VjIrbeDWnoA
2068705,2018-02-19,0,p91DHXkz5o_k825LwQPK9g,"We were in vegas and ready to go back home to LA but my husband wanted to eat some Chinese food from Chinatown so we decided to look at a few near by places and their reviews. While he looked at Google reviews I of coursed looked at yelp. His had a 4.6 stars for this place and i had 2. He read a few on his and i read a few of mine.. We went with his and chose to try it out. Hate to say it but yelp is pretty on point. Soon as you walk in you notice the dirty tables and floors like a fellow reviewer staded, there are only 4 tables in the whole place and one was occupated by the owners daughter or granddaughter id guess who was painting, place was not packed so no reason for the dirtiness. The food on display looked like it was sitting there all day so we decided on going a la cart to get it fresh. I had the orange chicken and he had the general chicken, neither looked as they should at all and were ok tasting the only thing that was pretty good was the chicken fried rice. Would not recomend this place at all :/ should of went with what yelp said.",D1PjvrQypKjhYSjZfsYk1A,1,1,2,LigCFbi4HjYadSK_aTB5Zw
2155117,2016-02-17,3,p91DHXkz5o_k825LwQPK9g,"Rice to Go is a little hole in the wall type of Chinese fast-food. Located just off Decatur & Spring Mountain, it caters to just about anybody for that quick fix. There is nothing really special about that place that screams come on in. The parking area is small & entrance can be hard to get into and out depending on traffic since it is close to the traffic lights. Inside of the restaurant is bright white, yet easily points out how sticky icky the place could be. It is what it is, but one thing this place does serve up is flavorful and good sized portions of pork siomai.  They are a hit  especially at parties or pot lucks. One of the guy at the register, didn't get his name is very friendly though and happy to have customers of course. Sparks up conversation and very informative and funny. He speaks mandarin, Cantonese, Tagalog and Spanish. Not sure if I would try any of their other stuff. Food doesn't appeal to me much, but I may come back just for the siomai.",Wp11jaXd3nQGwxTVH5ZTyg,2,2,3,-xlMwJvQj_JY3smRoBJLaQ
