,date,funny,business_id,text,user_id,useful,cool,stars,review_id
7633,2015-09-12,1,pKk7jCFIm96qDdk0laVT2w,"A bunch of friends get together. Expect to spend a couple thousand bucks on a meal. Couldn't have been a worst experience. So slow. We wanted drinks and took 30 minutes. Wanted appetizers and took an hour. Complained and the manager got involved and nothing changed. If you are going to spend a bunch of money, don't go here. Hugely disappointing. Haven't even gotten the main course and the poor services has me turned off. Hope they turn it around but I shouldn't feel like I got terrible service when I spent a bunch of money. Shouldn't that be #1?",1anyv8ecofh42cieF9zocQ,1,0,1,Wbr4_G6dilOjDc4TU8Eu8Q
9100,2017-08-29,0,pKk7jCFIm96qDdk0laVT2w,"Very good steak house. They offered three kinds of flavored french fries with matching sauces while waiting. Wife had Filet Mignon and I had the Duck. Both cooked to perfection and flavorful. The broccolini was spicier than we cared for but cooked correctly. Fingerling potatoes were well prepared. My wife enjoyed the bar service and thought it was some of the best she had ever had. Great service from the staff, restaurant was busy but not disorganized, ran very efficiently. I would recommend anytime.",FW1v4oXaF2asX_0nJ5hShg,0,0,5,47XjUchbUamjh-omqIzAXg
19170,2009-01-25,1,pKk7jCFIm96qDdk0laVT2w,"If Yelp had a special feature where you can attach audio files with your review, I would gladly re-enact the noises I was making during my dinner at Michael Mina's StripSteak at the Mandalay Bay.   It would basically be borderline pornographic...

The three words you need to hear at the beginning of your dinner that ensures a very pleasurable experience... DUCK FAT FRIES (and a trio no less).  What an amazing thing!  Light, crispy, wonderful flavor.  I was expecting something that would be too rich to handle, but these were great.  Three flavors (bbq, truffle, herbed) with accompanying dipping sauces.  Yum.

I decided to forego an appetizer as I really wanted to sink my teeth into some steak.  So tempted to go for Wagyu beef, but I went for an 18oz dry-aged Angus rib-eye... perfectly seasoned and cooked.  No need for any kind of sauce.  And the sides...

The sides!  Truffled mac n' cheese.... and not just mac n' cheese made with truffle oil, but actual truffle shavings in the sauce!  Heaven.  Creamed spinach with bacon... caramelized onion and goat cheese scalloped potatoes... and their complimentary foccacia bread.   

For dessert... Beignets with 18-year-old Scotch pudding... just the right amount of booziness.  The beignets were warm, light, and airy. 

As if this isn't enough fried dough... i also ordered the Dunkin' mini doughnuts... these came with jasmine infused chocolate sauce and salted caramel sauce... yes...  yes...

Service was wonderful... The space is beautiful and modern.  

This is my second visit to a Michael Mina restaurant... he hasn't disappointed.   Can't wait to go to his other restaurants!",Maj7Gl89JLK9Sp21ckrvew,1,0,5,NcBPUfjfqq6C9dWXsW7kpA
19581,2014-03-22,1,pKk7jCFIm96qDdk0laVT2w,"Been here 3x and it's been great every time! The waygu rib cap is expensive but holy smokes is it worth it! If you don't like high end steak houses head down the street to outback, they have plenty of ""white trash"" steaks!",yVbkCC9YVJ01Y6Hz5v3C8A,0,0,5,U5t-aINXPBGyqIIaxQ7p9A
19912,2010-07-13,0,pKk7jCFIm96qDdk0laVT2w,"It was pretty tasty!  The service was friendly and welcoming.  The appetizers (fries and bread) were also very tasty.  The ambiance was nice, and not too loud for an open floorplan.

Give it a try!",kKGNPXVD-bbqoFabVdYl-Q,0,0,4,AAnlbTXb8_zfLf28q7IFhQ
26912,2015-08-07,0,pKk7jCFIm96qDdk0laVT2w,"Went for a friend's birthday and it was a reasonable experience.

We both ordered the angus filet, medium-rare and medium and both thought the steak was cooked to the correct doneness. I thought that the sear was a little weak and a lot more flavor could have been achieved on the steak. We received the complimentary trio of fries about 10 minutes after being seated and they were pretty good, I personally thought the truffle dip was awesome.

The big disappointment was the Truffle Mac n Cheese. I don't know if we came on an off night or if the people reviewing are used to bad pasta, but after asking the waitress whether we should order the trio potato puree or the truffle mac she told us the truffle mac was the way to go. It was horrendously overcooked and extremely soft, I could definitely taste the truffle but it was over-peppered and that taste was overpowering. It was also very oily/greasy. I mentioned it being overcooked, and my friend and I ate literally one small spoonful each so over 90% of it was left in the container but the server didn't mention anything else about it which I thought was poor service.

Dessert was excellent, I had the beignets with the butterscotch pudding. Don't let the word ""sauce"" fool you, it is definitely full on pudding (delicious though!).",WzZf0tkegf17U_IPz9v7Nw,0,0,3,dQK5pG3dEP3bevWN6ZoXiA
29472,2011-01-14,0,pKk7jCFIm96qDdk0laVT2w,"Stripsteak is a Michael Mina restaurant in Mandalay Bay in Las Vegas. 

Start with duck and sashimi .. The duck appetizer was fantastic. 5. Sashimi was awesome too, and the nice touch is that there was real wasabe and not the pasty generic kind. Tasty and sentious : 4.75 out of 5.

Ginger beer nice selection, as suggested by the server when I ordered ginger ale. 4.5

Flight of fries was cute and noshy.. very bistro chic. 4.5

Marrow : delicious and rich. Served with perfectly sized toastettes... 5

Dry aged rib eye 3.5 out of 5. Hate to say it, but a bit too much marbling and gristle. I would rate the meat quality as a choice cut, but not prime or Angus. Also, I would have expected the steak to be served decently hot, but it came to the table cooler than being let to rest after cooking.  The smokey (Alder) was a bit more overwhelming than expected and I felt it impeded the taste you should be getting from proper aged beef.  I know I'm being a bit critical here, but I have had awesome creations from Mina and know he can purvey far better. Maybe it was an off night.. 

Noise: dang loud. But it's Vegas. 

Service: Decent but seemingly with slow dips. I was disappointed with a few things though. The server was very nice for the most part but did two things a server should not do:

First:  Please never clear one diner's plate before the other diner has finished the course. IT isn't proper etiquette. 

Second:  when offered the taste of the ginger beer, it truly was a good selection. I hadn't even drank the ginger ale yet. The server was a tad patronizing in stating she would get me the ginger beer as well, and did not remove the ginger ale from the tab. Partially my fault for not asking for a taste, but the proper manner should have been to be offered a taste first before bringing me both. I know it wasn't malicious.. and it was during the Consumer Electronics Show, so she may have had her fill with attendees that didn't know proper dining etiquette.  2/5

I say overall itWould I go back? Yes.. Kinda like learning a new country and their customs, I know what to focus on more. I'll be back in Vegas in a few weeks and will give them a try again because I do see the potential.",0in2lZcHmh6VqFq7_0nhUg,3,1,3,hv-oEQnFRVH2q0N0oXFarg
38204,2011-02-08,0,pKk7jCFIm96qDdk0laVT2w,"Way overpriced for what you get.  Wasn't bad, but wasn't great.",jn7A8qRju2GQRU9c5lj4yw,0,0,2,h87_uX4YzT8yfszSjg_hDA
42722,2010-11-25,0,pKk7jCFIm96qDdk0laVT2w,"This place is great, best lamb I ever had!! the appetizer was amazing as well it was lettuce wrap crab meat that was amazing.  The asparagus with sauce was absolutely brilliant.  Dessert was amazing it was fried doughnut with this dipping sauce that was something to die for (ok that was an exaggeration) 
  Bottom line: place is relatively expensive but worth every buck and service is very good as well.",OnlZuja4JAEYJszf-LY-mA,1,0,4,gEvxMgnlXIww2Aae-HlKNw
54754,2016-01-12,0,pKk7jCFIm96qDdk0laVT2w,"By far one of the best meals I've had in a long time! Rib eye, filet and salmon was amazing, potatoes and mushroom side dish, beignets dessert, and every drink I had was perfect. Stellar service from Junior and Anthony! We can't wait to go back! Thank you guys for a wonderful evening!",istBYwe8y5QcUQhxX-6AWw,0,0,5,Zo7oupRwQ6yqDcS_nMxBNA
