,date,funny,business_id,text,user_id,useful,cool,stars,review_id
138264,2014-08-17,0,plwa-yW-uQaJ7fiIAotOWg,"A great sandwich shop with nice, filling sandwiches. Very reasonably priced and friendly staff. Try their custom-sandwiches for a neat treat.

And remember to sign-up for their mail online. There are cool deals in store!",2zoYzYffhWYzhjjlR5eMhQ,0,0,5,yS9twLF9mWBcJTgVc0t-DQ
208042,2014-09-15,1,plwa-yW-uQaJ7fiIAotOWg,"We absolutely love love LOVE this place. Best sandwiches ever...seriously. Delicious!  The staff is always wonderful and very friendly. They know how to make a good sandwich! if you are visiting Vegas, go eat here!! If you are a local that hasn't eaten here, GO EAT HERE!!!!!!",Q3T3bezL7MQoWjGtzY9Sjg,1,1,5,KWL7ZvUrUipPEn6UPOdPsg
225172,2015-05-13,0,plwa-yW-uQaJ7fiIAotOWg,"Best Sandwiches in America.  
Consistently excellent, no matter which store.  
I love the Pastrami but my wife insists the Turkey, Cranberry and Stuffing is better.  
  Of course she's right  ""Yes, Dear"".",IwXJ4L8M7tlENTyujgJDzQ,0,0,5,faJEHZY5P06fiAkw28mQhg
242776,2014-10-27,0,plwa-yW-uQaJ7fiIAotOWg,"Had to try this place from all the good reviews I've read and it did not disappoint!! Awesome subs what else can I say, your just gonna have to try it and you will see!",GfBJcMMB6nv2A1w5U_du7A,0,0,4,o99UlsR6jsHggGWIsaZbJg
376545,2014-05-16,0,plwa-yW-uQaJ7fiIAotOWg,Food came out in a timely manner but there is a small wait (10 min.  max.) during lunch hours. Super delicious and work the small wait,EbUa31bXWoe4y3P_Zlw3FA,0,0,5,F7Kpmn5_QD7VX9mJqrZ2bw
400666,2011-03-26,1,plwa-yW-uQaJ7fiIAotOWg,"I love Capriotti's, the Bobbie is AMAZING if i were to rate them in general, i would give them 4.5 stars.  I get cravings for it all the time ..which brings me to explain why i am giving this particular location 1 star. This location, which is a part of a gas station (???) is the closest one to where i currently live and the two times i have gone there with a wild Bobbie craving, at around 7:30 PM, BOTH times, they were ""CLOSED.  Out of bread""....WTF? what kind of sandwich shop ""runs out of bread"" and then closes at 7:30???   Do they not bake their bread fresh on location? Otherwise, how could they possibly run out?? Not cool.",9DTPUrm7_ypZlI4vUEfH1g,2,0,1,ja4OBHHitH_hRzyE7sb-tg
530857,2009-10-28,1,plwa-yW-uQaJ7fiIAotOWg,"after my day started at 0 dark thirty, by 12:30 i was faminous, stopped by this place next to the gas station to order a quick lunch.  One absolutely beautiful, kind, ingenue took my order to eat in. i originally wanted their ""bobbie"" altered to include turkey, cran sauce but no stuffing but instead ordered their cheese steak served hot (it's actually cold in vegas today). i ordered a small plus a drink. $9.00 and 10 minutes later, i got a huge sandwich (i could only eat half).  Had to change the order to go becoz of how long it took (waah!) but the bread was really soft, and what was stuffed between it was really fresh meat, grilled onions and american cheese plus veggies ordered at my request. IMHO, a little expensive for a lunch sandwich, but the small is really large for what you get. p.s. on my order chips were extra, and there's no ""name-brand"" kinds, they only order Wise brand chips (the kind out of the vending machine you get at rest-stops along highway routes) LOL",01prx46XR0mMJpNjpGeS6Q,1,1,3,-hd9inRkrgajcOsZIpp7Xg
806975,2015-07-30,0,plwa-yW-uQaJ7fiIAotOWg,Not the healthiest choices here. But if you want a full flavor and hefty sandwich capriottis is your best bet. All of the sandwiches I've tried here has been amazing! Still my favorite is the Bobbi,K2FhZJO-Ud6qnbFgA87NWw,0,0,4,hoYe_U3tZpQkO7jb8-qKCQ
986252,2015-12-10,0,plwa-yW-uQaJ7fiIAotOWg,"Best sandwich s  ever!
Great location 
Awesome staff
A must!!!
If you  want good food 
Go here",hUZw4Y8xd5r0C5ZSiceQjQ,0,0,5,6nCCOlIa-HKq43iNc2VqQg
993771,2017-02-13,0,plwa-yW-uQaJ7fiIAotOWg,"I ordered a large party tray online the day before our party and my husband picked it up right on time and it was perfect! The sandwiches were fresh, packaged nicely and there were large sides of condiments which I loved so everyone could prepare them just the way they wanted. My only mistake was not just getting all bobbies. I even had friends who'd never had capriottis before who are now hooked on the Bobbie. All in all a great idea for our party. Thanks guys for doing such a fabulous job and helping make the day a success!",LXToZozKX4lnNbNIxKGpmQ,0,0,5,Aj200bB3H0OHQrgXBPSt0g
1076464,2017-05-22,0,plwa-yW-uQaJ7fiIAotOWg,"Brutal! Raced to get here 5 minutes before closing to a bunch of teenagers closing ""early"" even when the neon open sign is still on AND it was not actually closing time. Good business Caprotti's",DAaVe5Dy_ujH5vMXb_Xn4A,0,0,1,9_yY2dbsOxXjbjbPIF5jgA
1120487,2017-12-05,1,plwa-yW-uQaJ7fiIAotOWg,I don't get the rave reviews about their sandwiches. They're just OK and the barbecue chicken salad had too much barbecue sauce. I didn't care for the employees' laid-back attidude playing around with each other (shouting out to each other) by the food prep area because it was slow and using their cell phones. Very unsanitary.,y5YNzZwQuYxgE-jSDcZLxA,1,0,2,8iSTOQUNz67868EhX7ocyQ
1128501,2014-07-30,0,plwa-yW-uQaJ7fiIAotOWg,This place is a regular for us from the call centers nearby and they never disappoint. Had my favorite Capastrami for lunch today and it was impeccable. Must try if you've never had! Keep up the good work!,YNEzoyJytv6X-k6LGis3lw,0,0,5,YH3d77dvTJYxUwBjS43rjg
1159944,2016-11-07,0,plwa-yW-uQaJ7fiIAotOWg,"Best Capriottis location we've been to. We went Sunday around 1pm and the staff was so friendly and filled with positive energy. It was pleasantly surprising to see the staff enjoying what they do while dancing and singing while continuing to work. We've been to Capriottis a million times and this visit was the best ever. The bread was SOO soft, and my Bobbie was filled with stuffing and delicious. My boyfriend agreed and had a Philly, his bread was soft and had a generous amount of steak which doesn't usually happen. This location is rather far from us, but we may just come back for the food quality and customer service.",v3EintL5fhl9Q0OcQr6wxA,0,0,5,uj66uXXVeqLM86YoPyF79g
1310007,2012-05-03,1,plwa-yW-uQaJ7fiIAotOWg,"Travelling to Vegas you always get hit up on places where you should eat!  If you want some good fast food sandwiches for a quick lunch, this is a good spot if you ask me! 
Like everyone said, tried the Bobbie and it was awesome!  Expect a tryptophan nap right after though, cuz it's Thanksgiving dinner in between buns.  And those buns can range from 6 inches to 20! (that's what she said).  The Capastrami was also good.  
The market seems pretty saturated when comes to sandwich chains, but these unique sandwiches will make me go back.  Eat up!",FYuSYO1PvJU-I4Hlgio6mA,0,0,4,nO4TeL-BhBfBN0YQY-eLzw
1340585,2015-06-19,0,plwa-yW-uQaJ7fiIAotOWg,I genuinely stop in here on my lunch break pretty good customer service sometime wait can be extensive when pressed for time but biting into one of their chicken cheesesteak .... party n my mouth YEA !! Yesterday a mistake was made on my sandwich i called in 'no problem'' will take care of u next visit . Went on todays lunchbreak sandwich was waiting when i arrived granted it wasnt hot was a little disappointing but none the less it was good and appreciated . Lady that usually works register n wears glasses very friendly assisted me with the app now im basically a Capaddict !,R9TIWPBlMuzzWgYXZBnAlg,0,0,4,gsPz_gwhBrwcz2wXBRwpgg
1385873,2016-07-22,0,plwa-yW-uQaJ7fiIAotOWg,Is there really any doubt? As a Jersey boy there's NOTHING like finding an EAST COAST SUB that doesn't ask if you want mayonnaise or mustard on it. If you don't understand that... Then just unfriend me now. LOL,qzxyf0OaGAeuEXap9LA5Yw,1,0,5,hjewPvypajbhsiDaBmnkNw
