,date,funny,business_id,text,user_id,useful,cool,stars,review_id
58441,2017-01-31,0,pwislVBU50RIzCrwJYPY3w,"Yummy bbq chicken plate and macaroni salad.  Ordered regular size. They give you so much.  Enough for 2 meals for average person,  but one sitting for me. Lol. So good,  sent my husband for same dish the next day.  Courteous customer service on phone and in person.  Better than lulu hawaiian bbq on dec and 215. That place has bland food.",B4DBEzT37aTQYSTl382wFA,0,0,4,6DBNoq7pozHfGiE-2jLAgA
258072,2011-03-26,0,pwislVBU50RIzCrwJYPY3w,"Although they were closing up, they were nice enough to let us stay and eat.  They have the best macaroni salad in Las Vegas.  Big portions and great service.",f5IFcFHro5_fgXDFTs6khg,0,0,4,5i89MALlO4DDVJmRQPLeZg
276900,2015-09-30,0,pwislVBU50RIzCrwJYPY3w,"The food was very satisfactory. But in the end, it is just fast food. Portions are plentiful and prices are good. The macaroni salad was the best.",Rr879Enz9h1J3tRXXb1KDg,0,0,3,D-w6Nq_rSvDVujYGYUjJGA
319987,2017-03-13,0,pwislVBU50RIzCrwJYPY3w,Excellent!  I got the Kalua pork and lau lau pork... sooo good!! And once again great customer service! !,9dDbEW6PG55SvLyZOLq_JQ,0,0,5,9jqlCtaG253ZCgoPhmsHLQ
408921,2011-10-06,0,pwislVBU50RIzCrwJYPY3w,"I'm a fan of the Mainland L&L's here in Vegas! 

This one is definitely cleaner than the one on Maryland Pkwy, which I can appreciate :P 

The quality is very good as well. I had the Teri chicken mini & was very satisfied. Normally I like to get the BBQ mix plate, but just wasn't very hungry this day. 

Better than most of the other Hawaiian places I've eaten at here in the Valley.",JUeGFCsprKVUYok4oLsdEA,0,0,5,G9wvf5S1jqb0O1Z1Dd_19g
571655,2015-08-05,3,pwislVBU50RIzCrwJYPY3w,"Worst L & L experience ever!  I've been to numerous L & L's and generally the service is pretty good, just not at this location.  Ordered a bbq mix over the phone and when I went to pick up my order, found out that they had screwed up my order and made a bbq chicken plate instead.  No big deal, I figured they would make now make my correct order, WRONG.  Was told that they were closing and they couldn't prepare my order.  They close at 9 pm I was there at 8:38 pm! I then asked if they could comp me a beverage at least since they screwed up my order and was willing to pay for the bbq chicken anyways.  NOPE, cashier refused to comp me a drink even though he screwed up my order and refused to make it right.  Paid for the damn meal anyways because I was hungry :-(  Will not return to this location again!",huEQ7_vy0kYj424CQ9lZGg,3,2,1,wXPW0pzgy7Y8Suxo3zsxOA
649615,2015-05-27,0,pwislVBU50RIzCrwJYPY3w,I'm a huge fan of this place!  Food is always great here.   I usually stick to the pork ribs here and have never been dissatisfied.  They are always friendly here.  Great place to get a quick lunch.  I HIGHLY recommend this place.,DCujLUIHoSnu16D9kk3HqA,0,0,5,gEjkAAqCd3q48jWhS5tOZg
885933,2013-06-21,0,pwislVBU50RIzCrwJYPY3w,I used to like this place. But they started skipping on the food. And the taste isn't all the good anymore.,2HPAOqz_79xTD1GgS2SGyw,0,0,2,X7vt46MPk_9MsEMLzXbdhA
946954,2016-12-04,0,pwislVBU50RIzCrwJYPY3w,"Food is delicious and very fresh. Made to order. Staff is very sweet and caring. Not pushy at all, fast service. Definitely be back again. Plenty of time to eat on lunch break.",Sx-gnCv1NaYyKoRGNrGYFg,0,0,5,bM7zY3VvgLrcZCqA5iZsdg
1007333,2017-08-05,0,pwislVBU50RIzCrwJYPY3w,"I ordered a chicken katsu curry and BBQ mix, it was good, however they give you two small scoops of rice and don't give you sauce to go. You have to go pour your own.  The lady that took my order wasn't too friendly.",2qFODc2N524xKSm7BlkchQ,0,0,3,2jOiy8cp-EVPTXnPdl86kA
1020998,2013-07-29,3,pwislVBU50RIzCrwJYPY3w,"Ok, I was in the mood for some hawaiian food and this was a place close to where I live. The lau lau was what I was craving and at least they do this right. Customer service sucks, the female cashier has an attitude and at the end of our meal my friend and I wanted some bags to takehome our leftovers so the oil wouldn't dirty the car. Waited a couple minutes and nobody came, the chef saw me and didn't say anything, finally, I just got the bags myself. Seriously, where's the aloha spirit?",tQVTyovdm4doXxDSkfYUUw,5,2,3,1FFP8sG_Ouv_Vl0Rp3MGjg
1091377,2016-12-30,0,pwislVBU50RIzCrwJYPY3w,I sure do miss working close to this location. Great customers service and the food is always fresh and good! Wait time is short and you can call in your order for pickup!,RWKKzpNkTpQu4ajNatIs_A,0,0,5,oGyspcyNgYm6WxJyZSD1hw
1101042,2014-06-20,0,pwislVBU50RIzCrwJYPY3w,Didn't feel like driving to my normal L & L Hawaiian barbecue place and tried this L & L because it was closer. Lady that was cashiering was very straight forward. Didn't exactly feel friendly. Was craving spam fried rice...and then was informed that there was no kind of fried rice at all on the menu. Thought this was weird for L & L. I was hungry so I gave it a chance anyway. There were a couple of customers before me and a couple of customers after me as well. They were all dining in. They all got their food before I did. I guess take out is last priority. (I even tipped) Waited about 20 min. Was definitely not satisfied. The portions were decent. Quality was ok. Was not as tasty as my normal L & L spot. I probably will not try this place again.,PG3A5qk1EsOZHWLT_Vre7w,0,0,2,PH16GRtSFE7o-xLkbharPA
1237972,2016-11-10,0,pwislVBU50RIzCrwJYPY3w,"Love it here! Food is great, flavor is delicious. Love the salad. We always order the plate with 3 meats, beef, ribs and chicken. Portion is great, perfect for 2.  Great customer service!!!",85H9AFyQNxnpPm3ErEdLCg,0,0,5,ZOLo9LnhqYVvmFHqYoF33Q
1342727,2012-03-31,0,pwislVBU50RIzCrwJYPY3w,"L and L Hawaiian Barbecue brought from Hawaii to Las Vegas still maintains it's large menu selection, and genuine Hawaiian tastes.  They definitely did a favor to local Hawaiians living in Vegas, by adding malasadas, butter mochi and other special items.  L and L, also has a great health conscious menu. Service is quick, food is fresh and the price comparable to other Hawaiian take-out restaurants--the only setback is the measured two scoops of rice, for the amount of meat portons.  It was a pleasant surprise to, observe and listen to the live Hawaiian entertainment at the Centennial, L and L.  Kudo's to L and L, just don't measure the rice portions, pour it on!",JV0IPjRyMhZEDlEfS3M-wg,2,0,3,itzWfDSx492nugVk1-bZdQ
1401883,2014-04-29,1,pwislVBU50RIzCrwJYPY3w,"I went to eat here today for my one hour lunch and the cashier guy was SO RUDE. First he got our order incorrect and instead of egg rolls he gave me some coconut pudding. I asked him if he could refund us the money and he said ""what am i gonna give you for 0.98 cents?"" I then said can I substitute it for anything he then said again ""for 0.98 cents really?, He then gave it to me. I told him that he needed to reevaluate his customer  service skills because he was not courteous. He then told me "" Its not my fault that you guys don't speak up and I didn't give you forks because you took the tray before so that's your fault!"" I WILL NEVER GO BACK AND I DO NOT RECOMMEND THIS PLACE TO ANYONE ! HE DID NOT WANT TO GIVE ME HIS NAME THEREFOR HE HAS BEEN RUDE TO OTHER PEOPLE BEFORE!",CRJ2XTc4JxG3KqHyC4JUfg,0,0,1,yvCyQ5aXjexpPEpuWoQwuA
1444911,2014-12-15,1,pwislVBU50RIzCrwJYPY3w,Friendly and delicious. I'm a mad I didn't come here before !!!!!  I found my new fat boy spot. :),vy65Z-_ZWuUTIvx7564tLA,1,1,5,Eikyk50LV3A5FXQwBBq6WA
