,date,funny,business_id,text,user_id,useful,cool,stars,review_id
147521,2016-09-10,0,qL9CBB9lwY0ftdUcqVMUgw,The food was great and very fast and friendly service. I ordered the 5 taquitos and a salad. The taquitos had lots of chicken. Great taste.,O8l5pgjJcSCxxC6908jeAg,0,0,5,C1IHR-COoU7DZtV9CiRpZQ
170121,2016-07-31,0,qL9CBB9lwY0ftdUcqVMUgw,"I visit this place often and I can only recall one time that we waited almost 30 minutes for our food but I believe they were short staffed thats the reason for my 4 stars instead of 5.
Everything ive tried from the quesadillas, tacos, nachos, shrimp cocktail is consistent and reasonably priced. The Salsa bar is always well kept, its clean and the salsas are Good.. Not watered down like Robertos usually does. Overall I would say its great!",U3_-wh6FIWwgzsXBKhfLow,0,0,4,uSUQgcoqdY341mRhz0ee3A
185865,2016-05-25,0,qL9CBB9lwY0ftdUcqVMUgw,"Alright so this place has bomb reviews, and it ain't for no reason! I came in last night at 5 minutes to closing (totally didn't check the hours) and was not rushed in the slightest. I order a shredded beef wet burrito, and it was seriously like 8 inches by 4 inches, at least!!! Big burrito, that's great, but not unless it's also on point in flavor - it was! I moved to vegas about a year ago, and have been searching for adequate Mexican food, and never really found it until now. The meat was juicy, and they put other stuff in, like beans, rice, guacamole and pico, probably some other yumminess, but I can't remember. I devoured it, in two settings, which resulted in two equally large food comas! Yum yum yum!! No picture but it looked as good as it tasted.",RFmpEAnF_ubDXDWLtgakWA,1,1,5,Em4IUu4Ke-ngioRhF51DuA
231650,2017-06-23,0,qL9CBB9lwY0ftdUcqVMUgw,Great carnitaa burrito!!! If you like pulled pork you will love this...pick your own salsa to complment it!  I love the green !,SLa-n6uDvAdpmZtD-WZgnA,0,0,4,JaSGmgcNMNgvMjt9TQ9X9g
362821,2014-12-04,0,qL9CBB9lwY0ftdUcqVMUgw,"No complains here. This place is not a gormet restaurant (nor does it act like it is), but it delivers when it comes to value and quality. The food is prepared fresh, and the portions are huge. The meals are also VERY affordable. Same sort of menu as Robertos Taco Shack, but much better food.",2ja8QmOw2jGx7rhwXipRSw,1,0,5,TuvgeOayFHzcmV-2HKnvYQ
397329,2016-09-04,0,qL9CBB9lwY0ftdUcqVMUgw,"This place is nice, quiet, and very clean. The staff is friendly and the food is delicious. They also play kid friendly movies while you dine  we'll definitely be returning.",SgSPSNoEktipVgbuaQzGkw,0,0,5,YHCkc2AqFBzrlx8EF-iZdw
680722,2014-03-16,0,qL9CBB9lwY0ftdUcqVMUgw,Vegas was beginning to dissapoint me until I came here.  finally found some good Mexican food! Family owned. Chips and salsa while you wait for your food. And the salsa bar is awesome. Won't be disappointed.,jTRSAKMNnF0LPigvuWZ2_w,3,0,5,2v8OH9hAJIqe-1ZM16T1Gg
714604,2015-06-05,0,qL9CBB9lwY0ftdUcqVMUgw,"The place is Loca, Loca beuno. I think that means crazy good in Mexican dialect. Picked up three piping hot and delicious breakfast burritos for under $10.  Ate one and half of chorizo and bacon with egg, cheese, hash browns.  It cured my hangover but now I'm very full and sleepy.  The salsas are .  All of them. Stock up and slather your burrito and such. Gonna go into fat and happy chorizo coma now, bye.",hEGy8gZ6S121z613eA7jgQ,0,0,5,ybS0zmNctpROqzOlvg5ZGg
777520,2016-07-04,0,qL9CBB9lwY0ftdUcqVMUgw,"Their little carne asada and carnitas tacos are the best around and if you come in during ""happy hour"" they're only a buck a piece. Salsa bar is on point also!",uvnhSkt6T1hY8Tv72-6Szg,0,0,5,AYcSxCiM0hTZo2sypp8MGw
896547,2016-01-22,0,qL9CBB9lwY0ftdUcqVMUgw,"IDENTITY FRAUD??? We ate there last night and after we got home, there was an email from them asking us to rate their service! We never gave an email address. The only way they could get contact info was from the credit card we used. This is VERY DISTURBING and possibly illegal.",jXGO-W5XY_lFj0qH_JhyRQ,0,0,1,bxYLU8SCymJvcnLoXUrylw
981913,2015-11-23,1,qL9CBB9lwY0ftdUcqVMUgw,"Ridiculous. This place is really just absurd. If you like spending money on overpriced, skimpy, bland meals, go somewhere else.
If you like food and like not being broke:
Bingo. Stop looking anywhere else. Don't bother reading any other reviews.
Eat here.
Then sit in Starbucks across the lot while you digest for a few hours. That's what I had to do after I destroyed a chimichanga. 
You'll be that full for under $10. And it won't taste like cardboard and spice.
Now I may be a white boy, but I love me some legit Mexican food. This is the place for gringos or otherwise.
Also, I sat around for a while after finishing eating to watch Jurassic World. Yeah, they play legit movies. Pretty cool addition.",mGpJ2oxDOa-9tIWJaiOMeQ,3,0,5,llt1wnS82dEYgLLtDeqozg
1040269,2016-05-31,0,qL9CBB9lwY0ftdUcqVMUgw,"The carne asada burrito,  carne asada nachos and carne asada big taco plate all verified DELICIOUS!  Delivery was super fast and all the food was fresh and hot. They also provided plenty of red and green sauce without request which was serendipitous since I forgot to ask for it. If you're trying to decide between this and another close mexican restaurant definitely go with this one.",ioUWdz-ptBRnG3jMhC7KaA,0,0,5,tDNQDNx0tiymTj1UD97xFw
