,date,funny,business_id,text,user_id,useful,cool,stars,review_id
271282,2016-08-13,0,q_CmNcxciEBnZbG9JrGbQg,Worst Carl's ever!!!! Drive thru takes at least 30 min if your the only car. I've never received the correct order. About 6 visits.,pPM4R9lw65oMXenabDGSWg,0,0,1,-Rb1qZoQrzxUijzy_09dPQ
676056,2017-03-18,0,q_CmNcxciEBnZbG9JrGbQg,Hi welcom to Carl's Jr. and green burrito. WE DONT HAVE ANY FOOD LEFT. Wtf stock your trucks so you don't tell me your out of fries or everything on the green burrito menu!!,zGnad0rka6xmdv9p7jHiGA,1,0,1,6ILKy9rQA88oyETqlZ9fxw
782024,2015-09-24,0,q_CmNcxciEBnZbG9JrGbQg,Eat at this place daily so I finally decided to post food is always fresh and never wrong prices are a littel high but face it when your hungry it's the way it goes price you don't even  look at the manager who has took my order several times is a nice person just putting that out there,aoA3Js2foFfWLwDJlI9xwA,0,0,5,XF3c3dxKhUIFrjo_2D-XNQ
1648555,2016-06-10,0,q_CmNcxciEBnZbG9JrGbQg,This place is garbage the black dude with the nappy nasty ass hair and a dew rag half assed on has the worst customer service. He won't greet you or say your welcome and seemed so annoyed when you would ask for extra condiments. He was working the drive thru speaker 6/10/16 1:00 am idk his name he wasn't wearing a name tag but hopefully management will know who I am talking about according the time mentioned.,p-o2G6kExuwgRYrjPZvVGw,1,0,1,U0FtpjjO4j28-wypW4MTXA
2187245,2013-01-29,1,q_CmNcxciEBnZbG9JrGbQg,"OK. This area used to be shady. But they've renovated it since then. Clean and service is okay. Not that ""fast"" to be considered fast food. 

Ehhh. Go someplace else. There's another Carl's Jr on Rainbow and Trop.",oS2O8YQ31HTSTQgPQKc7Cg,0,0,3,J8AR_xhgxF-qxBBUNBYSeQ
2519071,2017-12-18,0,q_CmNcxciEBnZbG9JrGbQg,"Clean restaurant. Great pleasant customer service, which makes all the difference. Thanks Jasmine & Brandon!!!",WcwfzZCacEOofOaY2bLCaA,0,0,5,b-dqKedQ97z5Vmwb94RO1A
3140150,2014-09-10,0,q_CmNcxciEBnZbG9JrGbQg,Probably one of my least favorite locations on the southwest side of town. The customer service is generally okay but can be a hit or miss! The turn over rate here is incredibly high and I'm not sure if that's due to management issues or not but the fact is whether it's fast good or not this is Carls Jr.. For the prices that they charge for a full meal on one of their premium burgers you better be delivering smash burger or five guys type of service.. I have been missing in action from Carls Jr for a while and yesterday decided to give this new Texas BBQ sandwich a try since I had one of those local coupons to by a meal and get another sand which free.. :-/ Whoomp whoomp $10 plus later I get home to this DRY burger! Nothing like the burger on the commercial but let's be real when do these burgers ever come out like the commercials lol.. Yeah I was livid to say the least! Should've went to SMASH BURGER like I was going to..,qPVtjjp8sNQ32p9860SR9Q,0,0,2,JCGPauUiZ1s3z-3iFgNzoQ
3270774,2015-03-29,0,q_CmNcxciEBnZbG9JrGbQg,Thank you ;) fast fun clean.  I have never had a problem and if I do I know they would have no problem fixing it. When you have down time they are always cleaning so that makes me feel good about the sanitary condition of the restaurant. Brings my food straight to my table does not yell out a number and expects you to run over before they throw it back. Good place.,bjnlRl0dJc2nHuLX6vC7Jw,0,0,5,jUdB-mzqY5ukYcJoRnC6mg
3386922,2017-07-23,0,q_CmNcxciEBnZbG9JrGbQg,The chicken tenders are so good it makes want to slap yo mama and the Mike shake is good too .,8fFubq0Og5LGD0R29z-8Yg,0,0,4,Ay9o0r5Mc_O_pZhTh518Hg
3409013,2014-01-24,1,q_CmNcxciEBnZbG9JrGbQg,"I have never had such terrible customer service before. Sit tight people, this is gonna be a long one...

So basically at around 1am my boyfriend & I ordered food before we were headed to someone's house. I asked for a grilled Club sandwich, fresh, and my boyfriend got a bacon western something or other, fresh as well. We ordered some fries & other things but what we wanted fresh were the sandwiches and the fries. It's 1am, I don't want what could be sitting in your trays for the last hour, you know? They said they would give it fresh, but I waited LESS than 3 minutes and they brought the food out to our window. Maybe they were already cooking to make fresh ones prior to me asking,  idk, but the wait was short, and I didn't think anything of it. 

When we arrived at my cousin's house we pulled out our food. Fries were fresh, check. I unwrapped my sandwich and 1) it was SO sloppily made 2) it lacked vibrant colors, like the it looked as if everything were OLD and STALE, 3) there looked like BBQ sauce on my club sandwich, and 4) MY GRILLED CHICKEN WAS BURNED!!!!! I decided to take two bites and taste it. Yep, burned. I complained to my boyfriend and he said his smelled burned but he didn't see where. He isn't the type of person to complain about any food, he doesn't like to be an inconvenience, so he continued to eat. 

He got to the bottom of his sandwich and was disgusted. He showed me what was wrong, the bottom of his sandwich, the meat was CHARRED. Like it was BURNED TO A CRISP. There were black bits/crumbs of the charred meat on the wrapper. He stopped eating his sandwich and finally decided I could call to make a complaint because this was too much.

I called to complain, someone picked up the phone and I relayed to them what happened. They said ok and handed the phone over to another person, based on the voice, it was the same person who took our order, and I had to repeat what was wrong and WHAT THEY TOLD ME WAS, ""I made the food fresh, right when you asked for it. I would never give out burned food."" Which made me so mad because you automatically shut me, the customer, down, AND I'M THE ONE HOLDING THE FOOD RIGHT NOW! 

They offered us to come back. That was it. They said, ""Well you could come back..."" So my boyfriend and I drove back, out sandwiches were wrapped up to return and when he handed our burgers to the manager, they looked oddly familiar to me, and they said my name, and then, said, ""You bitch!"" I don't care if I know you or not or how long it's been since I saw you (I haven't seen this person for YEARS), right now, my food is messed up, I felt like I was being accused of lying, and I was pissed.

That person then said, ""So you ate half your guys' sandwich and you want a replacement?"" In such in accusatory tone it pissed me off because THEY NEVER EVEN OPENED THE SANDWICHES TO LOOK AT THEM ! Then they wouldn't give part of the money back for one of the sandwiches because they went to remake it and we didn't want it remade. They remade it anyway. And the same person LITERALLY told me, ""Next time check your food before you leave and don't call just to say shit""
EXCUSE ME. That was totally out of line and disrespectful and I feel like just because, once upon a time, you knew me, doesn't give you the right to get comfortable enough to talk to me like that. I knew this person for a few months because we worked together when I was 16. I am now 22 and I haven't seen them or heard from them since. So no. We aren't friends. I am a customer. And you disrespected me, my boyfriend, you messed up my food AND had the nerve to accuse us of lying/trying to get more food. Forget this place. Never again.",abzIJZ1HBSsCh3X7xUAZ0w,3,0,1,fq8pI7Z2f_7DkwIYbH4OMg
