,date,funny,business_id,text,user_id,useful,cool,stars,review_id
21563,2017-10-29,0,q_CpNXiPQbd6Iq0bnldhng,"Ordered food for my son and I, missing home...Hawaii (Oahu)  Read reviews and thought to try in hopes the food would be Ono (tasty, good)  since the business name really did interest me. Ordered Chicken Katsu, was unrealz Ono, barbecue chicken was just as good!!  So happy I ordered - grinds is a winah",rSzam5EhTQJLKhLgIVicLw,0,0,5,VtNYmVPyH5Ms2zgw468kvQ
34454,2016-08-20,0,q_CpNXiPQbd6Iq0bnldhng,"Who would have thought that Japanese and Hawaiian combined to form the mega crux of beef and chicken. Ordered through Yelp got food in 30-45 mins after order really hot and perfectly sweet, spicy and not to sticky great food. Mmmmmmm.",Tyd_yOpctL8wXaBmLPp8cg,0,0,5,pwC45ZBPXNPfGahlgBqUQg
398633,2016-03-23,0,q_CpNXiPQbd6Iq0bnldhng,"I loved this place, I wanted to take my mom that was here from out of town to try something new, i'm a huge sushi person and she's really not but the combination of a sushi place with a hawaiian place there was more than plenty to choose from, the service was incredible and the prices are amazing for the amount of food you get, she ordered the kalbi rib plate and I got my sushi with an order of chicken musubis on the side so there was plenty to choose from.Also loved the fact that China a Go Go was connected to it so there was chinese food if we wanted to, loved loved loved it will definitely be back.",tIpNGpYzdyeejtEFwVnRcA,1,0,5,yFMxI9bnyUmgUDJZuWcRSg
495870,2014-04-02,0,q_CpNXiPQbd6Iq0bnldhng,I this place on yelp and thought I would give it a try. I called to make they were still open and I could still order. When they answer the phone They told me that  they were still open and I could still come in order. When u got to the store they didn't greet me or  knowledge that I was standing at the front counter when I finally asked if I could place an order someone walked over to the front he was incredibly rude he didn't even make eye contact with me. I ordered two different type of sushi I then asked him if he thought the ones that I ordered were good he said they were okay.  I then asked him if he had any recommendations and he said that the   Crunch roll was good which was when I was that I had ordered. He wasn't really paying attention to what I had ordered and he had already written my order down wrong and he just seemed annoyed that that we were even buying food which was kind of strange. Over all the sushi was decent but base in service will not be going back. Disappointed how I was treated.,2zvtSVcz408gQDD6tcD0GQ,0,0,2,aHgMmEr9kknsgojPGVqf3g
807430,2015-03-22,0,q_CpNXiPQbd6Iq0bnldhng,"The Hawaiian bbq here is pretty good, the sushi however is below average, in fact it is borderline horrible. I would go there just for the bbq because there aren't a lot of places around this area to get my Hawaiian fix.",t0TpDe5oYhejpmds-Nshug,0,0,2,JBeXi2dtF4IkScDblYYaKQ
873425,2011-05-06,0,q_CpNXiPQbd6Iq0bnldhng,never tried this place because we always go to china a go go next door. i had the grilled mahi mahi and the chicken combo.both very good and comes with alot of food. rice was good and so was the macaroni salad. i was very happy with how good the food was. if you havent tried give it a shot a solid choice!,xomN4f3bYsaUnrw2su9aKQ,2,1,4,y-COHnbsGGnmL7c557arOg
918940,2017-03-02,0,q_CpNXiPQbd6Iq0bnldhng,"I leave nearby and really like their beef platter or seafood platter, the service is okay and they have been pretty fast every time Ive been there.",fkG6kacWisPU4HBK9MKVUg,0,0,5,5X4_1R0v1zTPuWHhekfCJg
1151222,2015-10-11,1,q_CpNXiPQbd6Iq0bnldhng,I the aloha a go go the all sushi and I like the bqq ribs and I like the takeout and pickup delivery,jG4D2XtLtEu79M0tetqz8w,3,2,5,YKlh4ChOzB23wyJJGYCU-g
1171235,2018-06-12,0,q_CpNXiPQbd6Iq0bnldhng,Not bad for an all you can eat sushi but you need to read the fine print on the menu.,JLXFWoc_I7QQRirmfrNCag,0,0,3,tQohHL1xaTGgMiErsk7PcA
1344531,2013-04-26,0,q_CpNXiPQbd6Iq0bnldhng,"Found this little place when they sent an ad to my house and when i saw they sold sushi and how close they were i had to try it out! I just went there this morning and had a few rolls. For the price, they were great! Definitely filled my sushi craving and i will definitely be coming back for more. The lady there was real nice and the service was quick! I recommend you all try it out.",7dNB3X9h6eja7amlNWDhVg,1,1,4,olWKqjoCPA6yIJnqHTY0Cg
1352345,2015-04-17,0,q_CpNXiPQbd6Iq0bnldhng,I go for the spam musubi and I stay for the.... Well I don't stay I usually order to go. Never gave me the runs and I'm still alive so I am pretty sure that means it's good! Havnt tried anything else but definitely recommend filling up on spam!,GE1jkFIZE92kvgRh3qtJ7A,0,1,4,OxlPXrZvMrcj6dS5ERg-lg
1425740,2015-03-17,4,q_CpNXiPQbd6Iq0bnldhng,Well fuck. I usually rant about asian places.. but this place was on top of their fucking game tonight. Water refills CONSTANTLY. Usually they stingy and shit about their h2o. Not water deprived at all!! Even the sushi was good. They constantly came around asking how we were doing. And the food came out fast. Bathroom was suprisingly clean too. For an east side native I give this place 5 stars fuck all my friends who don't like this place!!! #eastside,IFUrsqSCAzC3ZCnqH8WIkw,4,2,5,-LsQVl_shP2DOfhlQtPjvg
1705771,2013-07-06,0,q_CpNXiPQbd6Iq0bnldhng,"Based on 3 orders. Their mac salad wasn't bad but it definitely wasn't good either. I had pork katsu, it was very over cooked (chewy and inedible towards the end) and the batter/breading wasn't right, much if it just fell off the pork anyway. Boyfriend had chicken cutlet (they used katsu breading for his...) and he said they cross contaminated the oil cause it had a shrimp taste and the gravy was lumpy as well. Other friend had BBQ beef which was fine, but pretty much standard.",ndhakszVplkDWU-2ApTfRw,0,0,1,O3YT3N9KtN2toy2GSMGajw
1909156,2017-03-28,0,q_CpNXiPQbd6Iq0bnldhng,"I stumbled up this place today during lunch, the Hawaiian BBQ that is.  I am familiar with Hawaiian BBQ because there is one right down the street from my house and I order from there frequently.  Needless to say, I am not happy with my food.  I got the #1 BBQ Mix combo, which is something I always get.  Let me just say, all of the meat, except fir the short ribs are suspect.  I ate as much as I could stomach.  I will not be going back to this location anymore.  Wish I could get my money back!",lIOyrvz8M0eLD56Op2s30Q,1,0,1,NIEF5Xd2g1zpBbmwafkFyg
1981144,2012-12-06,0,q_CpNXiPQbd6Iq0bnldhng,"I love this place for a quick meal.  The kahlua pork looks disgusting but tastes delicious!  The amount of food you get for the price is very reasonable.  I like the chicken katsu but not the sauce they serve with it so I just use soy sauce and chili sauce, yum.    The only side dish that is almost good is the macaroni salad...they need to cook the pasta longer, always hard, blech.

Man I wish it were open right now, I'm craving that ish!!",NC_6TR-OcIojo2QTNTBF9w,0,0,4,L1weR6sUe-oTiH9xOzMy1g
2535584,2011-07-13,14,q_CpNXiPQbd6Iq0bnldhng,"WHERE: Located in the plaza on Charleston & Sloan.

WHEN: 10am-930pm, I believe.

WHY: If you happened to just recently move around this side of town, and are desperately in need of some quick and great tasting Hawaiian food, look no further!

WHAT: I had got off from work and straight home to some hungry brothers of mine! We debated on what type of food to eat, and came to conclude we were all craving some good old Hawaiian food! I would usually drive that 5 minutes to Island Flavor, but the 5 minutes actually became 35 minutes from our new place! Boohooo!!! =(

I then decided to search on Yelp, and I was lucky enough to spot this SPOT. Muahaha!!

First thing's first. We step in to order. My brother and I both get the chicken combo, while my other brother gets the local plate. (Most plates are 8 bucks and well-worth the 8 bucks!!) While we are waiting for our food, the server brings us a bowl of MISO SOUP!!! C'mon, who has ever had a side of miso at a hawaiian joint!! I say BOMB.COM!!! That right there = SOLD! Haha.

After a minute or so, we got our actual combo plates. Fast service, I may add! I loved the chicken katsu, but my bbq chicken was on the bland side.  I could suggest adding a little bit more seasoning or even bbq sauce would have done the trick! Besides my bbq chicken, everything was splendid! I will definitely come back on those chicken katsu crave days!",udpfGxriuoBdWRBdplJl-w,16,15,4,_7fckVOUHfbG9ZWSfTpIpg
2898807,2012-09-14,2,q_CpNXiPQbd6Iq0bnldhng,"I wanted to checkout another Hawaii hole in the wall, and found a decent one in Aloha A Go Go.   I have to admit it's located way out in the right field of Las Vegas, and take some time to get too, but if your craving some Hawaii style plates in the area, it might not be bad thing check them out,   It's pretty well hidden in a Albertson shopping center at the foothill of Sunrise mountain, and has a menu similar to Yummy Sushi.

The place is fairly small, but it has a pretty good take out customer traffic; so getting a table wasn't a problem, but to figure out what to eat was the difficult, because of too many choices.     I ended up with a combo teri beef, and Garlic Chicken.

They took about ten minute to set up the plate, and my teri beef was okay....nothing to write home about, but the Chicken was kind of a stolen recipe of L & L (the ones in Hawaii) garlic chicken...it was good!   but the Mac salad sucked a#s, and they need to work on that big time.

Would I make a special trip to visit them again?  NO, but if I'm near the area, and staving,  I might get the chicken, but without the salad.",ePWsbOWDTJcgIus-BFuKpg,3,2,3,XzlGYvZhMVHoaAiEStRQyw
2906750,2012-01-15,0,q_CpNXiPQbd6Iq0bnldhng,"Their store sign says ""Hawaiian BBQ"" and not Aloha A GoGo, but it's next door to the China A GoGo, so we figured we found the right place.

Hubby had the Hawaiian BBQ Mix Plate and I had the Chicken Combo. We shared the Unagi Roll sushi.

First the good news:  My plate consisted of the chicken katsu and BBQ chicken, which came with a side of katsu sauce, 2 scoops of rice and a side of macaroni salad. Both chicken types were good and I had no complaints, but the rice was on the dry, ""al dente"" side and the macaroni salad left a bit to be desired. I've tasted better macaroni salad before and even L & L serves up better macaroni salad.

The unagi sushi was great! Very smooth and delicious and the avocado inside the sushi was perfect and flavorful! The sushi was filled with crab meat, avocado, and cucumber with eel on top of it, drizzled with eel sauce. Very nice!

Now the bad news:  Hubby was not so fortunate with his choice, which was the Hawaiian BBQ mix plate consisting of BBQ short ribs, BBQ beef, and BBQ chicken. The beef and short ribs were tough and chewy, in spite of the BBQ beef being very thinly sliced. Short ribs are normally tender, but not this one and he said its flavor was mild to almost nothing. The meat was served with a side of sauce, though, so that helped somewhat. Same story as mine for the rice and macaroni salad on his plate.

We thought the best part of the meal was the eel sushi and we'll definitely go back again to try other types of sushi and also their malasadas. I have to say that their sushi is reasonably priced. California Roll is $3.95 and the unagi sushi we ordered was $5.95. Very affordable.

They have a wide assortment of food choices on their menu such as burgers, saimin, musubi, and haupia (coconut pudding dessert) and they offer catering service and delivery service within 3 miles. We'll be back!",jIH2fzQfXY7RW3C3W1Z1iQ,2,0,3,EHO-raEAhWKsxl7Yqty6uw
3114610,2016-12-30,0,q_CpNXiPQbd6Iq0bnldhng,"Aloha A Go Go used to be known as just serving Hawaiian based food with side sushi rolls. But ever since they've combined their restaurant with China A Go Go and became one establishment, they've added the name Sushi House. So if you order take out, you might be directed to either side when you pick it up. They do delivery as well and are usually on time. Never had a problem with that.

Their main menu looks completely different, as it only looks like they serve sushi, but you can still order all the same Hawaiian food items from before. They've even kept their old menu taped on their window!

They offer All You Can Eat (AYCE) sushi for both lunch and dinner. I personally haven't done AYCE here, but I've ordered to go countless of times. I've tried almost all of the sushi on the menu and it always turns out yummy and fresh. Prices seem to be in the same range as other AYCE restaurants as well.

It's not my go-to sushi place, but it's a great joint when you're craving for something quick and you're in the area. Plus it's far from where I live and I wouldn't travel all this way for this restaurant compared to other authentic Japanese sushi houses.

Staff is not very personable when it comes to customer service, which may come off as being unfriendly to some. But it doesn't really bother me since I only get food to go when I'm in the area visiting friends.

It's a great place to try when you're not looking for formality in an eatery and when you just need to feed your tummy with good food. lol

*Since Aloha A Go Go and Sushi House are one establishment, but are known by two different names, I have written the same review for both check-ins*",EEAoUs1w38JHfHZMeSdqPQ,2,1,4,H4tH_WxyV2Dr5rGASUUvYQ
3119475,2011-04-08,0,q_CpNXiPQbd6Iq0bnldhng,"I'm pretty sure this is connected to the China A Go Go business that's two store down from it and much like that place, I'm very satisfied with this place. Much like China A Go Go, they cook you fresh food and it's quick. This place has the typical Hawaiian BBQ menu with enters such as macaroni salad, chick katsu, bbq, chicken, mahi mahi, fried shrimp and so on but half of it's menu consist of Japanese dishes. There's about 12 different sushi rolls, tempura a couple of bowl dishes and musubi.Good stuff all the way.

As with any Hawaiian BBQ restaurant, I always judge it by it's chicken katsu and this place is my top spot. I last ordered a katsu/bbq chicken combo and I prefer their version of both compared to the more popular L&L. 

As for the venue itself, it's all clean, less than two years old I think. Last I remember, this place used to be a Sandwich Masters and compared to that place, it's a completely different store. Fairly small, only about 9 tables I think but I've never seen that place busy. Usually people just order and pick up there. You seat yourself there so it's more of the fast food type of deal than a sit down place. 

They seemed to be stressing about not being able to get deliveries out though so either eat there or do a pick up. If you're in the mood for some Hawaiian or Japanese food, I definitely recommend this place.",JhVMhYNceJUt369RODruDg,1,0,5,1jLl--zUdyj_7U2YyWC_lg
3148694,2011-08-20,1,q_CpNXiPQbd6Iq0bnldhng,Food was okay tasting. Will go back to try the malasadas and give a more complete review.,WJiU8e_OHwDnBRE_FCSymw,0,0,3,890W4DnF-3-ZHvb1WFZxfA
3287843,2012-07-06,0,q_CpNXiPQbd6Iq0bnldhng,"I eat here all the time, food is really good. They serve a good portion for your money, I recommend the grilled mahi mahi very tasty!",AKapVwSgqHCfpRkXuBG7lQ,1,0,5,uIMuajCessnX1xj6psBw1w
