,date,funny,business_id,text,user_id,useful,cool,stars,review_id
12603,2015-11-28,0,qi3JiaD6bzjsE22HFIrpng,Awesome last minute pizza. Huge slices and thin! We had the Pep and sausage and it was worth it. Waiting just 20min for hot and fresh pizza. And it's open 24hrs! Can't get better then that.,E1En7MbHLZKFEUC2ZeLCaQ,0,0,4,gDTkLMNKMzUwWPW4i_qmsA
82669,2016-07-28,0,qi3JiaD6bzjsE22HFIrpng,"The Margarita pizza CHANGED MY LIFE!!! Brian is the best pizzaiolo ever and Luis couldn't get more friendly!! Eat here if you want yummy food, especially after a night out on the town...",yqVrpChAEyyOfddWGf8TTg,0,0,5,euFbr2d1mpEf18mh8UMW9g
161923,2014-09-18,2,qi3JiaD6bzjsE22HFIrpng,"Very rude staff. Sandra at the cashier doesn't want ppl to pay with cash because she doesn't want to count change. So she decided to cuss my wife out for paying with a $20 and some coins. 

Avoid this business. Thy charge you an additional 15% when using credit cards and they cuss you out when you pay with cash and coins. Ridiculous. And they yelled at us for wanting to call security on us. Strange business policy.",Zs04dig13ZI-butaewqLUQ,5,0,1,4vm4-Z2PmsN6tHk8kmb8VA
497812,2013-12-30,0,qi3JiaD6bzjsE22HFIrpng,Decent pizza with enough variety. Not the best pizza ever but good enough. Really friendly and helpful stuff. Not so cheap though....,XUhiwI1hq8tpxy1JZ8LdiQ,0,0,3,H8pTsCvvl8BBQSUAiTYkoQ
640303,2017-04-08,0,qi3JiaD6bzjsE22HFIrpng,Worst place on the earth bad workers bad people bad style cheap people give little food do not come her thier other places next to it that are better and cheaper this place is to exspsive,9K3ObhNr9B3Nu5cj-3kjqg,0,0,1,ZzFCr9I9T51q-i7krq4vdg
644667,2015-03-03,1,qi3JiaD6bzjsE22HFIrpng,"We were looking for quick bite so we found this pizzeria in the Venetian.  The price was a bit high but we were craving pizza so we ordered a large combo. Yuk, the pizza was really greasy, rather mushy and the topping was sliding off the crust as we were eating the pizza. My wife got sick that night and threw up and my friend got a bad case of diarrhea shortly after. I'm not sure what was spoiled but it wasn't good. I wasn't affected because I didn't eat as much of the cheese topping, not sure what ingredient was the cause but something wasn't right. I've had way better pizza for the price but what do expect for a 24 hour joint.",tYpxIH7nhaTp-iXyW5qiFA,0,0,2,ddicqBi-6jbB0ig7bZGbzQ
712294,2009-11-04,7,qi3JiaD6bzjsE22HFIrpng,"371492816 great restaurants in Las Vegas.
For my birthday dinner, I chose Pizzeria da Enzo.
3rd year in a row.
True story.",x9g-i1DsB-VjSDGVOdRonA,5,7,5,SyoaAqIiQy6a3Rr01p1fUg
767816,2010-06-21,0,qi3JiaD6bzjsE22HFIrpng,"I got hungry after gamble.  so I went to grab some ham and cheese wrap $12  at 3 am from Pizzeria da enzo.   It was alright but It wasn't worth it.  I was still hungry.
 I saw this dude ordered pasta (about size of 2 taco from jack in the box) cost this him $15.

I wouldn't recommend this place.  if you are hungry, head to strip for 24hr mc D.",6w_6dgJUOI47duxeqIPJHA,0,0,2,ti3trr9mSFb5BGfePgXmyA
793960,2015-10-09,0,qi3JiaD6bzjsE22HFIrpng,Amazing New York slice pizza! Better than secret pizza in Cosmo that everyone raves about but being from New York this place has a slice that is very much comparable to a good slice from New York! The Burger joint right next to it has a great bacon cheese burger also! Great late night fix!,7DZHps9VTKI02JrzNp6viQ,0,0,5,Db2-OJC_ScKBjiU99NKCsQ
803799,2012-09-13,0,qi3JiaD6bzjsE22HFIrpng,"If you want the best pizza west of New York City, this place is it!",aBAg9IawTJQLQhcGzij_3A,0,0,5,8I1i7LZ6eTyM9zJk4AMhXQ
