,date,funny,business_id,text,user_id,useful,cool,stars,review_id
8933,2012-11-09,0,qkyCuFJF2Uboh6n2Lmuwlg,"The best thing about being trapped working in a dark, reality-TV, control-room is that LEE's Sandwiches is ONE BLOCK AWAY! The #5 Pork Sandwich has always been a classic for me. Having been to college in the OC (CA), one of the few places that's open and crowded at 200am is LEE's! The smell of fresh Baguette's is devine.",Ry37YQ4DTeE7RjaQ12YLHw,0,0,4,_W7B0nAzY_XYLTFR_lmIag
41600,2014-07-15,0,qkyCuFJF2Uboh6n2Lmuwlg,"I went in first time experiencing very rude service by one female staff.There is simply no knowledge of serving customers in her with very harsh language, arrogant attitude and improper language etc. it's better the owner train their staffs to be more friendly customer oriented.",ETVakUdhkRFdtJUwwYtnQg,0,0,1,va__AVHH52PUDKJ0r1E95g
45543,2011-04-18,0,qkyCuFJF2Uboh6n2Lmuwlg,"I came here on a Thursday night around 7 which wasn't packed, so glad it wasn't because it takes a pretty long time to get your order. I ordered a croissant roast beef sandwich and cantaloupe boba drink. The sandwich was not bad it was pretty good and a decent size. 

This place was nice and clean, really bright, that's because it is still new. The staff was okay, not too friendly yet not too rude. As for parking good luck because it is at Chinatown and we all know how the parking is at Chinatown. 

No credit cards taken, just like the ones in California so make sure you've got the cash if not they do have an ATM which you know cost money.",jEBySjq6tgL-_R3P7LHq0w,0,0,3,trRKbFfESxDJbe2ybVZXfQ
56226,2016-05-14,0,qkyCuFJF2Uboh6n2Lmuwlg,Just walked int lees and ordered  a ice cofee and was told there was a 10.00 minimum  to use debit not very happy,X1BebnLC_l1V2noyNJcsgg,0,0,1,gmV1G8iIp3uRiNuWMlp8QA
56598,2015-04-28,0,qkyCuFJF2Uboh6n2Lmuwlg,"I definitely got my Asian sandwich craving fix here during and after my pregnancy. As usual, I ordered the bbq pork sandwich. It was great and reminded me of home. They had a lot of stuff on the menu including European sandwiches which my husband enjoyed. From steam buns, to thai tea, boba drinks, coconut waffles, and packaged snacks, I'd definitely recommend this to anyone who wants lunch in china town. It was pretty cheap here if anyone wants a cheap lunch. You do get a lot for your money. 

Customer service was great. They were friendly, fast, and efficient. They got my order out in five minutes or less even when there was a rush. They have a lot booths and it's fairly spaced out. It's not hard to find either, considering how compact Chinatown is. 

I do see a lot of bad reviews in here, but it's definitely a place people should check out at least once. I just wish they had something like this in North Las Vegas.",PcCXX1Y0e-EP5GGfTJQVig,1,0,5,hmQRokvr5MiR8jWSfoHB2A
59088,2014-08-05,0,qkyCuFJF2Uboh6n2Lmuwlg,Been to a few lee's sandwich in cali. Service was 10x better and faster. I waited more then 15 min for a f*** coffee. Not to mention the manager was very unprofessional.  Doest say a word or smile. Sorry for making u wait? I live in vegas now. Will never come here again.,scJkG9otiqFWDU6fbQKNXw,0,0,1,lLFaxXFPCCcKw8YM_d8VGw
85347,2012-10-02,0,qkyCuFJF2Uboh6n2Lmuwlg,"man, the bread is hard as hell. everything else is okay. check out hue thai for some good banh",6fJl2AIca4tJHynCd4F3Hg,0,0,2,0WNcmD6_BIyt2qn_q-8aTg
90909,2012-07-30,0,qkyCuFJF2Uboh6n2Lmuwlg,Sandwiches are pretty good but it takes forever just for them to make it and the worse part is they won't take a card unless it's over a certain minimum. It sucks that I have to go get cash just so I can get $3 sandwich. The only plus is that it's open 24 hours and great for super late night banh mi craving but be ready to wait your whole life.,-dxDfwn30JSChQmO1Bmpeg,0,0,3,luFCd9UOLZXxH9JfOP1nAw
95160,2013-07-25,0,qkyCuFJF2Uboh6n2Lmuwlg,"I love there iced coffees! ive never eaten the food, but i hear the sandwiches arent bad",xaBLkvnxhRJl39ykKw8vfw,0,0,4,VeH0khwc6zOqe8FkFYBjVw
96456,2011-03-23,0,qkyCuFJF2Uboh6n2Lmuwlg,"Very good fresh french baguette combination. Iced latte  is delicious. 
Try the Green Waffle for desert.",v10EWWl3pHix4DVTmV4acQ,0,0,5,xEcP5DTGx7v7S_RaSIOSPQ
99263,2012-09-03,0,qkyCuFJF2Uboh6n2Lmuwlg,"I tried giving Lee's the benefit of the doubt. I did. But unless you tip big and speak the language you are bound to get ripped off. 

The first time I was here I ordered a Banh mi to go, once I got home and opened it, I felt a scavenger hunt for the meat was necessary.

The second time I went there, it was so packed they gave me the wrong order!

And now, when I went there I was short on cash so couldn't tip well...and what do I get for my insolence? An ounce of coffee with a TON of ice. 
Thanks Lee's! Good to see you're being fair to, both, your rich and poor customers!!! 

I've definitely found better Vietnamese places around the area and near where I live. So fret not lovers of Banh mi and Pho, there is still hope!
Never again...",MenW4vr6-vdrRQNtTrGycg,0,0,1,_F5-XtLgfcUUZhAvs8EhqQ
105833,2011-03-30,0,qkyCuFJF2Uboh6n2Lmuwlg,"The only thing I like about this place is there Iced coffee and the Roasted Beef sandwiches. 

Lee's Sandwiches is Over RATED!!!",j-T9nnbuMb56yN7hdZC6hw,0,1,3,uZcOzTr6SfvLs3mawNYU8A
117983,2015-01-20,0,qkyCuFJF2Uboh6n2Lmuwlg,"I ordered the combination sandwich for lunch and it was good. I've had better but it was not bad for the price. Loved the bread though, it wasn't too hard. Parking sucks if the plaza is busy. However, the restaurant itself, I think is very cute.",FUcc4cUmZLVQQ--7sV04Dw,0,0,3,LMGz7bVt7JeP_Nx5tj_kIA
118377,2015-06-13,0,qkyCuFJF2Uboh6n2Lmuwlg,My fav place every time I came to town! They have the best chicken wings & banh mi....would recommended for everyone who pass by Vegas !!!,Zj-lhOHbkYlCDsYq3jfJrw,0,0,5,YLre-se4apm2KdJZRNtN_Q
119591,2013-07-07,0,qkyCuFJF2Uboh6n2Lmuwlg,"Sadly a costly business decision cost them another customer.  Apparently overnight they raised the minimum debit/credit to $20.00 due to increasing Costs?!?!  Sadly they lost more than that with me. Mediocre sandwiches, a perpetually dirty floor and now this....Mr. Lee when will you get it?",P5zo78XMAvQrJys4b5N5PA,0,0,1,3CfrCvm493IaKGYVPRt0SA
123336,2014-01-10,0,qkyCuFJF2Uboh6n2Lmuwlg,Banh mi is super tasty.  Fresh baked bread and ingredients.  Love the coconut waffles and honeydew smoothie.,IMp6bc7PwIeU0X2lTMRAgA,0,0,4,Q4npD8B7jDUsgSFWt_WzlA
128523,2013-05-13,0,qkyCuFJF2Uboh6n2Lmuwlg,"Lee's has been a chain I've heard about from natives of Orange County, but I had never been to a location until I went to the one in Vegas' Chinatown.

My friends got some banh mi, steamed buns, and Vietnamese coffee. I ordered the combination banh mi and my hunger was sated. Nothing stood out or was overly special about it. Their bread was on the squishy side. I heavily prefer the freshness of the ingredients and crisp bread used in the sandwiches from Dakao. The Viet coffee was pretty bold and strong, but provided the needed caffeine fix. They fill the cup completely with ice, so there's not a lot of coffee, but the stuff packs a potent punch.

At the time, we thought the food was pretty decent. That is, until a while later, they ended up feeling queasy and one friend had stomach pains. It was enough for us to throw the remnants of our food away immediately. No question.

First time at Lee's ever proved that it'll be my last for the Nevada locations.",EHvPZx_EY_s4r_5K6fL6tg,2,1,1,NJ0NllN-9g5_5hLzCmUbpQ
143804,2016-03-19,1,qkyCuFJF2Uboh6n2Lmuwlg,Since Lee's Sandwiches stores start poppin up like Mc Donalds in neighborhoods. I instantly fell in love with their fresh Banh Mi n Vietnamese coffee! This store location in LV Chinatown is a great addition n the 24/7 operation hrs is super! Even the poster in front of the store indicate future first lady president Hilary Clinton gave her shield of approval. How cool is that!,o9D90Dr6z27JL6AlivsoFw,0,0,5,6jtYxIKiOd3fP4BMZmSsQg
152820,2012-11-03,0,qkyCuFJF2Uboh6n2Lmuwlg,"I like the seating area, but the food....... nah, don't really interest me at all. I wouldn't mind to go have a drink there and hang out late at night.",z-b7WZ32qAcz_KzBmAnTrg,0,0,2,xzHJu6hxDhbQKxDse5G0vg
169083,2016-02-12,2,qkyCuFJF2Uboh6n2Lmuwlg,"Don't put out coupons if you don't want to honor them...that's what I call BAIT & SWITCH. The picture below shows a perfectly valid coupon from Valpak. The first time I tried to use this BOGO, I tried showing it on my mobile device, but Lupe (the cashier/night-time supervisor) said it must be printed out. Fine, but the coupon could be more clear and say ""must be printed"". I returned a few nights later with a ""printed"" coupon and got another cashier to accept it. I also got a digital punch for their Epoxy Loyal Program. Lupe witnessed this and then scolded her cashier to not allow for punches to be given when a BOGO is used. I returned a third time last night. Lupe was the cashier, and once again, she refused a perfectly valid coupon. She said she was just following the rules and that I can contact her manager Benito. When I finally spoke to him today, he told me that I was abusing the system 
by trying to use the Valpak coupon in combination with their Epoxy stamp (Customer Loyalty Program), and that he had me on video. So now I am the sandwich criminal! Their customer service is a joke...instead of just giving me a lousy $4.00 sandwich, they are just jerks about it. I understand that some coupons say ""Not to be combined with any other offer."" I don't think asking for 1 Epoxy stamp was unreasonable since I was still technically paying for 1 of the 2 sandwiches that I would be getting with the coupon, but if that's against their policy, I can totally understand. But, that isn't reason to just ban me from using the Valpak BOGO coupon. They just have to politely say that I can either use one promotion or the other. FYI, there are many other restaurants that will allow me to use a coupon and a loyal stamp/punch card. It's not a big deal.",5CC0ifO-PgXJSmO4bXTiWA,2,1,1,vqvXPqXlZcdcl1jSemCd8A
178935,2013-12-28,0,qkyCuFJF2Uboh6n2Lmuwlg,this place is terrible . I bought a sweet Vietnamese cake with green bean dessert that tasted like a rock . their baguette is so tough . Go to Mr Sandwich,2HI9KcP8iErYxE5EJfvCTQ,0,0,2,eQB20xU6M-auFojXocK_Vw
180889,2015-04-26,0,qkyCuFJF2Uboh6n2Lmuwlg,"I stopped by late one evening just to satisfy my craving for some Banh Mi. I had a combination Banh Mi and it was pretty good. The bread isn't the French baguette I am familiar with since I was a child and what mom and pop Vietnamese sandwich shops offer but it was descent.The Banh Bao is pretty good, I am glad the were putting out a fresh batch so I figured it was a top seller. Overall, it's a very convenient stop for anyone that is craving some Banh Mi and not a typical sub sandwich!",ZvSAjPCAYV4CG2l6JK7pVg,0,0,4,HIL6N-46_4I17hKCHlHjXg
219668,2011-03-28,0,qkyCuFJF2Uboh6n2Lmuwlg,"Been here twice already and it needs work! I asked the cashier for a large Soy Bean milk and he made us buy the bottle when they actually do sell a large Soy Bean Milk. I had the Grilled Pork and the Special Combo Banh Mi. The Grilled Pork was skinny I would recommend the combo any day. If you decide to order any type of iced drinks be prepared to drink mostly ice. The coconut waffles are good, I would recommend to get them fresh otherwise they're left out and soggy. They are 24 hours which is good. They also have breakfast sandwiches but they are only served until 1100. The prices are decent. I've seen other places where the bahn mi are priced around 5 bucks. Also, this place is currently cash only.",92xbY5gwCbi-vO4VxDHQ7Q,0,0,3,OQLmX71787o_LYFxKkaXzA
236553,2017-10-15,0,qkyCuFJF2Uboh6n2Lmuwlg,They have the worst customer service!!! Don't recommend it at all . There sandwiches ain't as good as PHO90!,xBQbp87tMe2JLh0TAfALhA,0,0,1,ATKfLuEqTC4goy9Gm48dEQ
260140,2012-02-12,0,qkyCuFJF2Uboh6n2Lmuwlg,"I ordered today a sandwich number 34 (Pork Roll & Pate), the bread was so good just came out from the oven fresh and soft enough (sometime when it's more crunchy it must be because it was in the oven a little bit too long), the filling of Pork Roll & Pate & Mayonnaise & Veggies were really good, along with a good strong unbeatable iced coffee ! I recommend Lees if you want a good casual meal without hurting your pocket.  They are opening another location on Eastern by Serene / Richmar, a busy shopping area in Henderson by the airport, I will go there for sure.  Thanks to Lees for expanding their business to Las Vegas, before I could have their goodies only in California.  I give 5 stars for keeping the place nice and clean, besides good food.",DU5_xp84tv9YkAvZvvThPA,0,0,5,OOXzr3TUtMYJqXdWaTc5dw
267584,2011-04-24,0,qkyCuFJF2Uboh6n2Lmuwlg,"This review is based on a grilled pork sandwich. I have to say their sandwiches are cheap, but you get what you paid for. First of all, it took about 15 mins for them to complete my one sandwich order. Let me put this into perspective: there were 10 workers in the back making sandwiches, and it took them that long. Sure, I came into an already existing long wait as there were people ahead who've already waited longer than I have. But still, the long waits are unacceptable. 

The food: one word, tasteless. The carrot and turnip had no flavor. Its like they forgot to put sugar and vinegar when they soaked it. The meat was not too bad, it was one of the best parts of the sandwich. The bread was ofcourse, indeed one of the highlights of the experience. It was definitely fluffy since it was baked fresh.

Last of all, they have a wifi access point, but I don't think they advertised it for public use. If you have T-Mobile, there is no 3g while you are inside.

Conclusion: I would rather go to Mr. Sandwiches instead and pay just a bit more for better quality and taste, and to save myself 15 mins of my life.",IegXTpaLReHvm2PSH7sGZw,1,0,1,JXn3mV7k3ow7jXNRZGqmlw
