,date,funny,business_id,text,user_id,useful,cool,stars,review_id
406004,2015-05-10,0,r1e5Ot6_jGFyV2N_dn8JDQ,I'm salvadorian and my grandma use to make the best pupusas and as she got older she stopped making them and sold her restaurant  and over the years I could not find other restaurants that would make them as good and I would go to every restaurant in search for affordable and delicious real taste of pupusas and was always unsatisfied until now this bakery makes the authentic pupusas and really captures the real taste . I hope you all enjoy this bakery as much as I do it's inexpensive and will leave you speechless.,T9BIQIyNOfQru6fRH7ioqw,3,2,5,VSii002NchIubddLlj9WEw
966273,2016-10-30,0,r1e5Ot6_jGFyV2N_dn8JDQ,"This is my favorite place to get freshly baked Mexican bread. All the breads that I have tried are amazing. I also recommend trying the pupusas, they're awesome!",gFsM30pWHcPJHMSjRHhgsg,1,0,5,rH2fslmVeg3uUYDAd-ipAQ
1018263,2016-12-28,0,r1e5Ot6_jGFyV2N_dn8JDQ,"Do not get discouraged by looks of the outside of this place, inside is quite cozy and clean. They have the freshest cakes and breads. Pizza, sandwiches and tortas, sopas. I had to wait for about 10min for my freshly made pupusas and they were the bomb!! They were big too. Also I had a piece of cake for $3.50",HXqDDRu1uZvID8pZEpV1uQ,0,0,5,422VhqWw5nYr850LQnuznA
1204303,2015-09-08,0,r1e5Ot6_jGFyV2N_dn8JDQ,I needed a Cake in Vegas. This place was recommended. All they had was tres  Leches cakes.  Not many bakery's know how to make them taste just right. This bakery knows how to make them perfect. Taste like Fogo de cho tres leches in Beverly Hills. Cinco estrellas For this place. Very friendly staff. Muchas gracias Panadería Tricolor.,vtbMt1k-memhGMPpHXUtvg,1,0,5,BPE71Htj5yD87FODTDaNoQ
1675014,2016-08-10,0,r1e5Ot6_jGFyV2N_dn8JDQ,"Very good products, family owned. Reasonable prices. food is fresh.
Employees very nice and helpful.
Cakes are beautiful and made on site.",725KpszZGmyLFDooDbXEBg,0,0,5,ThuY1iKNKMqhDDXldMd-4Q
1729378,2016-05-09,11,r1e5Ot6_jGFyV2N_dn8JDQ,"I drove by for months and didn't realize this place was open, because their signage is falling apart and windows are covered by faded food photos. But they are indeed open for business, whether you're in the mood for classic Mexican baked goods, pizza, tacos, custom-made cakes, or burritos. Yeah, the menu is all over the place and I have no idea why.

Played it safe with a carne asada torta ($6) and was wowed by the massive size- it filled the entire takeout box! Unfortunately, the bread was soggy with beans so it was falling apart. I was also disappointed that it did not have any avocado. The carne asada was nicely seasoned with good flavor, but oddly chewy and stringy.

Came back for a different dish with a different meat, sticking to sopes ($2/ea) and chicken- bland all the way around, from the gummy fried masa shell to the dry and unseasoned chicken. Maybe their baked goods and pizzas fare better, but I don't intend to find out. Note that the staff only speaks spanish, but happily this is NOT a cash-only business as I originally assumed.",bLbSNkLggFnqwNNzzq-Ijw,14,10,2,1q8aB1MncVsBjfYApLBEUw
2110390,2017-12-28,0,r1e5Ot6_jGFyV2N_dn8JDQ,"The clan there is to die for!!!! Super delicious and they carry change for big bills 

The bread was nice and soft and big bonus for using abuelitas chocolates inside some of the breads.

 Also ordered a gelatina for my daughters school potluck and that received compliments as well",NfhHxJvCSubwNO83JJguwQ,0,2,5,50rzFMrfNMZ_gqKoilWn2A
2177039,2018-01-07,1,r1e5Ot6_jGFyV2N_dn8JDQ,"The 4 in 1 cake is heaven! A co-worker brought in this cake to one of our potlucks and I fell in love. It has 4 layers of course......tres leche, chocolate cake, cheesecake, and flan!
It was sooo good that I had to order this cake for a friend's birthday. I didn't mind driving all the way here for it, even with this place being 9 miles away from my house.",dAfdS9l7DOMze3orptDxiQ,0,0,5,_lJ8iqNaOodqTupsTkx-wQ
2539874,2016-05-01,0,r1e5Ot6_jGFyV2N_dn8JDQ,"Great bakery. Went to get their 4/1 cake tres leches, flan, cheesecake & chocolate cake. Wow it was delicious. My dad doesn't like cake. He devoured the cake. My son said he knows what cake he wants for his Bday. Also picked up some pan dulce. Man this bakery knows what they are doing. This bakery is great. Nice friendly staff.",yIg6uLE0W_WmA2h0S1r4pQ,0,0,5,2C3MdvG7DnNlysd9i-x19Q
3311549,2018-06-02,0,r1e5Ot6_jGFyV2N_dn8JDQ,"It has been a while since I've been to this place, but it was one of my favorite bakeries growing up. I'm not surpised it is still around due to some of the most delicious and soft pan dulce in the neighborhood. If it's your first time, the conchas and the cookies are the way to go. :)",egOXV40C4dmlumz2Ijl5Jg,0,0,5,XTASs9y31_jEj0VVsIS-tg
3599692,2010-08-18,3,r1e5Ot6_jGFyV2N_dn8JDQ,"My wife Sylvia Q. stumbled upon this place when we first came to the desert back in 2004 when we hardly knew our way around town and discovered one of the best Tortas de Carne Asada being served in this little hole-in-the-wall bakery.....BAKERY!?!?!?!

Yup this bakery is also a taqueria, pupuseria, and pizza joint all in one!

You can get Mexican and Salvadoran style breads and pastries here, as well as pupusas, pizza, tamales, burritos, tortas, tostadas, sopes, quesadillas, pizza, wings, and the list goes on and on....


Fast forward 6 years later, and we happened to be around that side of town, so we go and see if that little bakery is still up and running.

Sure enough, they're still in business, so we go in and grab a table and order a couple of Carne Asada tortas. We see that they have Menudo(Tripe) as a special of the day, so we get an order as well.

when our order arrives, it is just like it was 6 years ago, Toasted bread made in house everyday served with a very generous piece of carne asada(not chopped up into little pieces like other taquerias) beans , lettuce, tomatoes, and jalapenos.

You gotta grab this thing with both hands to get a bite, its the biggest torta in town! Our 
Menudo is equally tasty, not gamey, and seasoned well, and comes with HANDMADE tortillas-YUM!

we also got some pan dulce and a chocoflan to go but they weren't all that. Marianna's is much better.
Haven't tried any other savory stuff, but the Torta de Carne Asada is worth coming back for...ALOHA!!!",3nDUQBjKyVor5wV0reJChg,5,4,3,-c9CJ61oF4JsFR2bcrDmdg
4011793,2012-02-05,1,r1e5Ot6_jGFyV2N_dn8JDQ,"Found this place when I was anxiously looking for some Pan Dulce to take to my son's school.  It was a nice surprise.

Very nostalgic for me to walk into a Mexican bakery, the sights, the smells...always reminds me of my summers in Mexico when my cousins and I would walk to the bakery to buy some Pan Dulce-it was always fun to find the ""best"" pastry. 

Panaderia Tricolor is a tiny place in a strip mall and they offer Salvadorian baked goods and Pupusas  as well.  I was pleased with the variety of pastries and bought two boxes (25 pastries total) for about $10!  Beat that Starbucks!  I am anxious to come back and try out more menu items especially since I've been to San Salvador and had some awesome tasting pupusas there. Service was wonderful-she was so patient as I picked out all the pastries.  

It's a tiny little cozy bakery with only two tables to sit at if you want to order anything off the menu. Variety of pastries was incredible. From conchas  (pink, chocolate, vanilla- egg bread-wonderful to dunk in coffee-my personal favorite) to cochinitos (gingerbread pig shaped cookies) and empanadas and galletas (cookies) all fabulous. Authentic! Try it out!",uEvusDwoSymbJJ0auR3muQ,8,5,4,t9AdVPAbvdRnYZDCe2er3Q
4056608,2016-04-23,0,r1e5Ot6_jGFyV2N_dn8JDQ,"Cute little hole in the wall place, I was born in Mexico, lived in the states and spend my summers in Mexico. Finding a place that comes close to my birth place is no easy task, this place has all my favorite pan dulce styles. I just picked some up before the closing of the place,and let me tell you the bread was just a sweet and melt in your mouth awesome. It's worth the 20 min drive from my home it truly made me think of my summers in Mexico when we would grab some treats after dinner! Definitely my new fav place. They accept cash,CC and EBT",x21J3S8eATg6T0ALuOHDYw,0,1,5,YdBSct-N3iUmAZVdYWdphw
4146380,2018-05-06,0,r1e5Ot6_jGFyV2N_dn8JDQ,Worst experience EVER. I ordered a cake and upon arriving to pick it up the cake looked NOTHING like I ordered; &  I ordered it from there menu. They just lost my business and I am an easy going person but my experience was that bad. So unhappy,_3VRTh-9Lk_CJ6ZVqYKAdg,0,0,1,eay6TrdENv2KCuUPzZdp0Q
5121382,2017-05-12,0,r1e5Ot6_jGFyV2N_dn8JDQ,Got a 4 in 1 cake for my dads birthday !!! The cake was delicious!!! Definitely will b going back for all my cakes !!! Staff was super friendly !,VrwWOlQAVaKqYaQyRXwyGw,0,0,5,CEyUIknaOmkzfe4wXiwPlw
