,date,funny,business_id,text,user_id,useful,cool,stars,review_id
230726,2013-01-30,0,r5Ps1Ir6xzJRMLmCWiBXdg,"Good Chicken club, fries were hot... just couldnt understand person on intercom clearly..over all it was OK",J3kRWwB7TdfmGrqHFE3lug,0,0,4,vpytoY9uLeHGfoT4Mm7AdQ
875461,2015-05-21,0,r5Ps1Ir6xzJRMLmCWiBXdg,Pretty ridiculous that they don't close til 10pm yet the children's play area and half the dining area is closed off at 730pm. They must never change the oil to the fryers either cuz everything out of it looks and taste nasty! This burgerking is definitely a joke!,P1R3HT8VEa5EmYRlvepVrQ,0,0,1,KEUtaEUWhV2bd6Sk-QZ9YA
935180,2015-08-31,0,r5Ps1Ir6xzJRMLmCWiBXdg,"Cane in for a crispy chicken sandwich and French fries a quick snack because i haven't had any from Burger King on a very long time 
Well experience was horrible after 18 minutes of waiting they realized i was waiting in my order they tried to hurry and the starting to screw i got a frozen spicy chicken sandwich NASTY French fries cold 
Only great item in the menu my SODA 
What experience",U4MuoAFVja8KVa7ur2UkyQ,0,0,1,NBVBZtZUQh0qXXjjtUDHlw
1357438,2018-06-07,0,r5Ps1Ir6xzJRMLmCWiBXdg,The people at Burger King on lake mead very friendly and courteous.,-U8dSh5uLmaoCD8eTYjx7w,0,0,5,0xD4M-UD8fJC0h62PX3NLg
1705369,2017-02-18,0,r5Ps1Ir6xzJRMLmCWiBXdg,"I never thought I'd being doing a Yelp review for Burger King.....it's just a fast food joint. This particular locations food isn't any better then any other BK. Except for the fries, WAY better then the other BK's I've been to. The customer service today is the reason for the review. Brandon was very nice & accommodating when we arrived & MJ was totally enthusiastic to be at work on this very rainy day and he was super sweet. Kudos to the management team & the crew, the great customer service had me walking out with a smile!",TLxRUxTQhWTD_WrU22S06A,0,0,5,hLoYHGzJbS2YzgIh4CLneQ
1835425,2015-11-20,0,r5Ps1Ir6xzJRMLmCWiBXdg,"My husband and I frequent the Burger King on Warm Springs in Henderson normally with satisfaction. A few days ago, we had an issue with the meat being dry and when we called to speak with a manager, Phillipe was very quick to handle the matter to our satisfaction. The restaurant is clean. We will continue our patronage.",HMe5S5mmJ0mk0Whllh1OaQ,0,0,4,D_xWzS7mpD7qs5agW8DG6g
1995932,2018-06-12,0,r5Ps1Ir6xzJRMLmCWiBXdg,"I arrived at this particular location at 1602 on  6/11. Apparently they were in the midst of dinner rush. 3 customers were served in the drive through before anyone even greated me at the counter. My order was placed at 1606. I wasn't given my large drink cup yet... between 1606 and 1622, 3 employees came out from behind the counter to get drinks for themselves.... no cup yet. My order was given to me at 1622, 16 minutes after placing the order. In the mean time 7 customers were served in the drive through. 

I guess I'll just keep my lazy butt in my car and be served faster than someone who actually comes inside.

Lake Mead and Rampart.... NEVER AGAIN!!!",z-bG13dwl84RSLl9qUu2xQ,1,0,1,DTxo49aQvQAhoISsMeelsw
2557919,2013-08-28,0,r5Ps1Ir6xzJRMLmCWiBXdg,"Since their redo, I have been loving this place.  I noticed their staff has improved and with their awesome pricing, for get about it!!!  Not normally a BK kind of a guy but this location has began to sway me.",_1xEyHT250zXfxJOmI7g2Q,0,0,5,kJIf-su5Z7etLE43V6NckQ
2922409,2017-08-04,0,r5Ps1Ir6xzJRMLmCWiBXdg,"this location of burger king got me disappointed & angry today, i ordered the crispy chicken meal for $5.00 because they are sending these several coupons in the mail so i thought i enjoy a meal on my way to work, my sandwich was not eatable ! the chicken was hard like rubber, 1st bite in my mouth & i spitted out ! i think they microwaved it for too long !  because i was hungry i went for the fries, they were extra salty which i never asked for extra salt on my food, less salt is always better, so really my meal was just the drink :(
burger king lost my trust as a customer, i rather stay hungry than buying from them ! 
i took pictures of my sandwich & my receipt , too bad yelp has no option to post pix in here !",EIRAUIl91oZJviJbjKHUEA,0,0,1,ssZMCIlvCpNjvwMcOml4Xw
3242007,2018-06-17,21,r5Ps1Ir6xzJRMLmCWiBXdg,"Whaaaat... There's a lounge corner and free Wi-Fi!  Hey can I just use YOUR Wi-Fi Mr. B King? I sat at their tall cafe tables. Very nice! You can watch the mounted flat screen TV perfectly. They play cool music. There's an indoor kids playground. 

The employees are cool. They all seem to get along and laugh together. Quick customer service indoor and drive thru.

Great value menu. I'll have one of each item :P for my slight fast food binge. Would you care for some brain freeze? There's frosted Coca Cola flavors! Yet another bonus, their soda fountain is a fun touch screen that dispenses a large fruit variety of Sprite! I tried peach! Yaaaaheheeyyyyy!

And the best part of your BK experience shall be...Chocolate candy themed pies! GET. IT.",JQIZhoQB-Tg9hdBEj90m4g,27,28,4,E3vfQTy1iOH7QJ5KOkINWg
3247835,2017-08-15,1,r5Ps1Ir6xzJRMLmCWiBXdg,"First of all, the whopper had a few shreds of lettuce and too much mayonnaise. How much could they save by putting a decent piece of lettuce on your sandwich? They had 2 whoppers for $6, by the time we added one order of fries and 2 drinks, we paid as much as 2 value meals with 2 orders of fries and 2 drinks.  The kid at the counter should have suggested that. So now I feel I didn't get a good sandwich or a good value.  Guess what? In-n-Out Burger, McDonalds, Smashburger, Red Robin, Fatburger, Five Guys, Shake Shack all have decent hamburgers. Too bad this place is convenient but I won't be stopping there anymore. You can go anywhere and buy what they sell, in a clean store with a smiling employee and feel like you got a good value.",Z55Xlzeb1Gh34qPSuwgEDg,0,0,1,Al8yRB6gBcXED36-oUJIig
3453565,2015-11-24,0,r5Ps1Ir6xzJRMLmCWiBXdg,Nastiest window staff... No napkins... Had to ask for my drink.... Can't believe I stopped and and was blown away about the teams lethargic attitude.... You guys definitely made an impression on me!!,k_RAP79mZjpwQw2NMDJrJQ,0,0,1,8O_dDqATsCRT8kqudiwLrw
3619004,2017-03-16,0,r5Ps1Ir6xzJRMLmCWiBXdg,"This has to be the worst burger king in the contiguous United States. There is nothing more frustrating when the employees cannot comprehend a computer screen!  I place my order with a super nice and friendly MJ. Then i get to the window to get my order. No hi, No smile, just ""whats your order"". I tell the miserable Juan that i ordered a chicken sandwich and a diet coke. She gives me a Dr Pepper?  Wtf?  You just asked me!   Her DGAF attitude continues while they are trying to figure out my order. The order was then completed by a guy who at least said thanks!  Shame on Burger King for having this girl represent them. Either no comprehension of customer service or zero training. Avoid this place.",H1Ag8Xt1MTLKX4j37mYHoA,0,0,1,EYAAeXW6Y24XazDSIYMJRQ
3644291,2017-01-07,0,r5Ps1Ir6xzJRMLmCWiBXdg,"Thank heavens for your drive thru. Thank heavens for the ability to keep my children in the car to get their dinner. Why, you may ask, is the drive thru so important? Because as I drove by the main entrance to this Burger King, there were FIVE Burger King employees  standing no more than 2 feet away from the front door, ALL smoking cigarettes. These were not ecigs,  these were cancer causing, polluting cigarettes filling the air and no doubt entering the air within the restaurant, as the door was wide open.  Had I been trying to enter the actual restaurant with my small children, I would have turned around and left, choosing to protect my off spring from your 2nd hand smoke.   Please add a little more professionalism, consideration for others, and class to your business.",v_oaOGTx3CrYBQV4CEe2fw,0,0,2,8r1TSxEr3IrmxMzRXldtDw
3740490,2017-09-11,0,r5Ps1Ir6xzJRMLmCWiBXdg,Well it's a good thing that I only eat here 2-3 times a year! How do you mess up a kids hamburger? Just ask Burger King! The top part of the bun was nearly as hard as a rock. And they messed up the customer's order in front of me and the manager or person in charge started to argue with the poor guy. Now that's great customer service! NOT. The only people that I see in this location are older people from Sun City that most likely have lost their gustatory sense. Skip BK totally!,NxnZP9mgWaWG5bKbgmbYzA,1,0,1,xDhoGs5sv2uQYDRJ4zT0IQ
3768910,2016-07-24,0,r5Ps1Ir6xzJRMLmCWiBXdg,"Horrible! I went through the drive thru. The person taking my order was prompt and when I got to the window he took my money quickly and gave me the straw and my drink. It took 10 minutes to get one small Whopper jr. I could see from the window that people inside the restaurant were getting their food. I also heard someone yelling hurry up, hurry up in Spanish to someone and telling them that you're fired after this and then laughing. I sure hope this gets red and that management is aware of the unprofessional behavior that happened to me at least.",CgHe7K-MWQOi7sDNJ_2QNg,1,0,2,8vxpLds50BENKyqSGyTNtA
3870410,2012-10-17,1,r5Ps1Ir6xzJRMLmCWiBXdg,"This review is based totally on one thing and one thing only. OK. Maybe two things. When you go to Burger King, you know what's coming. I got a Whopper combo. And decided to give the new Chicken Parm a shot. I don't know what they are trying to pass off as marinara, but its not even close to being good. Now for the next complaint. The lady at the window asked if I needed ketchup. Good job on that. Usually you aren't even asked if you want it. My response was yes. A LOT OF KETCHUP, please! So how many do I get? Four. Four! You have to be kidding me! For a Whopper and an order of fries? Tsk tsk tsk.",q5j3gxZbF_qCviRctL9wzg,0,0,2,u0mT8LMvKizlof3q1zFJaA
4000272,2016-12-21,1,r5Ps1Ir6xzJRMLmCWiBXdg,Drive thru....they ask for payment and then tell you to park out front because it will be a few minutes. Seriously?   Done with this place. I don't have time to wait for fast food.,gQRWDz_hyUrqJkYlQbdE-A,1,0,1,s24SIqbJrg2n8f77gfHQnQ
4142722,2013-06-28,2,r5Ps1Ir6xzJRMLmCWiBXdg,This is a nice BK.  The building has been remodeled and looks great.  The inside is pretty and looks very modern.  They have the usual seating as well as a little cove with couches and cushy seats to sit and have a coffee.  The playground area is nice and big.  It is 2 stories with a lot of room for the kiddos to run around in.  There is pretty limited seating for adults though with only 3 tables available.  Another bonus was the new automated soda machine.  I love these machines and the abundance of soda choices.  Yummy!  Overall it was a nice BK as compared to the others I have visited.,8DBH3BpLINfTAK_Up5BtUQ,4,3,4,BMrPmbLjEX9551JFZhp3QQ
4215258,2017-02-11,0,r5Ps1Ir6xzJRMLmCWiBXdg,"Quite possibly the dumbest humans on the face of the earth. Ordered 2 whopper jr. And a chicken crisp jr.  Waited 7 minutes in drive thru considering the terrible decision I made to go here.  Get. To the window and the dimwit begins to play 20 questions with me. ""You had a whopper jr. And onion rings.""  Nope, try again. ""You had the drink."" Nope. ""What did you have?"" I repeat my order and she confers with the wizard behind the curtain. The brain trust comes to the conclusion that they didn't enter my order in the register.  So big dummy asks me again what I ordered. By this time I said forget it and drove off. I did not hold high hopes that they would have even had my order correct had I waited.  On top of that, it had been another 2 minutes at the window while the dolts tried to figure out the impossible algorithm of fast food drive thru.",YoijcOhj_nrO0BE1_AFFuw,1,0,1,T3_duJNGnzgr52gxbCS9Hg
4287688,2012-10-01,4,r5Ps1Ir6xzJRMLmCWiBXdg,"Ok, BK, really? Now Im not one of those little food snobs, and Im a cheap beezy so after paying outta my butt for my car here is where I came for a little treat!

I only came for a ice cream sundae after Savers, and I went through the drive through. Now they recently remodeled this place, and its like stupid the way they put the exit right by the exit onto Lake Mead. You would think they wouldve made the opening big enough to enter AND exit, alas there is a sign to not turn into the drive thru... OK? SOOOOO if youre going to try and enter after leaving Chase, Savers, or any of those places you technically are supposed to go all the way around to enter. I was like wtf? and just went through anyway bc I had already pulled half way in. So I proceed to order my ice creams and the guy was ok, not amazing or super nice just ok. Service was quick but he gave me a dumb look when I asked him for a cup holder for 3 sundaes and a cup of water... hello bro! I dont have 4 cup holders! 

Anywho ice cream was yummy as usual and service was semi quick, not bad, just a weird drive thru entrance, and a huge slope going down the drive thru.. haha. Ill probs come back, I do love their 1$ sundaes!",cJh4F1zFNJb2wXCNT1uNWQ,6,1,3,jnKwNnPw9ecG3dhjTU9Ysg
