,date,funny,business_id,text,user_id,useful,cool,stars,review_id
389439,2017-03-25,0,rFP41LryXOyizCuMPjjw1A,There breakfast sub was a complete waste of money. The bread wasnt even toasted and was somehow soggy. Would not come here again.,I4f4djwzGrC1XEdRNN0P1w,0,0,1,Ma1RpvgoAp4QOGBtk7ljOA
728578,2016-08-28,1,rFP41LryXOyizCuMPjjw1A,"Apparently the announcement was that they were backed up and subs would take 20 minutes to make. So- we people at the airport are actually in a time crunch as it is. To say you're backed up, after the lunch hour (1:30p) with not that many people waiting for their subs to be made is not good service. If they can't handle the rush at a busy airport, then they need to try another venue. Sorry Port of Subs management, but Nathalie T pretty much discouraged anyone in the line from buying your subs thanks to her obnoxious announcements that it would take at least 20 minutes to make a sub. Really? That is NOT good business. Either put more people on staff who know what they're doing, or move to a strip mall. This is not copacetic for an airport restaurant, especially at Las Vegas Mccarran Int'l airport.",3xYBegRgw-MOLtPLJ7albA,1,1,1,pTiKu7Bq2WzxrKEPpjFfVQ
1144842,2016-02-29,0,rFP41LryXOyizCuMPjjw1A,"Ordered a turkey Sub today with lettuce and tomato.  No tomato but got some food poisoning.  Was throwing up on the plane from Vegas to Philly.  Pretty brutal flight.

Avoid this place.",eJeSPMak2Kw45EaNa8Jj4Q,0,0,1,pd1Lw2XsryP1SlhpVSvNRQ
1202374,2013-07-22,1,rFP41LryXOyizCuMPjjw1A,"I'm stunned by the horrifically negative reviews thus far.  What do you expect in an airport for food options?  Under $5 footlong combo value meals?  Yeah, right.  Try buying your food hours before your flight maybe from your local gas station on the way to the airport, and then MAYBE your reviews make more sense.  I mean, seriously, have you never traveled before???

Anyway, Port of Subs.  It's probably the best option available in the terminal, though tastes may vary.  What is nice is that they offer a variety of fresh sandwiches and salads.  And when I say fresh, I mean they slice the meats to order, like Jersey Mike's, not pull them up from a pre-sliced cauldron of questionable sanitation.  Speaking of which, the place was sparkling clean, too.

The service was fast, the staff was friendly enough (didn't go out of their way, but wasn't rude either).  I liked that there was a Mrs. Fields in the same kiosk, too... yum... cookies.  Overall, this was the best option I found in the airport and the price was about what I expected.  You KNOW they're going to jack these up at the airport... don't look for normal prices here.  Still worth the value.  A very full and filling sub, fresh ingredients, and fast service.  Can't ask for more!",OYqbkGuG-FksdFhggwljjw,2,0,4,sroTtpv-UChC0RoIhCjG9w
1285464,2016-02-12,0,rFP41LryXOyizCuMPjjw1A,"I just want to let YOU port of subs, and all of the fine readers of yelp, know that I weeped on my airplane. I shed sweet tears on my flight. Because YOU port of subs, put MAYONNAISE on my sandwich. 

Why would you do that? You asked if I wanted mayo or mustard, not only did I say mustard but I BEGGED you not to put mayonnaise on it. The cashier and I joked about how awful mayo is, we shared a distaste for it. Why would you do it? Why would you stab me in the back like that? 

I get on my flight. Open the sub. It didn't even have some mayo dabblings, this baby was fully drenched. I payed $4 or something ridiculous for a terrible cup of noodles, threw away the entirety of my useless $8 sub and cried all the way home. 

Port of Subs is a cruel joke.",dH6G9z3toRPNeRgSf72z7g,0,0,1,VJV9HKAH8TfQbGMqM7Ttyg
1296069,2018-02-04,3,rFP41LryXOyizCuMPjjw1A,"Ordered #8 Turkey & Provolone, out of Provolone already?  They just opened.  Service was great & the bread was dry.  I would hope all would be stocked or someone didn't do their job in the inventory &  the baking department.",D43OWyfzIQjL8feJpYh2SQ,7,3,3,5NvMtXAFjZu6PpeIkQeH0w
1449672,2015-05-04,0,rFP41LryXOyizCuMPjjw1A,Good sandwich in the airport. Had the tuna sub with all vegetables. It was made fresh.,vLPnQDSSj18al51PJLnofA,0,0,4,NRMz-7EidZvLorkSpUvUQg
1464427,2016-07-21,0,rFP41LryXOyizCuMPjjw1A,"When my attempt to get a chicken burrito at 8:45am from 360 Burritos failed...i happened upon Port of Subs.  Ah hem...a sub place that offers smoked cheddar?  Sign me up.  6 inch smoked ham, turkey ad smoked cheddar with banana peppers, onions, lettuce and mayo...all day long.  Pretty good stuff.  Better than Subway IMHO.",Xxvz5g67eaCr3emnkY5M6w,1,3,4,LZaHrLeAhkA29TMWNllfwA
1902810,2016-01-02,1,rFP41LryXOyizCuMPjjw1A,"It is in an airport and my wife and I ate for 22 dollars.  First, for 2 sandwiches in an airport I usually pay more so the price point is on the low end for airport pricing.
My hot pastrami was not the best I have ever had.  It was hot, I could get whatever I wanted on it, and it does the job.
For the fools who complain about the quality, price, or a combination of the two remember it is in Las Vegas where your hamburger joints on the strip hit you for 40 dollars for 2, this place isn't a bad deal.",ATbClROKzPaAfjnq7dT3Yg,1,0,3,QXYu1jxa-lpRQC5L3lKarg
2265223,2016-11-25,1,rFP41LryXOyizCuMPjjw1A,"For a sub spot in an airport this place surpassed my expectations. I ordered a turkey and provolone sub combo, pretty basic per usual for myself when it comes down to sandwiches, and I wished I had ordered two because they were so good. The bread was the best thing about it. I requested wheat bread and it was soo fresh and soft, I don't care if it came out of an oven or a bread bag that day, it was great and made the whole sandwich spectacular without having to mention anything else! But to mention the meat and cheese were also fresh and was packed together in between that perfect bread and I was very excited to have chosen the Port of Subs as my quick lunch spot whilst hungover in the Las Vegas airport. Have i mentioned how awesome the bread was?!",9Ij68PyUcrIicJOavkd9uA,0,0,5,bHJcNQnT9BpOrOHRHZzhzQ
2424562,2013-08-20,0,rFP41LryXOyizCuMPjjw1A,My wrap was good. Turkey and Provolone. It hit the spot.,Rdt-JiAN7Qlw3dJ7UVdNtw,1,0,4,k5c6cx6XuDIxlkFw14cy2w
