,date,funny,business_id,text,user_id,useful,cool,stars,review_id
65143,2016-01-12,0,s2X_2ri_9Krm0xuciKCR-Q,"Food was fresh, excellent, and perfectly portioned.  Killer martinis prepared by a bartender that means business!  lol  Staff was friendly, attentive, and polite.  Hidden gem inside the Tropicana.  It's not a particularly fancy place like many of the ""all show and no go"" establishments found on The Strip, but it's clean.  Reminded me of many street-side restaurants in Italy.  My husband and I had a very enjoyable time.  Definitely recommend this place.  I'm a Las Vegas local.",9kXszX9cKlui9dWYIXjdFg,0,0,4,0ftl2O0sZZyqEuF-5pr6aA
82846,2015-07-07,0,s2X_2ri_9Krm0xuciKCR-Q,"My wife and I made reservations here for our wedding aniversary. We had three outstanding meals here in the past but hsd not been here for about two years. We expected another outstanding meal but were disappointed this time. The caesar salad had sardines not anchovies, ouch! There were also no croutons; just some crushed bread crumbs. The dressing was not a made fresh. My wife ordered the meatballs apetizer; they were very hard and not apetizing. I had the penne al forno, the baked pasta dish. This dish was dry and the ricotta in this dish was grainy and un-appetizing. I know it is difficult to find an Italian chef in Las Vegas. Hopefully they find another Italian chef for quality control purposes.",upvKwLboHJD1XXa7zW0lIQ,0,0,2,fzxMmeanrE0Mh5rwfRzoqw
114035,2013-05-09,0,s2X_2ri_9Krm0xuciKCR-Q,"My husband and I ate at Bacio during our recent stay at The Tropicana and enjoyed it very much.  We ordered the Crispy Risotto for our appetizer and it was okay, needed a bit more flavor in my opinion.  I ordered the Chicken Milanese and my husband Chicken Scarpariello, both were very tasty.  We added an  order of pasta and sweet & spicy sausage for the table which were excellent!  Nice hot assorted bread, great wine list and didn't break the bank for us.  Would recommend a meal there if staying at The Trop!",eti05WqYWSjfKBkeeECccQ,0,0,4,0VYf1LVICTlDc-hxClmioQ
152905,2017-09-12,0,s2X_2ri_9Krm0xuciKCR-Q,Just got into our hotel and was glad to see a delivery menu slide under our door since we were hungry but tired after driving all day.  Had the potential to be pretty good but arrived cold.  Ordered 2 mountain dews with our pizza got to rootbeers...not a big deal but then looking at receipt  realized they charge the delivery charge twice...not huge either in the scheme of things....unless they are sneaking that charge on accidentally to multiple orders a day...that adds up at the end of the day,8YN1OOzOPCpP7g3v8b2jWg,0,0,2,DYLJlDp3H6hrzpuIRKlcJQ
236882,2017-05-07,0,s2X_2ri_9Krm0xuciKCR-Q,Had breakfast there 4 days in a row the absolute best! Steven and the crew are beyond the best and food is cooked fresh and delicious . Can't say enough,qOXMWyqYdiFVsh_ihsc-TA,1,0,5,Vm_U6scAOubOAyKcI_OGsg
298301,2015-08-29,0,s2X_2ri_9Krm0xuciKCR-Q,We went here for dinner prior to a comedy show at the Trop. The service was quick and friendly. The calamari appetizer was large enough for four people. The dinners were of reasonable size and were of decent quality. Certainly not the best Italian in town but a nice place for a pre show dinner.,yLCsv3QheMmnZJyKgDdSqg,0,0,3,2jxkv_OGMnOeHycogJgDFg
481986,2017-02-26,0,s2X_2ri_9Krm0xuciKCR-Q,"Food: The food is excellent.  The fruit plate is amazing.  There are also some unexpected morning cocktail specials with unique drinks.
Rating: Five stars

Service: The service is very good and much better than its sibling restaurant, Biscayne.
Rating: Four stars

Atmosphere: This is a very pleasant restaurant.  The food and atmosphere make this a great breakfast place.
Rating: Five stars

Location: The Tropicana location is accessible and is a great option.
Rating: Four stars.",6RHb7L3PNaNvRVElR1XOow,1,0,5,CVrkbhW2cjlKCd-W8rwnTw
526910,2015-02-16,0,s2X_2ri_9Krm0xuciKCR-Q,"I very rarely give reviews on restaurants, but my experience was so bad that I cannot keep this to myself.   We are diamond members of Hilton, so we are use to a certain kind of standard when we travel.  We had visited several other restaurants during our stay in Vegas, but the night before our departure we wanted to stay in the hotel & decided to eat dinner at   Bacio.  Service was slow, our server was distracted with another customer, not sure if they were courting or not.  Ordered Chicken Parmesan, which was grossly overcooked & dry.  This entree came with capellini pasta, which was barley covered in sauce.  Our meals were lukewarm, obviously sitting for a while, because our server was otherwise occupied.  I would not choose this restaurant again, even if if was free.",_GovysbmsgWp3QdB3h-AfA,0,0,1,UdjowZ5dbEY-HDUQJMs4vg
538637,2012-04-04,0,s2X_2ri_9Krm0xuciKCR-Q,"On the whole - just ok. While our servers were great, very attentive and helpful, the food was so-so. My Veal Marsala had very little flavor, although the portion size was much larger than I expected. Potatoes on the side were a bit watery. The bread was very good, but as the other reviewers indicate, the olive oil & balsamic vinegar mixture is almost impossible to use in the container it's served in. All oil, no vinegar.
My dining companions seemed to enjoy their food (pasta with clams, and another veal dish). So perhaps I was the unlucky one.",lgT_qSuRIche3U4yKkEUrQ,0,0,3,_tAtU4Sj3zQ3ooExvt0uww
603383,2011-05-18,0,s2X_2ri_9Krm0xuciKCR-Q,"We ate at Bacio on their second night of soft opening after being taken over by Carla Pellegrino. Our server Todd was so friendly, efficient and unpretentious. The wine selection was well curated. Most of all, the food was wonderful. Sea bass was cooked to perfection (not too much) and husband's veal was like butter. A super-rich tiramisu was the perfect end to it.

Will definitely enjoy Bacio again!",YNov3Fka9q_MBCTxw-SbGw,0,0,5,ge8SMtfvBAapZmqU1o1OJw
608937,2013-01-18,0,s2X_2ri_9Krm0xuciKCR-Q,"It was a very nice experience, the service was very good, but the food was a little below the price.  Being from New York, we nit-pick Italian.  We had a very nice meal.  The food is good, but not incredible.  We were very happy with the over all experience.  The staff was friendly and the celebrity chef comes out to talk to patrons.  She didn't come to our table, but we weren't looking for a conversation.  It's a very nice place to eat is you stay in theater, and we were very satisfied.",y1yC8xi9DHHhuIWVo--2PQ,0,0,4,J7OQ5EPIhNM8BQRffhWm-Q
665580,2016-07-23,0,s2X_2ri_9Krm0xuciKCR-Q,"Bad coffee..ruined my breakfast which is d most important meal of my day!! If i can can no star at all! The food was late n i have to change it to toast only. But the waiter Derrick is great n try to make things better. I gv 5 stars onlyy to him! 
The food came after one hour! So bad!!!",-iBF2MO-sGr7ATLQM0QVGQ,1,0,1,x0iHNyhVy3NAWsDuyc6fCg
683262,2015-07-06,0,s2X_2ri_9Krm0xuciKCR-Q,Nice staff  my cousin order the chicken parmesan I got the veal parmesan we both were full after .the aranchini balls were great . we got a side of meat sauce tasted like momma's Sunday gravy they should put that stuff on every dish  good job staff,5wbKHVaWP_7RaRD1btyAXQ,1,0,4,V7i93qAMSd46M1hHhAR6ww
688311,2017-10-07,0,s2X_2ri_9Krm0xuciKCR-Q,"Very nice and clean place! Everyone from the person who took our name to the servers were very sweet and attentive.  Food was delicious, the wait wasn't bad at all.  This place is busy but that does not keep them from giving you great service.  I would definitely come back and do recommend it to anyone who want great service.",exh0Cn1PvgS0LzJxbSWxeQ,0,0,4,OY-3djPD8Wb4e6ES93aa-w
715942,2015-04-05,0,s2X_2ri_9Krm0xuciKCR-Q,The lobster ravioli was out of this world! The service was superb! The ambience was perfect!,39t2BEfkT_AZuTTLhoUxSA,0,0,5,ccs3p3C55-jjZcu7IMn2fw
808606,2013-09-06,0,s2X_2ri_9Krm0xuciKCR-Q,"After reading about how good the food is at this place especially for the price, the girlfriend and I decided to give it a shot. Upon arriving, I was a little surprised that the restaurant is located in upstairs hallway of the casino. It's not too noisy, but you can still hear the background noise of the downstairs casino from the patio where we were seated. We were told that it would be a 15 minute wait and waited about 10 minutes for one of the 5 or 6 empty tables located in the hallway that had been empty from the time we arrived. 
I was a little disappointed with the ambiance, because when I think of a nice Italian restaurant in Vegas, I think romantic, darker lighting and a little bit of privacy to your table, but that's just my opinion. 
Our server did a very good job. He was very quick to fill our water glasses and serve the calamari appetizer that we decided on. Calamari came with fried zucchini and fried fish as well which was delicious. I ordered the Gnocchi which was very good and the girlfriend ordered the Rigatoni which had spicy sausage and bell peppers. Very spicy, almost too spicy to really enjoy. We enjoyed our food, but if seated inside the restaurant, its possible that I would've added another star to my review for ambiance.",6kOwG7YZZtGUsI2Dchtixg,0,0,3,vOOO3mEtvUScFhiuP85Irg
814331,2011-06-26,0,s2X_2ri_9Krm0xuciKCR-Q,"We were going to Nikki Beach and wanted to eat somewhere in the hotel, so we looked up the restaurants. I believed some Yelp reviews that this place had excellent sea bass and tiramisu, so that's what I ordered. Eh... It was OK. Everything was just OK. At $50 a person, I don't think I'd ever return with so many options to eat elsewhere.",l1iJezfdzT6jOBJVbAK-Kg,0,0,2,oORj7ro4MVNKRdol5K_QyA
841780,2017-07-30,0,s2X_2ri_9Krm0xuciKCR-Q,"Excellent service, quality food. May not be the ""best"" in Las Vegas, but very satisfying and happy with our choice.",GpObc1evq5H_Pxe2FnTECQ,0,0,4,6rrSwBQDlAMwnMaapAtHOA
849856,2013-04-18,0,s2X_2ri_9Krm0xuciKCR-Q,"They were accommodating as I wanted the special baked pasta but without the meat. It was tasty, though one mushroom barely constitutes listing it as an ingredient. The meal delivery was slow in comparison to the limited number of customers. I found the prices a little steep for the quantity/quality received. I would not recommend unless you are staying in the hotel and get a discount or points.",c2Ccc4CCSCWi-gXm_92Auw,0,0,2,bP6CB_yHDAHyK-eVKDemRw
874016,2014-03-08,0,s2X_2ri_9Krm0xuciKCR-Q,"My wife and I were excited to try this place as the menu looked good and they offered an $80 groupon which helps ""offset"" the tourist pricing of these types of places (we are Las Vegas residents).  The staff was nice and attentive, and if based solely on them this would be a solid 4 star review.  The food, however was very average at best and  very expensive for what it was.  We started with a $16 chop salad that was VERY SMALL and very average, especially for the price.  It never ceases to amaze me how some high end places skimp on stuff like this that costs them mere pennies (iceberg lettuce and a few other cheap ingredients) and would definitely add more value to an expensive meal without much more expense on their part.  The bread was very crappy and either stale or lightly toasted, not sure which one.  Any italian place, especially high end ones should really focus on having quality bread as this is an italian staple.  The entrees came out, my chicken picatta was OK flavorwise, but it was NOT a chicken breast (first time I have had that happen anywhere) but rather a thigh.  About 5 bites of chicken and that was it.  My wife's lobster ravioli was a much larger portion and was pretty good overall, the one bright spot in the meal (although still a $36 entree).  Three glasses of lower end wine and we were already well over $100 for a relatively small quantity of average food.  Honestly, the Olive Garden is much better than this place.  I know not to expect too much from places that are meant to squeeze tourists, but there are many, many better places to go on the Vegas strip that give you much more value when they charge these high prices.",ql1NteaTlfAJrUh_Eyzazw,1,0,2,I4tX6AvYki5qECrhYRJKJA
958717,2013-05-13,0,s2X_2ri_9Krm0xuciKCR-Q,"My fiance and I stayed at the Tropicana this weekend (5/10-5/12) and after debating over the price of the menu we decided to try Bacio for our last meal in Vegas. SO glad we did, and our experience was well worth the price. The service was fantastic, all parties were very attentive. The bread before hand was good, it came with vinegar and oil for dipping. After much deliberation, as everything looked great, I decided to try the Tagliolini and all I have to say is FANTASTIC! The sauce was stellar, the muscles and calamari were cooked perfectly and the scallops were so tender that I could cut through them like butter with the side of my fork. Perfection. Josh, my fiance, ordered the special, we both forget the name, but it was kind of like a pasta bake. It had spiral noodles, scallops, mozzarella melted over the top with a white cream sauce. It was amazing and the flavors blended together very well. For our drinks, I had the Bellini, which was very nice and summery, the flavor was good. Josh had a Sauvignon Blanc, which he said paired very well with his dinner. After dinner we had the Profiterole, which is pate choux (a puff pastry) filled with vanilla gelato and a warm chocolate sauce drizzled over the top. Josh wasn't overly impressed with the dessert, but I thought it was delicious. Overall very very impressed with Bacio and we will definitely come back the next time we are in Vegas and we have been recommending it to everyone we talk to!",iqDXQ1HabM_9Q9xWLpeQsw,0,0,5,V7IbtddCIpzcO3VcebB8RA
975927,2017-10-19,0,s2X_2ri_9Krm0xuciKCR-Q,"Really fresh, high quality food. We had chicken piccata and butternut squash ravioli; both we very well-presented and quite tasty. Ordered pistachio cake for dessert, with baklava nest, honey buttercream and pistachio gelato. One of BEST desserts I've ever had!",0I0JtfrO00WQDNyBB67gEg,0,0,5,YVkSO9Ix9qJe4-xWYfRlcA
1056314,2011-12-12,0,s2X_2ri_9Krm0xuciKCR-Q,"I ate at Bacio the night before the Las Vegas Rock-n-Roll Half Marathon, with three other girlfriends.  If only the race organizers had taken some advice from Bacio on how to satisfy customers, the weekend would have been a complete home run.

We were admittedly somewhat skeptical, given the location (inside the Tropicana, which appears to be frozen in time somewhere around 1967), but the food, service and value were all top notch.  We had a reservation and were seated within a few minutes of our arrival, and were then greeted by a friendly waiter who was able to assist us with a tasty wine selection (Layer Cake - delicious) and tide us over with warm bread.  We were seated on the ""patio"" (I guess?) area, which is set up to look like a sidewalk bistro.  This made for great people watching over the course of our dinner.  

Two of us had the Orecchiette Pugliese, which was very tasty.  Mine was a little greasy/buttery at the bottom, but it was such a flavorful dish I couldn't stop myself from eating all of it.  With an entree each, and two bottles of wine plus tax and tip, the four of us paid only $50 each for dinner, which we thought was very reasonable for an Italian restaurant in Vegas.  I should also add that our waiter could give classes on exactly the right level of attentiveness.  During the hour and a half or so we spent there, he checked in on us to refill drinks, etc. often enough to keep us happy, but without being obtrusive.  He was friendly without being overly demonstrative.  We also loved the photos on the walls... All Italian photos of people kissing.  Very fun.",52revjTLn0HhwdcdIEOlbw,0,0,5,xg02HYHg0Dc2I2dWVHk2ag
1069190,2014-01-30,0,s2X_2ri_9Krm0xuciKCR-Q,"We stayed at the Tropicana and were looking for a decent restaurant that wasn't too far away on our first evening in Vegas.  On paper, Bacio seemed to fit the bill, but honestly, I was pleasantly surprised by the quality of food and the service as well!

Bacio is an Italian restaurant located in the Tropicana, between the casino and the Club Tower/Convention area.  Its located right on an interior walkway, so you have the option to sit ""outside"" and get some stellar people watching in, or you can sit inside the cozy little restaurant and have a more quiet, intimate meal.  We opted for the latter.  Before you come to Bacio, make sure you sign up for the Trop Rewards card... you get a lower price on everything on the menu (only a dollar, but still), and a free glass of wine with the purchase of an entrée.  I had the house Chardonnay and it was surprisingly good!

Our waitress was a very attentive server but not intrusive.  I wish I could remember her name, she was super nice. The complimentary bread arrived with oil and balsamic vinegar, but I did not partake as my husband deemed it ""average"" and I'm not one to fill up on average bread! We started with the calamari appetizer, which came with marinara and aioli dipping sauces.  The breading was light and bound well to the calamari, but it could have used a little seasoning.  Next came a Caesar salad, which they were kind enough to split into 2 plates for us.

For our entrees, we were both in the mood for seafood.  I ordered the Capesante, pan seared scallops served over risotto with asparagus and crispy prosciutto, and my husband had the Capellini, which was shrimp over angel hair pasta with a garlic butter sauce.  The Capellini was a little bland, could have used a little more garlic or maybe some crushed red pepper, but the shrimp were large and cooked very well.  My risotto was creamy and delicious, the scallops were HUGE and cooked perfectly, and crispy prosciutto is never a bad addition to a dish.  I would have a hard time going back to Bacio and not ordering the Capesante! 

There are so many great places to eat in Las Vegas, but if you are staying at or near the Tropicana and looking for a good Italian meal, I would definitely recommend Bacio.",qk4wCmW33NL7YfiRIaa4WQ,2,0,4,vlk-IV9ciP4cc5BGRf34lw
1090791,2010-05-29,0,s2X_2ri_9Krm0xuciKCR-Q,"Well done, Yelp. I'm thinking this must be the best deal for Italian on the strip. Spicy, yummy pasta (big portions). Plus it includes bottomless salad and delightful bread with marinara and chopped basil. Sans wine, $20 including tax and tip!",SBxB-mPGBMBGQbW4pyNasA,1,0,5,Wx42JZ0-TXhhc4nnlAsR2g
