,date,funny,business_id,text,user_id,useful,cool,stars,review_id
3557,2014-07-01,0,sB1lPLICz4nrOuuqgLv50A,"It was my first time here and the food was amazing. The service was great. I ordered a 12 oz filet mignon and although pricey I have to say it was worth it. Would I come back again? No, because once is enough and I'd rather save money to try other things. But I would like to recommend this restaurant to anyone who wants to try some good steaks.",7J1PWww6PgARxPxglC77ng,0,0,4,R3Dve65P1TleF3hGmrkUqw
7976,2012-04-04,0,sB1lPLICz4nrOuuqgLv50A,"my honey was looking for a good steak house in Vegas and this one came highly recommended. Everything from the bread, to the salad and the filet mignon was to die for. nicely aged and very tender. my beloved had the porterhouse. the service was magnificent.  lovely and romantic.",MfGPntpM3IGtHHFOf4qf-A,0,0,5,T1hKJPNWrmGvZWNbvVh5bQ
36308,2016-02-14,0,sB1lPLICz4nrOuuqgLv50A,"Love it here! We've done celebratory dinners at the Morton's multiple times and we've never been disappointed. Great staff, good wine list, amazing food! Definitely worth a stop in.",PmCeLXAAAgoC-lIzWqqSlA,0,0,5,eamht9Y_Ebvk9fp6zRBl0w
69655,2016-07-19,0,sB1lPLICz4nrOuuqgLv50A,"This used to be our favorite place for a good dinner....but we will NEVER go back. The evening manager is useless. We were having a lovely evening,  went to see Steven Tyler,  everything was great, until we decided to go to this place. We called to see if it was too late for dinner,  manager said no, come on over ..we get there and I hear the cook say ""We'll, I guess we are staying late""...so I order a salad out of guilt,  which came on a dirty plate and my fiance veal chop was completely raw. Our waiter was no where to be seen, so I got up and was talking the raw veal back to the kitchen,  the waiter popped up and agreed...the meat was raw. He takes it to the kitchen...the ""cook"" chars the meat and ruined the veal completely...our dinner there was so bad, the manager didn't charge us for anything.  My advice...don't go there! Go to Smith & Wollensky or Joes at Caesars. Mortons has gone down hill big time.",AxmyxatZFtr4kLfVagxxuA,2,0,1,L7oyjpBzGDhcN9RYQ0_XNA
76447,2015-08-22,0,sB1lPLICz4nrOuuqgLv50A,"Love this place! Stop in every time we are in Vegas. Just had a medium rib-eye and had to stop for a moment of silence after the first bite. Delectable! Jesse was our server and made a a fabulous meal into a fun meal, too.",77tPDZCIYtgN1SMwL7ztNw,0,0,5,jd8iCZvJy5u4g9sVNEKPjA
94510,2015-07-12,0,sB1lPLICz4nrOuuqgLv50A,"I had never been to Morton's before.  Went here for a wedding reception.  The restaurant is very nice and their wine fridge is amazing!  The reception had a pre-set entree/menu and everything was OK.  I didn't have steak..I preferred the salmon and it was good.  Their shrimp and crab cakes were very good also (according to my husband, I cannot eat shellfish).  Their house merlot was excellent according to everyone at our table..very smooth.  The wedding cake was an amaretto cake and it was AMAZING!  Their staff was quick and attentive.  One of the big reasons why I am giving this place 4 stars is because of their staff.  Our rental car battery went dead outside the restaurant and at 9:30pm one of the valets went inside and out came an employee who said he would give us a jump!  Wow...never ever expected that...above and beyond..our group was very appreciative and grateful!",5ixS7Bcii00Pyirl2l4E_w,0,0,4,P34Us4qKezvCxXOodN7Ozw
101397,2015-06-21,0,sB1lPLICz4nrOuuqgLv50A,Great service and great food.  You can't ever go wrong here when you want a good steak.  The Mac & cheese is also a must.   Enjoy.,kW1_LLSZ-i6mbyEiHJNx8Q,1,0,5,QZ-MraCh6ClXnWW_f4l1zA
123615,2010-02-01,0,sB1lPLICz4nrOuuqgLv50A,"I wouldn't normally chose Mortons as there are plenty of great restaurants in Vegas but I received a $250 gift card from a business associate. This is my second trip to Morton's in 2 years. The other was in king of Prussia PA. If nothing else this chain is consistent. Overpriced and underwhelming. I had the wedge with blue cheese and the petite fillet with Alaskan king crab legs. The steak was prepared as ordered (medium) and was a 5 on a scale of 1-10. The crab was the same. For dessert I chose the crem brûlée pie and fresh rasberries. Both of these were fresh and enjoyable. When the check arrived I was glad I had a gift card although it didn't cover the $270 bill for two. Frankly, for the money there are dozens of superior restaurants in Vegas. Save your money.",sbdUid51YZqo2kQSNwB0uA,0,0,2,XPrUEn67EryFxaTyU8vZog
160045,2015-05-01,0,sB1lPLICz4nrOuuqgLv50A,"I have to say that my experience at this restaurant was absolutely amazing!  My husband and I went there to celebrate our 1st wedding anniversary. When I called to make our dinner reservations, the lady on the phone asked if this was a special occasion. I told her it was our wedding anniversary. When we arrived at the restaurant, the hostess was very welcoming and friendly. When he escorted us to the table, he actually pulled out the table so we didn't have to slide into the booth. This had never been done for us at a restaurant before.  When he handed us the paper menus, I noticed right away that typed at the top of the menu was a ""Happy 1st Anniversary Mr. and Mrs. Lara""  When I saw this, I thought this was so cute and thoughtful for them to acknowledge our anniversary.  The hostess also came by and took our picture and then put it in a nice Morton's paper frame.  Our waiter, Kenneth, was also very very nice. He was so attentive to our needs and very friendly and personable. He explained the menu very well and was able to answer all the questions we had.  Our water and drinks were always refilled. We didn't have to ask for anything. Our waiter always checked on us to see if we needed anything. I got the Cajun Ribeye steak and it was the best steak I have ever had. I definitely recommend it to everyone! It was so juicy and tender and melted in your mouth. We also got the spinach and mushrooms and the sour cream mashed potatoes as sides which were also to die for. After the meal, we got to choose the flavor of our souflee dessert. It was very light and so delicious. This dinner was a little pricey, but worth it every penny for special occasions. I loved this restaurant !!!",Tdw-Fn5Kh-qhCGYkEHouNw,2,0,5,BOV_oxCwHCcJwy5z6Djf3g
178059,2015-01-16,0,sB1lPLICz4nrOuuqgLv50A,"The food is delicious, (Chicago bone in is my favorite) and the outstanding mixologists at the bar are the best in Las Vegas! They mix the perfect drink, and every recommendation whether food or drink is exactly what I had in mind at the time. I am extremely particular with my service and I ALWAYS have a rewarding experience.",LZEDKJBDt6r_I_eoa8gcAw,1,0,5,5SqUl64QM2Tuv78wxlmf_Q
