,date,funny,business_id,text,user_id,useful,cool,stars,review_id
30558,2007-07-31,0,slx9qstc2U2Tc4s7dzbbBg,Possibly the nicest proprietors in town. Love these people. Food's great too. I always have the red curry chicken and chicken pad thai.,DXrURP4M_Uhmb3EqyYZFHA,2,0,4,KddDaGauZF8i7ICPngkMCw
122761,2014-06-12,0,slx9qstc2U2Tc4s7dzbbBg,first time hear and im very impressed clean area i ordered the beef pad thai yummmmmmm,yxG-lCidB416ocy-6ob_aQ,0,0,5,RV0QMpJjyp_S7qLU1jY24Q
165847,2012-09-17,1,slx9qstc2U2Tc4s7dzbbBg,"Poster child for Americanized Thai food. Hey if that's your thing, then go for it. It's edible and fills your tummy. On the other hand, if you are actually looking for something authentic that'll make your taste buds sing... You'd better look somewhere else. There's really not a whole lot more to say. You've been forewarned.",LkWNo83Lg92C5V4JEyxOZA,1,1,2,vqi6ollTRkgs5floxoiyxA
177804,2011-12-31,0,slx9qstc2U2Tc4s7dzbbBg,"Not a good experience. Three people ordered, two meals initially served.  One was chicken, order was beef. Server took it away and we dined on the first order. Was supposed to be 7 on spice level. No spice detected. Finally two additional meals served. One that was supposed to be beef (served as chicken first time) was supposed to be mild spice was at least a six which was way too spicy for the one that ordered it very mild. Server made the obligatory ""How is your meal"" and made a hasty retreat  when first words of dissatisfaction voiced (twice). Never saw server again until check was hastily sat on table without comment. Will not return!",tBbgM4boCOQm3TczmxsegQ,0,0,1,umJmyq0aqKhQ1SE66FYyCA
202893,2011-05-17,0,slx9qstc2U2Tc4s7dzbbBg,"This place has good food but is way over priced for what it is.  Archi's is right around the corner and is better service, price, and value. I have tried Basil & Lime numerous times but have decided this was my last- Archi's it is!!",b-TpSBdMclLOWSIwe-G5Bg,0,0,2,ebKkbEhL55cMpcSNCiyxMg
242245,2011-05-16,0,slx9qstc2U2Tc4s7dzbbBg,"There are so many things wrong with this place. Should I start with the service? I'll start with the service. The staff is usually preoccupied with chatting or card games when you walk in, so being seated, getting menus and ordering water takes 15 minutes. 

The food is mediocre at its best, cold and bland at its worst. We  ordered pad thai, spicy fried rice, chicken satay, tom yum gai (arrived cold), red curry and beef larb. Most of it tasted like nothing, the rest tasted like watered down garlic juice. 

The prices are high, especially with the long wait between dishes and the staff walking away before we were finished ordering. Please go to Archi's Kitchen or Lotus of Siam.",yj3CFpmMPU3BHApxO8oO-g,0,0,1,6mp4WiBAYnAzzoctacaFGg
281596,2013-12-27,1,slx9qstc2U2Tc4s7dzbbBg,Always within my home 30-45 minutes. Basil and Lime has never botched my order and always arrives hot and fresh at my door. Their coconut/shrimp soup always hearty and never skimp on portions. Location serves brown rice which is always an added bonus asks had friendly delivery service!,HMhkj1hsA6MzVyzwraRzng,0,0,5,r8MET6qSMs-75gSNs_CTsA
283956,2011-12-20,0,slx9qstc2U2Tc4s7dzbbBg,"When I found myself on the north side of Vegas, I knew I had to stop in on this place, having read great reviews about it. Looking at the menu I had a familiar feeling as a newly turned vegetarian that I may have to settle for whatever item did not have meat. I was delighted to find that there was a tofu option on the entrees' choice of meat! With my options now limitless I landed on the tofu pad tai. I can safely say I have a new favorite vegetarian friendly hangout.",arEKrIxumctGQbLq30eOzA,1,1,5,ElP8AU0SYbSrMnC2mnq1Bw
287776,2011-05-22,0,slx9qstc2U2Tc4s7dzbbBg,"The ""Pine apple"" fried rice was surprsiningly tastly, although it's hard to justifly paying $12.95  for fried rice at a casual Thai restaurant.  The chicken Pad Kee Mow was also very good.",NQFKACq7Z5Q72zXGXE8gdw,0,0,4,MREPFxMfTBm3R8Tzqiq9QA
306105,2017-06-07,0,slx9qstc2U2Tc4s7dzbbBg,I love basil and lime. I have been a customer for over 5 years. Everything in their menu is great! My favorite dish was the green curry and I am so sad to hear that they removed it from their menu. We are trying the red curry today! Hopefully it is as good!,-mXb89klQ0J0DgN8Th6N9Q,0,0,5,h572RWXJNHC-wqrFyr2mgQ
339135,2010-08-17,0,slx9qstc2U2Tc4s7dzbbBg,"My mom, my son and I stopped in for lunch.  She had been there before and i've always wondered about it.  Service was great, mainly becase we were the only people there.  The scene was nice, I think it would be better if the restaurant was half the size.  Might be better for business.  We ordered the Squid Salad which was the shiznittle bam.  If you like seafood this is a great option.  Great flavors.  We also ordered the Yellow Chicken Curry which was pretty good.  They only brought an extra small bowl of rice.  That wans't to cool.  My son had a good time.  He was flirting with the waitress, playaaaa.  He is 3.  In all, we had a good experience.  I would definately go back.  It would be a shame to let this one go out of business.",FK4aRv37xDL7edooko_Y_g,1,0,4,3FcQdpBt6v7tARsXXD8nuQ
391369,2007-12-30,0,slx9qstc2U2Tc4s7dzbbBg,"Just go to Basil n Lime.  Don't think twice.  Don't fret over which Thai place to choose.  Eat here.  You won't be sorry.  

Staff is straight off the boat from Thailand.  Restaurants is brand new.  Nice sleek decor is more cafe style than warm romantic dinner style.

You won't get laid bringing a date here, but you'll experience a momentary reprise from the feeling of hopelessness new residents faces in Las Vegas when trying to find a place that feeds the soul as well as the body.

Yes, this is Las Vegas good, and not LA, NY, SF good.  But it's better than the places that continually get written up here in LV as the 'best' places--Archi's Thai Kitchen(always just average and slightly bland) and Lotus Of Siam(good, but not great).",sey5QNGwEnfzDRuqOqCo4w,0,0,4,N-lI763LP3KA4Vt8KACehQ
507909,2010-08-25,1,slx9qstc2U2Tc4s7dzbbBg,Fried rice with crab meat it's amazing !!!!!,eyNpXh29fX5IjIT_epjbEw,1,1,5,Nf-TQ9jDGzc7Bj_at986EQ
515522,2009-01-07,0,slx9qstc2U2Tc4s7dzbbBg,"Basil 'n Lime is tucked away in plane sight. One of those places that you go by everyday and never notice. However once you do, you'll never look for another Thai restaurant in this zip code again. 

The service is great, the food is fresh and the menu is diverse enough to keep you exploring each time you come in.",8H4YJEhfgESLF-mQxPYZDA,0,0,4,KzS18H6eoG6MWdoY378qpQ
562257,2013-12-10,0,slx9qstc2U2Tc4s7dzbbBg,"Well based on the name and all the pictures of limes in this restaurant, I was sure to get a dumb lime with my pad thai to go....not. Pad thai without lime, simply isn't pad thai. My first time there.  I was craving thai,  pad thai. When I walked in, I was greeted, I mean comfronted by a mean girl.  I ordered. She asked what number heat I wanted, 1 through 10? Well, how hot is 10 I ask? Very hot she said.  Getting no where fast and knowing I like it hot, I asked for a 10. 
Got home,  no flipping lime and a 10? Really? I should have asked for my age, 44. Also, when I was sitting there waiting for my food, I saw her looking at me then talking to her coworker... I'm convinced they shat in my food and I still ate it. Sigh. On the plus side the portion was decent but Lord, noodles are cheap! Thinking about it now... my tofu was missing in action....

I'm pretty sure I will be too....never going back.",6unrV-TH4GQs_9g9BSqKtA,1,0,2,3m0pAH8FGFyIBfZR-lKfKQ
596346,2016-07-06,0,slx9qstc2U2Tc4s7dzbbBg,"i dont know if they do their own ped see eww flavouring but it is nothing like the traditional not what i expected they didnt put enough flavor on my order some of the noodles were dry, they can use some improvement to this dish",kNfvU-z5Du8NfDRhFgfCmQ,0,0,3,1Q0IhO4rLb6mIA09cXGT1g
706347,2009-08-15,0,slx9qstc2U2Tc4s7dzbbBg,"It's nice to have found a Thai place that is just a Thai place, and this is a gem. I've tried a few other so-called Thai restaurants only to find some weird combo of every asian cuisine imaginable, usually leaning towards Americanized Chinese food. This place is unpretentious, has a good menu, and reasonable portion sizes. I'm quite particular about how my chicken with chili and basil is served, I like it the traditional way, with minced/chopped chicken and an egg on top, which I can get here, woo hoo!  The only reason it doesn't get 5 stars is because they don't have a liquor license. If you like a beer with your meal, this isn't the place for you.",wTVl4owjHa278i-fxmYcCw,1,0,4,AP4_iBL92em5Y8nblLbwaw
734670,2010-03-17,0,slx9qstc2U2Tc4s7dzbbBg,"Just got back from lunch here! It was very good. They have tons of options from those who aren't familiar with Thai to those who are really adventuress. They give you an option from 1-10 as to how spice you want it. I got the Cashew chicken with fried rice and a level 4 spicy. I enjoy a hint of spice without sweating while I eat. I could have easily gotten a 5 and still been comfortable while eating, but it was still really good. It was a huge portion, had to take a box home with me. Four of us ate and got an appetizer and it was just over $50. The waitress was really nice and spoke English very well and was able to explain some of the dishes we had questions about. I will definitely be going back next time I am in the mood for some Thai! The image of the three people from the restaurant the woman in the middle was our server.",um5PJvTNXwf4kJmVaZjjVQ,0,0,4,EWRm2vduQ8X6xhwFrcHcdg
781606,2016-05-01,0,slx9qstc2U2Tc4s7dzbbBg,"Great lunch spot, quiet Sunday afternoon.

Got the red and yellow curry with chicken, on point.

Kiddo (picky eater) got sticky rice and the waitress suggested to try peanut satay sauce, great suggestion.

Great service, solid food, will definitely be back",aCk80LW05Jfzl3QY1iNJDg,0,0,5,gBNAkbQfDgMzqm-lPWaweQ
815582,2010-11-26,0,slx9qstc2U2Tc4s7dzbbBg,"Truly below average Thai food. Service was lousy. We had to ask for water more than once. The server never greeted us, simply walked over and asked if we were ready to order. No Spring Rolls.",pLof2NpwXrhX_FvQacBs3Q,0,0,2,jcKUwGmVYIB-mWBMOQ4Sqg
838946,2017-11-28,0,slx9qstc2U2Tc4s7dzbbBg,"I have been coming to this lovely spot for about eight years.  I love everything I have tried and I get something new each time.  Can't live without their TOM Yum Gai.  But tonight they made me the sweetest sticky rice dessert to go.  I love it here!!  Never too busy, they always treat you like family.",8Bgbvy0asjaOlbHee2E4-g,0,0,5,AsaJIlSEIrX8wrFr2ADB6Q
871610,2016-03-23,0,slx9qstc2U2Tc4s7dzbbBg,"Whoa....what happened to this place? Visited this place often and it was BEST I've ever had ANYWHERE, only to move across town, not visit for 1-2 years, come back with guest relying on my word, only to be embarrassed. Food was average, staff was not attentive, and prices were higher?? 

I swear I've seen more great restaurants fall from grace in the city of Las Vegas, than any other city I've lived in by far.",d7RYSQi4GjjYWli3e1HcMA,0,0,3,OJIGrrDo1i_M4vWwd6Yvpw
941106,2011-07-19,0,slx9qstc2U2Tc4s7dzbbBg,"Love this place! Clean, quiet, great food and the staff is always friendly. They offer nice lunch specials, and are very accomodating if you want to change up your order. The best Pad See Ew on the Southwest side :)",Fp26jPWfaFozSK2WSWxcHQ,0,0,5,suYD5pAaXbJ4jroc_IYJuw
941776,2016-09-17,0,slx9qstc2U2Tc4s7dzbbBg,"Good service.. Appears very clean... And the food is quite tasty!!  The Glass Noodle stir-fry is delicious !!! We also enjoyed the broccoli with tofu..
They have an A rating from the health dept!!",GxdpZI11svFStqn5pVn-xQ,0,0,5,DoYTFQmITC8Xx2eTajkR2g
