,date,funny,business_id,text,user_id,useful,cool,stars,review_id
7045,2016-06-07,0,sqRX-XLlhx4rs2c1TpBf8A,"i  highly 
recommend
the duck 
agadashi   
its  very very  good",zbJMCsr7T7uEY5r0YkW7Yg,0,0,5,eDBnSFj1P7R8bISggDZPVA
11530,2009-10-27,1,sqRX-XLlhx4rs2c1TpBf8A,"Three of us dined at Raku late on a Saturday night.  We called ahead and were told that we would have to wait for a table.  Upon arrival, this very small and intimate restaurant was about 1/3 empty so we got a table right away.

We ordered light since it was our ""midnight snack."" We had the Raku's Tofu which was the most amazing tofu I've ever had; Blue Fin Tuna, also wondeful; delicious Pork Belly; and lobster which was really nice but the small portion left me wanting more.  For the lobster, what's not serverd is used to make the best miso soup that I've ever had.

The down side was the service.  If I was on a first date, this would have been great but, I wasn't so, for such a small place, the service was awful.  Everytime we needed something, we had difficulty flagging the waitress (did I mention this is a small place?) and twice beer was ordered and it never came.  The fact that we were not in a hurry made it not such a big deal for us, but it's worth noting.

I felt it was on the pricey side, but you get what you pay for and we sure did have a fantastic midnight snack.",_D0fpoWGQt3_-FGYLWuntg,1,1,4,5VGkoOEJ9R1He9kaZ-MFfA
15547,2011-04-01,0,sqRX-XLlhx4rs2c1TpBf8A,"The food and drinks are great, but the reason I'm giving Raku five stars is because of the outstanding service. We had a reservation for three at 7PM on a Thursday. (Be prepared to call numerous times to get a reservation). Our waitress was courteous, prompt, and had tons of recommendations. We asked many questions about the sake and started with the monthly sake sampler. We liked some of the sake better than others, so she made us a different sampler based on our preferences. That's service! The food was a little slow coming out at the beginning, but we had tons of sake to drink, so we were happy. After we started getting dishes, service was steady.

The strip mall exterior is ugly, but the interior is elegantly understated. The bathroom also has one of those Japanese toilets with tons of features, although I didn't try any of them. 

There are little touches that really make the experience special. One very cool feature is that the chopsticks are sitting on the used charcoal pieces from the grill. We were debating what they were for most of the night, so this was a fun surprise. There are also some interesting condiments on the side. They offer a green tea salt, a soy sauce, a chili powder, and a chili oil. I'm sure someone's posted a pic of them in the 400+ pics of Raku on Yelp.

In terms of the food, we liked the chicken wing, Kobe beef outside skirt with garlic, enoki mushroom wrapped with bacon, fried homemade tofu in hot broth, pork belly (nightly special), and hirame (nightly special). The tofu in hot broth is amazing, and I loved the broth and fish eggs popping in my mouth. The 2 specials, the pork belly and hirame, were both really good. The hirame came with a yuzu dipping sauce and the fish's liver, which was a surprise. The fish does take a while to prep though.

We also tried the Kurobuta pork cheek, Raku's tofu, tsukune-grilled ground chicken, and green hot chili pepper, which we didn't like as much, but were definitely not bad either. With the tsukune, I've figured out that I don't really like shiso, so that's why it wasn't one of my favorites. 

Unfortunately, they were out of of the chicken breast wrapped with chicken skin and the potato with corn when we were there. Next time!",SgYDjNCecPidsRB_su5-tw,1,1,5,TOLnUBxOhdrHUTIhSso5hQ
20235,2013-06-09,4,sqRX-XLlhx4rs2c1TpBf8A,"We made a reservation for 6PM on Thursday night, 6/6/13.  We were probably the 4th party in the door and were seated at the table directly next to the door!  We tried to object to the location, but the waitress/hostess rushed away.  There were several empty tables available and we wanted to be moved to a better location.  We could not get the attention of the waitress/hostess.  We walked out and went a couple of doors down to Monta and were greeted warmly and had a wonderful meal there AND saved $$$s..bonus!!!

Raku needs to work on their customer service and needs to be more friendly and organized!!!",szVLPXAI4TrNcZTiMkwh1w,8,1,1,JRJCUz0QeBYhbrdxQuiPhQ
20850,2010-03-02,1,sqRX-XLlhx4rs2c1TpBf8A,"Of course I would find a dying need to write my first review a day before my test on fungal agents/vaccinations/immunosuppressants. Typical. This is an upgrade from my last procrastination activity though- online shoe browsing. 

Everyone has already commented on how this is located in some obscure, dark corner of a strip mall so i'll skip onto the juicy stuff.

So, the first negative thing I have to note is that my body went through an MSG overload after we left the restaurant. My bf and I must have been on the brink of dehydration for hours after the meal (no thanks to the casinos- there are ZERO water fountains on the strip), but judging from the volume of food we had & the inescapable dashi seasoning in japanese food, that sounds about right. We had a FEAST. And all for ~$60 for 2. 

Highlights: 
Agedashi tofu- fried on the outside for some bite and texture, so buttery soft on the inside, sitting in dashi broth. 

Kobe beef tendon- a thousand times yes! this was our favorite. the tendon was fresh and just melts in your mouth. 

Kurobuta pork cheek

Chicken breast wrapped with chicken skin- salted, crispy skin + juicy morsel of chicken. 

Fluffy cheesecake- ok, the description is really lacking here. its really a mousse of cheesecake sitting on top of a thin layer of very finely cubed fruit! and on top of a dark chocolate? cookie crust, garnished with some raspberries, a little raspberry sauce, and green tea powder. it was so light and refreshing, i savored every single bite. 

Skip: 
Poached egg w/sea urchin & salmon roe- the description fails to say it basically sits in a mucous-y okra broth. 

Potato corn- i get the novelty but once you get over wondering how this came to be, you realize youre getting ripped for a small morsel of bland veggies. 

Butter sautéed scallop with soy sauce- salty, small, a smidgen overcooked, $7.00. i mean, with that price you could buy TWO orders of the beef tendon...

Tips: 
- Call for reservations. A party of 4 was turned away in the beginning of the night and was told that it was completely booked for the night. It was a TUESDAY so yeah, plan ahead. 
- The bathroom's cute. It's got a cute forest theme going on. 

Very very memorable meal. I have tons of pictures (not sure how to upload) but I'm already moving on to my next procrastination activity- Dexter.",hpbxmAJyTip-O7XyYLGWhQ,3,1,4,QTDGibbxvKZEbquLRPBGPQ
29041,2010-05-27,1,sqRX-XLlhx4rs2c1TpBf8A,"If you've got some cash to burn, do it at Raku. I'd never been to a restaurant that serves tiny portions at regular-meal prices before, but apparently they're on to something here.

I went one Friday night with my girlfriend and Matt C, and after perusing the menu long enough to surely annoy the incredibly nice waitress, we ordered a smattering of different items, positive that we'd end up with at least a couple good ones.

I was skeptical that the food would live up to its prices, but once it arrived I understood. The chefs at Raku know what's up. Let me put it this way: I absolutely despise tomatoes. As in, if you starve me for a week and then put a tomato in front of me, I'll throw it in your face. The bacon-wrapped tomatoes at Raku, however, were one of the most delicious pieces of food I've had in months. Of course, it's hard to not love something that's wrapped in bacon, but getting me to like a dish that is made primarily with tomatoes is no small feat.

The only real complaint I have about Raku is the prohibitively-high prices on their items. I complain about high prices on food, so expect to see that a lot if you read my reviews. If I leave a place thinking ""I could have gotten more food for a quarter of that price"" then I probably just paid way too much for a meal. Raku is one of the few places where I believe the high price is justified, but I'd be remiss if I didn't point it out.

Raku is the kind of restaurant people who are really into food eat at. Tiny portions and high prices, but incredibly, mind-bendingly delicious. If you consider yourself a ""foodie"" or you really enjoy Japanese food, I can't recommend Raku enough.",UYACF30806j2mfbB5vdmJA,1,1,5,Ief6rZ7udpyRD6zsfd43Zw
32137,2011-11-16,1,sqRX-XLlhx4rs2c1TpBf8A,"I would love to try this place out if I can get pass the snooty hostess. I understand we didn't have reservations, but we thought we try our luck to see if there was an open table...I wasn't holding my breath or anything, just thought we try since it was on our way. All she had to say was no nicely. But instead we were ignored for 10 mins and then rudely told all tables were full til closing...all without eye contact and her nose up in the air. So I don't care how good your food is, but I'm not going to give a place my hard earned money so they can pay for her salary.",sEx1Ua3yNjxBdJ_vJ9amfA,5,3,1,HhUYNTadobMIHk-KNQKltA
34253,2015-06-10,0,sqRX-XLlhx4rs2c1TpBf8A,"This place is great.  It's has a variety of food for you to choose from and it all taste good.  If you want a change from all the buffets of Vegas this is a good alternative. The duck liver is a must.  This place serves tapas style dishes so you can sample a variety of dishes there.  Every time I come I always make a reservation for this place, this is a definite must try.",_MobvucbM4C1dOJP-keFLQ,0,0,4,EDPProysd0INOnkt1CZFxg
37610,2015-02-23,0,sqRX-XLlhx4rs2c1TpBf8A,"This is one of the best meals I've had in a while. The quality of the food is quite remarkable. It's off the beaten path in a non pretentious environment, making it a truly spectacular hidden gem.

The small menu comprises a handful of small cold and hot dishes along with some grilled items. Very small for an izakaya, but there is good reason.  The focus is more on the quality of the ingredients used, which 

To start, I had the house made tofu and poached egg with ikura and uni.  The tofu was  purely transcendent.  It's creamy, dense, and when paired with their house brewed soy sauce, out of this world.  The three way of eggs was really interesting.  Our waiter was kind enough to show us how to eat these dishes.

In addition to the regular menu, they also had a selection of sashimi.  When we ordered the Japanese amberjack, we had pieces from the belly and the loin, showing the different tastes and textures of the fish.

The highlight of the night was the juicy deep fried chicken.  The chicken was so succulent that I nearly cried. There was also some spinach salad on the bottom to balance out the richness.

There are very few meals that have rocked my socks off and this is one of them.",viYLc3ZVQGHN_zkeZJaMuw,3,1,5,30pl0Kf9x-IKRZk_L14FFw
38583,2014-12-02,2,sqRX-XLlhx4rs2c1TpBf8A,"I was very excited to snag a 6pm dinner reservation on a Monday night.  After reading all the 5 star reviews I was sure this place was going to be delicious. Unfortunately this review is not about the food. Because we never got any. After ordering 10+ things from the menu, we waited and waited and waited....,
I knew something was wrong with the kitchen because the waiter started off the night saying please be patient with the kitchen. But waiting for 1 hour for food with a hungry 13 month old who almost has to go to bed is not acceptable. Even worse, they couldn't give me an estimated time for when our first dish would arrive. Very frustrating! We left without any food after over an hour and went down to Monta Ramen. Could not believe how fast service was at Monta. We were done eating before any food probably would have gotten to our table at Raku.",KkAVIa2BlUJK7-YT7WPXWA,2,0,1,2SXsCDb_dVJ4tbmupX-FfA
42326,2017-03-18,0,sqRX-XLlhx4rs2c1TpBf8A,"Best and most authentic Japanese restaurant I have been to. 

ALL dishes were home runs. 

Service was excellent. 

I want to marry this restaurant.",a6UPeNf6UrGxXuTcQ6ixuw,0,0,5,Da8yPjY6T5gRx0GAq5MYwg
48876,2013-03-22,0,sqRX-XLlhx4rs2c1TpBf8A,"1. Make a Rez or prepare to eat somewhere else.
2. The specials menu is where it's at.
3. Eat sashimi
4. The waitresses are very knowledgable and have good recommendations
5. Enjoy the food and special soy sauce",RU5fBHNbpqs4CjJiQt7PiA,0,0,5,zv7QyPqtONIhoMHBYBuNHw
50426,2011-07-04,0,sqRX-XLlhx4rs2c1TpBf8A,Raku is a unique Japanese restaurant in Vegas. Food is innovative and Raku certainly backs up that claim with quality and flair. We ordered 15 dishes but the ones that really stood out for me were the fried agedashi tofu and the poached egg in green tea soba as well as the one with sea urchin and salmon roe. I'm sucker for eggs but the poached egg here at Raku is simply amazing. There's a consistency and perfection found in their foods and it's no surprise why many found this hidden gem a nice oasis from all the hustle & bustle restaurants on the Strip.,OUSdqqmyAJwZFphYKclTxg,0,0,5,O7Uod2EMoJ59T3Czs_eWnQ
52162,2013-10-20,0,sqRX-XLlhx4rs2c1TpBf8A,"Not only was the good amazing but the service was impeccable! It was our first time dining at Raku and the staff was really good about making sure we knew how to eat everything, what everything was, their recommendations, etc. Very very impressed!",NUDVIpGa7-AFhMkJ_a2e2w,0,0,5,BMD1oyZUsNEGNv_8pSQkeg
63281,2010-08-31,0,sqRX-XLlhx4rs2c1TpBf8A,"So happy o be back here again after our first visit almost a year ago!  It's def my favorite restaurant off the strip!!!  Many famous chefs come here after work and you know the restaurant is good when it's Japanese owned and with Japanese customers!!  My fav are the housemade tofu half & half, egg custard w/ foie gras, grill chicken w/ skin, grill Kobe beef w/ garlic, grill pok belly, poached egg w/ sea urchin, beef tendon oden, and basically all other grill stuff.  Everything is amazing here including their homemade greentea salt and soy sauce!",2zKR0KhW0p9vqsSev4M-YA,1,0,5,MuyCx3QlURtwaI9l0nJfhA
68143,2012-03-02,0,sqRX-XLlhx4rs2c1TpBf8A,I love the homemade tofu! Very fresh and taste amazing !,lJ4NkD1LIfCCxcm2hU04vg,0,0,4,eX2YrW65-EwGCEZyHcSRgw
69564,2014-05-29,0,sqRX-XLlhx4rs2c1TpBf8A,"????10???RAKU???????????????????????????????????????????????????????????????????????????25??????????????????15???????(??????)???10??????????????????70%??????(?????????????)????????????????????????????????????????????????????????????????????????(???) ???????????????.
?????????????????",HvwKrc5eaj0p_C-KSkbymw,3,0,1,AFwEjpenMGBKR3K0C6Ag4A
70510,2008-12-24,1,sqRX-XLlhx4rs2c1TpBf8A,"ok  I was just sending this recc to a friend and I saw the one star review.  I am not Vegas CSI but it seems a little too strident and suggesting another restaurant (with suspect grammer) is HIGHLY suspicious.

that being  said:

Overall its an adventure to go in and try dishes you have never had before.  I had the most tender squid of my life there as well as some other great dishes.  I have not gone a lot so it may be more uneven than I know judging by other reviews.",knlQhNhHWNkyaPIkABp7CA,1,1,5,ztkoGJd-GZVQgbnMPwPxXw
