,date,funny,business_id,text,user_id,useful,cool,stars,review_id
839504,2012-10-23,0,svTDpnD6yj77h5iH9lDucw,"Yuuuum!  I had the bratwurst with sauerkraut, the brat was delish! I tried a side of the curry sauce and ended up dippin my fries in it, wow a great flavor. My boyfriend had the cheese burger and it was so good, comparable to In And Out Burger, so you know it's good!  Check this place out!",49p_Qqr3-5ej0LNyrcmYQQ,2,0,5,ZQyltaRAfaccepIKMAgLbQ
911587,2012-07-05,0,svTDpnD6yj77h5iH9lDucw,"For some reason i was surprised about how clean and nice it was inside. Maybe because the del taco that was there was never very clean.

Great brats, and i don't even really like brats all that much. Burger is just under in-n-out level, but like someone else here said, above mcd's and the others.

Also really like the sauce that comes with the chicken tenders. 

Customer service was awesome. Really liked the guy that helped us. We will be back for sure.",xpWTenRR72Bv0RINUov92g,2,0,5,am0l5MhB3qeQVINPvwwVZQ
1208809,2013-02-25,0,svTDpnD6yj77h5iH9lDucw,"The Brat was good. Bread was so-so. I'm guessing the sauerkraut came from a can.

Double cheese burger was pretty much an In-&-Out burger. The patties were a little bigger, but flavor was the same.

The Hawaiian burger was not good. My boyfriend who is a burger nut ate half and tossed the rest. 

The fries were good and plentiful.",NoONN8dswjSPnPKhtHgPjQ,0,0,2,rQv7TkO5qxTEs9DdbQT8HQ
1939641,2012-11-06,0,svTDpnD6yj77h5iH9lDucw,"Drove by Dita's several times with an interest in it but havent had the opportunity to hit it up till a few days ago.

Very friendly service. They gave us samples of the curry sauce and we decided to go for currywurst and fries.
http://www.yelp.com/biz_photos/svTDpnD6yj77h5iH9lDucw?select=uAypqk1WYXmwcDcTS8_moA#cy0ksATFB05QyUCvoCLW9g

Their homemade ketchup is more of a tomato sauce seasoned to taste similar to ketchup and is pretty damn good too. The seasonings they use to turn it into curry ketchup is just too damn good in my opinion and totally made the order worth it. 

Fries are VERY good. They look like ordinary regular fries but they taste totally awesome.

Dita's is a bit on the pricey side when compared to other fast food joints. I can understand that they need to charge more because this isnt Germany and some of the ingredients need to be sourced from different suppliers and some things need to be home made. Overall i would say the extra dollar and some change is worth it as you're getting something completely different from the normal fast food burger joint. 

I like it and would totally recommend this place for those who are looking for something different yet completely casual.",7A7FOLZZKL0iokQVOAEbgA,6,4,4,IyEbOgngIgv_fUi6gQ534A
1965965,2012-11-17,0,svTDpnD6yj77h5iH9lDucw,"Real German food is finally affordable in Las Vegas.  What it may lack in decor & ambiance for snobbish foodies, it is made up for (and then some) by the authentic preparation of some of my childhood favorites found growing up in a German-American home.

It's very clean, and while I think it should be far busier than it is, the service at Dita's was outstanding - warm, welcoming - and everything you would expect from a nice family-owned German restaurant.

The shocking part was the price. Less than $5 for a meal that not only filled me up but made me happy and comfortable too? 

It was pure joy biting into a fresh bratwurst nestled inside fresh brotchen.  When I saw the Currywurst  on the menu I immediately knew that this place was somewhere I needed to take my mom so she could savor the flavors of home.

This kind of goodness rarely happens in Vegas, so this one goes on my list of favorite places for comfort food.  ""So good"" is an understatement.",cqHqdupbqm7YPPK9Odnm7Q,0,0,5,91jtdcqaL1ok8SgM9TzMLA
2263271,2012-10-31,2,svTDpnD6yj77h5iH9lDucw,"I'm usually interested in unique fast food concepts and the only thing that disappointed me at Dita's was that Mike Myers didn't pop up in the drive-thru and tell me to touch his monkey!

I've heard comparisons between Dita's burgers and those of In-N-Out. My usual order at the famous drive-thru chain is a grilled cheese, so I asked Dita's to prepare a cheeseburger minus beef patty. It was pretty good, with the familiar thousand island ""spread"", but the slices of American cheese were cold and not melted. My husband ordered a house specialty, bratwurst on a German roll. The roll was crusty and fresh and resembled those from the German Bread Bakery. He really enjoyed the brat and the tasty German mustard accompaniment. Fries were fries, but the ketchup was cheaper than Heinz and weaker in flavor.

I ordered a cappuccino, which tasted more like instant coffee than fresh espresso. The flavor was good and the steamed milk had produced a nice foam. It was served in a cup with Nescafe and Abuelita advertising, so I may have to try a mocha next time if they really use Abuelita chocolate.",PSI7wvuqEhhV9Jh_fP2eZQ,5,1,4,Rpx4GAFsmnFivv7Hbu09WA
2345897,2012-09-21,0,svTDpnD6yj77h5iH9lDucw,Great burgers! Great fries! Its a German/American burger joint. They sell brats as well. Next time I will try it. I was pleasantly surprised with the quality and portions and of course the taste. Very tasty burger! I ordered the double cheeseburger and it was bomb! Just as good as In and Out and Fatburger. The fries are thin cut and crispy.,pglbHfM69V3V_jP87iPM-w,2,0,5,4gGNOgn2CVApjcb_O09rqw
2609663,2012-07-07,0,svTDpnD6yj77h5iH9lDucw,"Look, we have been to all the ""German"" places in town, where you are served blaut kraut and potato salad from a can, and they charge you 15-20 dollars a plate.  Dita's is not fine dining.  It does, however, have curry wurst like I remember having with my Grandfather in a pub in Germany when I was a child.  Fast, fresh food, friendly service, very clean, take out and delivery...all in all, worth a visit.",fsKH-GHNCKJkDl1SA1_Afw,4,1,5,lbIDuqt3WoMAiX_-oSLr4w
2786733,2012-10-22,0,svTDpnD6yj77h5iH9lDucw,"My menu selection was minimal so I cannot fully comment on the wider menu items. Restricted only to the Brats I will say they were some of the best I ever had, but that isn't much...  But still damn good. I had them with onions and bacon, but wil lminus the bacon and mustard next time. The meat itself was perfectly seasoned and the texture oh so divine. 

Had passed by several times, once at 10pm and they were closed, so this time decided to stop in. Was the only one in there until - a young couple came in for just fries, and then 10 minutes later two biker guys ordering burgers. This was a Friday night about 8 pm and really it was empty. I felt bad as its been open several months.

My wife doesn't like sausages really any kind except for Italian sausages with onions and peppers. Were from Brooklyn! She doesn't like hot dogs, polish sausage, brats, kielbasa, etc... So,I got one for myself while she sat in the car. The joke was on her... It was great!

I got to speaking to the owner, a German man, originally an attorney who worked for many years in Brazil where he met his wife, a Brasilena, who is the cook. He is a very nice man, very accommodating and friendly and we struck up a conversation about the business and how things were going. He said the lunch traffic was not bad but nights were quite dead. Not reflective of the 85,000 vehicles passing by peak hours. The drive thru though was busier than in store service at this time.

I got the brat, took it out to the car, had a bite,  and asked...no, pleaded with my wife to take a bite... It was burning hot and I scalded my finger and mouth but let it cool for a sec, she tried it and said to me, no ordered me to go get her one. She stated I should also tell the owner that that's how good she thought they were... The fact she wanted one, coming from someone who hates this type of food, was a comment on the quality and taste.  So going back in I threw caution to the wind and in addition to her order I also ordered the owner-recommended currywurst, basically just a brat sliced in curry ketchup... Bummer. I was disappointed with this somewhat although he reviews here seem to be good. Instead of placed whole on a bun, it's sliced and drenched in sauce and served with some dried bread on the side. I know that's how it's served in Deutschland but wasn't really my thing...

My bread was stale, I know it's supposed to be dried out with the Currywurst but a bit too much I think... I also think theres a difference between dried and stale...The curry sauce was way way to sweet, cloyingling so! It was ketchup and curry added...as is the German way but... much too much sauce. I would order it again if it was served whole on a bun with the sauce as a condiment,  OR sliced as it were but not served drenched in sauce...

My wife has already asked to go back, so this bodes well. The problem I see is he should be successful in theory based on the food, but the location is not ideal in my mind... I suspect just one block east on the other side of Decatur is a world away and would make a world of difference. I also think he needs to extend the German menu, as he seems to focus less on the German.. with only 2 types of brats. The rest of the menu is a knockoff of In & Out, and not as good from what I've heard here as well as the review snippet in the LV Weekly magazine. 

Maybe get some fried pork and chick cutlets or another types of schnitzel. Add other sausages like Bockwurst. Or how bout Kartoffelpuffer: fried potato pancakes served crispy and with applesauce and sugar or salt.
German Brötchen: Is an open-faced sandwich served on fresh bread and topped with ham and cheese. Spaetzle as an alternative side to fries? Just some thoughts. I like the. Place and want it to succed. He needs to expand the Germanic menu items and increase the marketing and visibility. Maybe some Groupons, Living Socials, entertainment books coupons... I don't know. Coupons in the Sunday LVRJ? A lot of the business could come if he was open late if only people knew the place existed...
I am worried.

Vey nice man... I wish him Viel Glück!",6BG-geUq96Q5j_sbG0fqlQ,4,2,4,3F8Ib9u65gJpb18WdANy_Q
3041260,2013-01-14,0,svTDpnD6yj77h5iH9lDucw,"Dita's reminded me of a clash between Johnny Rockets meets In-N-Out. The place is very clean and staff extremely helpful. I ordered the Hawaiian Burger; only because it had pinneaple. Food was fresh and had flavor, can't wait until my next visit. It's not far from the College of Southern Nevada, good food and decent prices.",n21bnVqYVY6g1W9ca90jRg,1,1,4,PocpwAxqhK_SJ5ygqD_qpg
3044378,2012-05-09,0,svTDpnD6yj77h5iH9lDucw,"This location used to be a Del Taco, that went out of business. 

I saw that it was be reopened under the name Dita's, I have never heard of that name before and searching the web has no results, so I assume it's not a chain.

They have burgers, sandwiches, chicken fingers and German sausage specialties, of Brats and Curry Sausage.

I had a double cheese burger, fries and a small drink, $7.56 with tax.

The meat actually had some flavor and juicyness, so many places nowadays the meat is tasteless. It's served on a normal bun, with thousand island dressing, onion, tomato, lettuce and pickles. I took the pickles off, as they were sweet pickles, which I do not care for, others may like them. 

I found the burger good, not as good as In & Out, but better than McD, BK and similar chain stores. The fries were typical frozen fries, somewhere between the McD shoestrings and steak fries. The sodas were the Coca Cola genre, Coke, Mr Pibb, etc..

I found the staff friendly, also I thought the customers were bit over friendly welcoming me, until I realized the people I thought were customers were other employees, apparently they had a morning staff meeting, and they all hadn't left yet.

I was offered samples of the German sausage, I tried both, they were good, but I'm not one to judge, since I'm not partial to German food.

The price is a bit high for what you're getting, but not outrageous. I would go there again.",rAa-LxHwU8IP989kvMUJSA,6,0,3,DUnAPCV5H0pZGyIkj__CrQ
3168974,2012-12-20,0,svTDpnD6yj77h5iH9lDucw,"I ordered the double cheeseburger combo. The burger was was delicious, the sweet potato fries were OK, if a little bland. Two things: 1) everything is made fresh, so it will take a little time to get your order and 2) The double cheeseburger really isn't suitable for consumption with your hands, get a fork and a knife.",IPae-he4sy3KI22hqvxYxQ,1,0,4,tZts0dGVKbbcz1s0BG3rzg
3537271,2012-07-20,0,svTDpnD6yj77h5iH9lDucw,"I was very excited when Ditas first opened, and I saw the German flag painted on the window.  My husband and I finally hit the drive thru today.  Oh my, it was good. We each had a bratwurst and we split a cheeseburger.

The bratwurst was perfectly cooked, and the mustard on it was very, very good.  The brochen (bread roll) lacked the chewiness of what you get in Germany, but it works well.  It is much less messy the way it is served at Ditas.  We enjoyed it very much.

The cheeseburger was juicy and had plenty of cheese.  It reminded me of a Fatburger without the crazy Fatburger price.  

The service was very good. The man at the drive thru explained that it would be a 3 to 5 minute wait because they make everything fresh.  We did not mind at all.  Fresh, hot food is certainly worth the small wait time.

We are excited to find a decent fast food restaurant so close to home, but we would happily drive out of the way for this food.  We now refer to it as our new favorite fast food.   Good job Ditas!",Mm9qtARqNRg1AsknSk-yYg,0,0,5,1ZB4stUnUJ7nVyUVW1SVfA
3550266,2016-03-05,0,svTDpnD6yj77h5iH9lDucw,"Now that's it's closed, the old owner works at LVAC on Lake Mead and Rainbow. I get so bummed every time I see him because his burgers were so good.",STOEjNx83UTDHvov0C6uXA,0,0,5,bRWAICy76ccf797o5zwHnQ
3635576,2013-03-08,0,svTDpnD6yj77h5iH9lDucw,"Closed.

I actually had the chance to try their curry fries which the GF, whose half German enjoyed and reminded her of the food she had as a young girl in Germany. Brats are great and flavorful however the GF mentions that you can get a much better over at Cafe Berlin which unfortunately I have yet to try. Burgers were good but not drive all the out of your way good. 

Probably the worst thing I did have was the Hawaiian Burger which was one of their burgers topped with pineapple, bacon and this nasty, over-processed artificial bbq sauce which killed it for me. Service was hit or miss, it was run by both the owners a former German businessman and his wife (Dita) who moved from Vegas to Brazil hoping to bring more German fare to Vegas. Unfortunately a few weeks after our first visit they shut down operations.. You could somewhat tell by their demeanor and the empty seats. Its a shame because I felt like they could do something just by sticking with their core items -- they were seemingly stuck in the wrong neighborhood. If they re-opened, I probably would give them another shot.",E19IMURE4WEoCnvDx-bylg,0,0,3,Jnhet74tgwuF1pNMRZYZTw
3693136,2012-07-30,0,svTDpnD6yj77h5iH9lDucw,"Heading out for some drinks last Friday with a few friends and we needed to eat first. After driving by Dita's every day where the Del Taco used to be and upon a recommendation from two different friends AND the presence of a coupon we decided to give it a try. When we walked in the place was empty around 7 pm on a Friday, not a great sign generally but let's face it Las Vegans are not always known for their taste in higher quality fast food as I believe we now have seemingly 163 Jack in the Box locations and still 72 Burger Kings in town. 
 We presented our coupon for buy 1 Dbl Cheese burger  Combo(not bad - approx 7.50) and receive one regular hamburger free($3 value I believe) and it was happily accepted by the front counter man- who I believe was either manager or owner. We took our seats in the clean, bright dining room- comfy. The motif and tunes were mostly 50's drive in style which fit the burger theme overall. I was actually told I should have ordered one of their famous german brats or ""Curry Sausage""- some sort of speciality apparently- And I definitely will next time but wanted to use the burger coupon this visit.
 After about 5-7 minutes our number was called we grabbed our tray of food made fresh and it was good. Perfect crispy shoestring fries, a basic no- frills burger with a good, not great patty but very fresh and pretty juicy too. Adorned with the basic lettuce, tomato, american cheese and 1000 island condiments, this should appeal to fans of In- n -Out and/ or Five Guys. Can't wait to venture out to some of the sausage choices next time. The free single burger was also outstanding.  
 Once while we were eating and again as we left we were warmly asked how everything was by the staff. Im happy to report a few other parties came in as we were leaving..I think they'll be happy they did.",mqUFhpuDLCKv2WJIfGFR4A,7,2,4,8rUUBpVpsktbTrfbUIcPEw
4175844,2012-11-14,0,svTDpnD6yj77h5iH9lDucw,"I've been to this restaurant a few times. Always good, always fresh and delicious! Check this place out if you live in Vegas or are visiting!",FIb0WMMGQOW3zMbSf8YQFA,0,0,5,9g38WJBSfzsS3scHgFS9Sw
4295511,2012-08-08,0,svTDpnD6yj77h5iH9lDucw,"I've eaten here a few different times and they never fail to impress. The burgers, the brats..it's all good. I just finally ate the German Sausage Roll with spicy mustard and it was delicious. I personally like it better than the Curry Sausage and their cheeseburger is in my top 5 for fast food. They had good service as well. It was nice to see the business owners doing all the work.. Shows me they really care about quality and consistency.",U4vKg2axQ9rQaVOq9Iu-Ew,1,0,4,WSudSftMLrl6xlBFBh-KQA
4458223,2012-04-19,5,svTDpnD6yj77h5iH9lDucw,Bad customer service the female that took my order in the Drive Thur had a bad attitude. I ordered the number three double cheeseburger and fries and small drink. The food was horrible. You can tell everything comes frozen  you can taste it. I would not recommend this to anyone.,WoVbfeVPVrJdPxQbI4HkXQ,8,0,1,y9fRFkDPsKTf62kTN1-YEg
4459286,2012-08-10,0,svTDpnD6yj77h5iH9lDucw,My meal (sausage and fries) was great! Everything was fresh and delicious. The staff was very helpful and very nice!,NxBTz0xytJimteprhYevrQ,0,0,5,axcjjcQHCDbuP9ZcEeROYQ
4624426,2012-09-12,0,svTDpnD6yj77h5iH9lDucw,"This place has potential however, they do not have a lot of German options. they offer burgers, fries and their German curry sausage. there are not that many items available in their menu but their food is good.",wtNopFY2ybprzk4FuEbWJQ,1,0,3,NBV0wC-1dL2HUZayQA8p0g
5028821,2012-12-15,0,svTDpnD6yj77h5iH9lDucw,"Dita's Brats and Burgers

My young Austrian friend knows that I love German cuisine. So, when he told me that he'd treat me to some AUTHENTIC German food, I thought he'd take me to one of those few German restaurants in Vegas. Well, was I surprised that he brought me to a FAST FOOD JOINT called Dita's!  - And, after a great eating experience, I was very happy and grateful that he did! 

YELPIER DETAILS:

My friend ordered for us, ALL IN GERMAN: 1 order each ""bratwurst with kraut"" and 1extra order of ""currywurst with fries"" to share. Our orders came out looking very appetizing and tasty in every bite! 

The sauerkraut was a bit salty, not sour enough to my liking, but it was crunchy, the way I loved! The curry sauce was on the sweet side, but after we added extra mustard and salt, it was wonderful for dipping the sausage and fries! I wish the sauce had a little bit more kick with more and spicier curry. Well, even in Germany, almost no 2 curry sauces tasted the same anyway, so I couldn't be too picky.

My Austrian friend said, although he is not German, he knew enough German cuisine and culture to vouch for the authenticity of those tasty dishes. I myself had worked and lived in Germany on and off for a few years, and had grown to love the great variety of German sausages. What we had at Dita's brought back fond memories of my wonderful time in Germany, enjoying bratwurst and currywurst in various fast food places over BEER! Hmm, how I wish Dita's would serve beer! And I wish, also, they'd expand their GERMAN MENU.

We enjoyed our AUTHENTIC German meal very much this afternoon. I will definitely go back to Dita's for more, with or without my Austrian friend!

BTW: Dita's ""50's diner decor"" made an old man like me feel very comfortable. But, almost all customers today were young folks. The place is not big but spacious enough; clean, bright, and comfy. Its restroom is well maintained. 

Peterskis3, Dec, 2012
---",fZY97UjlP-iv35beOl_OfQ,3,3,4,fJyKT2ZXQ1vHhNQocb0PPw
5248713,2013-02-17,0,svTDpnD6yj77h5iH9lDucw,"Passed by this place a number of times since its opening, even pulled into their parking lot, but never convinced myself to actually take the plunge and try something new, especially when I saw that the staple is bratwurst, that of which I'm not a fan of. My husband on the other hand loves that German sausage, so to make him happy I put my dislike for brats aside and went in with an open mind. Lucky for him I was starving, and my pregnant belly was aching for anything at this point. So Friday night we mosey on over after he read some of the reviews on yelp. He ordered himself a bratwurst on a roll with some spicy mustard a side of French fries and the owner who is straight out of Germany provided some curry dipping sauce on the side. I ordered a cheeseburger combo that came with a nice amount of French fries and a medium sized soft drink for 6.95. My cheeseburger was juicy and very flavorful. It was soaked in condiments nor was it falling apart, it was pretty darn delish! Now my husbands bratwurst was served on what looked like the perfect kaiser roll, it was flaky on the outside and yet soft to the bite....the aroma coming off of that bratwurst was so enticing I had to have a bite, it was AMAZING. WOW! Now I could never eat a bratwurst sandwich all on my own, but a couple of bites of that sandwich was pretty much like a little taste of heaven. The homemade curry will leave you craving it, it's the perfect blend of spices, incredibly tasty. The place is very clean, and the owner is very nice. If your in the area I would definitely recommend stopping in and grabbing a bite!",ofiyrb5MRJQY3XJz6UDYnA,0,0,4,jQJf3uOPFoOJAIbuE2FOfw
5441978,2012-09-18,0,svTDpnD6yj77h5iH9lDucw,This is the second time I've been here. The first time I had the bratwurst with roll. That was great the sausage had a lot of flavor to it. The second time I decided to try the hamburger. Definitely not like in n out which it keeps getting compared to for some reason. I recommend only coming here for the brats.,p-dD2rsk8YmymWKXtJcyBw,3,0,3,oe3d_KHflJa54HLX9WUboQ
5540834,2013-02-28,0,svTDpnD6yj77h5iH9lDucw,"Super good!! We had the hamburgers and they were huge, the owner is very nice, too bad is so far from where I live :(",wfV05cpejcwjiqf1IrgeXQ,0,1,4,L5PpuIflbqbBCg2sghTauA
5777259,2013-02-13,0,svTDpnD6yj77h5iH9lDucw,"This is a wonderful surprise! I saw this place announcing Brats and Burgers... so I tried it. Wow! The curry sauce is amazing. A definite "" must stop"" when I'm in the area.",ETcumjPCkLLvb7xSsqLOuA,0,0,5,weonmgtntJS6xoAQi4xUrw
5854583,2013-01-07,0,svTDpnD6yj77h5iH9lDucw,Second time I've been here and the food is great. Clean place and the service is great. Took girlfriend and got her hook on the brat sandwich...I had the cheeseburger which was very good. Will be back again.,SuY0obGvypUzqYiiI0Q1_A,0,0,5,_CGUzskMv9tq3WanQlP9wA
