,date,funny,business_id,text,user_id,useful,cool,stars,review_id
18947,2013-01-04,0,tVW7pefO8xIgWMF86oVhKQ,"The cherry limeade is awesome. And as far as the sandwiches go, I've yet to try a bad one here. I don't know that I can say that about any other sandwich chain. 

As a chain started by firemen, hot sauce is supposedly a running theme here. Over on the side is a case of various hot sauces from around the world. Some of the hot sauces are delicious, some are off putting, but I really don't know that the hot sauce adds anything to their sandwiches. To each their own I guess, but it's safe to say you won't be disappointed by Firehouse Subs. 

Be sure to put it into your rotation of places like Subway or Quiznos.",bAzdeuQiR80wVOLUh7ox7g,3,1,5,YZ0GcyoTw3tQW2vWJRCnGw
44844,2015-12-19,1,tVW7pefO8xIgWMF86oVhKQ,"If you want a warm sandwich in the winter, you'd better take it to go! Come in from the 40 degree weather and sat in a/c with a hoodie and jacket on. Fingers and nose frozen with a/c blowing on me! I couldn't even enjoy my meal.. If I decide to try this again this season, I will update my review. If I were a fireman, maybe I could endure the extreme but I'm not 'har har har'!!!
I'd also concur with some other reviewers to say the place was dirty and there's nothing that pisses me off more than a restroom with no paper towels. Try washing your hands in this freezing place, having to open the door with your hand (I can't deal with germs) then going out into the cold restraunt with wet hands!",mqM_aK6qRG5PVsjSVvrq-Q,2,0,1,6ArbibkLeighpRW5OoQvUA
53383,2015-09-14,0,tVW7pefO8xIgWMF86oVhKQ,"On the search for the best sandwich shop in Vegas, I'm a huge fan of Mr. Pickles in N. California and so far they haven't been beat or matched.  This place is good though, it reminded me of a hot really fresh Subway Sandwich, I got lost driving home ( have I mentioned that I just moved here?) And the sub was still warm so I bet it would be amazing fresh and hot.  I will be back to try others.",QGOHT0w-UTFsjW4sYdcv1w,0,1,4,R1oUpZVw7xbXsaLAFU81aw
62756,2012-03-20,0,tVW7pefO8xIgWMF86oVhKQ,"OH MY GOD can these people make a sandwich. I was at a tournament in Las Vegas and my teammates and I desperately needed food. I found this place with my phone and I am so glad we went here! 

The Sweet and Spicy Meatball sub is absolute heaven. I also tried some sort of chicken sub and substituted the mayo for honey mustard - it was amazing. Yes, we went to this place twice in one weekend. 

There is also a great soda machine here with over 100 flavors to choose from. If you like your food on the spicier side, there are a number of hot sauces at the end of the counter that are rated 1-10+++ on the hotness scale. 

The establishment itself is very clean, and very much like one would imagine a firehouse back in the day (minus one of those awesome poles). The staff were all very friendly and seemed really amused at how excited I was about their food. 

If I could, I would eat there all the time. Firehouse Subs, please make your way down to Southern CA!",yem8gI-CHU_N0m97T_rLFg,0,1,5,gkf4B8aLbfeP5sxJnzqWqg
94709,2014-03-11,1,tVW7pefO8xIgWMF86oVhKQ,"You have to eat the sub at the store or it gets soggy. They steam it and they are good sandwiches, but the longer they sit the soggier it gets! They have a good variety of sandwiches. They are definitely NOT on the health diet.",8DowVI3Z-ybUic4TNCvJAw,1,1,3,ieb9wKnr3EVC1FzNL5mVBQ
195437,2014-03-14,0,tVW7pefO8xIgWMF86oVhKQ,"SUPERB ALL AROUND!!!  I'm rarely one to take time from my day to write reviews, and NEVER write bad ones unless they negatively impact my life. Life is too filled with more important things, I say... BUT I truly believe in saying thanks, and sharing kind thoughts where they are due. THANK YOU!  The pleasure I consistently enjoy from the quality of these sandwiches is top notch. More importantly, to me, a consistent level of cleanliness and sincere welcoming kindness from staff keeps me going there. I met the owners as well, and appreciate their care in making sure their customers are happy. I'm one and hope others appreciate what I do. Again, THANK YOU!!!",tzCo-UHSbeIs_n8EHmBYig,0,0,5,a6XEiNQ7Sqg6F5mnuJLi8Q
199939,2015-06-24,0,tVW7pefO8xIgWMF86oVhKQ,"Fantastic subs and Amazing customer service! The young lady, Miranda, who took my order and Eric, who prepared it were all very pleasant and they looked as if they're having a grand time laughing and joking around making it a very welcoming first impression. They were very knowledgable of the menu and quick with offers and recommendations of their favorite subs. Eric's recommended the hero with a smirk-like guarantee I would like it. Hands down, he was right and the hero was outstanding. The new ownership of this Firehouse shines through all the employees and overall experience.",REItoSmNI2dh9WZDVgNLEw,0,0,4,JzFVw1yn6jJVywioQOZuCQ
364385,2015-07-25,0,tVW7pefO8xIgWMF86oVhKQ,This place is the worst fire house.   Days they close at 9pm. Showed up at 8:45 pm and the doors were locked and they still had their OPEN sign on. I wouldn't have even stopped but the sign was on.  At least turn the damn OPEN sign off so people don't bother.   Won't ever come here again.,shpQcT2zynw7DmP4ChobJA,0,0,1,fIMHNQQrGRqK6p_tpHG-6w
535255,2012-07-21,0,tVW7pefO8xIgWMF86oVhKQ,Have been here several times now and love the food.  Just tried the Hawaiian pulled pork and added some spice to it from the amazing selection of hot sauces they have out for use by customers.  Very filling and getting to choose a drink from their soda machine (especially diet) made it a very nice lunch....,GTgzsVY3s6cm8u94uyx4mw,0,1,4,WfGvxZbtsnj2aTr0LN_TsQ
612266,2013-12-02,0,tVW7pefO8xIgWMF86oVhKQ,The subs here are delicious. They have a wide variety to choose from. Its a great spot to stop by and grab a quick sub for lunch.,Kr-koi5p-66pf4rmNZ9iMw,0,0,3,LqFGUOaK2xFVNmUZFd9LPA
