,date,funny,business_id,text,user_id,useful,cool,stars,review_id
7105,2014-11-07,0,tXqaK0lBEE1XJbzDPsdFvg,"I simply love the fact that they have Tapatio for your fry's it brings me back to Huntington Beach, CA.. It is definitly a contender in my books for one of the best burgers in Vegas!",ur-c8lxxpLvcnJNE22xjkw,0,0,5,RtMGhrhjAcZm_qiONXPRzw
12474,2015-06-08,0,tXqaK0lBEE1XJbzDPsdFvg,"Atmosphere was nice. Employees were fair, however the young man, Christian was very nice. Knew his lines and promotions very well. The food on the other hand left something to the imagination. The burger, the farmer brother, was dry. The charbroiled taste was too strong. Tasted like charcoal. The onion rings weren't  bad, but also to dry. Not worth the price.",TRw33AcvE-F3ym_MO977yA,0,0,2,UiWs4SkXz-2lWqJhdg1Fzw
20183,2010-12-23,0,tXqaK0lBEE1XJbzDPsdFvg,"Was so happy when they opened here in Vegas. I used to go to their place in Moreno Valley. All of the food is excellent. By far the best quick salad you can buy!! Burgers are great, breakfast is great. All in all just a good place to eat.",3kbsb66N-f_K13KGqlm2vg,0,0,5,sO-kYUNSlcKBfxPdQXkzmg
35537,2015-04-18,1,tXqaK0lBEE1XJbzDPsdFvg,"Horrible place I ordered egg whites and wheat dry toast bread and they got all of my order wrong I ask to Pls fix my order and they told me that they couldn't fix it because they ran out of wheat bread, that it was the last wheat bread they had! so they refund me the money and I stayed with no food!! Smh.. 
It wasn't my fault or cashier's fault, because on the receipt it was very specific how i order my food! The cookers just don't know what there doing! 
FIRST AND LAST TIME COMING TO THIS PLACE!",sslAhTLATzFMMbnSX9flAQ,0,0,1,5y_IPfIUiKwcR9de2SFjfw
69938,2014-07-04,2,tXqaK0lBEE1XJbzDPsdFvg,"My husband and I have been wanting to try Farmer Boys for a while now. It was well worth the wait, we both had The Farmer Burger® (Double Cheeseburger with Avocado/Bacon & all their normal toppings). FYI...all the burgers come with lettuce, tomato, pickle, onion and 1000 dressing. The patty is not greasy at all, which is always a huge plus.

I like their combo options too, instead of fries, you can have zucchini sticks (which are huge and amazingly tasty!) or onion rings and a few other choices. The shakes are sooooooo good! We tried the Reese's shake and it tastes just like an old fashion milk shake, thick and creamy.

In all, the food is really good and the overall experience was nice as well. The food was fresh, which made it taste even better! We will be going back for sure.",_NjmJcj2B9DX8hybhaAxGw,3,2,5,hQ0N0s7ezVaVhWxvSFjyXg
107863,2012-06-14,0,tXqaK0lBEE1XJbzDPsdFvg,"This restaurant is friendly, fast, and great customer service. The assistant manager Sheyva is awesome. She helped us choose a great meal and for a good price. Their Cobb salads are bomb and strawberry lemonade. Definetly will go back again!",_duRSqxFbp5VaFJtlMe8SQ,0,0,5,9jfuuQarmycGH5XC93mdJQ
125041,2015-01-17,0,tXqaK0lBEE1XJbzDPsdFvg,"I didn't really get anything I wanted here. Ordered a bacon boy, which seems to me like I'd get bacon. It comes with two pieces. Asked for no onion, I had to pick it out my burger after biting into it. I don't blame the people taking the order as they were all quite nice. The cooks need to step up their game, the fries were soggy from previously being fried. I worked at a fast food place before and if you dip the fries twice they mush up. Won't be going to another farmer boys for a while.",isSdaFb7ZHkxevCzhck0Bg,0,0,1,t2N0lmSd_Kzn6W95l1SWww
149308,2011-07-04,0,tXqaK0lBEE1XJbzDPsdFvg,Great food but boy are the prices high.  If your looking for a different fast food lunch spot give this place a shot.,DWfos3PxcrkqAJoAZHEg3A,0,0,3,Cg6ohymHJm8FOhqZGCIXrg
161536,2011-10-10,1,tXqaK0lBEE1XJbzDPsdFvg,"The interior of this restaurant screams 'country kitchen', the décor is complete with awful ceiling fans, floral patterns on awful fabrics, wooden trellises, fake plants, and milk jugs. It felt like someone threw up every awful bit of Homegoods into this place. And to make matters worse, I think every child and adult eating here was at least 30-40 pounds heavier than what they should be. I don't think I've ever gotten the feeling that I actually stepped down a social class walking into a burger joint, even at McDonald's, but this place somehow did it for me. It's like the Wal-Mart of burger joints. So all that being said, if you're looking for a classy joint, read no further. And screw you if you think I'm judgmental.

This is a fast food burger joint, but to make it feel a bit more 'fancy' like some other places, once you place your order you are given a number to take to your table. Only such classy places as Carl's Jr do things like that. The burger took about 5-7 minutes to arrive at my table which isn't bad, and supposedly because each one is cooked to order.

There are many menu options including a Farmer's Burger, which comes with bacon, avocado, thousand island and various toppings, but at 1196 calories I decided to pass on that and go with the Farmer's Classic Double. This burger consists of two 1/8lb patties, American cheese, thousand island, and your standard lettuce, tomato, two dill pickle slices and onions. Everything there is pretty much standard including the plain bun, but the onions were thinly sliced, almost shoestring, doused with thousand island and were a nice touch. I typically don't like too much onion on my burger as it can take away from other flavors, but these were pretty good.

The patties were actually decent, for fast food I would feel safe eating them on their own similar to an In-N-Out patty, unlike one from McDonald's or some other places. Not sure if it was real, but it had a really good char flavor to it, dare I say better than Burger King's, and eerily reminiscent to Harvey's which I miss dearly from my childhood. There was even some pink in the middle of my thin patties, I'm not sure if that was intentional or not because you will never find anything like that in similar fast food places, but I'm brave so I ate it without a worry. Not sure if my stomach ache 30 minutes later was because of this or just the meal in general.

The fries were nothing great, thicker than most typical fast food choices, but not any better. Your standard frozen stadium fries more or less. I still somehow found myself eating almost all of them, and there were a good amount to go with my burger.

And now for what is usually the determining factor for whether I give a place an ok score or not: the value. My entire meal of a double burger, fries and a drink only cost $5.39, which is cheaper than my coveted In-N-Out double double meal, although not quite as good. Still, considering the poor atmosphere and mediocre fries, this is actually a good deal. You can definitely do much worse for a fast food burger and easily pay a lot more. Hell, this is a bargain compared to that overrated crap you get at Five Guys. Granted it is fast food and should almost not even be considered on this blog, but I walked away far happier than anticipated so I won't complain. So if you're looking for something quick, cheap and decent, then by all means don't be afraid to eat at Farm Boys burger alongside some mullet-sporting white trash diners.",0G9BcXSQscv_GnhlNwFfjw,2,1,4,lW97IEf_OAmdcu30tuBlFw
173464,2015-04-24,0,tXqaK0lBEE1XJbzDPsdFvg,"I have not eaten here before today. My coworkers eat here a lot for lunch. Today I decided to see what the hype is about.

I thought this was an actual restaurant!!  It's not. It's a fast food joint, drive thru & outdoor umbrella seating. 

Arriving just before noon on a weekday, I walked into a packed dining room. How thrilled I was to arrive when I did. Within minutes of entering & paying for my order the line was out the door. Literally!

The first thing I noticed about the order counter is the clutter & the menu is extensive & busy. I had a difficult time finding JUST a bacon cheeseburger & fortunate for me the cashier knew the menu without looking. I still don't know the name of the combo I ordered, but for $9.82 I ended up with a bacon cheeseburger, 1/2 fries & 2 onion rings, & a drink. (If you're a Coke person - they serve Pepsi, Lipton raspberry tea, Dr Pepper & ice tea.). I took my number & sat, waiting for my lunch to be brought out. 

Overall, I was impressed with the freshness of the ingredients. Not just with my meal, but with the LARGE salads being brought out. I wasn't impressed with the ""plating"" (on a sheet of wax type paper & round tray), taste, and more importantly, price. 

Yes, I enjoyed my meal. My burger was hot, properly cooked. Loaded with more white onions than I prefer & 2 strips of bacon. The fries were fine, not too salty, not to large, no too thick. The onion rings were large (both in size & thickness), lightly battered, but bland. The flavor came from the sweet yellow onion itself. I've had better burgers at  Carl's Jr.  

Because it was full the tables weren't properly minded. Cleared? Yes. Wiped down? No. 

For $9.82 I expected a better burger then what I could get at Carls or make at home. Will I return? Probably. The salads I saw looked really good & loaded with chicken breast. I'm pretty sure I saw fish & chips on the menu. They also serve brekkie. 

Tip #1: mind your parking. I made the mistake of parking next to the drive thru entrance and was blocked by cars waiting in the parking aisle to enter the drive thru.  People are rude, selfish & more concerned about themselves than the fact they were intentionally keeping me & others from leaving. 

Tip #2: order your meal for take away. They give it to you in a sturdy container with a bag. Makes bringing leftovers home quick & easy. Most importantly...if you order salad, would you rather eat it off wax paper or from a bowl?  They come with dressing on them...if you order it as take away you can shake your salad & disburse the dressing evenly.",9BuTUHt6Zlm-UCjaGD6aJQ,1,1,3,CqLLUCYb7Vv3i2e2Itp-bQ
