,date,funny,business_id,text,user_id,useful,cool,stars,review_id
10325,2009-08-19,0,u-67zd1ImTv3EEr5kIdWrA,"Ceasar side salad was awesome. Bleu ""Blues Burger"" was very mediocre. Dry and overdone. 

All-female string band was tons of fun.",6KqCMOz9WqTNFaweEIBmZw,0,0,3,Ysxpp-oH8KhD1GfsR0YTTw
14274,2014-04-09,0,u-67zd1ImTv3EEr5kIdWrA,I love coming here to watch a concert. It is so intimate. The staff is ways friendly and fast to get you're drinks to you. I Always have had a great time here. The food is what you should expect but you are here to see a concert.,kp4ES15mhsPHR1uIx2AYHA,0,0,4,pv4V9nDQ4P0DyMstUxCQdQ
31952,2016-03-12,0,u-67zd1ImTv3EEr5kIdWrA,"Zero Stars, do not go! After 1.5 hours wait our food arrived. The breakfast burrito was very under cooked, served on a cold skillet, and was promptly sent back to the ""kitchen"". Other breakfast items were also served cold when they should have been at least warm. English muffins were tough like a hockey puck. The staff from the manager on down is clueless and unapologetic. First time in my life I have had to walk out of restaurant. Didn't even wait for the bill, wasn't about to pay for any of that shit.",sWBC8wpDHxU-LCu9zHE2Fw,0,0,1,LvE7-ZbUhEhHj-iCrGfGNQ
35722,2013-01-19,0,u-67zd1ImTv3EEr5kIdWrA,"I'm not a party person, kinda a homebody actually. But I enjoyed this place a lot. The music was loud and fun, the atmosphere was great and the waiters were prompt. Not a bad experience in my book.",mQ2fhdXToxGFaNUKuaT91Q,2,0,4,tNIjQWkDcYNULw5MSY5IUA
38777,2013-12-04,0,u-67zd1ImTv3EEr5kIdWrA,Never ever ever have breakfast here. I was a party of one and had to wait 20 min to be seated. I walked in and half the tables were empty. Epic fail.,JLsCvDV67e20s0S4vp2oYA,0,0,1,zYFdhPys_1CTMRubKDRGHQ
80029,2017-06-25,0,u-67zd1ImTv3EEr5kIdWrA,As a local I've been to the house of blues many times over the years but this particular night had me wondering if I'll ever go back again. About two months ago my friends band was playing in the restaurant area. I go to see the band and meet up with a group of friends. My friends had got there before me and already had dinner and a few rounds of drinks. I get there and meet my friends and say let's sit closer to the stage so we can see the band better and was told you can't sit right in front as that is a designated restaurant area. We were told to either sit where we were (in the back) or watch the band from the bar area (which is even further back from where we were sitting). Now I'm not sure who made up these 'rules' but it wasn't even that busy and there were plenty of tables in the restaurant for people to dine at. We waited for half a set to see if the front got busier and it didn't so we took it upon ourselves to just go ahead and sit up close in front. Well that action must have really upset management because we were not waited on for the rest of the night despite already eating and drinking up to that point. It seemed that the wait staff was told not to help our table and I found that quite petty and unprofessional. Even without getting waited on we still continued to buy drinks but we had to go to the bar instead. Why would you have bands play here if you're going to stick the people that came to see them in the back? Not impressed by any means.,gYkA_uR2KUNEYeLxvq-XaQ,1,0,1,82CVwztUZH4sENbh8t0ovg
82155,2011-02-03,0,u-67zd1ImTv3EEr5kIdWrA,"Overpriced drinks and food, but the best place to go for shows.  If it wasn't for the concerts, I would have no desire to come back.",eJuEEKGzbvtlLHXSblxR7Q,0,0,3,b_z7MHrO_riAv9KL0liKeA
107448,2015-11-05,0,u-67zd1ImTv3EEr5kIdWrA,"Wow.  I was at Mandalay Bay during the week of the SEMA Auto Trade show,  and stopped in for a quick dinner at HOB LV at Mandalay Bay.  

May I say, the jambalaya with shrimp was one of the best dishes I have ever had, just spicy enough and loaded with protein.  You can taste the freshness and quality.  

My server, Christy, cute with a tattoo sleeve, was attentive and professional.  

There was a band playing during dinner on a Wednesday, and they were perfect, not too fast, not too slow.   Feel good music, feel good vibes, and the manager was cordial and genuine when I told him about my experience.  

I will definitely be back every time I come to Mandalay Bay and I would recommend this place to my family and my friends.",PQjAWwU245oa9atM-B-x-g,0,0,5,4qEC1QVYlYDPcsMrC68xZQ
114245,2008-07-30,0,u-67zd1ImTv3EEr5kIdWrA,"Seen aq great rock concert here in late january.  I was here on the boss's coin and was told to take in some show/concerts.  Seen  ""Mr  bad to the bone ""  on a fri night george T was great.  Bar made good drinks GA tickets got up right to the front and swiched people maken runs to the bar.  I will go back when i am there in sept.",U015oQpgHPoDxTWZ3RBD3g,0,0,4,mLNovqfZhho4YychRp4ykw
132168,2014-08-17,1,u-67zd1ImTv3EEr5kIdWrA,I went to this house of blues garbage last night and the dam place is so freaking loud. I did not enjoy it one bit all the bands sucked big time and the restrooms were dirty with piss stains all over the toilets and floors.,W7sIsJH3LJSMePh-8dP-0w,1,1,1,XKUlHXRB_U-QSlS-7iEKzQ
138624,2012-01-17,0,u-67zd1ImTv3EEr5kIdWrA,"We sampled several items on the menu.  The pork sliders were great, the mushroom  burger was great --- and cooked to a perfect medium rare as ordered.  The fries were also quite good with a perfect crunch.  We did not really like the mashed potatoes because the potatoes tasted old.  The biggest disappointment was the buttermilk fried chicken.  Though it was fried to perfection and crispy, it had no flavor--completely devoid of flavor.  If celebrity chef Aaron Sanchez really did create their menu/recipes, he forgot to taste the one he provided for the fried chicken, as no salt was included in this recipe.  Unless the staff forgot it....",A5hvsQgsDSXwgKAy8zh6dg,0,0,3,evtEHJSD5IG00orBhqiaKw
165729,2017-04-22,0,u-67zd1ImTv3EEr5kIdWrA,Lindsey was great.  We started with three people and our table grew to nine. She didn't mind and  handled it without issue.,d3fLfElcJDz5GCOY7CRktA,0,0,5,_pXW0cqU49oEIUCShEqK6Q
172850,2017-03-06,0,u-67zd1ImTv3EEr5kIdWrA,"Came here twice because we were staying at the Mandalay Bay... the first time was for breakfast, service was terrible... second time was for dinner a few days later. Service was still terrible, AND myself and another person in my group got food poisoning!!!  I'm guessing it was from their tater tot nacho appetizer because it was the only thing we both ate all weekend",hgEmcpOm7Bc9jT3lF8Hj9A,0,0,1,yqmJVc9Y_u_X-qRTJ6FPeg
175824,2013-04-21,0,u-67zd1ImTv3EEr5kIdWrA,"After being on the strip for the day, I wanted something comfortable and laid back for my last nights stay at the Mandalay Bay. I wanted a few drinks and to listen to some live music. The hostess just glared at us going in. She made no attempt to make eye contact. She was more concerned with texting on her cell phone. The restaurant wasn't that busy but looked fun as it was a full band with karaoke.  I asked for a table for a party of two and she just pointed and said seat yourself anywhere. We sat for about 30 minutes as waiters kept walking by. We yelled trying to get their attention. Finally, after yelling and clapping my hands at the waiter at another table who had walked past me 4 times in the 30 minutes he said he would take our order. He made sure we knew he was working past his scheduled time. I even commented that I would sit another table so I could get someone to wait on me. I watched this poor waiter serve half the restaurant while the rest of the wait staff had their own small areas that they seem to service well. After watching this for about 30 minutes, watching the manager not take care of his employees and redeploy them to take back the floor, I approached him and told him what was going on. It was obvious that he wasn't going to jump in and take his front end back.  He set a very bad example chatting on his cell phone several times while on the floor. Anyway, after two drinks I had enough. I was really disappointed and will probably never return. Hopefully the general manager will look at the development of his team and provide some coaching to his wait staff and host at the door. There is no excuse for this type of service at a 5 star hotel.",c_8cSK9EgW1ybvrvrzQeWw,0,0,2,oN6cLu9GDTYHbkcO0ZFfhw
183632,2016-03-10,0,u-67zd1ImTv3EEr5kIdWrA,"This place has the best suace to go with their chicken and waffles.  It's a honey siracha that has some kick to it, but not to bad.  That's the only reason I keep coming back.   My wife likes their pancakes that are huge as well as the pulled pork sandwich",sLcVd_SgU2ti8heffNKT5g,0,0,3,f3H-W9jn6pVAh9tDD4xOCA
186583,2017-04-03,0,u-67zd1ImTv3EEr5kIdWrA,Terrible service. Our family had to wait 45+ minutes after getting seated to get our food.,jKXRzGgBeyyE4Snepg9jhQ,0,0,1,yOE3fypAbASj4mtqK_P9Vg
194966,2016-04-30,0,u-67zd1ImTv3EEr5kIdWrA,"Ugghh like 5 different lines with no signs saying which one to go in, had to show my ticket to four different people after passing security.  Took them a solid 5 minutes to pay down the girl in front of me.  Just awful experience getting into a concert venue.  Show still isn't ready to play more than half hour after start time.",G2ECYNE3KX-Rd-2D3aeZVw,0,0,1,1cKdJjckSc6tseYQeuteRw
200306,2012-07-04,0,u-67zd1ImTv3EEr5kIdWrA,I hate that I let my friends convince me to eat at this place on the Strip.  Spent approx. $60 for 2 dinners and 2 beers.  The quality was just mediocre too.  Grrr...never again!,lXAIuBWT0fvt3uAw-shh8A,2,0,2,gExqaG4aBIqBAjVsf8ZAGQ
200912,2011-06-23,1,u-67zd1ImTv3EEr5kIdWrA,"The decor was too dark and too grim, not a fan. However the mac and cheese side tasted alright. I order bbq ribs as an entree. It was well done and tender but the sauce left something to be desired. The sweet potato fries were tasty! For the high price, I would *not* bother.",fHOBGmtI1VdGKWIxrFH0kA,1,1,2,6fmZyewwcSNzOkt4YTYtCA
203376,2015-04-21,0,u-67zd1ImTv3EEr5kIdWrA,"Having only eaten at the Downtown Disney HOB.  This one was far beyond that one.  The food was great, our seats were great, the band in the dining room was fun.  Had a great time.  Will definitely return.",dDG5bDn_kXTHFGI8G_Oy1Q,1,1,5,umbz6KzK1mfHAseYUYLEZg
204143,2015-11-22,0,u-67zd1ImTv3EEr5kIdWrA,I can't remember the last time I waiting so long for a meal. I don't blame the waitress cause I'm sure she could only do so much but we waited well over an hour for our food while 2 different sets of customers that arrived after us were served before us. After getting frustrated we left $30 on the table for the 4 beers we had during that time and the manager actually had the nerve to get mad at us for not wanting to wait for our food. Needless to say we will not be returning this place.,-UTGYSg3hl2sLvAVCLaomA,0,0,1,P3-t3mRrJuZLgWDmHys5ew
210977,2016-04-14,0,u-67zd1ImTv3EEr5kIdWrA,Best food and not that expensive. Wait staff super friendly and helpful. Make a point to come to this one for breakfast every time in Vegas. Drinks are awesome. And the best part. Wife likes it here so we don't have to argue about where to eat.,AFJy5NNXATJqNvsMbODa5Q,0,0,5,kwLNqquJ0CTcJf-b1DOTWw
211073,2015-06-09,1,u-67zd1ImTv3EEr5kIdWrA,"I used to be a big fan of the House of Blues and saw a few shows a month there. I have not been back since last September. My favorite band in the world, Roger Clyne & the Peacemakers plays there every Labor Day weekend each year. Each year for the last 5 we have reserved a VIP table for the show. Each year it was an awesome experience. You could get a bottle or bar tab. It was a set price, no fuss no muss and the service was always incredible. That was until last year and their new VIP Host Natalie. It was such a bad experience unfortunately we will not be attending this year. It breaks my heart to miss the show but I will not give them a dime as long as she is in charge. We booked a $750 package which gave us a table for 4 with a few bottles or a cash value bar package and supposedly access to the Foundation Room afterwards. So first of all there was a ton of confusion when we got to the venue. She had no idea what was going on. It was a ridiculous display of ineptitude. Honestly if she was a manager in one of my stores I would not hesitate to fire her. Not only does she not know what's going on but she's arguing with and yelling at security and the staff in front of patrons. By the time we finally got to our table there was a lot of confusion about this so called ""bar tab"". We were assured by her we had a certain amount we could order from the bar. So we went on with our night and our waitress was fantastic and the show was amazing as always. Skip to the end of the night and the chaos and misery ensues. We were careful to make sure we did not exceed our allotted amount of food and drink throughout the night yet we are presented with a bill for over $200! I have been a Vegas local for over a decade and am well versed in how table service is supposed to work. This was not it. She sat there and argued with us and each time she ""did the math"" she came up with a different number. Eventually she decided to discount the bill, but all she took off was the gratuity for our waitress. Not wanting her to get screwed because her boss was an idiot we payed the extra money for her and gave her some extra in cash directly. By far the worst experience I've ever had at HOB or any venue in Vegas for that matter. We have missed lot's of good shows this year and will not get to see Roger Clyne in Vegas until she is gone. This show sees a lot of the same people year over year and I have urged all of my friends locally and out of state to not order any table service at the HOB until she is gone. Please bring back the guy and girl that used to do it because Natalie is an idiot and scamming loyal customers.",gzqYSc_ax4HHOsxe6uf9ZQ,2,0,1,_PZylVEsb5T0KKsvk8Pkjw
227091,2015-07-05,0,u-67zd1ImTv3EEr5kIdWrA,"I went here last night for some dinner with my family. I ordered the build your own burger and got the 7 ounce angus burger with some French fries. This dinner was the worst dinner I have ever had. They took 40 minutes to get our food out and the restaurant wasn't busy at all. The amount of time it took them to get the food out was ridiculous considering of the quality of the food. My burger tasted like the angus burgers you can buy at Sams Club that are microwaveable and my fries were plain, soggy and some parts of them weren't even cooked and tasted like I was just biting into a potato. They actually seemed like the exact same fries that they had at my school lunches in high school... Also their water had that chlorine taste to it. I totally regret eating there, it's not worth your money. I suggest going to any other restaurant in Mandalay Bay other than this one.",0DtXkaFd6YpKtpuSqvI0wA,0,0,1,gvTJtsxE6qNKehbqiKvByA
237850,2010-08-29,1,u-67zd1ImTv3EEr5kIdWrA,"I was seriously impressed by my visit here considering it's other chain restaurant competitors- i.e., Hard Rock Cafe, Planet Hollywood, etc. There was a live band while we dined- they weren't great, but good enough for entertaining background music that wasn't too loud, distracting, or offensive. 

Most of us had burgers, quesadillas, or similar fare. We were all happy with the food- it wasn't fantastic, but good enough to make me feel like I got a decent bang for my buck. The downside was the service- our server was very busy and didn't pay a lot of attention to us. 

The upside of the place was definitely the atmosphere. The ambiance differs from most Vegas restaurants and even the inside of the place looks just as cool as the outside. For a chain, it seemed like there were a lot of regulars at the bar top, which tends to be a good sign for me at least. Overall, a good experience and a fun atmosphere.",dncJ6urAvbEvCRCbFvk0jg,1,1,3,XJRopVvxqSeWittRThjRbw
239254,2015-12-16,0,u-67zd1ImTv3EEr5kIdWrA,My husband and I have been here a few times. We usually sit at the bar as we did on this visit for lunch. The bartender D'Andre was cordial and took our order. Even though the crowd was light. D'Andre was very busy filling server drink orders as well as taking care of guests at the bar. My husband and I shared a BBQ bacon  burger. It was delicious!  D'Andre knew we were splitting the burger and salad so sent out 2 plates. We didn't tell him. He just listened to our order and acted accordingly. To sum up. Food came out fast. Service was excellent. Food was above expectations. Atmosphere fun. Decor creative,uOiZXx7B-5wUcH1_sjIPHg,1,0,5,J0SNG0K6fVRzf71cl58iow
252138,2017-07-25,0,u-67zd1ImTv3EEr5kIdWrA,"Not a bad joint at all. 4 of us ate dinner for just under $100. It is located in a prime spot, just off the casino floor, between the Delano and Mandalay Hotels, and just outside of the Michael Jackson ""One"" show. Another plus was, you can request a table and leave. The staff will text you when your table is ready. Very smart as it gives you time to gamble; I LOST. LOL. 

My wife and daughters ordered flat bread pizza which was comparable to a flat bread pizza at BJs. I order a turkey burger which was full of flavor and surprisingly juicy. I also order a 16oz can of Oscar Blues Pale Ale.  Having the can was perfect because I was able to take it with me when I left. 

The highlight of the dinner was the live music. Tony (unknown last) was the artist's name.  He was great. He had a personality that made you laugh, he included the crowd in the music and (most importantly of all) he sounded great. He knew the lyrics, his guitar play was dialed, and he was passionate about his performance.

We may return tonight to see who's playing.",utBlxXoHV9NeCedXh9LZ0A,0,0,5,H0xvkOyoOFDwPngrOIBQcQ
253559,2014-10-19,0,u-67zd1ImTv3EEr5kIdWrA,"I am never coming to a concert here ever again! I thought I was going through TSA at the airport upon entrance, except worse! First off, security would not let in my boyfriend because they said he was too intoxicated, he was far from and did not believe any of our testimonies when we said he wasn't. The security officers were incredibly rude to all of us after this incident, completely uncalled for. The rest of our party decide to go into the concert and this was when the fun began. If I didn't know any better I thought I was in a police state like 1984. A security officer was to check everyone before entering, and I mean THOROUGHLY. We could not bring in our cigarettes, gum or chapstick! I mean seriously, chapstick? I was forced to throw all of those items away. She searched every hole and crevasse of my purse and jacket like I was about to go kamikaze on the HOB. Finally, in the venue drinks were outrageously priced, bartenders were rude just the cherry on top to make the night a little worse than it was. Never again...",DpjvyGw33bFTewHVzXuF-g,0,0,1,pAh0f9OErurTFJ4pFn3HAg
