,date,funny,business_id,text,user_id,useful,cool,stars,review_id
595791,2014-12-28,1,u73Cv9yp_gTGNhBvECSJGA,Employees are not happy at all. They are very stubborn and do not accommodate for any allergies. I don't think they like their job very much,vKTTtmv9-xoM9IecE68DpA,1,0,1,QVgCK-IthOTa-zLgrCxQcg
729892,2014-07-30,0,u73Cv9yp_gTGNhBvECSJGA,"Had a slice of pepperoni, they put it in the oven got it nice and hot and crispy. Paid under $5 which isn't terrible. Pizza was actually pretty good. Not gonna rave about the flavors but it didn't taste as bad as some other yelpers said. Overall I was satisfied and I will be back.",B87pH3FKuoV6ifUv4fn6kg,0,0,4,vIOjzE6xH57Ae28K7ZRmPA
858708,2014-09-21,0,u73Cv9yp_gTGNhBvECSJGA,Terrible service. Indifferent towards customers and attitude of workers can be improve. This place can do a much better job with the customers that they have.,kzwwI8s7iLfDtGXKmMpEDQ,1,0,2,fd7ZMHLS_S8AnfEdnB0Tpg
1346760,2015-06-24,1,u73Cv9yp_gTGNhBvECSJGA,"Pepperoni pizza was fuckin' bomb! 
Quick service, and in the food court inside Monte Carlo.",amk01zj6zRo5-eUQW_Yhkg,1,1,5,rslU_gpAucMXRw4Ye0VLrA
1455921,2015-12-29,0,u73Cv9yp_gTGNhBvECSJGA,This is the worst location I have been to. The employees are rude! I asked for meatballs with sauce and received meatballs with no sauce. I asked again for sauce and the girl wandered away so I asked another employee who seemed clueless so I asked for a refund. The pizza is disgusting old and stale. The location to go to is the one in Ballys I eat there often. Skip this joint the worst!,BoijVjwnnsNFTmZv8YEwQw,0,1,1,HnZVOhOzCOWj1k17fHYdSw
1631940,2017-04-09,0,u73Cv9yp_gTGNhBvECSJGA,"Complete garbage.  

25.00 for two stromboli's and horrible sides.   

Stromboli's 90 % bread and a mixture of horrible pepperoni and cheese. 

The meal includes a side and drink. The sides include either a salad, pasta or bread sticks.  All equally horrible......

Pasta is plain. Basically boiled noodles that can be bought for. 25 cents. 

Breadsticks taste processed obviously made with horrible ingredients.

I work too hard to burn money on garbage like this. I'm surprised this is still open.

Consider a Subway, Chipotle, etc.

P.S. 

Ask for a fork or you will end up eating plain pasta with your hands.",uzUbcJbmWOMIOPPkrBZLGQ,2,1,1,7QlJIHGi-HNwrPNm4Za_pQ
1646148,2017-07-06,0,u73Cv9yp_gTGNhBvECSJGA,"I'm a little disappointed. My pizza didn't hardly have any sauce on it. I assumed it was very fresh bc it's early in the day 12:22. I was so hungry that I just went on and ate it since it was paid for. I enjoyed my view sitting, looking out the window and it was cool in here. I probably wouldn't eat at this one again.",72DLR7t3ZpJEQsj-UQLFxQ,0,0,3,96qezfmidseIcvYzp2hHXw
2114559,2016-07-12,0,u73Cv9yp_gTGNhBvECSJGA,"Pizza's not the greatest but Sbarro is one of the few eateries located in Monte Carlo that's open 24/7 which is very convenient if you flew in late and rather go straight to the hotel instead of driving around or walking the distance just to look for a place to eat. It does appear that they continuously make fresh batches of pizza, which is definitely a plus. We did try the mushroom pizza with whole gloves of garlic and pepperoni with bacon pizza which in my opinion, were not bad at all. If you're not in the mood for pizza, there are other food items available such as pasta and cheese bread.",A1o0CeEJn51zWHxRiG0Qdw,2,0,3,j3uagc_uNjB_R96nm2jbBg
2546609,2010-08-09,0,u73Cv9yp_gTGNhBvECSJGA,"Well, 5 people for 70 bucks is kind of devastating, but I suppose it was opkay....it sucked that there was a mix of communication and the cashier didn;t seem too pleasant or understanding of us, but int he end we got our food, tatse like Houston's, but somehow just a lot more pricey....exceptional. Reminds you of Houston's mall food court.",LtgJdp1wFOYNcMRgPy1WTA,0,0,3,F6LAzRDlHXty0hHNuGXdgw
2572979,2011-08-10,0,u73Cv9yp_gTGNhBvECSJGA,"It's a Sbarro, and just a normal one at that.  Decent pizza with good sized portions.  

However, being in a hotel and being in Vegas, it has to have Vegas prices.  Two slices and two bottles of water set me back almost 20 dollars. 

If I wasn't jet lagged and so tired I wouldn't have gone here, but I simply came here out of convenience.",k6yIWgBW-up28RBEzkreCQ,0,0,3,wc69dUBVoSRiiZaklT4cSQ
