,date,funny,business_id,text,user_id,useful,cool,stars,review_id
781071,2017-03-06,0,u84xKtVRDLuh_P_zXWkzLQ,Casual place to get good and actually pretty decent tacos and burritos. Price savings vs. the bell is great,sKGT5qBtY7dKaMZLbChCRg,0,0,3,m5oItbGc2JjIRRQPqJFYOQ
825948,2014-07-15,2,u84xKtVRDLuh_P_zXWkzLQ,Terrible customer service. I asked for extra sauce on my burrito and got none. I also ordered cheese fries. When I told her I wanted more cheese she took it and basically made cheese soup of my fries. I'll never be back !,sd0KxAGxuP2mZzqafpjwLA,0,0,1,uwbJh19UvSHVKG3pU26Upw
885753,2017-09-08,0,u84xKtVRDLuh_P_zXWkzLQ,"Best del taco I've ever been to!!
The manager is great. He has been doing a great job. Just in the 20 minutes I was there, I've seen him pick up dirty trays from the lobby. I've seen him do drive through, wrap the burritos, wipe down counters, and treat the entire staff with respect and a smile!! It's great to see this in a fast food place.
He even very politely and respectfully asked a homeless man to leave, but gave him a water on the way out. 
Great management = great employees and a great experience",W_CQZFNAWNFsPb0aZBN5kg,0,0,5,ftKsku8JxZUqVZm9tBWCiw
954030,2014-05-15,0,u84xKtVRDLuh_P_zXWkzLQ,Love tha Spicy Chicken Burrito with extra green sauce & tha Spicy Jack Chicken Quesidilla!!!!!,jpVMgxMjWJb4iluziHowWw,0,0,5,eH6-ZWBPNZ-j_eJdHp2OsA
1154618,2017-10-26,1,u84xKtVRDLuh_P_zXWkzLQ,I gave a three star because dont vet me wrong the  food is good but the place ia not atocked with anything the floors and tables were flithy and the trashes were full to where the trash was also on the floor,ab_9OHrMmAwCNGO94c3_lA,0,0,3,zGPlpIlqSq8R_nbKNOSNyA
1247358,2017-12-12,0,u84xKtVRDLuh_P_zXWkzLQ,To add to my teview:  can't figure out how to ediut my review on this site..but whatever you do do NOT go to DT on the night-shift...that was when I got those poison fries (literally).,nKe_KOGToKLdnVHBmXnnsQ,0,0,1,L28xVLSkbaVGJixQ_-1shw
1417214,2015-10-12,0,u84xKtVRDLuh_P_zXWkzLQ,"This place is nasty, they let homeless people hang out inside, one of them was adjusting his pants and pulled them down a ways to fix things. Trash was full and tables were dirty and one of the 5 people working there could have cleaned it up.",iXsdRA56S3UB0YsDpnSrzQ,0,0,1,wStHOzbCTRQxZqIUf-RNag
1448118,2014-05-14,1,u84xKtVRDLuh_P_zXWkzLQ,"I'm not a huge fan of fast food, but the macho nachos here are trouble! Recently had a bad day and stopped in, devoured them on my own- no shame, eating the pain away.
They're good though- portion is HUGE and the dish is heavy. Initially they look to be swimming in sour cream, but the pickled jalapenos balance that out pretty good. Amount of beans and cheese is fairly low, so these aren't really a ""heavy"" dish that will feel like a brick in your belly afterward. 

This place also has pretty good fish tacos, served classic-style with corn tortillas with a nice sauce. Tasty, would order again- pair of tacos comes in a $3 order, upgrade to shrimp and the pair goes up to $5.

Service, even in the dead of night, is friendly. Have yet to dine in. As others have said, given they have the same price point, this chain is head and shoulders above Taco Bell's menu offerings and quality.",bLbSNkLggFnqwNNzzq-Ijw,3,1,3,DWTYXeDLRjS2xH_SFIfxrg
1493072,2013-01-04,0,u84xKtVRDLuh_P_zXWkzLQ,DT as DT does.  This can be a busy location during lunch time.,HJj82f-csBI7jjgenwqhvw,2,1,3,sjkCtugE4qzTfcRTUBuNTw
1510490,2014-05-01,2,u84xKtVRDLuh_P_zXWkzLQ,"Total stoner food. For the record I was NOT stoned only drunk. 

I am from Houston and we only have one Del Taco and it isn't close to me, nor do I eat fast food often. When IN VEGAS...drunk + tacos = great idea. 
I can only vouch for their crispy beef tacos, they were pretty good and WAY better than that other Taco with the BELL place. $6 got us 6 tacos. Great deal, bad for your arteries. For those health nuts they do offer ground turkey. 

Fast service, fast food and no stomachache in the morning. What more could you ask for?",-24B_nkBG6Et1_QJecnN2A,2,1,4,GUbG8WOfWa0q2Q_tuCU4nw
1860489,2018-02-10,0,u84xKtVRDLuh_P_zXWkzLQ,I just ordered my food and I saw the cashier who may be the manager with Red hair wipe her nose with her hand. I hope she is not preparing food yuck! Also another girl who was sweeping touch her nose and grabbed a cookie and did not have gloves on or wash hands. Thank God the girl that was serving my food had gloves on.,Y8l4k6oxQuoiKe4O3xEoBQ,0,0,1,1UBqcQ6gbt3dZ6hJINui0A
1917066,2015-11-30,1,u84xKtVRDLuh_P_zXWkzLQ,Best del taco on earth. Period.,K44LN0jYFFWLIJbVhTrOzw,1,0,5,P-wBhAvMlEuc01zXAQePPQ
2124114,2014-07-10,0,u84xKtVRDLuh_P_zXWkzLQ,"Yo so this place kind of sucks because I asked twice for bean  burritos cause I realize the screen read wrong. It read breakfast burritos... So I pulled to the window and i asked  ""those are bean burritos correct?"" Lady at the window said yes.. I drive away and take a bite into a fucking breakfast burrito. I don't feel like it's worth my time to go back and fix this.. I'm just not going to go back.",3IBIIaiOrzVP-LTOLPBqRw,0,0,1,t4XLGUUIXLx35403Rh4rJw
2213494,2014-04-30,0,u84xKtVRDLuh_P_zXWkzLQ,"Despite being located in a busy area, this location never gets too packed. I like that they're 24 hrs so I can stop by any time I'm hungry. I usually just get their crunchy tacos, chicken soft tacos, or burritos because everything else is kind of mehh, especially breakfast! Their breakfast is no bueno. Their food is already dirt cheap, but come on Tuesday nights for crunchy taco night or Thursday nights for chicken soft taco night for a real steal.",zBi_JWB5uUdVuz3JLoAxGQ,0,0,4,en8V6nqf3gQLC6hOT7BGbA
2292988,2018-05-08,0,u84xKtVRDLuh_P_zXWkzLQ,"Just an FYI to everyone... this location is no longer doing taco Tuesday all day on Tuesdays. It's only from 3pm on. According to what appeared to be the manager at the drive thru window ""we won't be doing that during our busiest times""... so go to another location for lunch if you're looking for taco Tuesday. I think that's stupid. It's not about the fact that it's a dollar more for two more tacos, it's the fact that it's been a Del Taco staple of taco Tuesday, and I went with the regular del taco taco Tuesday expectation and was disappointed. Also, they didn't give me my total when I ordered. So I didn't even know until I went to pay and had to ask. Minor pet peeve of mine. Tell me what I'm paying before I get to the window. It eliminates many issues and concerns.",dct-Z72jZnpcEFoj21NU-A,0,0,2,WZ9JWD25-UxjSCWt2mWOAg
2401728,2016-09-20,0,u84xKtVRDLuh_P_zXWkzLQ,Customer service not that great not to mention there's nothing fast about going to this fast food restaurant.,1Xd-CHfPfmoEf59fD-C-6g,0,0,2,eqxH-OwZJ7LlnPAl2n3hjQ
2695602,2018-01-02,0,u84xKtVRDLuh_P_zXWkzLQ,"Was in Vegas and wanted something quick to eat. Was hoping Del Taco was similar to Taco Bell, but the food was definitively not good at all. The fries were stale, the tacos looked bad, and it was overall just a not so great experience.",Hv50oYA5Q1bu6Qk5HCE-rg,0,0,1,2zEM1O7JvJwCyg99iba2OA
