,date,funny,business_id,text,user_id,useful,cool,stars,review_id
26551,2012-11-21,0,uKlkVuZ5F8QoGbgVQKqH1A,This place is amazing all you can eat wings$12.95.so many flavors ..the bartenders and servers are awesome very friendly the host greet you and welcome you and to top it off the head chef came out to see how are food was.. we even took my friends kids they have a wonderful kids menu and while they colored we played pool and shuffle board... there is nothing on the menu i wouldnt recomend we found are new hot spot i suggest any one try this place out :),hh-kcFjWIxIvmlzEpjOdJA,1,1,5,198oIOKXnSp9I4hs2598qA
177182,2012-12-05,0,uKlkVuZ5F8QoGbgVQKqH1A,"i love this place! Awesome for Monday night football nice,happy friendly staff , fun games during the games, the BEST $1 sliders, chicken wings mmmmm good!! This is a great place",ORAmTzXlrx-SmQWH7giTBw,1,1,5,sbLNXgXsy65fILlQ4R2b5Q
275322,2014-10-02,0,uKlkVuZ5F8QoGbgVQKqH1A,Firkins has by far the best service and the best cooks and on top of all that the greatest beers never been more satisfied,B8vDyNf3t2R8kjoIEZ7vDA,0,0,5,Lkwq7Mima03DQ1hOGRhqCQ
303418,2012-08-06,1,uKlkVuZ5F8QoGbgVQKqH1A,"After my husband's birthday party at KISS Mini-Golf was said and done, a handful of us decided we weren't quite ready to head home.  While hanging out in the parking lot discussing our options, we noticed the sign for Firkin.  Having my handy Yelp knowledge, I knew this place just opened and that they had over 40 beers on tap.  I was easily able to sell my friends on the idea of hanging out there for the rest of the (late) night.

The space inside of Firkin is quite large with plenty of seating for dinner, as well as a large bar and a lounge area with couches and pool tables.  Everything is new and shiny and there are plenty of TV's to catch a game.  The employees were super friendly and very knowledgeable despite only have been open for a few weeks.  Everyone in our group really enjoyed the atmosphere here.

They offer specials almost every night of the week, and for this particular night (Friday) they had $3 well drinks and house wine.  Sadly, I didn't get to take advantage of these offers having had too much to drink at the party beforehand.  My friends, however, decided on getting one of the many draft beers available and they were able to sample a couple to see what they liked before putting in their orders.  I'm not sure if it's standard procedure to get samples or if they were being nice to us since we wandered in at one in the morning; either way, my friends were grateful.

Firkin offers a full menu but I didn't have a chance to check it out to see the items or pricing.  They also have a limited late night menu from which I ordered the onion rings, one of the few vegetarian choices I saw.  The onion rings were good but a bit too greasy for me.  For the late night menu, think typical pub fare like fish and chips and lots of appetizers.

My friends and I were all glad that we made the walk over the parking lot to give Firkin a try.  It was nice to sit down and hang out by the bar to eat and drink and then move the party on over to the lounge area.  Things are a little slow there right now since they are new, in a parking lot with a ton of dead retail space, and their location has a blocked view from Hard Rock.  If tourists were smart, they would come over to Firkin to pregame with cheap drinks before heading over to Hard Rock for the clubs or gambling.

I definitely recommend for the good atmosphere, huge beer selection, and great drink specials.  

In the same parking lot as KISS Mini-Golf, across Harmen from the Hard Rock.",ELfzWgdf64VBLi5z1ECItw,7,5,4,dc8tl48XIK7cFmExfOcyrg
336466,2012-12-10,0,uKlkVuZ5F8QoGbgVQKqH1A,"My wife and I were driving southbound on Paradise after visiting the strip. We saw this British Pub and decided to go in for a late lunch on a Sunday, so there were a few people in the bar/restaurant drinking beer, eating food, and watching the late games.

We were helped right away and told to sit wherever we wanted. We were provided with our menus and decided to just drink water. The waitress was friendly, but kind of quirky. She was an outstanding water water-re filler (one of the best ever actually)

I ordered the curry chicken and my wife ordered a blue-cheese hamburger. The waitress returned a few minutes later and informed me they were out of the chicken curry. I chose the Chicken Marsala instead.

We waited about 20 minutes when our food arrived. We observed the wait staff and it seemed the waitstaff were a bit disorganized in that we had a couple different waitresses helping us and we noticed some other patrons seemingly being ignored for an extended period of time after their arrival.

The food was really good actually, considering it's a ""British Pub."" We did notice a weird thing at the bar behind us. One of the bartenders was making a mixed beverage in front of a patron. She asked the patron if he wanted to taste the drink. He said he did and she allowed him to sip some of the beverage from the straw. She then removed the straw from the drink, discarded it, replaced the straw, then served the drink to another patron on the other side of the bar. We thought this was kind of unprofessional and potentially unsanitary.

Anyway, we thought this place was not bad and has a lot of room to be successful in that they can be a sports bar with all the nice HDTVs, all the space, and the play on words with the ""Firkin'"" name.",4CDQnnCtSxk-c8hDPZtOmA,1,0,3,FuxGwGvjkKfTPsuDrK44-Q
364507,2012-09-26,0,uKlkVuZ5F8QoGbgVQKqH1A,"As a local who loves a good beer and a nice establishment - especially places that are smoke-free - this new bar and pub is wonderful.  For anyone who works at/near UNLV, the University district has been waiting for a place like this.  I have been to the Firkin twice in the past 5 days.  Here are my thoughts.  First things first, the beer.  They have a great selection of draft beers for a wide range of tastes.  Tuesdays are 2 for 1 pints, which is a great special!!  All day long!!!   They have a bar for self-tap beer, although I haven't seen anyone use it.  The food has been very good so far too.  The wings are awesome and come in about 15 different flavors.  The Red Thai and Bourbon wings are my Favorite!!  The Suicide is near-death - eat with caution!  Potato skins and Irish Nachos are great.  But the killer dish here is the Bread Pudding!   Yes, I said Bread Pudding!  You must try the Bread Pudding with a scoop of ice cream!!  

The Firkin has daily specials which can make your experience better if you save money.  Thursdays and Sundays they have football specials with great deals on beer and food.  Tuesdays are 2-for-1 pints all day long.  

There are 2 pools tables, a shuffleboard table, and darts - for those of you looking to play games while socializing.  Lots of televisions near the bar for great sports viewing.  Honestly, this place has everything. 
 
All in all, this place is a great addition to the campus neighborhood.  I hope business is good for them and they can stay open for a long time.",JnN7fWESKk3MXR2zfD_XKw,7,4,4,GGt4S4HpJbjXM1Gl7hd2Kw
434410,2012-12-08,1,uKlkVuZ5F8QoGbgVQKqH1A,"Went here because of the Groupon and because I heard an ad on the radio decided I wanted to try it.  As a chef and a beer lover, I rather enjoy trying these British pubs.  The first thing we saw when we walked in was a member of the staff taking an irish car bomb with some customers.  Afterwards, my friend and I waited at least 30 minutes at a table for a drink before we decided to sit at the bar.  The waiter came over and blamed the long wait on the bartenders.  Once there, the bartenders were nice, however they were a bit uneasy which makes them seem unfriendly.  The Manager stood at the end of the bar the whole night, which I didn't really see him do anything.  He could have touched tables or something.

The ambiance was ok.  It isn't exactly an authentic pub but there are TVs and layout is decent.  It is a modern american twist on a British pub which I would honestly have preferred for them to pick one or the other because the attempt comes off as very tacky.

We ate the Irish nachos, which were pretty good.  It is actually just cheese fries but it was a creative name.  It is a shame that the service was poor, I would have liked to try some more of their food.  However, I don't see my self coming back any time soon.",GoqJqO1uV2fs_zZpcu6D1w,3,1,1,j2yZq3pJVnjtA1HpUbu3Zw
512032,2012-11-04,1,uKlkVuZ5F8QoGbgVQKqH1A,"Worst service I've experienced in Vegas (and that's saying something). Our server was some dude that was also some sort of manager. He was rude and no where to be found. His excuse was that he was ""in a meeting."" !!??? Then why do you have a table!?? You would need to pass on your table to someone who can take care of it at least until you're free. We were kept waiting and didn't make it on time to our next destination. Was anything comped from the bill?? Of course not. As someone who served for years, there is no excuse for his horrible service. Food was awful too. We had Irish nachos and spinach dip. Tasted like cafeteria food. I will NEVER be back here.",wTvG9U4tb0PB5Lk8X4yzwQ,3,1,1,m7zQLvXKt47dfhdMqTQWzg
733245,2013-01-30,0,uKlkVuZ5F8QoGbgVQKqH1A,This place is really Firkin good. Had driven by the place for awhile now and always wanted to try it. So we stop by and was really impressed by. From m the chicken wings to the fish and chips the food was good. The ambiance is also cool. One of Vegas hidden gems. Definitely coming back to watch some sporting events.,EnkN58MPWLAydD1Q8d1LZQ,2,2,4,oygoUYCkNF-hijT3ls0u4w
783233,2013-04-17,2,uKlkVuZ5F8QoGbgVQKqH1A,"After 3 dining visits with my wife and once with a friend for his birthday lunch , I feel confident saying that this place Firkin, rocks and shocks you with the overall experience .
From the greeting to the eating , every person in service has great manners and knowledge with natural appeal . NOT PHONY.
My wife and I are both in the service industrial complex as well and fully appreciate the craft that Firkin service has mastered . The kitchen has plus plus attention to freshness , quality of taste and presentation with emphasis on particulars such as accompaniments to the dishes weather it be malt vinegar with the fish n chips or a suggestion of sweet potato fries that are amaze craze .
My momma ordered the pineapple curry wings as one of her choices for the all you can eat chicken wings and surprised me when she raved about them . By far no disappointment from the kitchen . The food servers have all treated us very special and we all agree that Jennifer W. is swift and sweet . I enjoy that  firkin chose coca cola to offer and wifey likey the specialty drinks like Queen of hearts . The dining room design and fun side, like the shuffleboard and  wi-fi are a nice touch as well .We have lived and dwelled in this neighborhood for quite some time and are most excited about the Firkin addition .  Keep it up youz guys and ladies . Word up ! Say I Frankie Nikelz.",onLTvoGzkhcYdhCm-xaQ6Q,2,3,5,ifOAWgq2pyD01SFFGf7WLA
