,date,funny,business_id,text,user_id,useful,cool,stars,review_id
3393,2015-04-09,0,u_8cVZyxh0J468zEZUjNDQ,"This place is awesome! They have an amazing variety of pizza to choose from and each slice is HUGE. All the ingredients taste delicious. The pin up girls Asia and Angela were adorable. Very kind, always smiling, really funny too. Had me laughing and smiling from the moment I stepped in to the moment I walked out. Definitely the best spot to grab some pizza on the strip everyone should check this place out.",ywe_fvZcN3KSIEKapjE6Rg,0,0,5,XhxEbfW2GJ70IRvd7zS0GQ
36910,2015-08-31,0,u_8cVZyxh0J468zEZUjNDQ,"First off, the slices are HUGE! Kinda ridiculous actually, but after a night of drinking, easier to eat most of it than you'd think.  I had a margarita slice and my friend had sausage. Mine was better but was only good hot out of the oven. By the time I got to the middle, it was soggy. The crust end was just ok.  If the whole slice was a good as the first 1/3 of the slice (yes, I said 1/3, I wasn't kidding it was HUGE!) Then I would have given it another star, maybe 2.",PKrnfSpE3tb8j1WvSWGMRg,0,0,3,VtbTH5PekodcYxBYotYbcg
39729,2016-06-26,0,u_8cVZyxh0J468zEZUjNDQ,"Three stars! One star each for: FOOD, PRICE and ""WILL I COME BACK?"" No stars for SERVICE and AMBIENCE.

I got two slices to go. Each slice was HUGE. Ordered a cheese slice and a specialty (ham + potato something) slice. Ate it cold as they ran out of to-go boxes and I had to carry the slices back on open paper plates. Why not eat at the shop? I hear you ask. Well, there is minimal seating (outdoor) and it was early morning. Which meant having to dodge drunk ""whoo-hoo!!!"" girls as they puke out their sugary pink drinks and pizza. So nope, I grabbed my slices to-go.

Cost about US$15 for two slices. Not bad, considering the location. 

I was promised service by ""pin up girls"". But no such luck. Serving guys behind the counter was brisk and efficient. Two cashier girls spent a few minutes chatting among themselves (probably changing shifts) before one surly asked me what I ordered and ringing me up.

""Will I come back?"" Yes. But will be a quick stop to grab and go. Early morning on the Strip is not for the faint hearted.",Xs4wlPwWUCdQSqqFDG1b_A,0,0,3,Eusc4u8Hq88sn6Uuz6CKow
63031,2015-10-25,2,u_8cVZyxh0J468zEZUjNDQ,Perfect place to get a late night slice of salt topped with cheese and pepperoni   Disgustingly salty - couldn't eat more than two bites..,0nvXQY0ahKnTOIAAU9yX-Q,1,1,1,Jbp7f_YTUqD5EZlymLZBWw
63348,2014-02-25,0,u_8cVZyxh0J468zEZUjNDQ,"Sooooo yummy. Perfect crispy thin crust with proper proportion of cheese, aside and pepperoni. Huge slices for $5.50!",e8VI4bra-8TAsXMmuKvuKw,0,0,5,BuPNcE0T1EUffkdfB4iLlA
99417,2014-03-02,0,u_8cVZyxh0J468zEZUjNDQ,"Service: 
The service we received when we ordered was excellent. The workers are very friendly! 

Location:
Located inside Planet Hollywood & right on the strip. Very easy access.

Food:
We got one pepperoni slice and one cheese slice. The slices are HUGE and the pizza is pretty tasteful. I thought the pizza had way too much grease on top though.

Price: the price is right on!

Seating: I did not find any actual seating area at Pin Up Pizza.. Only found a standing area where you can put your plate down. There may be an actual seating area that I missed.. But standing up and eating a giant slice of pizza is not my thing.

Overall:
Check this place out if you're looking for a giant slice of pizza and pay only 5-6$.",iMhwsPY3aGZAa8i0R2c9mA,0,0,4,3yy6tU_aJFBaexA8qODa9Q
99859,2015-05-13,0,u_8cVZyxh0J468zEZUjNDQ,"Amazing slices of heaven is what it should be called! Great tasting pizza and the garlic knots were out of this world!! Not even exaggerating. Before I left I just had to buy some more to take to my room!
Great atmosphere, cool service! Very friendly people that work here. Massive sized pizzas for anyone with a big appetite. 
Good price and flavors
Will definitely come back for more!!!",6vcbyjQ5C6tasI4P69CvHg,0,0,4,I7aXSkBnkZOL20O6KhfJSw
132440,2014-07-08,0,u_8cVZyxh0J468zEZUjNDQ,Very large slices and inexpensive! The Margherita pizza was very tasty and filling. Customer service was great. The staff threw in an extra garlic knot!,BQrEN9Sw5Dy6Tf-9o95d0Q,0,0,4,-ADtBVNncErNgaUupgMkxQ
132459,2016-06-12,0,u_8cVZyxh0J468zEZUjNDQ,"I have lived on the west coast for about 8 years. This is the first pizza since moving that tastes like NY pizza. Tasted like home. Amazing!!!!! If you're from NY, especially if you miss NY pizza, do not pass this up.",DQffUsYE7FGD9ncy-xujFg,0,0,5,A7rb46TUQdwR7G8j30TrFA
175170,2015-10-16,0,u_8cVZyxh0J468zEZUjNDQ,The service was horrible. The dark haired girl with tattoos was so rude to the female customers. She ignored my girlfriends and I and was helping the men behind us first. She also tried to sell us a whole pizza for $70. The pizza was so so. Would not recommend especially with employees like her!,ekAybqUyXNXKwznYgLZwSA,1,0,1,ZTma9tM2LMdT4OGn27FI6g
