,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2236,2011-09-21,0,ugf6qjoG5h6VXR5-vpq0Qw,"I love the atmosphere. It is nice to have a kick back place located next to Summerlin that is open late. 
The food is okay.. The patio area is fun and inspiring. 
I go here to nibble on food and maybe enjoy a cocktail.",hvZ5o9YNJJ-TVCcdT42VoQ,0,0,4,cuLk5YcdjOq18fn1EItrnA
10255,2010-11-08,0,ugf6qjoG5h6VXR5-vpq0Qw,"Wow...great place. Just came for ""linner"". Best tapas I've had.  Definitely try the stuffed dates!! Even if you hate dates. You'll never know",iLLnqK_DujU0WTyQebutkQ,1,0,5,r2jRSpv-QiT7OJOAhu76NQ
21218,2014-03-22,0,ugf6qjoG5h6VXR5-vpq0Qw,Been coming here for years!  Love the service and the food.  Order the bacon wrapped dates and you won't be disappointed.,sYNUJP7BkO-hyR3auTmjCg,0,0,5,FDmZSTCXL85WNX21cbWhZQ
21597,2013-05-11,0,ugf6qjoG5h6VXR5-vpq0Qw,"These chain of restaurants have the best service that you can get in Vegas, it is genuine and warm. I've worked for the industry in Vegas for almost 3 years and it is so refreshing to find servers and service of these quality. Going to firefly, we are helping our local community by investing more in our local business. It is a versatile place to dine out, either for a date, friends, or even family reunion. I am latina and firefly is THE only place in vegas that offers a tasteful place to enjoy latin american culture. I hate to hear people bad-mouthing these great restaurants, but plz keep in my these are ignorant people. Before any out there start pointing fingers, check your own kitchen and how you prepare you on own food, there are more chances that you will get food poison in your own kitchen, than in Firefly. Media is just taking advantange that Firefly is a place loved by locals and they are just making money out bad publicity. I can speak for my friends n myself that i will go back to firefly as much as I always do ( which is twice a week, every week) no matter what. Thanks again and please support our local business",9OXcULZWs9d-XTfwjFa8aQ,2,0,5,afCrJn64xEBVBIZoquQoEw
40249,2012-10-10,0,ugf6qjoG5h6VXR5-vpq0Qw,"We recently had our wedding rehearsal dinner at Firefly.  We were seated in the private room in the back.  Everything about the dinner was fantastic.  The food was exquisite, the drinks were phenomenal (love the sangria), the service was outstanding (thanks Michael), and the setup was great.  We can't say enough nice things about this place.  Everyone kept commenting on how unique it was to have our rehearsal dinner there.  All the food was so delicious, but I particularly liked the chicken salad and my wife loved the ham and cheese croquettes.  But really, you can't go wrong with any of the food there.  Also, the coordinator Tiffany was very helpful and answered all the questions I had.  I really recommend this place if you're looking for a unique and fun venue for your wedding rehearsal dinner.",-7J6wtOmTJ1tzS9DG_eT1A,1,0,5,xztcurHIzAQX1Jfw014cjQ
41956,2012-06-18,0,ugf6qjoG5h6VXR5-vpq0Qw,"horrible not tolerable waiting period.

The waiter selects and profiles who he will handle first.

We came in and sat down. The waiter never not once came to me but
Took care of TWO other older customers that were seated AFTER me. They
were next to me.

Waitresses have prissy attitude problems that owner
should be aware of.

We just got up and left.",GF2v9WIiP31gEBfGpVd0xw,5,0,1,jhA2rJndbXwbyWrBdMiqfw
50788,2013-03-11,0,ugf6qjoG5h6VXR5-vpq0Qw,"I would drink of their blood orange mojitos every day if I could.  This is a favorite happy hour spot.  The tapas are good and the drinks are delicious.  Very good array of tapas and this location has a fun, hip atmosphere.

The drinks are moderately priced and the service is usually pretty fast.",tHStf1qlliRe8iCcxjwK-Q,0,0,4,esZSJJb8midjr6XSui70WA
61333,2013-04-21,0,ugf6qjoG5h6VXR5-vpq0Qw,"Delectable and nicely priced tapas-- Check
Sexy atmosphere- Check
Amazing Happy Hour Drinks- Check
Yummy Wines- Check
Creamy-almondy-savory butter, olives,  and homemade bread- Check
Orgasmic stuffed peppers- Check
Yummy house made Sangria- White or Red- Check
Bacon wrapped dates- Check

I am in love with everything about this place. When I am back in Vegas I will be back. During my last visit, we went two times in one weekend!",k3-rnDDoLuT_MCtA0n1SfA,1,1,5,Ukf_6kR9oSGiS1-0Nc9BOQ
68996,2014-04-18,0,ugf6qjoG5h6VXR5-vpq0Qw,Happy birthday to me! Came out with my roommates for some drinks and tapas. This place is on point with drinks and tapas. I will continue this after meal.,q3JsM7AHbKiOVLfIxkDx8A,1,1,4,w8VVRyh2XNAVGnRNMD7AhA
76041,2012-03-07,0,ugf6qjoG5h6VXR5-vpq0Qw,"Loved this place. Visited Vegas and had some plans at red rocks that took me away from the trip. I thought for sure the dinning would be mediocre out of the drag. Wrong! This place is one of my favorite restaurants. The ambiance felt like a lounge, with just the right amount of comfort mixed with attitude. Service was stellar. Padron peppers, lamb rack were tasty. Octopus on the menu? Awesome.",GIfTZIu2crLpdTckD6j5rg,1,2,5,IJHGTJoI8vc4VidtrmaiIQ
