,date,funny,business_id,text,user_id,useful,cool,stars,review_id
81960,2016-04-15,0,uqo0qY32KN0wyzsB30hB5A,"Terribly horrible experience!!!! No wonder why I avoid Denny's. I went here only because it was nearby and I'm 6 month pregnant and was starving! I was there for 12 minutes before I had gotten my water. After 20 minutes my sandwich came. It was terrible, super salty snd lacked the ""bacon"" it came with. I asked for a side of fruit. The grapes were disgusting tasting, Apple well I took a pic of it, however the cantaloupe was ok. I ate half of my sandwich for the sheer fact that I was so hungry! Anyway I was asked how it was and I was honest. I said terrible and asked the waiter if it looked good to him. He didn't say a word. I had placed a to go order at the time of my meal order and when he came back with the receipt the to go order wasn't on it. At that time I was even more upset as it had been over 45 minutes since I had been seated! I had been done eating for at least 15 minutes before he came back to take my plate and give me my receipt. I said if the to go order isn't ready I'll pay for what I have, I won't take the to go order. He left and came back around 10 minutes later with the to go order. By that time I was beyond ready to leave!!! He gave me a new receipt with the added to go food. I gave him my payment and away he went for around another 10 minutes. When he came back all I got was a customer receipt with no place to sign. Not that I was giving anyone there a tip for the terribly horrid slow service and crappy food! I'm never setting foot into another Denny's as long as I live. No I'm not pregnant and hormonal I just expect adequate service and good food when I'm paying! That's not an unreasonable request.",afTuu4TidE-32Bjd6Pga4w,0,0,1,Z1ahTafwBSR2xfifVFvAQg
144360,2015-06-24,0,uqo0qY32KN0wyzsB30hB5A,"Fast and friendly service. Really Grrreat service and atmosphere. Will keep coming for the food, price and service. Parking is small due to the timeshare next door.",Ea4MdGdg02hzPXxEbjPHLg,0,0,5,h5nTcZEfsoWFh_ek6_Ra8A
158147,2016-08-26,0,uqo0qY32KN0wyzsB30hB5A,"Okay so the waiting service was absolutely AMAZING from Charles. He was very professional and checked in on things regularly while actually engaging our kids for decisions and feedback on the food. 

Note for the food... I ordered the lumberjack slam and was disappointed in the amount of hash browns I got as it was only two bites, the sausage was burned, but the eggs and cheese were great. All the other orders seemed to be just fine and done well. The only other issue we had was the food took a while.",210Ly7VhYJiLQJs5TMLL9A,0,0,3,-iOyUBvwMiQSFWTmM0KRpw
170378,2012-11-16,0,uqo0qY32KN0wyzsB30hB5A,Came in for lunch one day and the waitress sat me down in a booth that had dried pancake syrup or something similar on the bench seat since they had not bothered to clean the seats. Realized I was stuck to the dried syrup when I tried to slide over. Had to go change clothes. Pants and back of a knitted shirt were affected. The stuff didn't come out of the shirt entirely in the wash.,mBM9OVO7SfR_ZI3bBWHzyw,1,0,1,sSu6iuoaGE0TjtvSpvEx0w
237797,2016-11-04,0,uqo0qY32KN0wyzsB30hB5A,"Only Denny's in Vegas that offers no substitutions.

asked for an extra egg or fruit instead of pancakes and they refused.   I've never had a problem at any other Dennys with such a substitution..   they give you one egg",V2tIzije7k4LgQwonSs6Tw,0,0,1,ZTn4RI7X7uxkTQTDWHYInw
496639,2016-08-19,0,uqo0qY32KN0wyzsB30hB5A,"Terrible service, I can't rate any higher than 1 star because at least they seated us. 4 families came in when we did and only one was served water. We were never greeted and we watched waitresses talk in the back of house for 5-10 min while one busser bussed tables and took orders from other another table. After 15 min of no greeting we decided to leave and find food elsewhere.",p2TBNgz6LUH_vq3n5tknAQ,0,0,1,p49EMXGeyeDLrgXQK-ACkg
787320,2015-05-16,0,uqo0qY32KN0wyzsB30hB5A,"My wife and myself love Denny's and go to it at least twice a week. When travelling, as now, e go more often. But unfortunately some Denny's franchise do some strange things. This one at las Vegas is one of thise and have a constraint on cream to the coffee, !!!!!!!, never heatd of it, that's why the low rate.",24oekFTGVSyPYJxLq9zCeQ,1,0,1,gLk_111o8NxZ5MimLMVJnQ
851605,2016-12-08,1,uqo0qY32KN0wyzsB30hB5A,"Worst service ever. First off, there was no hostess to seat us. I had to go find and ask a server , that should have been my first clue. 
Once seated our order was taken quickly but that's where it ends. There were only a  handful of people inside and it took 45 minutes to get coffee and dessert. Our server never came back until we were almost ready to leave with coffee refills and water. 
Do not go here unless you have unlimited time on your hands. 
PS a positive note the dessert was good",OJgHNlQaWvA2geRT4epcXA,0,0,1,BnU3MOIT5f5WJWNgc-YQTw
861642,2016-05-09,0,uqo0qY32KN0wyzsB30hB5A,"Gabriel D. Was one of the best servers we've ever had. Funny, accommodating, and professional. We were blown away at his level of service. 

We will be back tomorrow!",xspTtBrnvTFWCmC6TgBtjg,0,0,5,hDOaPt_5s4mHZ8WoHLz9pg
942122,2009-10-27,0,uqo0qY32KN0wyzsB30hB5A,This Denny's is collocated with a Tahiti Village timeshare. The food is always fresh and the service is good. The Grand Slam breakfast is my favorite and I'm delighted it's available 24 hours / day.,PvUnXsUf52tQMvyd8FCZ4w,0,0,4,ts0B8IvglxLyV7aJdHGisw
942370,2016-12-08,0,uqo0qY32KN0wyzsB30hB5A,Great service. Great food. Clean tables. Clean restrooms. Nice atmosphere. Great location. Good food. I brought my friends here and we hung out and had some good food. Thank you!,Fad44DfU7SpbFLwEUZcNcQ,0,0,5,kL2vxElRPvdUWUW-B75Vug
1028330,2015-09-08,0,uqo0qY32KN0wyzsB30hB5A,Nice job. We told the server we were in a hurry and all orders came in 3 minutes. We couldn't believe it.  Way to go. Our server was Senen.,96pVzqImDl2hBsabmKbqgw,0,0,5,myCyoYRAy_IcNlMggHAZgQ
1065005,2018-06-03,0,uqo0qY32KN0wyzsB30hB5A,"Good ol' Denny's. When I want a quick fix for breakfast food, usually I would come here. The meals are affordable, but even at around $13 for breakfast food, you may find better value at another breakfast joint.

However, if all you need is pancakes then this place is great! Oh, and IHOP!",IwycOt-Ms4tsMO30arVfyg,0,0,3,RIOSBBDdvWXGYIlxAVmThQ
1176112,2013-10-15,0,uqo0qY32KN0wyzsB30hB5A,"I was skeptical of this place after reading the reviews, but we enjoyed the food and the service. When we arrived the line was long but it moved SO fast! We got seated within 10 minutes. Our waitress took longer to get to our table and take our order, but she let us know that she would be right with us. It was packed in there, and she was swamped with tables. 
Considering how many people were there, our order came up in no time. The food was great, REALLY TASTY! Silverware was clean, she refilled our waters for us when they were low. No complaints! 
*we ate here for 5 days straight while in Vegas and Only had a bad experience on the last day, Friday. If you come here, ask to sit in Pamela's section. She's the best. Everyone else is really hit or miss.",-X2ilQqDHCXGe6ZPQYlNJQ,0,0,5,UZmLwiBMeRavhp6AeK0wXA
1366114,2018-03-21,0,uqo0qY32KN0wyzsB30hB5A,"Server was nice , food wasn't good quality at all , waited far to long for our food ,didn't even receive our full order. Wasn't satisfied at all. Manager discounted the missing food , Could of got way better food from McDonald's. Definitely not worth $50.",ConphwIM7FmpexJrbkitnQ,0,0,1,qY8dudI-iA-2Ram3CnvuLA
1385095,2018-04-23,0,uqo0qY32KN0wyzsB30hB5A,"Stopped by for breakfast. It was early and not busy. 
Service was fast and the coffee was good. Breakfast of eggs and bacon with toast. Pretty standard Denny's flavor. 
Eggs were cooked to order and the toast has copious amount of butter. 
They offer grits so I tried them.  No butter with them. Must has used all the butter on the toast ;)",OmWAEefrFJzpHwtYT-AeLQ,0,0,3,GG3zqsokz5pylwG73znRJA
1390200,2017-01-06,0,uqo0qY32KN0wyzsB30hB5A,I came here because I had a 20% off coupon. The staff was all really nice but the food just wasn't that great. I assume that it would be close to IHOP food but I've always given IHOP five stars. I asked for everything dry and not greasy and everything pretty much came greasy. Kitchen communications.,5Bs1BZcD6_wo_sUiAGe7FA,0,0,2,2CvvW77kCSDklWUWY57qOg
1433704,2017-12-25,0,uqo0qY32KN0wyzsB30hB5A,We ordered at the same time as the people sitting near us and the food took 50 minutes to arrive. Fifteen minutes after the table near us. Chock it up to Xmas Insanity. We will not be returning.,ecnKQhkMQUntfyQv9gR4GA,0,0,1,9QEVdialCtgroDGlEFLV3w
1442722,2015-09-28,0,uqo0qY32KN0wyzsB30hB5A,"WORST SERVICE EVER! If I could give it 0 stars I would! Not only did our waitress not even remember our order and wrote it down wrong, she got me horribly sick! I have an allergy to Peanut Butter and I get very sick. My fiance ordered ua a xhocolate shake and our friend a peanutbutter and chocolate. I took a sip of mine and BOOM peanut butter! You should know to keep them separate if it has a common food allergy component in it! Then, when we asked to split the checks, it took them 5 TRIES to get it right! Our server was rude and idiotic and the casheer was clueless. Wanna know the best part?? It was my birthday! Happy birthday to me! Now instead of gambling and having fun, ill spend it in a bathroom vomiting due to peanut butter allergies!",05gBPf9AS7fA-J4s7nHi0A,0,0,1,Ldncc7Y8mJUG39zh6xKONA
1446425,2017-08-20,0,uqo0qY32KN0wyzsB30hB5A,"The food is great, the staff is super friendly and they make their food their and they don't use frozen foods, all their food are fresh and",1G6AKImdYB9oXKobhNZnQQ,0,0,5,il117JO7pcJ8a-Wq6csSug
1652661,2014-02-06,0,uqo0qY32KN0wyzsB30hB5A,"First of all I want to say that I agree with everyone that parking was difficult to find. However, that was not my main problem. When my boyfriend and I walked in we were seated and given drinks almost immediately which was nice, but once our food was served we began to notice issues. First, our waited gave us our order incorrectly even after we had repeated it back to him. Second, we were charged incorrectly for an item that was not given to us. Thirdly, we were charged tax on each separate order as well as well as the grand total (even though we paid on one bill). To be completely honest, it wasn't horrible service, but I say that only because I was in a very good mood at the time. The waiter kept trying to justify his mistakes rather than fix them. The place is just over priced and the staff needs some training.",sYRGy665vewxYxvDq2adBQ,1,0,1,buBvXSzOmoi33bBSg2Iv6A
1776157,2017-08-13,0,uqo0qY32KN0wyzsB30hB5A,"Visited twice while in Vegas. Completely different experiences.

Breakfast 8 am - 5 stars.
2 of us. Was seated right away and brought our coffee right away. Waitress was very nice and helpful and attentive. Food was good. Pancakes n eggs.

Lunch 3:30 pm - 2.5 stars. 
Alone. Was seated right away but waited forever for water, maybe 20-30 min. Then waited 30-45 min for my meal. My water was empty when she brought me meal, she said she'd bring me more water but never did. I asked for the bill when I was done and a to go cup with water. The waitress was very apologetic for the delays. There were only 2 waitresses for the whole place and they were cashiers too. I felt sorry for them. But I didn't get out of there til 5, which was pretty bad.",TrsqSKz0EIHEEyPJ-4sfLg,1,1,4,-8gAgupapFr4MWzKQ1vzfg
1803652,2017-11-12,0,uqo0qY32KN0wyzsB30hB5A,"Place is empty at 2:30 am.  Waitress/manager was rude, just ignored us.  All we were trying to do was get s quick to go order.  Such a shame to have such bad service at night.  Service was good in the morning.  We finally just had to leave after being ignored for ten minutes.",NYZo8773doBkHAxsOucqVA,0,0,1,81UeER3nhaEEaxe-jRxJsA
1806056,2014-08-28,0,uqo0qY32KN0wyzsB30hB5A,"I dont know why we keep trying this place except the location is convenient.  The wait staff is always rude (we have been re-trying this place for 5 years now, and after this morning we won't be back) Food is ok, and prices are high for a Dennys and they nickel and dime for everything. We shared a couple better establishments with our fellow Tahiti Village owners within walking distance, with great service and food and prices!",dAqZa_0TQtyKdaqn_EaRFA,0,0,1,H-H5XbtAh-2q1Bol0U6IdQ
1865150,2014-11-09,0,uqo0qY32KN0wyzsB30hB5A,"Good and affordable food Denny's is known for. Clean facilities and friendly staff.  All we need. 

Highly recommended.",NHl30zrJTewJ8ohJppjsZg,0,0,3,HQ52jqlJ2bu1i2z3c7gO9g
1904830,2017-10-29,0,uqo0qY32KN0wyzsB30hB5A,"The server was great!  Everything else was terrible.  Empty on a Saturday night, tells the whole story.",t1sygVI_diVfeSV46lxwtw,0,0,1,l_prDikK8GdtqdVNHuBFIA
1983217,2016-12-25,3,uqo0qY32KN0wyzsB30hB5A,"Very happy with this Denny's. My family and I are regulars at this diner franchise and we've had our bad experiences. This was not one of them. 

To start with, I really want to praise our server Elisa. She was so unbelievably friendly and helpful. My sister had food poisoning and Elisa noticed and brought out a soda water and Sprite for her, on the house. She even went as far as giving us a Sprite to-go and a few take out bags in case my sister threw up on the road. We didn't even have to ask for the soda and she was just so unbelievably kind to us. It was really refreshing. And she kept checking on my sister to see if she was feeling better. It was so sweet at how kind she was to us. 

We ordered breakfast plus a few different dishes. I'm a fan of the loaded potato skillet from their value menu--it's a good amount of food for only $8. And it bursts with flavor too. Cheesy goodness mm. 

Overall, I've been to this Denny's twice and I've never been disappointed with the food. The first time our service wasn't that great but this visit definitely made up for everything. Thank you so much Elisa!",gMnoe9Bwm4NxZ_J0fzn-2A,0,0,5,x_axglXvVv6zi3DtA_7B5A
2040005,2015-03-01,0,uqo0qY32KN0wyzsB30hB5A,Cant get service tonite... Pretty sad... Have been here 25 minutes and no one has come to our table.... See ya!!!!,EA-UgJmd-hQ8RBn1odmDJg,1,0,1,A8eTT4OFPXBQW2EkIXrxeQ
