,date,funny,business_id,text,user_id,useful,cool,stars,review_id
155261,2014-01-31,0,vAbRNF0hJt91oCUpm_sdKw,"Just ate here with a groupon. Made me realize that establishments that offer groupons do so for a reason, either they are new OR they are looking for patrons. Buzios is NOT NEW, so draw your own conclusion. I've been to RIO a bunch of times and didn't even know this restaurant was here. I asked how long they have been there and was told 18 years. Wow.

Our waiter was very inattentive, we didn't see him often. Finally take our drink order, disappear.  Bring our drinks, walk hastily away. Take food order, disappear, and on and on. While we enjoying the lobster bisque that didn't have lobster in it (??) with our stale bread, my husband noticed a plate under the heat lamp that looked like what he ordered and jokingly mentioned ""I sure hope that is not mine"". Lo and behold at least TEN MINUTES go by, and yes, of course it was THAT plate that was served to him. But of course it was. It was a medley of sorts, corn on cob, crab legs, mussels etc, so while it wasn't awful and totally overlooked it truly is unacceptable. ANY reputable restaurant should have a chef that would never allow a plate to sit for any length of time like that. Being that this is an open kitchen concept, it's obvious they simply don't care. I ordered a miso glazed fish which was eh - okay. The dried out scoop of rice and the preackaged broccoli bites is what was awful.  Even with me adding sauce it was awful. 

Even with show tickets, we wouldn't have sat there any longer than possible. They offer a 25% discount with show tickets but do NOT combine discounts which is understandable. What I did find ridiculous is that they will not offer the set lowered pricing if you are a total rewards member. It's not a lot, only a dollar or two per food item , but I think they are doing a disservice to, what could be, their most loyal customers. You just lost me and perhaps hundreds of my vegas blog readers by not honoring Harrah's corporate marketing concept of discounted rates in ANY of their restaurants. Their loss anyway. Not mine as I won't step foot in that restaurant again.  

It's also a who's who in regards to where you sit.  Apparently the table to the left of us were never given bread, while the table behind us were the only table in the restaurant given warm towelettes to cleanse their hands. Very strange.",RtVkKdCNcUyVbKIapFF4ew,0,0,1,BcYnyh5wtZDqyYc35Gm3Tg
280956,2012-03-30,0,vAbRNF0hJt91oCUpm_sdKw,"I'm a FAN.  Loved this place.  Great service and fantabulous food.  I had their parmesan crusted tilapia sides sauteed mushrooms and pilaf it was to die for.  Definately returning when back in Vegas,  for sure....",WEQ9FdJxwiBti749DzHkgw,0,0,5,PNAX-gAXK18BfRruxrpw5A
282755,2015-04-02,0,vAbRNF0hJt91oCUpm_sdKw,"Excellent dinner last night and doing a repeat tonight. CHILEAN SEA BASS AND MUSHROOM SIDE ORDER W BAKED POTATOE can't be beat! Waiter Richmod, one if the best ever...he remembered my entree! Highly recommend if in Vegas at the Rio!",OQgYJmL5FoxxYp1VfPnI1g,0,0,4,Wivv7X2XYC97wdKNgBZSjw
353186,2014-07-15,2,vAbRNF0hJt91oCUpm_sdKw,"This restaurant has gone downhill in the past couple years. I used to love to sit at the chefs bar and interact. I had the boullibase and all of the seafood was over cooked and rubbery. The staff is running around without any real leadership.  They need to hire a new executive chef that takes pride in Seafood to manage this place.  I won't be going back anymore, the cost is no longer justified.",cKRt9NGt1EoWvqArcBsAxA,1,1,2,IVB1ysjXmjA9Q7EdtDWHGg
406095,2009-10-17,0,vAbRNF0hJt91oCUpm_sdKw,"for fast and good service:
SIT AT THE BAR!

steve is the man. he'll take good care of you. last time i was there he hooked up our bill FAT! he is so amazing. 

the first time i went i ordered the ceaser and they forgot to make itl oops. they were very apologetic and gave a free desert after we were too full for the salad.

the second time i went i got my cesear. i was so mad (only cuz it was sooooo freaking good.... that guy bagging on the cesear was a moron and porb doesn't ever eat cesear- i am a cesear conisour and ther's is top notch. not the best, but still an A). i always get the twin australian lobster tails (steamed) and they are the best lobsters i've had in vegas.

i discovered buzzios after the seafood buffet was overflowing. no thanks. don't want to get stepped on.

anyway: BUZZIOS: i don't know why their reviews are sub-par, all my experiences there have been great. 

like i said. sit at the bar to eat. best service.

amazing food!
xoxoxoxo

oh, and their lemons have hair nets so you don't get any pips in your salmon (or whatever).",87WjS0Pdt9Hk2ZBobocPaQ,0,0,5,ytZglzmC7wW1ClmfzWQNnA
410803,2015-12-12,0,vAbRNF0hJt91oCUpm_sdKw,"This was my 5th or 6th time eating at Buzio's and the consistency is outstanding as well as the food!  The Lobster Bisque is the most creamy and best tasting I have ever had.  The Oysters from the Raw Bar were a bit better than the Oysters Rockefeller which had lots of spinach and Hollandaise sauce.  We went with the Steamer Basket Composition in which everything from the crab legs to the muscles were great.  The creme brulee was excellent as well.  Service was good but they brought me New England Clam Chowder instead of the Lobster Bisque.  The waiter allowed me to keep the clam chowder for no charge.  However the clam chowder was not very good.

Excellent ambiance and a Beautiful dining experience.",FnXbNw4Zb2RoZWnPJ2MRvg,0,0,4,LdWp5UhYHFKqBfdLHQb9Iw
474532,2014-12-25,0,vAbRNF0hJt91oCUpm_sdKw,"Overpriced for what it is. Service was fine but not stand out as some have mentioned. Bread came to the table first and some of the rolls were too hard to even get into-think old stale bread reheated. Two meals and an appetizer were all adequate. Of the lot the best, albeit not worth the over $70 price tag, was the surf and turf my husband got. Finished the meal with a coffee, no dessert. What was presented as coffee at 7pm was clearly coffee that had been sitting on a burner simply staying warm and getting burnt since first thing in the morning. Disgusting! Sent the coffee back, they brewed a new pot which was mediocre at best. Overall would never recommend this place and will never return.",K88uTDvReOjkiJKkAO44zg,0,0,2,hOjlI4UdbASTHnvpTLcPZQ
520493,2010-05-03,0,vAbRNF0hJt91oCUpm_sdKw,"Both my wife and I love this place. We try and go each time we stay at the Rio, one of our favorite hotel/casino's in Vegas. 

We usually have a nice appetizer prior to our meal, and a cocktail. My wife likes the Sashimi, fresh raw seafood, sliced into thin pieces and served with only a dipping sauce (soy sauce with wasabi paste or other condiments such as grated fresh ginger). I like the calamari, batter-coated, deep fried squid, fried for less than two minutes to prevent toughness. It is served plain, with salt, lemon and marinara sauce on the side. Each is unique and enjoyable in it's own way.

For the main course, my wife has a fresh Lobster and I have the steak with the jumbo fried shrimp. My steak is always medium rare. The meal comes with sides of vegetables of your choice. Fresh hot bread, flat bread, butter, olive oil on the side. We usually split a house salad. White wine for the seafood, and red for the meat, of course. Nice choices by the glass of the house wines to stay within a reasonable cost.

Seldom do we have room for desert, and we always ask for a box for the food we couldn't eat for a snack later in the room after gambling. We finish off the meal with a wonderful cup of their coffee.

Never a disappointment. We'd recommend it to all who like seafood or steak. They have a nice bar for those who want to sit and eat. Many tables with pool side views. Reservations are recommended. Don't bring the kids. Too expensive, and they would not enjoy it. This is an adult style restaurant/bar, and you'll leave with fond memories.",5cTpllgXH7W1lXVJeg0rCQ,0,0,5,jLvBWfRokXVE1iiBR5PCyA
532755,2015-11-26,0,vAbRNF0hJt91oCUpm_sdKw,"This restaurant is always a MUST when we come to Las Vegas. We always get the Australian lobster tail and it never, NEVER, fails to disappoint! But tonight was made extra special with PEGGY serving us. Her upbeat and friendly personality and eagerness to ensure everything surpassed our expectations made one of our last dinners here memorable. We're sad to hear Buzio restaurant is closing, but we hope to see Peggy and her smiling face in the near future again at the Rio.

Thank you, Peggy!!!",n2D4UteexjSQBDbn9aRBgQ,0,0,5,80-XTsmOX81GrckrDADlHQ
584288,2013-04-26,0,vAbRNF0hJt91oCUpm_sdKw,Despite what other people say on here... First night in vegas we dropped my Buzios and absolutely loved it. Our waiter was very friendly.... Food came in a quick manner and there was a great view as well.  Compared to the other restaurants in the rio this is by far the best...,5ffN1J2fPjWLuuU21C5NBg,0,0,5,wwXzB66HMHsRbxtvdwzvhA
736100,2012-09-06,0,vAbRNF0hJt91oCUpm_sdKw,I always check into The Rio after a looooong bender to get my gears greased before heading back into the real world. The seafood stew really cleans out the old sniffer. Follow that up with the world class spa treatment in the steam bath... they give you an ice bucket with bottled water and fresh orange slices then sleep for 12-15 hours & your good to go.,nCQo--BhW4DSuYX_x2nZ2Q,0,0,5,VC2-FbJ8d_fjzUVnMmnZQQ
786525,2014-02-26,0,vAbRNF0hJt91oCUpm_sdKw,"I had a Groupon for this restaurant, and I still came away knowing I won't be back. Zero effort on the food side. I had miso sea bass....Blah. My wife had Red Snapper oscar.....Béarnaise was like a melted piece of kraft american single cheese. Clam chowder was like creamy onion soup. Service was decent....We had to wait a while for entrees and to pay our bill. I was somewhat looking forward to this dinner, and I was let down.",D1Hi6IdvwOizNfJexqntIA,0,0,2,S_v4bbLo8yJbvB0bDR9sIQ
792551,2013-05-02,0,vAbRNF0hJt91oCUpm_sdKw,Three and a half stars maybe but at a high price.  So if you're stuck at Rio or seeing a show at Rio this place is a decent seafood option.  But I don't eat here anymore because there are much better seafood values around town.,NmygL6zSMEvDM3Y9dS5cyw,1,0,3,NrUqpE4Vbe2XzeTfKbWwcg
1030063,2014-11-13,0,vAbRNF0hJt91oCUpm_sdKw,Was a nice experience. Our server was helpful and know what he was talking about. Let us know all about the menu and what is worth going for. This place has a romantic feel to it. Had a blessed time. Food was delicious.,c7Y413g5bJjAMRgzZxjYdg,0,0,5,-wcJzlfTlm1wSpUU2kXbEA
1083628,2013-09-16,0,vAbRNF0hJt91oCUpm_sdKw,"My wife and I had dinner here before the Penn and Teller show. We got a 25% discount for having show tickets, which was nice. The food was very good, as was the service. My wife had a rib eye, medium rare. It was good sized and cooked just the way she likes it. She had the marinated mushrooms and baked potato, Both were excellent, I know because I kept eating her mushrooms :-). I had 1/2 lb king crab. It was one leg, but it hung 8 inches off my plate. There was more meat in the knuckle than in all the crab I had at the last restaurant I ordered crab at. I also had the baked potato, which was cooked perfectly and I had the garlic fries, which were great. They were as good at the fries at Sammy's, which says alot. My only complaint, and the reason I would never eat here again, was they sat us at one of the tiniest tables I've ever sat at. It was barley wider than the plate. It is ridiculous and insulting to be sat at a table like this. Two of them together would have been acceptable, but it was so uncomfortable and having to shift things around constantly, because there is just no room, just spoils the whole experience.",riGS1XOka4RmIldYE57DQQ,1,0,3,TPT8-7LrzWplcA-Iac8MIg
