,date,funny,business_id,text,user_id,useful,cool,stars,review_id
36148,2011-11-10,0,vLkKorA1gPS97Zj0_WKA0Q,"compared to pierre gagnaire in paris, the food here is way less ambitious, but that is not necessarily a bad thing.

overally, it is good.  if you order carefully, it can be reasonable priced.

the starters were excellent.  the foie gras was good.  the venison was excellent.  grand the desserts were very good.

the vegan gluten-free tasting menu was at least unique.",PLc0_CtEWEQvbztwZ5lZbg,0,0,4,-L50oSndFywSAsz9uitsSg
50239,2017-10-08,1,vLkKorA1gPS97Zj0_WKA0Q,"Excellent place for gathering. The bar area has the view of the strip, 90%.
Beautiful decor and comfort, as well as dining room area. The service is incredible. Everyone is polite and knowledgeable and known what they are doing and their duties. My wife and me taking 6 course tasting menu with wine paring for her birthday. Perfect match, wine and food for every course, except the main course, sea bass, a little bit over cook.
Anyway it is worth a try.",8hyrRy6p-rH_Mf1n2KI8GQ,1,1,4,NGYuYdvMDhUsP59ezO-Nxg
81733,2014-07-08,0,vLkKorA1gPS97Zj0_WKA0Q,"WOW sums it up.  Beautiful, impressive, comfortable, attentive, creative, unique, delicious, memorable.  And that's all I've got to say about that.",KZA9MhGEdO01_D4sbenecQ,1,1,5,PN5bJkPFXAsUUoBqiCWr_Q
95632,2013-05-12,0,vLkKorA1gPS97Zj0_WKA0Q,"Was very excited to try Twist but overall was disappointing. The service, staff, and wine list were all excellent and very pretty location. Food however, other than a couple of notable dishes, was mediocre for this type of fine dining. Amuse bouches were interesting and breads very good. Highlights were the Loup de Mer and Foie Gras appetizers and the Dorade with risotto entree. The rabbit, pork, and lobster entrees were very underwhelming and plating is strange as all dishes come out in multiple separate plates/bowls rather than one composed dish. Desserts again come in multiple separate components and highlight was chocolate soufflé but none were stellar. Overall, for these prices and with reputation of executive chef and hotel, the food was a let down.",Vs5MjrdLmPqnTHmBySlr2g,0,0,3,UPJEa5lZFsvC8_k2y4s86Q
112430,2016-05-07,0,vLkKorA1gPS97Zj0_WKA0Q,"The place is beautiful and the food is superb but I agree that a la carte may allow you to choice your favorite meal. The japanaise beef, oh my God!!is wondeful. Good portion for the price and texture and flavor is wonderful.",XZLJ5ObFB0jVNGLy-9i7rw,0,0,5,iDrFyAct_n-sqZH1jBIDdA
129308,2010-03-07,1,vLkKorA1gPS97Zj0_WKA0Q,"Contemporary design as you walk in. I like the white, clean look and their nice lighting. There was a decorative artsy white plate which was cracked all over and it was a nice surprise as I thought that would be our actual plates.

I had Santa Barbara Spiny Lobster as an appetizer which I recommend. My husband has Scallop and Melano Sporum Truffle which was just okay. My main dish was lobster, it was a generous size and I truly enjoyed it. I love versatile wine list! 

The restaurant just as all of Mandarin Oriental has that relaxed feel to it.",Qwaz48YnqehiAtWHr_-6DA,1,1,4,4yO-UZZdgLOi-60EAyq3eQ
137622,2011-10-26,0,vLkKorA1gPS97Zj0_WKA0Q,"I had the meal of a lifetime here last week!

Chef was in town and did a special dinner.  6 courses with wine pairing and a signed copy of his gorgeous book.

What an absolutely insane barrage of food, from the first wave of amuse bouche to the last wave of petits fours.  Everything was fantastic.  Langoustines with scallops and jerusalem artichoke gelee anyone?  Yes, please!

Gagnaire even came to the table to chat and take pictures.",MhGqP_htKJRIasS98BBDMg,1,1,5,ebIQ4ZRmgq9-73ccDi3aKQ
174720,2017-08-27,0,vLkKorA1gPS97Zj0_WKA0Q,"Expensive but delightful.  Service was exceptional. If you get one of the tasting menus, which I recommend, come prepared to eat. You will not leave hungry. Plates come out looking like art. Try to get a table near the windows for a great view.",6lp2ObY4NMJCxN5rvJrg1w,0,0,5,aRlNUcrOMqAequdWUt6vLw
235106,2015-12-03,0,vLkKorA1gPS97Zj0_WKA0Q,"Amazing food. Amazing service. Amazing atmosphere. Amazing view. 

I had the best dining experience at Twist. Everything from the food to the service was definitely top notch. I can not get over how amazing the view was, which was looking over the whole strip. The restaurant was kind enough to give us a complimentary light dishes while we wait for our food. We decided to get the 6 course pre fix menu and everything that was had was delicious.",2MD1m54i3LQOMOEKqUAIjg,0,0,5,VE1ogs8WvYEsaA35M9dKqA
245406,2017-06-29,0,vLkKorA1gPS97Zj0_WKA0Q,"The Food, Ambience and the service were amazing .. The Manager of the place is very professional Mr Carlo 
I had a lobster and Salad .. 5/5 my rating",McyDcpif3X3tvw_EG74QUQ,0,0,5,wqk215g5DyMy_z7rmoht7Q
263301,2017-06-06,0,vLkKorA1gPS97Zj0_WKA0Q,"Masterful dishes from an maestro chef who doesn't need much explain. The food lives up to the name of restaurant ""Twist"" : Very original yet masterful twist to it. 
Great balance between the Atmosphere of restaurant and the view; swiping razzle dazzle night Las Vegas view from window seating. The whole experience is  just unique to Vegas and fantastic.",B-9rVPbmO4YaZ4SaYTveng,0,0,5,OXigm-TJInEdSWDQsUVTRQ
297161,2012-09-17,0,vLkKorA1gPS97Zj0_WKA0Q,"The restaurant is absolute beauty. Our server, Andrew was very attentive. We had the pre- fixed menu with wine pairing, the portion for each dish are just the prefect amount of food, not only the look good but taste outstanding. The view also fabulous.",4YpkMndBohtZCV4yOcw9ww,1,1,5,s7i6vIl8z9a0WpmpL2mE7g
302172,2015-12-01,2,vLkKorA1gPS97Zj0_WKA0Q,"I went to Twist for our anniversary and I ordered their steak, my wife ordered the Duck.  The steak was excellent but my wife who is asian said her duck was a bit over-cooked.   Overall it was a great experience.",JS246huajESiHElOmkmUGg,0,0,4,QgErUg-ut744esbAzxCe7A
341506,2010-01-20,0,vLkKorA1gPS97Zj0_WKA0Q,"Amazing! I'd actually give this 4.5 stars but that doesn't seem to be an option. I made the reservation two weeks before and I had emailed someone off of their website - I heard back right away and got a table for 9PM on a Saturday night, which I thought was great. I personally thought the decor was beautiful...understated, modern but classy. 
I had told the reservationist that I preferred to eat vegan and when I was seated, the waiter brought it up and went through the menu with me to point out what would be suitable for me and how vegetarian choices could be changed. They also adjusted the amuse for me as well. Points off for the fact that one thing was definitely not vegan and the cream sauce it sat in had a film over it. It happened to be delicious though, so no big deal! 
If you're want to have one special meal in Las Vegas, have it here. I liked that you didn't walk out into a noisy casino with people carrying yards of margaritas.",8xhSRAbD5XSxs81744nELw,0,1,4,YnJ7cvvzXnBprI78SqfErA
342405,2013-03-27,0,vLkKorA1gPS97Zj0_WKA0Q,"What can I say. This place is impeccable. I have been there twice and both times I am floored. The first time I actually flew into Vegas because Pierre was in town and running the restaurant. Last time I was there he was not so I got to experience both. The quality and service are impeccable. 

The most interesting thing about this place is that he is always giving two or three extra items on the side of every dish. Last time I was there we did a 5 course tasting and I counted the number of different tastes we tried..in terms of items...from amuse bouche to the little petit desserts that are complimentary. All in all there were about 27 different things I tried. What is so crazy is that 25/27 were amazing. I would have been content filling my belly which just one of them. The items that I thought were not amazing were not bad...they were good but different. So I cannot knock it for anything except for that it didn't meet my taste buds. The presentation was there, the ingenuity and creativity was there, the quality was there, the preparation was there. It just didn't work for me. 

I have been to a lot of places in Vegas...from Carnevino to Picasso, etc, etc. Twist by far stands out. It's at least a step or two above everyone. It's a step above Picasso. Picasso is great...but Twist is just one more notch above. 

I highly recommend this place...it is one of my favorite restaurants from all that I have tried in all the different places I have been...which is saying something since I eat out a lot and I travel a lot!",kDzyuFb8remWHhj8fBHB1Q,0,0,5,HEzHBwnSFyYAgJ9-OIcu-w
362255,2010-07-15,1,vLkKorA1gPS97Zj0_WKA0Q,The best French restaurant I've ever been to. Love the fact that traditional French cuisine is served in such a modern setting.  My colleagues and I all had different dishes and we all end up sharing. Order anything on the menu and you should not be disappointed. Kudos to the pastry chef too because our meals finished off nicely with a his surprises. Sure they are pricey but we were well fed. No one left with an empty stomach.,0poDlUaqRUJRv-tG_Z5ZKg,2,2,5,kVXYHWM96PktXOY4M1XP-A
377318,2011-10-06,0,vLkKorA1gPS97Zj0_WKA0Q,"As others say below, this is a very experimental place. It's not cheap, and it's not a ""classic"" tasting menu. The concept is captured in the name - not like Olive Garden or Cheesecake Factory (emphasis on the Factory) - but in Twist. It truly is a twist of ingredients, preparations, and tastes. And if you are adventurous, it's amazing. If you like the other places I named earlier, you'll hate this and run back to your bucket of chicken across the street.

First off, the entrance is spectacular. From the moment you set foot in the Mandarin hotel you leave the strip and are in another place. A calm place, and a relaxing place. Getting off on the 23rd floor, you walk through a candle lit hallway to the maitre d' who immediately greets you and escorts you to your table. I could do without the pause to print out something like a receipt for her records (tacky) but that's a small point.

The space is wonderful. It's modern, just bright enough to not be annoying, and the views are enough Vegas to be there, but not so much that you feel like you need to hit a George Wallace show. From the hanging butterflies in the entrance to the hanging bubble lights throughout... spot on.

We had the 6 course tasting menu. As others have mentioned, it is really more like 18 courses as each course comes with three dishes. Unlike other tasting menus I've had (and there have been many) the portions are quite large. Be aware that the main courses are fit for an a la carte main course. Pace yourself. You'll need it.

We learned a long time ago to not do the wine pairing. I love wine pairings, but after a pre-dinner Champagne, the wife and I can be too drunk to remember anything else. Get a bottle. The markup is incredible, but the selection has enough variety that you'll find something you can work with.

The food is... different. No, interesting. No, surprising. No, shocking. No, (consults thesaurus). No, all of those. And really good.

I don't remember all the specifics (taking notes is tacky) but one course sticks out in my mind - julianne radishes beneath a robust red wine gelato. Yeah. That's what I'm talking about. Different. Delicious. Shocking. Amazing.

The seafood is fresh, the preparation perfect, the presentation excellent, and the variety can't be messed with.

The service is impeccable without being stuffy or overbearing. Sure, they walk you to the bathroom (I always find this both helpful and odd), but they don't have a ""character"" like some other places. The wait staff seemed like they were enjoying their jobs - and if you didn't like something (which is possible) they were ok with that. If you didn't finish a course, they weren't insulted but rather interested in what worked and what didn't for you.

There are a lot of deserts to the menu and I can't stress that the portions are quite large. You will be exhausted by the end of this, but in a good way. Your palet will be exhausted, too. It's a food workout.",3lWVKWVA0DYEMIMJwFpI4g,3,2,5,Hd1OGdVNnz1P8o7ugPz5yw
393265,2016-12-31,0,vLkKorA1gPS97Zj0_WKA0Q,"Truly incredible dining experience with a breathtaking view of the Vegas strip from the 23rd floor of the Mandarin Oriental. We tried the 5-course tasting menu, which was an adventure into creative first-class and inventive cuisine. The meal started with complimentary amuse bouches, which was a variety of Chef's original creations - gin and tonic gels in a martini glass, mini soufflé, and housemate breads served with hand-cranked butter from France (incredibly deliciously). Appetizers included a truly original and smooth house made pate, perfectly prepared grilled trout with citrussy sauce and main course of New Zealand venison with Au gratin potatoes, green beans and julianeed beets with a unique savory sorbet that served as a gravy. Meat was, of course, perfectly cooked with an amazingly lean texture and the sides and sauces were delicious. For dessert, 5 different preparations of pastries, sorbets, chocolate and fruit - beautifully presented, unique and so good!  Each plate was beautiful to look at, and included a variety of tastes, colors, and textures.  Exceptionally attentive wait staff, extremely knowledgeable about the food, who expand on the attributes of each dish in some detail and who clearly enjoyed describing the journey as it continued to unfold. This was a one of a kind gastronomic delight like no other I have had the pleasure to enjoy.  Suggest leaving lots of time and savoring the meal and the experience from start to finish - a genuine foodie paradise.",519oD-IP7X622we7CBophw,1,0,5,qAo0LtsP-7gzWTwB32VGVA
399462,2017-05-03,0,vLkKorA1gPS97Zj0_WKA0Q,"This review was for my visit a day after Valentines Day. Twist has always been on that upper echelon level of food in my opinion and to me was a big splurge that I wished to do back in High School. It wasn't the smartest idea back then and it didn't end up happening but the restaurant has always been on my mind. Fast Forward a couple years and I'm walking up to the Mandarin Hotel and ready to take the elevator up and and walk down that dimly lit hallway into the restaurant. 

Service: Hits almost all of the big Forbes standards as every staff member used my last name, wine list introduced to the host, Excellent knowledge of menu, drinks, pairing, etc. Very interesting how Twist is home to one of the few Master Sommeliers in the world. 5 star service all around as should be expected.

Food: The good stuff and most memorable part of the meal. We decided to do Ala Carte and we began with the foie gras as a starter, Wild Turbot for me and Diver Scallops for my significant other. We ended our course with a tasting of Chef Pierre's favorites. And the greatest and most exciting part was finding out that Chef Pierre himself was in the kitchen! I'm sure he played a part in the execution of meals as everything was truly memorable. From the generous Amuse Bouches given out before, between, and after each dish to the dishes themselves. The presentation was gorgeous and matched the design of  the restaurant. Modern, sleek, and elegant. Everything is minimal but plays a part. All of the dishes are separated into various parts so you can enjoy the flavors of each item in a certain order as you willingly take your tastebuds on a journey. To me the epitome of great food is when it can invoke involuntary emotion and bring forth fond memories. This moment hit when I took a bite of the shrimps that was part of my Turbot dish. A ridiculous smile came up on my face and all I could feel was this sense of Joy. It was that moment that I knew no matter how much I spent here, this was the type of food that was worth it. 

Thoughts: I've studied a lot of reviews before coming here as it was a debate between here and Picasso. Although I have yet to try Picasso I chose Twist because it appealed to me more. The modern design drew me in and the modern flair and experimentation seemed exciting. To those that complain the staff is rude or stuffy, I'm sure there may or have been staff members that were but also it's a mental thing. If you go in thinking people will look down on you that's all you're going to react to. Go in with a sense of adventure and focus on your love of food. It's alot of money and of course overpriced for just food. But when you pay for these places you're paying for the memories and experiences just like how some people spend hundreds on concert tickets, or traveling. There's alot of factors that play into a good dining experience and I feel Twist definitely knocked it out of the park as seen in me writing this review almost 4 months later.",rfD1rP1mwozBj7pJ1eS88Q,0,0,5,OyBW_9TyIo0peSKw_H04Jg
403848,2011-02-28,2,vLkKorA1gPS97Zj0_WKA0Q,"Took my wife here for her birthday. We have dined at all of the top restaurants in las Vegas. Guy savoy, Joel rubochon, cut etc...  Twist was pretty much the only top notch restaurant we have not dined at in las Vegas so we were excited. With the chefs credentials we thought twist would be a can't miss. We were wrong and it was our first bad experience with a place with such credentials.  The food was the worse part. Service was mediocre. Don't waste your money!!  Go elsewhere.",vAORfToN6dcFCNPopzQuTg,3,2,1,N-mjdePDdJmEHpK7A6yRpg
448793,2010-08-04,0,vLkKorA1gPS97Zj0_WKA0Q,"I just came back from this wonderful restaurant and I can't wait to share my great experience with Yelpers :)

I called them a few days ago and made a reservation. The concierge was very nice and polite. She confirmed the date, time, number of people and phone # with me. Two days before I flew to Vegas, I received a reminder call from them and then I called them back because I had to change the number of people attending the restaurant. ""No problem at all, Ms. XXX. We can't wait to see you on Saturday"" is the first sentence I heard from them. At that point I am already in love of this place!

I arrived on time on Saturday, and from that point on everyone starts addressing me as Ms. XXX. I am so flattered! As my table was not ready, the hostess led me to a small bar inside the restaurant and then the bartender asked me what I wanted to drink and whether I need something to read while I wait. Turns out the wait was less than two minutes, then my server escorted me to the table next to the window, overseeing the strip. Soon after the waiter brought a new drink I just ordered from the bar to my table. What a great service! I have already downloaded the menu and read several reviews, but I was still debating between à la carte and tasting menu. Then my waiter told me they recently changed the tasting menu but the new menu was not yet available to download. However, that in fact made my decision a lot easier. I ordered:

Langostine 5 Ways
Dover Sole & Crevette (recommended by my waiter)
John Dory

The dishes are simply artistry and precision. The presentation may look simple but the flavor is extraordinary yet balanced and textures are complex. Like other reviewers, I was totally blown away with the Langoustine. They are heavily influenced by Asian flavors and these five offerings are just marvelous. The John Dory is also great, easily the best I had in years. Even the bread, I am being offered by three different kinds and two kinds of butters. However, because I was just too full after entrée, I couldn't even attempt to order desserts. At this date I am still kicking myself for that mishap. The service? Polite, efficient and friendly. Top notch.

My experience at Twist was definitely the one I will never forget. I simply just can't stop thinking about it and I am already busy planning my next visit with family and friends. Twist (and Mandarin Oriental), you totally win me over.",3wAG34DtH2-n16jz5gN6jQ,4,2,5,R5T2SbmqfA5cdQsEOb0s1w
473946,2015-07-07,0,vLkKorA1gPS97Zj0_WKA0Q,"I'm really surprised that to date, there are less than 200 reviews from this restaurant.  Twist ranks up there with Gordon Ramsay Steak.  We ended up with a tasting menu. The one thing that impressed me the most about this restaurant is the wine pairing.  The Sommelier for this restaurant must be one of the few certified in the world (less than 150 I think).  The wine ""sang"" with each dish.  It was very well paired and all the dishes tasted wonderful!  FYI - this is an expensive but awesome dining experience.  I think my tab alone came close to $300 and well worth it!  Truly amazing!",UBjiwhdGCte3QnEcjkbP1g,0,0,5,OweMOwXODIftR9MnHX8zcg
500758,2016-12-02,0,vLkKorA1gPS97Zj0_WKA0Q,"Quiet, great views and amazing food. Tried the tasting menu, guinea fowl and langoustine appetizer, everything was lovely and I am amazed how well the various textures not only provided great contrasts but survived our slow paced grazing.  I'm now quite interested in visiting Sketch next time I'm in town. Menu changes every season!",gJJ2prRHz5ARj-0GPHXmag,1,0,5,-TD8nbZJ_lLVm6ydL43A4Q
505985,2012-08-02,0,vLkKorA1gPS97Zj0_WKA0Q,"Great food for what you are paying for -- under the assumption you are able to appreciate MOLECULAR GASTRONOMY.

EXCEPTIONAL Culinary talent on the strip is hard to find -- outside of all the CORPORATE RESTAURANTS: Wolfgang Puck, Patina, Mario Batali, Emril, etc.

Must try the TWISTED CHARCUTERIE PLATTER!!!!!!!!

3 items on the menu had Foie Gras... I kinda wish that they offered a SEARED Foie Gras... they did not have it at the time of our visit -- only poached Foie Gras :(

The restaurant is still GREAT none-the-less :)

VERY TALENTED KITCHEN CREW!!!

Even though the restaurant was full, FOH staff MADE SURE space was available for us that had a nice view (THE VEW IS AWESOME FROM THE RESTAURANT).

The server was very informative and helpful.",uKq1I87L9hHg1va5AcrH-A,1,1,5,mZWlzNBvy-QefJtPFYt-rw
512111,2015-08-09,0,vLkKorA1gPS97Zj0_WKA0Q,"Excellent meal, good service great view. Just a suggestion for anyone going for the first time, ask to be seated next to the windows.",RSgpWzMcu-TiuOttXRpt_A,0,0,5,JJQdpyJKMvuY1NPVpB6YFw
522120,2011-09-27,0,vLkKorA1gPS97Zj0_WKA0Q,"A delight for a LV restaurant -- however, not up to par with Gagnaire's other restaurants at the Mandarin properties (e.g., Pierre at the Mandarin in Hong Kong).  Overall, the quality of the food and the service was well worth the expense.  We dined a la carte and had a lovely evening.",yBsLmgSOI4jn2bJSPBD5qA,1,1,4,GUq17i6NenG-aB2dmxX3zA
