,date,funny,business_id,text,user_id,useful,cool,stars,review_id
137057,2015-09-29,0,vpoXE7CsEMZNzBMDvkuqHg,"Fast delivery, food was hot, veggies were crisp, as were the eggrolls! More than I expected. Food/meat quality was great. Overall will definitely order from here again.",PPNtP0cTDDzGftQWTgzq9w,0,0,5,TL9zgwbHeTQBDfTce9N1bA
153198,2015-12-14,0,vpoXE7CsEMZNzBMDvkuqHg,A True Hiddenn Gem with the best Thai food in Vegas!   Love this place and love the Owner Aranya! -B,EIpnhPsb_Kpn1vlSNZvrug,0,0,5,iqBmvksa2xDvG68sWCosrA
215555,2009-01-10,0,vpoXE7CsEMZNzBMDvkuqHg,"The food here is amazing. If you are like me and love fish and spicy food, you have to try their spicy catfish, it's great. A really relaxed and great place to take a date or even your family. The service is really friendly and is also very helpful when it comes to suggesting great dishes. There is also a bar there for the ones who love to drink while enjoying a meal. So if you are craving Thai food, I would highly recommend this place.",Zgpa7IURMUrcYBn1GHk8rA,0,0,5,kiXX_Ieiz3azvLsIJTsfYA
551505,2011-11-18,0,vpoXE7CsEMZNzBMDvkuqHg,"Food is good, but don't expect much as far as service.  We had the red chicken curry.  Ordered it mild but it was SPICY!  Also, ordered the drunken noodles-they were delicious! If you are looking for good quality food-go here, but if you want a server that will help you out, or say hello, then go elsewhere.",Al0kxCW5La0Bl2IkkPJNqA,0,0,4,osKgasfxRWUA7R5uXqfKBQ
563785,2015-06-19,0,vpoXE7CsEMZNzBMDvkuqHg,Service is horrible and is really rushed . Complementary soup is not hot it is warm there are better Thai restaurants than.,XcnDy0tEsem507Ea-JO3OQ,0,1,1,JfflBbWE3n-z7jA_D-8OpQ
578391,2014-03-22,1,vpoXE7CsEMZNzBMDvkuqHg,"This Thai restaurant is never busy but I always receive great service and food. My husband gets the green curry and I get the sweet and sour chicken (cut me some slack, I am new to Thai food!) The portions are great and the dishes could easily be shared. The ambiance in this restaurant is beautiful and peaceful. I recommend this restaurant if you are looking for good food and a quiet place to eat.",QcoXlde39Vuq1leIqAW8LA,2,2,4,UOqGAmx_PabVq8agFQFSLA
578614,2012-04-24,0,vpoXE7CsEMZNzBMDvkuqHg,"My wife and I tried several times to like this place---we really did.  But the Madam server who seems to run the place during the lunch hour is arrogant and the service is indifferent.   Her main goal appears to be to keep customers in their place.  The food was inconsistent.  You will also have to monitor the order very carefully.  They either don't know their own menu or else they are trying to save money by leaving items off the order.  

No more chances.  We won't be back.",niCLxL7kPfqAr3C1U3hCSw,1,0,1,E1wmOc8zcgdhBVFZfG2OKQ
589689,2013-05-31,0,vpoXE7CsEMZNzBMDvkuqHg,"We came here on a Friday night after a Target run in the same shopping center. Should have left immediately after entering the restaurant and seeing only 1 table of customers, buy we were hungry and decided to give it a try. Ordered the Pad Thai which had undercooked noodles and was way too sour. The red curry was sweet, and the yellow curry was bland. The ""angel wings"" (stuffed, fried chicken wings) were the only enjoyable part of the meal. Will avoid this place from now on.",QOK_Wgx1hP2cy7E7_ZJs1g,0,0,1,PzepEAyQPoAga-gPx_q6sQ
751863,2010-02-14,0,vpoXE7CsEMZNzBMDvkuqHg,Ate here for dinner ordered Thai egg roll the calamari and pad kee mow . Egg roll and squid awesome ordered the pad kea mow at a 3 but came at a 8 easy too hot called the owner over and tried to explain and he started to yell at me grabbed my plate and in front of a crowd to me to get the F out of there. I will go to the corner Thai kitchen at trop. And tee pee.,PECzB4OTG03uxCTDBJoZlQ,1,0,1,HNdFF4Vd1UdueVu7lRj_nA
775134,2010-08-23,0,vpoXE7CsEMZNzBMDvkuqHg,This is a place I frequent; mainly for their lunch specials since it's such a great deal and you get so much food for only $8.  The restaurant has a nice decor and it's clean.  The food is flavorful and tastes great!  I've brought at least 4 of my friends for lunch over the past year and every one of them say it's good food.  I love the curry dishes!  Definitely a place I keep coming back to.,7GPSH4MuwbOv1kDf0L2dyg,0,0,5,2MuMZ7FVmK15V0LejLnHNg
