,date,funny,business_id,text,user_id,useful,cool,stars,review_id
16814,2016-12-14,0,w9gr1-mA-7zBHPjPL87Nsg,"Only eaten here twice but both times for the prime rib special, of course an interlude while gambling @ 4 Queens. Nothing fancy or special here just good food at a decent price with decent service. Service was fast, albeit by three different waiters but nonetheless still got all the food right and in record time. Side salad if fresh and not over done, potato skins were well broiled with the bacon bits aplenty, and the prime rib is tasty with au jus and horseradish to boot. Come here for a well priced meal done right, not something to write home about but a standard and a staple. Some don't like overlooking the casino, I liked it for the people watching.",aYLS5lhdCp5HSPOtkMvapw,0,0,4,Yn8t_KcMSUfseJAubZSyTA
22505,2014-11-02,0,w9gr1-mA-7zBHPjPL87Nsg,"If I could give negative stars , I would.
Let me start by saying what a mess this place is. We went in after walking around for some food, around midnight.
2 out of 4 plates of food had a disgusting hair in it!!! Ewwww!
When I confronted a manager I got a huge attitude & was told ' Most' cooks wear hairnets?!? Most?!? So gross! I would never step foot back in this s&@t hole ever again! 
As a local I am completely offended & would never recommend this place to any local or visitor. 
The only good thing was the poor waiter was really nice , but super busy. We took care of him & made them comp our check.",fRNdhxULxOCEsWXb3esdUA,0,0,1,9qjSAMb1a4WmgYI92SUH0w
23875,2010-12-05,0,w9gr1-mA-7zBHPjPL87Nsg,"I had the prime rib dinner and it was good. I also had the coupon which makes it even better. I'd come back again however I gotta try other places since I don't live here. The main waiter could be alittle nicer though,

NOTE: This review is based on a visit in Dec. 2009",iB3iW2re2A4LQEFcpXExFw,0,0,4,qRFNBqSz4Njg7Tkfl3F8OA
53575,2017-08-06,0,w9gr1-mA-7zBHPjPL87Nsg,$15 dollar prime rib who can beat that? It was very good and very filling after a day on Fremont! I would recommend this place to anyone looking to fill up on a budget!,eWLTepxlugtJOsxsY_l5Xg,0,0,4,xl-e1flAJ6KlqxrB1faNTw
96596,2012-07-23,0,w9gr1-mA-7zBHPjPL87Nsg,"Went there for my B-day, the service & food were great.  Was even surprised to get a two for one for my b-day treat.  It was a nice bonus, being a disabled marine, some places make me uncomfotable, not here, they were great.

Next visit i want to try Hugo Cellar, but need to save money for that place.  :)",384cDTD7keZlYBq8KhP15A,1,2,4,1-xud6n3qgoy1jjs2c1L4g
115777,2016-03-23,0,w9gr1-mA-7zBHPjPL87Nsg,Cool spot for a late night prime rib break from the tables. Solid Royal Player club specials. Some booths overlook the casino floor so you can stay close to the action. May visit again.,lpaSfLU3OgGPYC2tF0b59Q,0,0,3,cPzxJsL8BrEZHV_G3JBwRg
184521,2014-10-02,0,w9gr1-mA-7zBHPjPL87Nsg,"A nice little place on Fremont at the Four Queens if you are looking for an average meal at a good price. My Hubs and I thought we would try it after several expensive meals on The Strip. 

Being a member of the Royal Players Club you can get $9.99 prime rib meal with the fixings or take advantage of several different specials night or day. The service is great and the food is good. Be careful, they have 3 kinds of cringe worthy wine and they all come in those little airplane size bottles. Yes, they crack 'em right at the table for you! ;-)

There can be some major line ups during peaks times but they keep it moving along so ultimately it isn't a huge wait time.

This restaurant needs a major, overall, physical re haul as it is dated and worn out. Be careful when you sit down! I got quite a surprise when I sat down on a bench at our booth. After my ego recovered and was able to crack a few jokes with our dining neighbours our meal was taken care of by the very apologetic Manager. I would have preferred to pay and not have fallen.",H9bT0UAr7k65e_LVFizs6w,0,0,3,3TbRwVJay5tx9mKsYka_qw
184937,2012-04-01,0,w9gr1-mA-7zBHPjPL87Nsg,"This restaurant, located in 4 Queens Casino on Fremont St., was a great find. The menu has a good variety including Italian, Mexican, and Hawaiian as well as sandwiches, burgers, and steaks. The prices were also excellent. Most items were under $10. The quality and preparation of the food were also top notch. My husband had Hawaiian Steak and Eggs while I had a French Dip sandwich. His steak was perfectly rare and expertly sauced and seasoned. The roast beef on my sandwich was also a perfect medium rare and the accompanying jus was well seasoned without being salty like so many are.

My only complaint is that because this is an old school Vegas casino, the restaurant is open to all of the noise of the casino below it. It can make conversation a little difficult.",xmFiL5zYx6s2y0N8VJhyTA,0,0,4,VftxKd_tHd4zT2xrE1ufqw
231173,2012-04-10,0,w9gr1-mA-7zBHPjPL87Nsg,"We were pleasantly surprised with the food and service ! We ate breakfast on 3/31/2012 and a late nite prime rib feed on 4/1/2012. Both visits we had good service and good food. 
The menu had a good variety. I was happy to see some Hawaiian/Filipino favorites on the menu. 
I had the Portuguese sausage and eggs and my Fiance had the chicken fried steak and eggs. The portions were good and the food was tasty.
The prime rib was very good. After a loooong day of shopping and walking we were in the mood for some prime rib @ 1 am. We came all the way back from the Strip and were hoping the prime rib would not disappoint. It came as ordered a decent cut with soup or salad and rolls for about $11 a plate.
The only drawback is sometimes you will get a smell of smoke coming from the casino below. Ask to sit away from the wall and you should be okay. 
So if your downtown and want a good meal give them a try.",aPN_-XOaLohF98QrrtEa9g,1,0,4,34tbNhSQKQ-s8pIBZwC_bQ
265699,2012-08-30,0,w9gr1-mA-7zBHPjPL87Nsg,"Located on the second floor of The Four Queens Hotel & Casino, this was a pleasant dining experience overlooking the casino, with attentive waiters and waitresses; has an ""outdoorsy"" appeal to mimick al-fresco, with outside lamps indoors and brick archways. The ""Chicago style"" {Al Capone} deep-pan pizza is recommended. Italian Cuisine.",LOE6F6WwMJ41RzABizx6fg,0,0,5,hrTvw0KEAdIYWRKLz4X96w
267200,2010-08-15,0,w9gr1-mA-7zBHPjPL87Nsg,i like comming here to eat sometimes   they have good skirt steak  it's a new orleans   style restaurant  with some hawaii foods on the  menu but the atmosphere gets a D and service C but the food gets a C+.,i37UWYfT8PCgv0L691iXBQ,1,0,3,0TKb_bk-eyl0-KkBQLjHHw
458684,2016-05-14,0,w9gr1-mA-7zBHPjPL87Nsg,So far this place is a 1 star! Been sitting here for 30 minutes and they yet have came to ask what we're having. Thinking of leaving to be honest.,uqcYYBTypWezoTTlKfzQ1g,0,0,1,FcSyGWbaGyJPSuTRGFHNpg
489730,2012-06-10,0,w9gr1-mA-7zBHPjPL87Nsg,"Not the greatest service but sure they have some killer burgers in here and belive it or not a 24/7 joint aint that easy to find in Las Vegas these days, esp. not downtown.

This is one of the few places in vegas that serves Coca Cola and not Pepsi.",AMDXuowX5wIduGf8m3uP2A,0,1,3,xsGDZ9hMOfm3tAd2uEYVHw
557419,2016-06-11,0,w9gr1-mA-7zBHPjPL87Nsg,Service was slow. Food was reasonably priced and decent. You get what you pay for. Great if on a budget.,Yxuy2sB_Jy7AFHWZz-Jv8Q,0,0,3,OEDtAkOwEckaVlCqmjum1g
637852,2011-12-18,0,w9gr1-mA-7zBHPjPL87Nsg,Was in a hurry for a cheapie meal. Had to ask wait staff to bring us water and set-ups. Food was adequate at best. Won't be going back. Their are other cheap eats downtown with better appeal.,w5HOcgkHStEkaJAOJy9K7w,0,0,1,X1BsY4Jf_niJPPMTX95Brw
703812,2013-07-15,0,w9gr1-mA-7zBHPjPL87Nsg,ENJOY THE  USDA CHOICE RIBEYE STEAK for $11.95 Magnolia's Veranda in the 4Queens casino in the old strip! 24/7 A-ok Beef Beef Beef ! If you love it nice and pink this is your place !!,rK2ActHP2TYBb--nxN3Ijw,0,0,3,Gq_9O8KKILJZc_utw_OfsA
731143,2016-09-05,0,w9gr1-mA-7zBHPjPL87Nsg,"We are regulars here. It can be breakfast, lunch or dinner. Its mostly very busy but we try and catch it between shifts and try for a booth overlooking the old casino of the Four Queens. The service is usually fast and always very courteous and they honor a lot of coupons. The breakfast choices are standards but better in quality and portion size and compared to most of the other restaurants less money. Lunch is very good with excellent salads and large portions and a large menu of selections and the same applies to dinner. We like the access because we are gamblers on video poker and blackjack and we can get in and out quickly and we rely on the constant quality. They have a few dinner specials one being the prime rib which may or may not be on the menu, but its priced quite low and is excellent. Wines and cocktails are good and priced within reason. The casino is old like Binion's, but they are easily accessible as is the Nugget which is our attraction since we can jump a lot of tables and machines within an easy walk in only a minute or two. One last comment is the breakfast in that I always have oatmeal and home fires and either rye toast or sour dough toast and its more than I can finish and as for the coffee, well, we usually have a carry in styro cup from a cocktail waitress serving those of us at the gaming tables so we don't order that in the restaurant. I have had steak here too, and its very nice for the money, but we prefer Binion's for steak and our occasional big dinner, and we see that on TrupAdvisor that Binion's is listed as closed which is totally wrong. Sadly, we could find no way to contact them to let them know from their site. Shame on Trip Advisor. Still, we consider Magnolia's our mainstay and spray in a few others for variation as our taste varies. Between Nugget and Binion's and Four Queens we have a lot of video and tables to choose from with lots of odds if you keep your eyes open, and we count on Magnolia for convenience and quality. Can't beat it.",wBRSFr0sfJP9xK08qnTcUA,0,0,3,yyg5P1NdVbC42OL8ayTHqA
779678,2015-03-22,0,w9gr1-mA-7zBHPjPL87Nsg,"The onlly food I can comment on is the pizza.  In my opinion, it is the best pizza in town.  It has a thinner crust that is crispy.  We always get the meat lovers pizza.  The taste and texture of the pizza cannot be beat.  It is by far the best pizza in Vegas and the price is right.  Yes, the service is a bit slow and it probably does need a little update of the place but that doesn't bother us once we bite into that pizza!!.",E-k1Uz3LrzRmfnzKycRPKg,0,0,4,N_H9dQKjf9CsdL9AbNT8Fg
811859,2015-07-26,0,w9gr1-mA-7zBHPjPL87Nsg,Older Vegas and but that I mean it probably has not been touch for 30 plus years. Service is friendly. Food decently priced for downtown. Got the talapia. Wish they offered it not breaded but was hot and tasty. A little greasy from frying but overall ok.,g1KBRelfngYxhwDHV9kDnA,0,0,3,gn9Q0KHFVQyVFmS7n5pOJg
924252,2017-09-29,0,w9gr1-mA-7zBHPjPL87Nsg,"My absolute favorite in all of Vegas! Best French Toast I've ever had! Prime Rib is great and a great bargain! I am comped all over town, both on Fremont and the Strip at all the high end places but much prefer Magnolia's!",C-LYYNAfMJg8Ei7pDj4LXw,0,0,5,4h4Xwu1XBxqMlw0rzvcMZg
985454,2018-01-28,0,w9gr1-mA-7zBHPjPL87Nsg,"Great, inexpensive food.....tastes even better at 3am after gambling and having a great time on Fremont all night!!
I had the chicken fried steak with mashed potatoes and gravy. It came with soup or salad. I got the soup. (Broccoli-Cheddar.) It was all very good, but the server was horrible (slow and annoying)and the wait time was ridiculous, since the restaurant was nearly empty.
Would definitely recommend if u don't mind waiting.",oY8iGHayYs_Qin1YFJR4Pg,0,1,4,RoMGjW9CSo2S543iRwMJEw
1043422,2011-10-07,0,w9gr1-mA-7zBHPjPL87Nsg,"very good food and friendly service which makes the experience worthwhile. the prices are decent, the service is quick, and it hits the spot. does anyone under 30, staying downtown, really give a s**t as to the decor, ambiance or star rating when all you need is something to help aid with the hangover?",ZPzkqcHV2w6lg1cq9-lP9w,0,0,4,QMeL-hLw8R49EU550EVFGA
