,date,funny,business_id,text,user_id,useful,cool,stars,review_id
494931,2017-01-25,0,wOmtCPiB-xeU-HknjTW4hQ,This place was on point! The server was so nice and they even gave us free won tons for my son(he's 4 yrs old and a very picky eater). The food was so fresh and the lunch portions were huge! A great deal for the price. Very clean dining area and didn't have to wait long at all for our food. New favorite lunch spot for us!,oEQguWcIp0bTz4vMIAzr2Q,0,0,5,xL7Zqj9tHdyK7PpmYMCWjQ
989363,2016-09-07,0,wOmtCPiB-xeU-HknjTW4hQ,"I have been here several times in the last year however today's service was downright terrible. We walked in and no one  was in the dining room.. Two other parties came after us and all ordered first with the food server (Nina) we ordered with a guy. The sweet and sour sauce is brown, I saw her pull it out of the microwave. It does not look fresh at all. I will not return here at all. I told Nina that I will not eat the food and she was very rude and said if you don't want to eat it I will just throw it out. She did not want to hear anything about the experience. The service seems to have changed in the past week. She didn't seem to want to make it right, just gave a nasty attitude. Something needs to change here. It became DISGUSTING.",aiOp4lhnH-nezm6PqX4VcA,2,0,1,mPLEITxLMbCGBxFUnwt4Ug
1084762,2016-04-28,0,wOmtCPiB-xeU-HknjTW4hQ,Boy I need to find good Chinese food and this is not it! Brocolli beef taste like oysters and crab ragoons seemed like the cream cheese was sour,Ia5RkxejpLETQN6f_O55uQ,0,0,2,NJ1CEeBFAXGx7_G2gFC_GQ
1364451,2015-12-09,0,wOmtCPiB-xeU-HknjTW4hQ,Really enjoyed our meal.  Hot and sour soup is full of seafood surprises and is awesome.  Shrimp and lobster sauce was so tasty. Pad Thai was great!!  Don't miss the delicate crab Rangoon.  Will be back!!,23SxtKKgx2y-8Wd21Kximg,0,0,4,a4BKKzo7f-4rhGbRm6UW-g
1495725,2018-02-19,0,wOmtCPiB-xeU-HknjTW4hQ,"There are a lot of Chinese restaurants in Summerlin and lot called China One. This one in the Smith's shopping center at Rampart and Lake Meade is the best:

1. Lunch prices and portions are excellent and tasty.
2. The most impressive thing is that the ""fried rice"" option for lunch is gigantic and is served on a separate plate. It has the required extras such as eggs, carrots, peas, bamboo shoots, not just ""rice"".
3. Unlike other Chinese restaurants, food is served on real plates (not paper or in cardboard boxes) and the booths sit on tiled floors.
4. The dining experience is ""eat there"" not ""take out"" (although we have done take out).
5. The wait staff is friendly and cooperative.

I have lived in Las Vegas now for 5 years and this is my first Chinese restaurant review.",zMY8yPP78f_wiZ41FhdrSg,1,1,5,J3VBM6CeUFDuufU-MgStnw
1549365,2017-01-14,0,wOmtCPiB-xeU-HknjTW4hQ,"We had the wonton soup, pot stickers, and foil chicken.  Used yelp for ordering and food took 30 some minutes to arrive but it was right before closing.  The food arrived hot, and packed well.  The wonton soup was nice with fresh snow peas, water chest nuts, and baby corn.  It had nice large pieces of BBQ pork, and nice wontons--a little soft but great flavor.  The pot stickers seemed steamed but not the traditional wrapping and they were tasty.  The foil chicken was very hot and flavorful with bits of yummy onion.   Order came with sauces and fried wanton strips.  A great Chinese take out night!

Updated:  the wontons have never been soggy again.  Love this place but too busy to dine in on Friday nights",bCrTTcRjj4RkKIJ68TVYtw,0,0,5,BHc8cCrpScUeHhu3Gb7big
1578649,2015-11-04,0,wOmtCPiB-xeU-HknjTW4hQ,"Where do I start. First I thought I was calling the former tenant China Diamond for my takeout. Was quite shocked when I found out they were gone. I had ordered beef with pea pods & mushrooms, fried rice and BBQ pork. All terrible. The fried rice was flavorless, except for the and had very mushy carrots and oddly colored carrots in it. . The beef was a little bit of beef with a lot of vegetables and the brown sauce was runny. The pork strips were very fatty. I won't be back.",HYJwfyWR24feYD-Shwt_IA,0,0,1,de4ndkRRidf_0jJtz0uKDA
1957385,2015-10-12,0,wOmtCPiB-xeU-HknjTW4hQ,"Love the staff at this place and the food is really good as well! Egg rolls are crispy and delicious, the lunch specials are a great deal and they also cater!",qGF9dONEE9L1ALBucYg22w,0,0,5,LeqBYIjXtp1xhf06rF1Now
2323759,2016-01-02,0,wOmtCPiB-xeU-HknjTW4hQ,I really didn't want to like this place since they replaced my favorite Chinese place of all time but... They actually won me over. The fried rice is rich in meaty goodness. I love the fact it wasn't served in to go boxes which seems to have become the norm. There wasn't a single dish that did not impress and the service was excellent. I suppose I will be back even though I live pretty far away now.,QxfwXkk9JKvvRTAg2aZzVQ,0,0,5,yiemIx_FBSpY0xNnZZeb6g
2351155,2017-12-19,0,wOmtCPiB-xeU-HknjTW4hQ,"Food delivery to my work. 

House chow mein noodles - Good. Veg egg rolls - ok...just ok. 

Requested chopsticks. No chopsticks. No napkins.",eji0JuMcS89D7k1is8ERSQ,1,0,3,Nmb5CMxxH7pV5jqSHvCxOw
