,date,funny,business_id,text,user_id,useful,cool,stars,review_id
5192,2011-02-06,0,wX1ORSDKPkA5ftE7F6UONw,"Stopped in here last week with a friend, and liked it so much I stopped in again a couple of days later. And I don't live anywhere near BFG. It's that good. 

The first time in I had the fried strips which were cooked perfectly. The batter was excellent and not greasy at all. The chicken inside was moist and tasty. It comes with two dipping sauces. I tried the teriyaki and the honey mustard. Both were very good. Along with the strips I had the vegetable skewers, which also were really tasty. The meal came with a small piece of garlic toast and a drink.

My second time in I had the baked chicken strips which were moist and tender, and because I liked the veggie skewers so much the first time I got them again. Once again they came with Texas toast and a drink. All this for under 6 bucks.

During the first visit my friend asked me how these chicken strips compared to Cane's. It had been a long time since I'd been to Cane's, so today I went there to compare. Cane's was decent, but nowhere close to as good as the chicken strips here at BFG.

The service, as has been mentioned already here many times, was excellent. In fact the only complaint I have about this place is that it's so far from where I live. If they ever open one closer to me I'll be in there all the time.",EmIdjVdvb8EOo2yDf_OIaw,0,0,5,tsvfE91iPn_nFy0RQ43rXg
10111,2014-11-21,0,wX1ORSDKPkA5ftE7F6UONw,"This somewhat-hidden gem has yet to disappoint me. Some of the best mac n' cheese, and the fries are great, too. Lots of tasty sauce choices. Not to mention the three styles of strips. Fried, baked, or grilled, you can't go wrong. Although the grilled strips didn't seem quite as juicy as the other styles. Not only is the food wonderful, but the staff is way better than average - always friendly with great attitudes. I",Z4DQ8glUflGC1sL8GnFlXQ,0,0,5,bLvjwnUbGPpl-iWSvEdQug
13140,2014-02-13,0,wX1ORSDKPkA5ftE7F6UONw,Food is awesome and the staff couldn't be more friendly. I use this spot for catering with my business here in Vegas and always a good value!! (They should raise their prices on catering orders!) cool Peeps!,zFjWrDXFyf25ikQhj-L9_w,1,0,5,KJ1teJjf1_69t7_N7TrjBA
19326,2011-10-26,0,wX1ORSDKPkA5ftE7F6UONw,"My husband and I were on our way to dine in at the Pizza Hut on charleston and antelope last night, and discovered that it was permanently closed :(   we had to find an alternative route fast, as our one year old was hungry and getting cranky.

My husband found this place on his phone and the ratings were really good, so we decided that trying something new is always good.

wow...the food was amazing!    The chicken was cooked perfectly, it was not heavy or greasy and it felt like the perfect amount of food.

we ordered the grilled chicken meal with the mac and Cheese and an order of the baked chicken with fries, and just decided to mix and match pieces from each plate. the Mac and cheese was to die for and the sauces were really good as well.

We shared a bit  of everything with our one year old. He scarfed everything down...he loved it :)

Not to forget .....on top of the great food, the service was amazing as well. Jin checked on us twice, and even sat down to talk with us for a little bit.  He is the nicest guy and you can tell that he cares how the customers are doing and if they enjoyed their meal. 

In small restaurants in this town, great service is very hard to find. 

We were very happy with our choice, and will go back there again in a heart beat.

BFG... Keep up the good work!",ruVwLL_rWv_s4d0ANPttPw,0,0,5,4mX92QrS7ToTYOuQgI_qxA
30949,2012-01-06,0,wX1ORSDKPkA5ftE7F6UONw,"BFG was amazing! Fellow yelper Ramil B. introduced me to this place and it was awesome. 

BFG stands for Baked, Fried, Grilled which are the 3 options for how to have your chicken strips. They have a variety of sauces to accompany including ""Wasabi Cream."" Sides for the chicken are fries, grilled vegetables, garlic bread and mac&cheese. There's something for those who come just to stuff their face and something for the more health conscious.

The owner, Jin, is super friendly and he definitely makes it his mission to have a relationship with each of his customers.

The artwork on the walls are cute and inviting.

This is a great mom&pop shop. A definite cane's replacement. In fact, they are even cheaper than cane's! I LOVE THAT!

Speaking of canes, I could choose BFG's garlic bread over Cane's texas toast ANY DAY, HANDS DOWN. The garlic bread is smaller, but it tastes way better.

Only downfall, it's nowhere near my house. HAHA.",_5i-gReOmEts7CLmnZXZ6A,1,0,4,-FjZC9s48PEQ5p_TNP0ZxA
44691,2011-01-19,2,wX1ORSDKPkA5ftE7F6UONw,"Healthy or not? Hey this place has both, if your looking for your chicken to be fried or baked or grilled this is the spot to be. Not only great tasting chicken but the service is amazing. 

As my daughter and I both walked in we were greeted and he knew instantly that we have never been there so he explained the menu, which is pretty basic. I ordered the number 1 which was the baked chicken pieces) with mac n cheese and a drink. YUM! I ordered my daughter the kids menu which she picked grilled chicken (2 pieces) and french fries. As for the sauces there are a lot of choices I might say from your basic ranch to some Wasabi sauce, which I find interesting with chicken wings. I got ranch (yeah I know boring) and the BFG which is kind of like Raising Cane sauce. The Mac and Cheese was nice and cheesy and not that cheap microwavable mac and cheese.",jEBySjq6tgL-_R3P7LHq0w,4,2,5,wHMkUy_lX0a9NeP5eXwWcg
44948,2014-07-23,0,wX1ORSDKPkA5ftE7F6UONw,Absolutely amazing place. Amazing food. Prices are low and the People are the nicest I have ever experienced. I will definitely be here again. The attitudes of the workers are make you smile and feel welcome. The manager definitely gets 5 stars alone. Such a wonderful environment.,Ozx8ETZWYVmQKrjfPNKrrA,0,0,5,TPhpHeOsqEWeioE6Ka452w
55986,2016-10-31,0,wX1ORSDKPkA5ftE7F6UONw,"Off the strip joint. Good chicken and the chicken really are finger like. Sauces are weirdly watery, but not necessarily a bad thing. The mac and cheese is bomb though and has a good crust. Not the best value but 4 stars for the mac alone.",fFSJDmi819wcZ9_Q0iE6ng,0,0,4,Fs-6yXn2Qz4t0orkStui8g
66012,2013-03-29,0,wX1ORSDKPkA5ftE7F6UONw,"I don't get all the great reviews?  
Pros:  Grilled veggies, inexpensive, friendly staff
Cons: Long waits, lack of choices for drinks, chicken is not great.",cz_Rb8xLP23N48IpTLO6vQ,0,0,3,kXcqTGnHFxQ8Ec3ICfd_Ig
69264,2015-03-14,0,wX1ORSDKPkA5ftE7F6UONw,"I must say the food is good, service is too...but its just too expensive. Meals dont come with a drink btw.",adnjbB0Dd4izrCJZgOthSQ,0,0,3,J_T1wec4mnuSGhrLtA5bFg
