,date,funny,business_id,text,user_id,useful,cool,stars,review_id
133229,2017-09-02,0,wZkjm9TGa7nXLYHxhIRO5w,"Great food. Great prices. Clean restaurant. Las Vegas' NEW A MUST!! Ordered the Salmon Bowl, while the kids got the Unagi bowl... both were yummy!!",iqVu8i6H9h5BBPzmbL4-gQ,0,0,5,qcAUzmj1bdRxySlHDOqwKw
338771,2017-09-17,1,wZkjm9TGa7nXLYHxhIRO5w,"Shoutout to the cuties behind the counter making the poke bowls! ;)

Super bomb, must try.",tEtqv94AHDQpkWMRgE1NJA,1,0,5,RPxfZwIGUcXFog9kHesfqg
502736,2017-07-27,0,wZkjm9TGa7nXLYHxhIRO5w,"I found this restaurant while looking for a place to eat on my trip to Vegas. Since it was a grand opening, I figured, why not. I tried the sashimi bowl with mixed assorted fish and was delighted by the fresh taste. The ratio of fish to rice was just to my liking. The staff was friendly and helped me choose the right bowl to gratify my odd, insatiable hunger for that lunch period. Their unique selection definitely will make me explore the other options available on their menu.",a6UzjVNrdcxWXGeuZw4uXQ,2,1,5,Cwrax7e9QK9ICgkII82c1g
515558,2017-08-15,0,wZkjm9TGa7nXLYHxhIRO5w,"Good food. Fast service. 
I like it. 
Come back more. 

The burrito is very good. Fresh food. 

Highly recommend",aUnZmyDQHwJ4gF3mFNvwrw,2,1,5,Ba7YhvOMH5VSaROiFOQQDw
569260,2017-08-08,1,wZkjm9TGa7nXLYHxhIRO5w,"I was in town for business trip and wanted something fresh for lunch.  I happen to drive by Spring Mountain rd and happen to see this place with grand opening sign so decided to give it a try.
First of all, it's chipotle like set up where you could see what they are putting in with your own eye. This was a plus as I was able to trust that is going into my mouth.
I had sashimi bowl which had combination of 6 to 7 different kind of sashimi with rice and mixed green.  Food was awesome and loved the freshness of the ingredients.  it also came out with miso soup and sweet potato chips.  Miso soup was AMAZING!
I would be sure to come back to this place on my next business trip.  Highly recommend.",MNpaXgxRIpr-ngp0i2DW_g,2,1,5,rBSyEBg5wL9CgnATePTMpQ
725772,2017-11-02,0,wZkjm9TGa7nXLYHxhIRO5w,"7.5/10 stars. The food was great and the service was friendly but it was a little slow. It was understandable, as they seemed to be training a new employee but I was in a bit of a rush and it would've been nicer to get my food faster. 

I got the sea world sushi burrito, which was delicious and had a good amount of fish in it.

Overall, it you're like me and you're curious about sushi burrito trend, this is a great place to try it out for a reasonable price.",F5DnSfh5Hhp1NrjEfZnRiA,0,0,4,vkoti5jICEqg4-dj4WPXiw
933604,2018-01-22,0,wZkjm9TGa7nXLYHxhIRO5w,"This place is just nee and trendy. The tuna is huge disgusting chunks just put on top of a salad. No taste, no style no common sense to cut the tuna up",wBOcpiL4cjOLDy1qzCHjAg,0,0,1,CyZDqCYcAtXke_t06wYZ-Q
1009845,2018-01-13,0,wZkjm9TGa7nXLYHxhIRO5w,"Good place for getting a sushi burrito fix!  Prices are the same as other places offering similar menu; however, the advantage here is that you get free side orders of sweet potato chips and miso soup if you dine in. Also free mochi ice cream if you leave a yelp review so it's a win-win for both sides :).",EzzheYIjcybUkx9tKB30Ug,0,0,5,CiJLMgjjAlHbdD2Xc-lWMQ
1120485,2018-02-20,1,wZkjm9TGa7nXLYHxhIRO5w,"It's always nice to find a new restaurant in town that you want to return to. I've never had a sushi burrito and have been seeing these places pop up everywhere. I wondered if it was made with a tortilla and maybe was a reason I hesitated trying them earlier. To my delight, it was rice with ingredients inside and then simply rolled with seaweed. I loved it. It's funny how they call it a burrito. In Japan, this is just called a futomaki roll with different ingredients inside and has been around forever. When it's introduced to America with ""burrito"" slapped to its name, people think it's new, and it becomes a new craze (like ramen, which has been around in Japan forever). Anyway, I really enjoyed my sushi burrito since I've always loved futomaki rolls. It was fresh, and I liked the ingredients. The only problem was that there weren't many choices for me since I don't eat raw fish, but I could go back and just eat the same thing. The restaurant was very clean and the service was great. The cashier was patient when I asked her questions (for example, no tortillas, right?) about this new thing called the sushi burrito.",y5YNzZwQuYxgE-jSDcZLxA,1,1,5,8alg0uBe3319f26zG2NWRg
1255526,2017-09-16,0,wZkjm9TGa7nXLYHxhIRO5w,Delicious! Fresh and filling. Staff was very friendly and happy to help. Loved the Santa Monica Burrito. Will be back to try everything else.,Nzrs9dfEy3F0sN02HZU6JQ,1,0,5,wVprRaIlGIp4ZkGrFNeTnw
